,target,params
0,-0.0008340564672835171,"{'colsample_bytree': 0.9018376612613188, 'learning_rate': 0.07180203513933518, 'max_depth': 3.9919761950149764, 'n_estimators': 401.6623591603686, 'reg_lambda': 27.899311567152584, 'subsample': 0.8025506102271611}"
1,-0.0008322416106238961,"{'colsample_bytree': 0.985098848488588, 'learning_rate': 0.020515188922878833, 'max_depth': 5.777689803554502, 'n_estimators': 375.94977490207276, 'reg_lambda': 18.86019634288582, 'subsample': 0.7385018631290934}"
2,-0.0010271709179505706,"{'colsample_bytree': 0.7229337286930171, 'learning_rate': 0.09187833546489613, 'max_depth': 8.995597840728054, 'n_estimators': 378.9469060430773, 'reg_lambda': 15.29997460877446, 'subsample': 0.2901541557981929}"
3,-0.0012213614536449313,"{'colsample_bytree': 0.6248336774463106, 'learning_rate': 0.08508356129682476, 'max_depth': 8.753960535772723, 'n_estimators': 394.0831853838551, 'reg_lambda': 13.187783041131844, 'subsample': 0.8699930637654296}"
4,-0.0013080787612125278,"{'colsample_bytree': 0.6650289222268373, 'learning_rate': 0.02029614085797606, 'max_depth': 5.117264510045055, 'n_estimators': 492.9427739402793, 'reg_lambda': 11.629058146187369, 'subsample': 0.3438834291119018}"
5,-0.0010254725348204374,"{'colsample_bytree': 0.770482039279193, 'learning_rate': 0.057053957961951444, 'max_depth': 3.9731491796101057, 'n_estimators': 371.6667267485689, 'reg_lambda': 20.795107881912855, 'subsample': 0.9403451898177193}"
6,-0.0010203372221440077,"{'colsample_bytree': 0.7571404276148104, 'learning_rate': 0.05479347968843191, 'max_depth': 3.4119728350499323, 'n_estimators': 378.22367234510114, 'reg_lambda': 20.697868747560523, 'subsample': 0.9171605269209191}"
7,-0.0008083985885605216,"{'colsample_bytree': 0.9547887959260838, 'learning_rate': 0.09471402173336388, 'max_depth': 5.396408847706759, 'n_estimators': 374.8087226314726, 'reg_lambda': 16.32796304603165, 'subsample': 0.8855663970851662}"
8,-0.0008844861877150834,"{'colsample_bytree': 0.8855685979145944, 'learning_rate': 0.05861337750360274, 'max_depth': 6.011487556667193, 'n_estimators': 406.08845618541744, 'reg_lambda': 29.80749270603296, 'subsample': 0.44279126700131854}"
9,-0.0013405164936557412,"{'colsample_bytree': 0.6658348116196193, 'learning_rate': 0.027023073031969713, 'max_depth': 9.367291613327337, 'n_estimators': 399.8998769718837, 'reg_lambda': 29.21032713611111, 'subsample': 0.4261595169237943}"
10,-0.0009525723871774971,"{'colsample_bytree': 0.7833904635552633, 'learning_rate': 0.035161911745615566, 'max_depth': 4.111340777441804, 'n_estimators': 404.3975309602103, 'reg_lambda': 25.42177267331652, 'subsample': 0.7875079004776575}"
11,-0.001079069683328271,"{'colsample_bytree': 0.7022692749451033, 'learning_rate': 0.07406201751276209, 'max_depth': 8.409695238740188, 'n_estimators': 373.94512013922815, 'reg_lambda': 16.86590099620129, 'subsample': 0.7657980246549725}"
12,-0.0008722167694941163,"{'colsample_bytree': 0.857878251976955, 'learning_rate': 0.03593628832144322, 'max_depth': 3.380782025905722, 'n_estimators': 375.89559111501273, 'reg_lambda': 17.29090707155723, 'subsample': 0.6945255677674621}"
13,-0.0009849772322922945,"{'colsample_bytree': 0.7598560647733393, 'learning_rate': 0.05608062595505497, 'max_depth': 3.279832638266849, 'n_estimators': 405.2436335941321, 'reg_lambda': 29.533680698000875, 'subsample': 0.7542802251019622}"
14,-0.0008459814125671983,"{'colsample_bytree': 0.9589593418763607, 'learning_rate': 0.026161525446789152, 'max_depth': 4.6862215088355, 'n_estimators': 376.4011048170078, 'reg_lambda': 13.994970958102561, 'subsample': 0.359223316493158}"
15,-0.0012132920091971755,"{'colsample_bytree': 0.6546876583353117, 'learning_rate': 0.09664074142767283, 'max_depth': 3.0670420484190233, 'n_estimators': 372.37475823299815, 'reg_lambda': 14.12664197736584, 'subsample': 0.8440770913561917}"
16,-0.0009782254928722978,"{'colsample_bytree': 0.7485533333934746, 'learning_rate': 0.08165096080674833, 'max_depth': 4.691182561758977, 'n_estimators': 378.02647212051664, 'reg_lambda': 16.769635092512925, 'subsample': 0.45204986147664883}"
17,-0.0009928446961566806,"{'colsample_bytree': 0.8458108881955237, 'learning_rate': 0.01676392458064286, 'max_depth': 4.264037277147947, 'n_estimators': 399.6297411661553, 'reg_lambda': 26.15563872556635, 'subsample': 0.9443249858177174}"
18,-0.0008523535216227174,"{'colsample_bytree': 0.8826187492589245, 'learning_rate': 0.07814700575489282, 'max_depth': 5.963709545152696, 'n_estimators': 376.8706215911062, 'reg_lambda': 11.554616270344795, 'subsample': 0.6598448246122492}"
19,-0.0009411191567778587,"{'colsample_bytree': 0.8040421489072828, 'learning_rate': 0.049248933873684994, 'max_depth': 3.4491941812165234, 'n_estimators': 378.06710501136934, 'reg_lambda': 10.28749861514962, 'subsample': 0.6917876783926535}"
20,-0.0011693822452798486,"{'colsample_bytree': 0.6427693925690119, 'learning_rate': 0.043134809217227704, 'max_depth': 8.02450727648489, 'n_estimators': 408.494312504299, 'reg_lambda': 28.95631671865503, 'subsample': 0.8035726893681108}"
21,-0.0008382764644920826,"{'colsample_bytree': 0.9426544440467626, 'learning_rate': 0.07797657548722996, 'max_depth': 5.846355128094471, 'n_estimators': 403.6728511353031, 'reg_lambda': 28.320333176765455, 'subsample': 0.626932831982341}"
22,-0.001063524978235364,"{'colsample_bytree': 0.920013983167778, 'learning_rate': 0.011863817902534175, 'max_depth': 5.880768731604899, 'n_estimators': 379.80505191214877, 'reg_lambda': 11.657878117329936, 'subsample': 0.5433501896974082}"
23,-0.0009773013880476356,"{'colsample_bytree': 0.8251880192409329, 'learning_rate': 0.08425094605105087, 'max_depth': 7.085308925249584, 'n_estimators': 376.106754432602, 'reg_lambda': 14.163816146133444, 'subsample': 0.9107060261032307}"
24,-0.0008775793248787522,"{'colsample_bytree': 0.8881743592435167, 'learning_rate': 0.07991989402324289, 'max_depth': 4.528170030465889, 'n_estimators': 374.50384928827384, 'reg_lambda': 18.594007395729722, 'subsample': 0.3786827248532677}"
25,-0.0010167040163651109,"{'colsample_bytree': 0.7488207604771884, 'learning_rate': 0.07711865765405213, 'max_depth': 6.352016326823534, 'n_estimators': 374.73836355907116, 'reg_lambda': 10.179378184835613, 'subsample': 0.6823841937039351}"
26,-0.0008352198638021946,"{'colsample_bytree': 0.976002878557553, 'learning_rate': 0.07251374142167587, 'max_depth': 6.980911659215276, 'n_estimators': 375.7983872203505, 'reg_lambda': 22.315881226546658, 'subsample': 0.9842876896188768}"
27,-0.00144599296618253,"{'colsample_bytree': 0.7235823825370732, 'learning_rate': 0.013952833905429202, 'max_depth': 8.55892695023761, 'n_estimators': 377.39728692876815, 'reg_lambda': 21.296098522203735, 'subsample': 0.7499197191321103}"
28,-0.0009314971975982189,"{'colsample_bytree': 0.7975560712009906, 'learning_rate': 0.09175089810455406, 'max_depth': 5.527877336011121, 'n_estimators': 375.2701303315064, 'reg_lambda': 21.73685752056702, 'subsample': 0.7633628275721034}"
29,-0.0010185556020587683,"{'colsample_bytree': 0.743008913503576, 'learning_rate': 0.038791352300403203, 'max_depth': 4.153229697186946, 'n_estimators': 403.3321134169905, 'reg_lambda': 28.42112677655954, 'subsample': 0.7627015610004115}"
30,-0.0011397138005122542,"{'colsample_bytree': 0.6725710357017691, 'learning_rate': 0.09095349052388589, 'max_depth': 4.984883441116882, 'n_estimators': 376.2447723391055, 'reg_lambda': 17.51714727898551, 'subsample': 0.9543496568520986}"
31,-0.000983271631412208,"{'colsample_bytree': 0.826612434064619, 'learning_rate': 0.059726873143973146, 'max_depth': 6.776946533880519, 'n_estimators': 441.2763935263781, 'reg_lambda': 14.491681428647123, 'subsample': 0.972881410780303}"
32,-0.000836535356938839,"{'colsample_bytree': 0.9265799030397024, 'learning_rate': 0.07503554919095905, 'max_depth': 7.229378215769409, 'n_estimators': 477.26123400261406, 'reg_lambda': 12.616323707390611, 'subsample': 0.8251608886094284}"
33,-0.0008445805869996548,"{'colsample_bytree': 0.9275561256980684, 'learning_rate': 0.09244797895377031, 'max_depth': 7.412775445684279, 'n_estimators': 464.2259801376156, 'reg_lambda': 13.30982014562714, 'subsample': 0.7654514032378417}"
34,-0.0009567164815962315,"{'colsample_bytree': 0.8106501416960242, 'learning_rate': 0.092765505105496, 'max_depth': 6.080243354436396, 'n_estimators': 382.30392222368164, 'reg_lambda': 29.219575900383397, 'subsample': 0.3414188172251723}"
35,-0.0011252769036218524,"{'colsample_bytree': 0.662931306875488, 'learning_rate': 0.08017131079397743, 'max_depth': 7.996000217315947, 'n_estimators': 470.13872154108014, 'reg_lambda': 20.399572185587175, 'subsample': 0.7438986978259534}"
36,-0.0008932331693358719,"{'colsample_bytree': 0.9278285329166875, 'learning_rate': 0.08391107742376751, 'max_depth': 8.13665017451097, 'n_estimators': 371.9392119408806, 'reg_lambda': 25.152370449651915, 'subsample': 0.26663187755952356}"
37,-0.0010564804542809725,"{'colsample_bytree': 0.7282859635834197, 'learning_rate': 0.04747101215192182, 'max_depth': 7.742737360557413, 'n_estimators': 441.344579065353, 'reg_lambda': 20.83513382341572, 'subsample': 0.2194764390357502}"
38,-0.0011305216467007995,"{'colsample_bytree': 0.7157298436601639, 'learning_rate': 0.06126418040041941, 'max_depth': 9.03522304425836, 'n_estimators': 458.1736788309351, 'reg_lambda': 10.240879435654994, 'subsample': 0.7796978132208661}"
39,-0.0018009915947914124,"{'colsample_bytree': 0.7445155027579464, 'learning_rate': 0.011752163671804476, 'max_depth': 9.951560598106475, 'n_estimators': 373.9313221698534, 'reg_lambda': 11.652379957709506, 'subsample': 0.2828618210136773}"
40,-0.0011937955860048532,"{'colsample_bytree': 0.614042776827337, 'learning_rate': 0.08492057073432338, 'max_depth': 8.666724130634183, 'n_estimators': 302.24969529191975, 'reg_lambda': 18.971179748614812, 'subsample': 0.8558293319755088}"
41,-0.0008104535518214107,"{'colsample_bytree': 0.9787306959107755, 'learning_rate': 0.06931939037782434, 'max_depth': 8.57782769284471, 'n_estimators': 325.9909319350606, 'reg_lambda': 26.076184807328623, 'subsample': 0.7719324151790645}"
42,-0.0009706993587315083,"{'colsample_bytree': 0.8304829595292738, 'learning_rate': 0.08242349448855642, 'max_depth': 4.1798166827397765, 'n_estimators': 494.2054046664649, 'reg_lambda': 10.884800947752867, 'subsample': 0.8041667894159359}"
43,-0.0009909566724672914,"{'colsample_bytree': 0.7649391127944434, 'learning_rate': 0.06805976787872167, 'max_depth': 4.079410046660342, 'n_estimators': 328.00087473903466, 'reg_lambda': 14.05198451372738, 'subsample': 0.5605422466670051}"
44,-0.0008562326547689736,"{'colsample_bytree': 0.8848142138659397, 'learning_rate': 0.08117879652067507, 'max_depth': 8.766488980631955, 'n_estimators': 429.42377229545093, 'reg_lambda': 29.510660173354776, 'subsample': 0.48171960347421683}"
45,-0.0010233224602416158,"{'colsample_bytree': 0.7739030894410766, 'learning_rate': 0.04467857310589343, 'max_depth': 4.799700537008488, 'n_estimators': 435.8301602555332, 'reg_lambda': 17.739459849037658, 'subsample': 0.9301191124175288}"
46,-0.0010847867233678699,"{'colsample_bytree': 0.8420841651966996, 'learning_rate': 0.019059791774285722, 'max_depth': 9.048196785122798, 'n_estimators': 407.36667529883755, 'reg_lambda': 20.73599549818332, 'subsample': 0.24632487188933425}"
47,-0.0008558976696804166,"{'colsample_bytree': 0.9811613384445397, 'learning_rate': 0.05532873995433241, 'max_depth': 9.437007582171042, 'n_estimators': 479.3203647120449, 'reg_lambda': 23.382429612433384, 'subsample': 0.2528189044128839}"
48,-0.001106334151700139,"{'colsample_bytree': 0.7005619126372606, 'learning_rate': 0.054471250543413265, 'max_depth': 7.190917768146012, 'n_estimators': 388.96895622887325, 'reg_lambda': 14.056681958540233, 'subsample': 0.8042115700809482}"
49,-0.000855696969665587,"{'colsample_bytree': 0.855785262336128, 'learning_rate': 0.05669402410847151, 'max_depth': 6.735936629149995, 'n_estimators': 451.920976963648, 'reg_lambda': 19.041816730564143, 'subsample': 0.46716435518712496}"
50,-0.000937843054998666,"{'colsample_bytree': 0.8465350858653382, 'learning_rate': 0.021906362997345434, 'max_depth': 6.057403479135532, 'n_estimators': 367.2771737601045, 'reg_lambda': 23.06173759853894, 'subsample': 0.667371484742227}"
51,-0.0009446333860978484,"{'colsample_bytree': 0.8385020177944283, 'learning_rate': 0.059771667378143246, 'max_depth': 4.91146072483701, 'n_estimators': 328.91229241317444, 'reg_lambda': 11.905571498466614, 'subsample': 0.2104227376088221}"
52,-0.0009875608375295997,"{'colsample_bytree': 0.739307878739182, 'learning_rate': 0.08212606791314378, 'max_depth': 4.346685398516274, 'n_estimators': 331.93103515783156, 'reg_lambda': 20.77298313128167, 'subsample': 0.6005766881079522}"
53,-0.0011381504591554403,"{'colsample_bytree': 0.6335995286957291, 'learning_rate': 0.07296708463126282, 'max_depth': 3.796645353282532, 'n_estimators': 467.93489675473813, 'reg_lambda': 19.296920170399392, 'subsample': 0.2967067940776514}"
54,-0.0009528638911433518,"{'colsample_bytree': 0.833295255678616, 'learning_rate': 0.02585672311172492, 'max_depth': 8.653238572539731, 'n_estimators': 465.13609574201905, 'reg_lambda': 17.59994082079774, 'subsample': 0.7280846986779108}"
55,-0.0007773699471727014,"{'colsample_bytree': 0.9653294193591186, 'learning_rate': 0.05649902194908413, 'max_depth': 8.884318336384084, 'n_estimators': 482.6302826413819, 'reg_lambda': 12.643080687285515, 'subsample': 0.4516374875053322}"
56,-0.0008668066002428532,"{'colsample_bytree': 0.8759619244873061, 'learning_rate': 0.05012718074567418, 'max_depth': 4.509925904958831, 'n_estimators': 399.6447837483885, 'reg_lambda': 26.121217969367322, 'subsample': 0.7574157900427867}"
57,-0.0010094500612467527,"{'colsample_bytree': 0.7234536275964232, 'learning_rate': 0.08573439111442202, 'max_depth': 4.432361652993741, 'n_estimators': 357.8469994567912, 'reg_lambda': 18.441766375132644, 'subsample': 0.8230848093344514}"
58,-0.00275912182405591,"{'colsample_bytree': 0.71680181723161, 'learning_rate': 0.010952353209191508, 'max_depth': 4.176565578136494, 'n_estimators': 327.8048964208271, 'reg_lambda': 14.267086499261799, 'subsample': 0.7847824220707664}"
59,-0.001158632687292993,"{'colsample_bytree': 0.7160575566474059, 'learning_rate': 0.03099611362608598, 'max_depth': 5.394330434230167, 'n_estimators': 365.4338902559507, 'reg_lambda': 22.540694703379756, 'subsample': 0.5053714663717719}"
60,-0.0008068278548307717,"{'colsample_bytree': 0.9883771977138612, 'learning_rate': 0.04049744940543185, 'max_depth': 5.012299424285921, 'n_estimators': 360.30691408725613, 'reg_lambda': 14.167016335128883, 'subsample': 0.8213501099734082}"
61,-0.0008496160735376179,"{'colsample_bytree': 0.8987288790868798, 'learning_rate': 0.07623102572681989, 'max_depth': 3.4007156920321404, 'n_estimators': 445.0974936204043, 'reg_lambda': 24.905812859006424, 'subsample': 0.3450181007517865}"
