,target,params
0,-0.0027498756535351276,"{'colsample_bytree': 0.8356641072253559, 'learning_rate': 0.03627523133832792, 'max_depth': 8.756060232620452, 'n_estimators': 451.84653946884794, 'reg_lambda': 20.36951490670105, 'subsample': 0.5093322546342264}"
1,-0.0027978450525552034,"{'colsample_bytree': 0.9536488179505831, 'learning_rate': 0.02756001376738996, 'max_depth': 5.798884780766193, 'n_estimators': 396.9992079212613, 'reg_lambda': 15.982019963101271, 'subsample': 0.23022472488195478}"
2,-0.0028962271753698587,"{'colsample_bytree': 0.8260919834998057, 'learning_rate': 0.031014712874603466, 'max_depth': 4.661035081582455, 'n_estimators': 463.9421742879232, 'reg_lambda': 24.93487640012445, 'subsample': 0.38833429270879266}"
3,-0.0032158426474779844,"{'colsample_bytree': 0.6648504483620634, 'learning_rate': 0.08864722733250004, 'max_depth': 3.3719341661493774, 'n_estimators': 345.87668570120525, 'reg_lambda': 27.947739216436332, 'subsample': 0.5608992517853415}"
4,-0.0030214455910027027,"{'colsample_bytree': 0.7093831193568045, 'learning_rate': 0.09084885356179541, 'max_depth': 7.843201622132603, 'n_estimators': 466.7539526315891, 'reg_lambda': 14.541531445246353, 'subsample': 0.3069519518153745}"
5,-0.002585700713098049,"{'colsample_bytree': 0.9825508461838625, 'learning_rate': 0.07006202936201067, 'max_depth': 4.939120925809167, 'n_estimators': 370.67593505365124, 'reg_lambda': 20.509614710685078, 'subsample': 0.5819653648476839}"
6,-0.002866332186385989,"{'colsample_bytree': 0.8107785361953501, 'learning_rate': 0.054066933246738794, 'max_depth': 8.05401725207507, 'n_estimators': 369.78816699096313, 'reg_lambda': 22.25747973442056, 'subsample': 0.5158742348643808}"
7,-0.002748908009380102,"{'colsample_bytree': 0.8553894355790477, 'learning_rate': 0.09091109794290318, 'max_depth': 3.79987867118282, 'n_estimators': 370.15469445413464, 'reg_lambda': 21.30109763861345, 'subsample': 0.6295191811428111}"
8,-0.002770939376205206,"{'colsample_bytree': 0.9580496530256666, 'learning_rate': 0.045126980760448854, 'max_depth': 4.581670392868512, 'n_estimators': 372.0995741428069, 'reg_lambda': 20.283012611546297, 'subsample': 0.20940876180394305}"
9,-0.0031381268054246902,"{'colsample_bytree': 0.6716032451740636, 'learning_rate': 0.09674828031206784, 'max_depth': 5.882246435093884, 'n_estimators': 370.36227693273634, 'reg_lambda': 19.244471220115553, 'subsample': 0.4145467823693294}"
10,-0.002687379252165556,"{'colsample_bytree': 0.9364999002103577, 'learning_rate': 0.0556140415471929, 'max_depth': 3.3020191848294065, 'n_estimators': 370.9884492628972, 'reg_lambda': 20.775936639087192, 'subsample': 0.8756215095535016}"
11,-0.00288352626375854,"{'colsample_bytree': 0.790416073478859, 'learning_rate': 0.06794312104708677, 'max_depth': 5.273239323563044, 'n_estimators': 370.3757469933213, 'reg_lambda': 21.387351929864874, 'subsample': 0.6757946723427171}"
12,-0.0032645210158079863,"{'colsample_bytree': 0.6382290814135011, 'learning_rate': 0.06779341912687985, 'max_depth': 5.166634463372191, 'n_estimators': 371.70771268915615, 'reg_lambda': 20.820222803166644, 'subsample': 0.5957959785087481}"
13,-0.00297990208491683,"{'colsample_bytree': 0.831594286102975, 'learning_rate': 0.020672282050692214, 'max_depth': 5.226284190630842, 'n_estimators': 450.70069773863906, 'reg_lambda': 22.062081278018574, 'subsample': 0.6970509351406524}"
14,-0.00273868627846241,"{'colsample_bytree': 0.8564294080351189, 'learning_rate': 0.05273252125941287, 'max_depth': 6.4149381597948665, 'n_estimators': 355.2218226478809, 'reg_lambda': 20.1879362640503, 'subsample': 0.4888630290493467}"
15,-0.002839734312146902,"{'colsample_bytree': 0.9615015705213014, 'learning_rate': 0.021167492910201282, 'max_depth': 5.406542055288375, 'n_estimators': 324.38830099921495, 'reg_lambda': 26.775837844191454, 'subsample': 0.650861916104855}"
16,-0.0027721773367375135,"{'colsample_bytree': 0.8816491695958601, 'learning_rate': 0.0967499528347563, 'max_depth': 8.78038180702601, 'n_estimators': 334.7172299971469, 'reg_lambda': 20.322360272656454, 'subsample': 0.8368767472848471}"
17,-0.0028655200731009245,"{'colsample_bytree': 0.8308791964192018, 'learning_rate': 0.0388722805565589, 'max_depth': 7.7532274135155586, 'n_estimators': 372.8260875961085, 'reg_lambda': 14.662571180596842, 'subsample': 0.5164562035348941}"
18,-0.005554662086069584,"{'colsample_bytree': 0.6927133492974185, 'learning_rate': 0.01072582214245455, 'max_depth': 4.833311602203552, 'n_estimators': 366.76706153723194, 'reg_lambda': 22.91564962247995, 'subsample': 0.3959755831246023}"
19,-0.0029550837352871895,"{'colsample_bytree': 0.7712138107380004, 'learning_rate': 0.05326287467505396, 'max_depth': 3.565782284585422, 'n_estimators': 372.66435113468606, 'reg_lambda': 17.884710987791458, 'subsample': 0.5464111763457589}"
20,-0.0033606812357902527,"{'colsample_bytree': 0.6594906085248834, 'learning_rate': 0.09166841464762593, 'max_depth': 4.054147068113505, 'n_estimators': 353.9753117030154, 'reg_lambda': 19.037465546150436, 'subsample': 0.6217439120508321}"
