,target,params
0,-0.004135536029934883,"{'colsample_bytree': 0.835322305102955, 'learning_rate': 0.01012114816335225, 'max_depth': 8.238447019247266, 'n_estimators': 363.77414260971955, 'reg_lambda': 14.449527141800772, 'subsample': 0.45284676433355336}"
1,-0.0036193449050188065,"{'colsample_bytree': 0.6174906425762442, 'learning_rate': 0.02379439532575633, 'max_depth': 9.317165943730535, 'n_estimators': 412.23439107087717, 'reg_lambda': 18.55319322104782, 'subsample': 0.40682257994237175}"
2,-0.002859377069398761,"{'colsample_bytree': 0.7619311766437353, 'learning_rate': 0.05364078318831127, 'max_depth': 8.598540462736167, 'n_estimators': 423.3327991986924, 'reg_lambda': 23.33345595020002, 'subsample': 0.23519492275706835}"
3,-0.002667003311216831,"{'colsample_bytree': 0.7965736954253511, 'learning_rate': 0.0458819833728539, 'max_depth': 4.42532782047174, 'n_estimators': 487.10639330915274, 'reg_lambda': 25.27014502803713, 'subsample': 0.6909669068946094}"
4,-0.003201650222763419,"{'colsample_bytree': 0.9044175759936133, 'learning_rate': 0.023039955309878644, 'max_depth': 3.250971231360855, 'n_estimators': 407.76364530009914, 'reg_lambda': 16.999818121079443, 'subsample': 0.20261929405538998}"
5,-0.002636526944115758,"{'colsample_bytree': 0.8870236417913995, 'learning_rate': 0.0825458823775385, 'max_depth': 5.1578458659450455, 'n_estimators': 410.3584363110523, 'reg_lambda': 11.095147201064286, 'subsample': 0.7620985419697719}"
6,-0.003163040615618229,"{'colsample_bytree': 0.7621013178580237, 'learning_rate': 0.09651650373276795, 'max_depth': 7.408048322848245, 'n_estimators': 372.11497859493795, 'reg_lambda': 10.796503381504834, 'subsample': 0.9837075898110919}"
7,-0.0026484515983611345,"{'colsample_bytree': 0.949472577313679, 'learning_rate': 0.031754266078990144, 'max_depth': 4.379741531642566, 'n_estimators': 316.4451414504921, 'reg_lambda': 21.096888520693305, 'subsample': 0.6379306051081539}"
8,-0.0027892414946109056,"{'colsample_bytree': 0.7716294807737969, 'learning_rate': 0.09877005001152951, 'max_depth': 3.1641769030606137, 'n_estimators': 435.3913505306644, 'reg_lambda': 11.806901007658489, 'subsample': 0.22104425970614}"
9,-0.002557760803028941,"{'colsample_bytree': 0.8622858553737937, 'learning_rate': 0.07107850589077803, 'max_depth': 4.079348690247966, 'n_estimators': 316.36341000402075, 'reg_lambda': 21.011540882349856, 'subsample': 0.6000412347689912}"
10,-0.002855659229680896,"{'colsample_bytree': 0.7015809564977168, 'learning_rate': 0.08862200786910596, 'max_depth': 3.320177489718189, 'n_estimators': 315.5894448716497, 'reg_lambda': 17.387717964046868, 'subsample': 0.37972794289069167}"
11,-0.002473138738423586,"{'colsample_bytree': 0.9804369956684849, 'learning_rate': 0.07868429961166566, 'max_depth': 3.1948291779744062, 'n_estimators': 313.46361220497624, 'reg_lambda': 20.63435596772329, 'subsample': 0.5586847413466813}"
12,-0.002656828612089157,"{'colsample_bytree': 0.84615856948645, 'learning_rate': 0.08992330265577644, 'max_depth': 3.0841491565031145, 'n_estimators': 314.52985767784213, 'reg_lambda': 25.0419548321433, 'subsample': 0.27005483287243365}"
13,-0.002574407495558262,"{'colsample_bytree': 0.8576719046605746, 'learning_rate': 0.08764533459627179, 'max_depth': 3.6881946043996363, 'n_estimators': 309.7884427654961, 'reg_lambda': 23.396161779370356, 'subsample': 0.4223494374413952}"
14,-0.003292168490588665,"{'colsample_bytree': 0.6347585739677178, 'learning_rate': 0.07552131653565633, 'max_depth': 3.1468506723449186, 'n_estimators': 306.98889443265523, 'reg_lambda': 18.539711431226312, 'subsample': 0.20959554810462777}"
15,-0.003194514662027359,"{'colsample_bytree': 0.754251753282694, 'learning_rate': 0.04820873877765065, 'max_depth': 3.8534102746787138, 'n_estimators': 309.4605438641966, 'reg_lambda': 27.994369643916738, 'subsample': 0.23590432999803373}"
16,-0.004727869760245085,"{'colsample_bytree': 0.667860206964351, 'learning_rate': 0.019989366030624754, 'max_depth': 7.282726844002665, 'n_estimators': 310.9687568143322, 'reg_lambda': 22.836994290905942, 'subsample': 0.21904496084954506}"
17,-0.0030259720515459776,"{'colsample_bytree': 0.6465254248501625, 'learning_rate': 0.0693595233426303, 'max_depth': 3.869353016229519, 'n_estimators': 314.03433320769176, 'reg_lambda': 22.267221652873822, 'subsample': 0.6881920623313915}"
18,-0.0031567446421831846,"{'colsample_bytree': 0.7711635919952057, 'learning_rate': 0.02386531483744408, 'max_depth': 3.0908575141619075, 'n_estimators': 311.7913235399126, 'reg_lambda': 18.259669349347973, 'subsample': 0.8168452062003573}"
19,-0.003332537831738591,"{'colsample_bytree': 0.6333725159146033, 'learning_rate': 0.03947069384162732, 'max_depth': 3.2560116668420584, 'n_estimators': 315.7385739159298, 'reg_lambda': 19.72192446822145, 'subsample': 0.5547695055358353}"
20,-0.002610553056001663,"{'colsample_bytree': 0.8233881069942774, 'learning_rate': 0.07064671384646831, 'max_depth': 3.5756303044744504, 'n_estimators': 310.79578020464334, 'reg_lambda': 24.340406918441296, 'subsample': 0.3782452556144759}"
21,-0.0028901996556669474,"{'colsample_bytree': 0.8707490020895008, 'learning_rate': 0.0281887639849019, 'max_depth': 3.644303484874979, 'n_estimators': 312.04510541496876, 'reg_lambda': 20.906867478203328, 'subsample': 0.4060576331012589}"
22,-0.003468461334705353,"{'colsample_bytree': 0.8161195928229477, 'learning_rate': 0.031129549005962535, 'max_depth': 3.101608454177764, 'n_estimators': 308.94288232300556, 'reg_lambda': 24.77424237958373, 'subsample': 0.22962385202442068}"
23,-0.0037644347175955772,"{'colsample_bytree': 0.6391691026318987, 'learning_rate': 0.0216558298173408, 'max_depth': 4.224552609146737, 'n_estimators': 311.2279864777043, 'reg_lambda': 23.439354463493032, 'subsample': 0.9469842205375356}"
24,-0.002764357952401042,"{'colsample_bytree': 0.8130385122834448, 'learning_rate': 0.09111214118248748, 'max_depth': 3.239552094219851, 'n_estimators': 314.3531366181443, 'reg_lambda': 20.802675070626705, 'subsample': 0.9731775221725207}"
25,-0.002574346726760268,"{'colsample_bytree': 0.8981010659784928, 'learning_rate': 0.05080901876179244, 'max_depth': 3.7071607522016006, 'n_estimators': 315.350927928234, 'reg_lambda': 21.46638083594111, 'subsample': 0.6283269279409318}"
26,-0.0026859345380216837,"{'colsample_bytree': 0.8160754329269395, 'learning_rate': 0.09502116295532775, 'max_depth': 4.469142049635885, 'n_estimators': 314.021851871689, 'reg_lambda': 20.65094648193568, 'subsample': 0.39135721085959363}"
27,-0.0025105879176408052,"{'colsample_bytree': 0.8949672339770836, 'learning_rate': 0.09211791108435789, 'max_depth': 3.0572466738172426, 'n_estimators': 309.2092696738464, 'reg_lambda': 22.27294276139743, 'subsample': 0.4647185563589002}"
28,-0.0025874546263366938,"{'colsample_bytree': 0.9191008202656188, 'learning_rate': 0.06989909672401841, 'max_depth': 4.043627678486604, 'n_estimators': 315.7362580717768, 'reg_lambda': 24.382856962638577, 'subsample': 0.3098080117152138}"
29,-0.00399855338037014,"{'colsample_bytree': 0.7438066478281742, 'learning_rate': 0.01561162196113907, 'max_depth': 3.3481671825454296, 'n_estimators': 316.9008935776095, 'reg_lambda': 25.15518271153391, 'subsample': 0.5227069909590663}"
30,-0.003031500382348895,"{'colsample_bytree': 0.9213114500049236, 'learning_rate': 0.019664536729653705, 'max_depth': 4.745139286745223, 'n_estimators': 315.7306366344323, 'reg_lambda': 23.45107499483663, 'subsample': 0.5620946918681282}"
31,-0.002807086566463113,"{'colsample_bytree': 0.6842949579794849, 'learning_rate': 0.09067369094118662, 'max_depth': 3.0611770810841574, 'n_estimators': 314.8520565822659, 'reg_lambda': 24.084414372726343, 'subsample': 0.6771794517373169}"
32,-0.004736593458801508,"{'colsample_bytree': 0.6432928982752876, 'learning_rate': 0.018442643187582326, 'max_depth': 3.4577155802373483, 'n_estimators': 313.6698423982085, 'reg_lambda': 19.774046360821984, 'subsample': 0.22580612396105817}"
33,-0.00299640535376966,"{'colsample_bytree': 0.8625250420996067, 'learning_rate': 0.03254075731221719, 'max_depth': 3.8287248079372924, 'n_estimators': 314.1170552018785, 'reg_lambda': 20.95498715010503, 'subsample': 0.3125502333914497}"
34,-0.0027981854509562254,"{'colsample_bytree': 0.8252697438834719, 'learning_rate': 0.045533743116436994, 'max_depth': 8.037537090045296, 'n_estimators': 373.97888942630345, 'reg_lambda': 10.674815230352376, 'subsample': 0.9227321259221635}"
35,-0.0027465142775326967,"{'colsample_bytree': 0.8039976664100762, 'learning_rate': 0.026565616010588156, 'max_depth': 3.45346478340047, 'n_estimators': 473.46703498550494, 'reg_lambda': 16.58644511785448, 'subsample': 0.7965698768736593}"
36,-0.0034961134660989046,"{'colsample_bytree': 0.7665445959395548, 'learning_rate': 0.017929782618845317, 'max_depth': 3.681381589054443, 'n_estimators': 313.4686670041572, 'reg_lambda': 20.923862876098916, 'subsample': 0.8298612973460586}"
37,-0.002532094018533826,"{'colsample_bytree': 0.9490039065061967, 'learning_rate': 0.05990784719905387, 'max_depth': 3.099620528281214, 'n_estimators': 309.60723466867313, 'reg_lambda': 22.3019329907822, 'subsample': 0.8818161223730807}"
38,-0.0028167518321424723,"{'colsample_bytree': 0.917702746386535, 'learning_rate': 0.017861315966982462, 'max_depth': 5.288086883221767, 'n_estimators': 434.2045774174377, 'reg_lambda': 21.608540047049363, 'subsample': 0.528428987481542}"
39,-0.0030217720195651054,"{'colsample_bytree': 0.7100989125486492, 'learning_rate': 0.04095146005160871, 'max_depth': 8.988548554050817, 'n_estimators': 328.1460785132496, 'reg_lambda': 21.84398334684591, 'subsample': 0.9276321392004956}"
40,-0.0028823961038142443,"{'colsample_bytree': 0.7793074864533454, 'learning_rate': 0.07499647744968733, 'max_depth': 5.183303310129768, 'n_estimators': 410.0642082427591, 'reg_lambda': 11.277591020272478, 'subsample': 0.8408037793478744}"
41,-0.0026378296315670013,"{'colsample_bytree': 0.8940740549988534, 'learning_rate': 0.04579945675092304, 'max_depth': 5.255561864720237, 'n_estimators': 406.1567383566639, 'reg_lambda': 10.475032334698703, 'subsample': 0.7526335755662892}"
42,-0.002701855031773448,"{'colsample_bytree': 0.7346557831470659, 'learning_rate': 0.05620496755899552, 'max_depth': 4.455898712691801, 'n_estimators': 316.6473099218921, 'reg_lambda': 21.28750325548502, 'subsample': 0.5493533174159309}"
43,-0.003013429930433631,"{'colsample_bytree': 0.70437407262568, 'learning_rate': 0.04862990519838803, 'max_depth': 3.479547994111134, 'n_estimators': 309.89296857314935, 'reg_lambda': 21.922039981665435, 'subsample': 0.9407977655399855}"
44,-0.0031718702521175146,"{'colsample_bytree': 0.6151489454377305, 'learning_rate': 0.05855995814981047, 'max_depth': 3.5090091295762003, 'n_estimators': 314.84936049420276, 'reg_lambda': 24.69157151522474, 'subsample': 0.6002177667470506}"
45,-0.002854469232261181,"{'colsample_bytree': 0.9347027008457969, 'learning_rate': 0.051336792419672775, 'max_depth': 3.861114140547932, 'n_estimators': 310.49408327755503, 'reg_lambda': 23.31091037630707, 'subsample': 0.21801689076218686}"
46,-0.0023855732288211584,"{'colsample_bytree': 0.9609977228745561, 'learning_rate': 0.06737893263900036, 'max_depth': 7.631019709662995, 'n_estimators': 363.43147985175943, 'reg_lambda': 25.802041531088896, 'subsample': 0.4931667767204518}"
47,-0.0029672265518456697,"{'colsample_bytree': 0.8301501967906993, 'learning_rate': 0.020796567747630376, 'max_depth': 9.139868595642167, 'n_estimators': 337.0463526496331, 'reg_lambda': 18.920318340243426, 'subsample': 0.659280423400382}"
48,-0.0026875538751482964,"{'colsample_bytree': 0.8778270156227788, 'learning_rate': 0.05178910555048251, 'max_depth': 4.659348745285444, 'n_estimators': 316.19991697438076, 'reg_lambda': 21.095498097191903, 'subsample': 0.9800755044499432}"
49,-0.002943393774330616,"{'colsample_bytree': 0.6611317976743436, 'learning_rate': 0.08505668463407057, 'max_depth': 9.26857691494234, 'n_estimators': 324.37184533528887, 'reg_lambda': 16.708296286035512, 'subsample': 0.37047509443004717}"
50,-0.0026157768443226814,"{'colsample_bytree': 0.8289197523741074, 'learning_rate': 0.045445516901034176, 'max_depth': 7.665550849328115, 'n_estimators': 488.61970714935126, 'reg_lambda': 13.79635704421955, 'subsample': 0.6371911119540008}"
51,-0.002510902937501669,"{'colsample_bytree': 0.9495989471218131, 'learning_rate': 0.05792247076432034, 'max_depth': 7.74266126163985, 'n_estimators': 363.62889219017967, 'reg_lambda': 26.05908416823263, 'subsample': 0.4189586664802186}"
52,-0.002710479311645031,"{'colsample_bytree': 0.852206460477659, 'learning_rate': 0.09858082649672782, 'max_depth': 9.762827676105552, 'n_estimators': 327.4717385051746, 'reg_lambda': 13.676159512651827, 'subsample': 0.20486035932629554}"
53,-0.002614002674818039,"{'colsample_bytree': 0.8911683048216044, 'learning_rate': 0.04138558996892899, 'max_depth': 4.201971043829838, 'n_estimators': 315.85166804797814, 'reg_lambda': 21.34071756816781, 'subsample': 0.7129684878613645}"
54,-0.0024856894742697477,"{'colsample_bytree': 0.9768292669429801, 'learning_rate': 0.06391702044897404, 'max_depth': 3.208124233046229, 'n_estimators': 455.4688140000996, 'reg_lambda': 15.90729204748122, 'subsample': 0.8362195549416276}"
55,-0.002448866842314601,"{'colsample_bytree': 0.9574491202103965, 'learning_rate': 0.08641284935243633, 'max_depth': 4.606078704319941, 'n_estimators': 427.7497857137757, 'reg_lambda': 20.073142564090382, 'subsample': 0.5386418397245434}"
56,-0.0044893077574670315,"{'colsample_bytree': 0.8949854467827894, 'learning_rate': 0.01307460365332708, 'max_depth': 3.656091241038964, 'n_estimators': 309.7381851456506, 'reg_lambda': 22.53312612266878, 'subsample': 0.27228028277427535}"
57,-0.0028302494902163744,"{'colsample_bytree': 0.76458155713245, 'learning_rate': 0.033570935683964326, 'max_depth': 4.013813564427304, 'n_estimators': 417.65195370842696, 'reg_lambda': 23.6522285589859, 'subsample': 0.6802474940327605}"
58,-0.002702349564060569,"{'colsample_bytree': 0.9431520304070393, 'learning_rate': 0.017507685350787502, 'max_depth': 3.2965452744716197, 'n_estimators': 455.8919248197275, 'reg_lambda': 16.269363794674742, 'subsample': 0.8192871160855131}"
