,loss_dataset_1,loss_dataset_2,data_size
0,-0.0033496832,-0.003516333,3000
1,-0.0033020787,-0.003334188,4000
2,-0.0033994361,-0.0034199674,5000
3,-0.0033515699,-0.0034601968,6000
4,-0.003359137,-0.0034798877,7000
5,-0.0034405577,-0.0034795068,8000
6,-0.0034158814,-0.0035410242,9000
7,-0.0034118749,-0.003532924,10000
8,-0.0033952997,-0.0035700158,11000
9,-0.0033560407,-0.0035178289,12000
10,-0.0033488164,-0.0035190058,13000
11,-0.003328237,-0.0034946345,14000
12,-0.0033277627,-0.0035204266,15000
13,-0.0033174166,-0.0035220832,16000
14,-0.0033006333,-0.0035579866,17000
15,-0.0033065416,-0.0035688523,18000
16,-0.0033099877,-0.0035851886,19000
17,-0.0032832425,-0.003575271,20000
18,-0.003275737,-0.0035562378,21000
19,-0.003266855,-0.003568257,22000
20,-0.0032516364,-0.003561195,23000
21,-0.0032521896,-0.00354803,24000
22,-0.0032535987,-0.0035321608,25000
23,-0.0032618986,-0.003512195,26000
24,-0.0032615298,-0.0035068474,27000
25,-0.003261442,-0.003495928,28000
26,-0.003256862,-0.003508358,29000
27,-0.0032698875,-0.0034995216,30000
28,-0.0032717437,-0.00350067,31000
29,-0.003267778,-0.003488418,32000
30,-0.0032619191,-0.0034881115,33000
31,-0.0032607594,-0.0034819257,34000
32,-0.0032497987,-0.0035010502,35000
33,-0.0032472983,-0.0035023466,36000
34,-0.0032412624,-0.003505687,37000
35,-0.003238311,-0.0035008872,38000
36,-0.003242933,-0.0034963044,39000
