,loss_dataset_1,loss_dataset_2,data_size
0,-0.0027465718,-0.0030046257,3000
1,-0.0027825085,-0.0030419575,4000
2,-0.0027121315,-0.0029920815,5000
3,-0.0027383016,-0.0028714219,6000
4,-0.0027412425,-0.0028577677,7000
5,-0.0027521264,-0.0028693012,8000
6,-0.0027441562,-0.00291308,9000
7,-0.002764203,-0.0029001888,10000
8,-0.0027821753,-0.0029107016,11000
9,-0.0027974911,-0.0028476426,12000
10,-0.00276787,-0.0028653468,13000
11,-0.0027564291,-0.002836006,14000
12,-0.00276828,-0.0028770175,15000
13,-0.0027719883,-0.0028311154,16000
14,-0.002780042,-0.0029003166,17000
15,-0.0027552068,-0.002902124,18000
16,-0.002749497,-0.0028858567,19000
17,-0.002738121,-0.0029015876,20000
18,-0.0027351074,-0.0028766089,21000
19,-0.0027242063,-0.002858037,22000
20,-0.002725345,-0.0028656113,23000
21,-0.002725495,-0.0028845335,24000
22,-0.0027458537,-0.0028941724,25000
23,-0.0027619116,-0.0028912446,26000
24,-0.0027557304,-0.0028880376,27000
25,-0.0027486356,-0.002906603,28000
26,-0.002752727,-0.0029020791,29000
27,-0.0027509464,-0.002898043,30000
28,-0.0027463327,-0.0028959897,31000
29,-0.0027327118,-0.0028904276,32000
30,-0.0027189965,-0.002875244,33000
31,-0.0027219022,-0.002886531,34000
32,-0.0027220855,-0.0028854131,35000
33,-0.002728046,-0.0029167067,36000
34,-0.0027347205,-0.0029238288,37000
35,-0.00272377,-0.0029217827,38000
36,-0.002724286,-0.002927075,39000
