,target,params
0,-0.00367143490012408,"{'colsample_bytree': 0.6206418681277214, 'learning_rate': 0.04789133164784813, 'max_depth': 8.171488092285982, 'n_estimators': 367.81648038791235, 'reg_lambda': 19.210982208248986, 'subsample': 0.5867380184716869}"
1,-0.003354387926356428,"{'colsample_bytree': 0.7973626584784039, 'learning_rate': 0.09837810316161383, 'max_depth': 4.472506081401784, 'n_estimators': 498.1055850290031, 'reg_lambda': 11.036501349590392, 'subsample': 0.2561177558916417}"
2,-0.003639918238401424,"{'colsample_bytree': 0.6586238954649413, 'learning_rate': 0.07294003654362609, 'max_depth': 3.6065051283372123, 'n_estimators': 421.97100183702935, 'reg_lambda': 14.354045437523908, 'subsample': 0.8597006810852776}"
3,-0.0031154561993960404,"{'colsample_bytree': 0.9605555128667764, 'learning_rate': 0.09534321084788305, 'max_depth': 9.772424945819143, 'n_estimators': 346.7421095875029, 'reg_lambda': 13.463374606153934, 'subsample': 0.843883977388393}"
4,-0.0032314181516540866,"{'colsample_bytree': 0.7192676650159958, 'learning_rate': 0.037017896966671196, 'max_depth': 7.9755950069319335, 'n_estimators': 301.3100468537826, 'reg_lambda': 10.98675269703576, 'subsample': 0.6198214564216669}"
5,-0.0036972391021932605,"{'colsample_bytree': 0.613935938982345, 'learning_rate': 0.06602892873840605, 'max_depth': 9.581542509544455, 'n_estimators': 347.93192279398517, 'reg_lambda': 13.321081558329466, 'subsample': 0.6446673435879531}"
6,-0.003317556902607513,"{'colsample_bytree': 0.8129171559660286, 'learning_rate': 0.0983695420833724, 'max_depth': 7.573176326006672, 'n_estimators': 463.77059550739796, 'reg_lambda': 28.03200874690623, 'subsample': 0.33499767610159137}"
7,-0.003272137518057712,"{'colsample_bytree': 0.7286027960328423, 'learning_rate': 0.08960202456247193, 'max_depth': 8.693042655760465, 'n_estimators': 302.06821240509214, 'reg_lambda': 23.70615152837256, 'subsample': 0.3880157174172831}"
8,-0.003392575026488178,"{'colsample_bytree': 0.8530078096942882, 'learning_rate': 0.03323353563407728, 'max_depth': 8.285103774157431, 'n_estimators': 301.885968787064, 'reg_lambda': 23.45718735507663, 'subsample': 0.8585516685741732}"
9,-0.003242660427013819,"{'colsample_bytree': 0.8473419068298519, 'learning_rate': 0.04172408967484086, 'max_depth': 7.796788130153516, 'n_estimators': 301.65452040023246, 'reg_lambda': 11.412589187913245, 'subsample': 0.8998054929520196}"
