,target,params
0,-0.0025528835479832904,"{'colsample_bytree': 0.7549616833853546, 'learning_rate': 0.0808272648167467, 'max_depth': 4.346651067297233, 'n_estimators': 445.33806876056076, 'reg_lambda': 10.435503202110892, 'subsample': 0.6212553093863551}"
1,-0.002514110864629663,"{'colsample_bytree': 0.77507835838678, 'learning_rate': 0.07944340753418885, 'max_depth': 5.120760357761382, 'n_estimators': 426.7879990645064, 'reg_lambda': 20.525239329108082, 'subsample': 0.42824592711681825}"
2,-0.0033739202247113527,"{'colsample_bytree': 0.6974774112348552, 'learning_rate': 0.011426604731465074, 'max_depth': 7.702257785608733, 'n_estimators': 473.67068601508674, 'reg_lambda': 10.476702380212375, 'subsample': 0.36534669788963553}"
3,-0.002361041585773931,"{'colsample_bytree': 0.9642726042247332, 'learning_rate': 0.09836697240800123, 'max_depth': 6.999312640496399, 'n_estimators': 304.7366425875031, 'reg_lambda': 13.823903576242085, 'subsample': 0.8217678692897838}"
4,-0.002605824922181758,"{'colsample_bytree': 0.7498235110103824, 'learning_rate': 0.05006548050725484, 'max_depth': 7.541098923551679, 'n_estimators': 383.84813530953846, 'reg_lambda': 19.137491643235478, 'subsample': 0.3348178415726246}"
5,-0.002503099346801955,"{'colsample_bytree': 0.7174482124184562, 'learning_rate': 0.0833238669785504, 'max_depth': 5.594506723243947, 'n_estimators': 310.00215682294584, 'reg_lambda': 23.622416918253602, 'subsample': 0.6973709413042453}"
6,-0.002311981824982297,"{'colsample_bytree': 0.962427264256835, 'learning_rate': 0.09524931364310774, 'max_depth': 6.995630090237755, 'n_estimators': 306.07700161093436, 'reg_lambda': 13.682181490167062, 'subsample': 0.7756456988416933}"
7,-0.002620963791608878,"{'colsample_bytree': 0.6671506372971651, 'learning_rate': 0.04894000301660733, 'max_depth': 9.530366065079768, 'n_estimators': 322.4593686416273, 'reg_lambda': 10.236076779363465, 'subsample': 0.3152764287919662}"
8,-0.002432161546764875,"{'colsample_bytree': 0.8300100572792967, 'learning_rate': 0.09732055722663552, 'max_depth': 9.442579047804422, 'n_estimators': 409.13683490760513, 'reg_lambda': 10.001270882824564, 'subsample': 0.8982830047677972}"
9,-0.002359990281692427,"{'colsample_bytree': 0.8185218386805371, 'learning_rate': 0.06444010981371869, 'max_depth': 9.824770115024243, 'n_estimators': 408.7896089483252, 'reg_lambda': 27.779828524851343, 'subsample': 0.4556864997325309}"
10,-0.002393826246276169,"{'colsample_bytree': 0.9421527196579189, 'learning_rate': 0.04778572431782978, 'max_depth': 3.3257350379153974, 'n_estimators': 397.6761294217051, 'reg_lambda': 29.792771876645567, 'subsample': 0.8437421332000039}"
11,-0.0023607116432981215,"{'colsample_bytree': 0.8861001535118669, 'learning_rate': 0.09377983128831886, 'max_depth': 5.251677211291224, 'n_estimators': 352.4987338305523, 'reg_lambda': 29.683668365753476, 'subsample': 0.8630066493732347}"
12,-0.002593959536460914,"{'colsample_bytree': 0.7801280034822816, 'learning_rate': 0.09125375455485413, 'max_depth': 3.6349788305770487, 'n_estimators': 353.6557241794459, 'reg_lambda': 14.72331746912224, 'subsample': 0.2950661241756648}"
13,-0.0024366715956759353,"{'colsample_bytree': 0.8441657630542806, 'learning_rate': 0.0546142297793406, 'max_depth': 5.735202497379657, 'n_estimators': 337.36671997931774, 'reg_lambda': 29.815708983763493, 'subsample': 0.7273890287623728}"
14,-0.003463541591569065,"{'colsample_bytree': 0.6318208236936855, 'learning_rate': 0.025014718236827424, 'max_depth': 7.121097452533499, 'n_estimators': 365.8715006288808, 'reg_lambda': 29.939144048015017, 'subsample': 0.6498569435761923}"
15,-0.0026403341157420685,"{'colsample_bytree': 0.7160522677766922, 'learning_rate': 0.04049738830851155, 'max_depth': 3.073975303787673, 'n_estimators': 405.354250292874, 'reg_lambda': 19.826158652984905, 'subsample': 0.5198149856828982}"
16,-0.0025879155850816672,"{'colsample_bytree': 0.7300899670400364, 'learning_rate': 0.055695826447659025, 'max_depth': 9.700393041613598, 'n_estimators': 346.0589570304909, 'reg_lambda': 25.895788090335557, 'subsample': 0.2924727667862412}"
17,-0.0028072494007941005,"{'colsample_bytree': 0.7418357823370247, 'learning_rate': 0.02945393298152877, 'max_depth': 3.005866264469381, 'n_estimators': 313.09379507093774, 'reg_lambda': 10.795459019600713, 'subsample': 0.9491098834473475}"
18,-0.0028335011976171483,"{'colsample_bytree': 0.6286202507837911, 'learning_rate': 0.04730022079713226, 'max_depth': 9.509917919990542, 'n_estimators': 401.0183956432393, 'reg_lambda': 27.185010149725876, 'subsample': 0.49149577613725515}"
19,-0.002518546481719526,"{'colsample_bytree': 0.7975795696790389, 'learning_rate': 0.04682449120513099, 'max_depth': 8.810314248956363, 'n_estimators': 306.9082993100312, 'reg_lambda': 17.8786068827252, 'subsample': 0.3603110387717361}"
20,-0.002356600463689971,"{'colsample_bytree': 0.8886929563598107, 'learning_rate': 0.08725423592988338, 'max_depth': 8.829600925999191, 'n_estimators': 413.84505384148383, 'reg_lambda': 26.350235313444806, 'subsample': 0.7403450790704202}"
