,target,params
0,-0.00319347747652756,"{'colsample_bytree': 0.6751980366160077, 'learning_rate': 0.0980115745126082, 'max_depth': 6.161440632021437, 'n_estimators': 376.94395654281254, 'reg_lambda': 16.149884819966807, 'subsample': 0.20919664003716304}"
1,-0.0030449315298142427,"{'colsample_bytree': 0.7338253396102804, 'learning_rate': 0.07044981620024522, 'max_depth': 8.328692519213213, 'n_estimators': 473.7735427736084, 'reg_lambda': 11.659609963576742, 'subsample': 0.7068827184228608}"
2,-0.0030240622127638036,"{'colsample_bytree': 0.7906152258067549, 'learning_rate': 0.04348467930785697, 'max_depth': 3.966178501483092, 'n_estimators': 492.1443488491983, 'reg_lambda': 10.044275080816739, 'subsample': 0.5263977407352893}"
3,-0.003675508179972518,"{'colsample_bytree': 0.6039611494059237, 'learning_rate': 0.025003382199762527, 'max_depth': 9.404202733081027, 'n_estimators': 487.78596763083306, 'reg_lambda': 19.841134643660183, 'subsample': 0.2790506372056655}"
4,-0.002774829651156354,"{'colsample_bytree': 0.9680815977424053, 'learning_rate': 0.09616349131500133, 'max_depth': 7.596063188729172, 'n_estimators': 414.2162029286076, 'reg_lambda': 15.416609043811999, 'subsample': 0.7345459352571522}"
5,-0.003619754336842851,"{'colsample_bytree': 0.7823328100215394, 'learning_rate': 0.014227074133259306, 'max_depth': 5.333231749197619, 'n_estimators': 392.07865447344795, 'reg_lambda': 19.023380135213927, 'subsample': 0.2653181098098683}"
6,-0.00332700638804013,"{'colsample_bytree': 0.6224612974555535, 'learning_rate': 0.07430094588007148, 'max_depth': 6.621725246414997, 'n_estimators': 436.4493651421651, 'reg_lambda': 13.016340880376209, 'subsample': 0.4856919018111756}"
7,-0.0030542108161023132,"{'colsample_bytree': 0.8435466152760956, 'learning_rate': 0.023406417456025206, 'max_depth': 7.4727617972694995, 'n_estimators': 414.1861330388904, 'reg_lambda': 15.181564555249452, 'subsample': 0.3284239772595845}"
8,-0.003379170430799252,"{'colsample_bytree': 0.6318148818373427, 'learning_rate': 0.03916890014120199, 'max_depth': 6.888199608407584, 'n_estimators': 414.5836397509937, 'reg_lambda': 14.826156289470646, 'subsample': 0.78897245846696}"
9,-0.0029386112097856453,"{'colsample_bytree': 0.762094928267912, 'learning_rate': 0.06898813141357887, 'max_depth': 7.733784885324634, 'n_estimators': 473.5605770983259, 'reg_lambda': 12.007623210931389, 'subsample': 0.3319249420572056}"
10,-0.003093792591506413,"{'colsample_bytree': 0.8517229600211029, 'learning_rate': 0.037716432891991065, 'max_depth': 8.02796079736887, 'n_estimators': 414.54359455542897, 'reg_lambda': 16.092435969517904, 'subsample': 0.9314774057538171}"
11,-0.0030116873109704524,"{'colsample_bytree': 0.8410178043213751, 'learning_rate': 0.02969992867163753, 'max_depth': 7.267278357570163, 'n_estimators': 413.19181696595837, 'reg_lambda': 15.137718734118824, 'subsample': 0.9005770021627153}"
12,-0.003297190036128556,"{'colsample_bytree': 0.6950024785844042, 'learning_rate': 0.06359145569965516, 'max_depth': 7.962384639927523, 'n_estimators': 473.0220403036009, 'reg_lambda': 12.457754267350724, 'subsample': 0.35641880531690334}"
13,-0.0030227975377442665,"{'colsample_bytree': 0.774577361020326, 'learning_rate': 0.08740750921061625, 'max_depth': 7.006237253495276, 'n_estimators': 386.0673812263502, 'reg_lambda': 27.84698172718048, 'subsample': 0.3421223830238176}"
14,-0.0030171497784075105,"{'colsample_bytree': 0.7714478856716869, 'learning_rate': 0.0722597091620577, 'max_depth': 3.5689475596555362, 'n_estimators': 309.0365568470867, 'reg_lambda': 18.06527673819384, 'subsample': 0.6979875899234858}"
15,-0.0030669719067165976,"{'colsample_bytree': 0.7918695676908027, 'learning_rate': 0.08412266162849076, 'max_depth': 8.344291136182617, 'n_estimators': 301.5901956304975, 'reg_lambda': 15.705547258878038, 'subsample': 0.2708201554696357}"
16,-0.002833064850867476,"{'colsample_bytree': 0.9419700203523879, 'learning_rate': 0.09495924227570664, 'max_depth': 7.741011554819461, 'n_estimators': 394.8752110504106, 'reg_lambda': 10.281693312883032, 'subsample': 0.3258254056742662}"
17,-0.002931993587621418,"{'colsample_bytree': 0.8624158908362838, 'learning_rate': 0.07490195417197225, 'max_depth': 5.7272137498464435, 'n_estimators': 483.6370924186038, 'reg_lambda': 12.050758241029104, 'subsample': 0.9066746695345209}"
18,-0.0028925234000983144,"{'colsample_bytree': 0.9600600953555417, 'learning_rate': 0.06177732381805137, 'max_depth': 7.762420084171076, 'n_estimators': 394.90116578991535, 'reg_lambda': 10.761874382308745, 'subsample': 0.8616119595895371}"
19,-0.0030620128196990645,"{'colsample_bytree': 0.8438356886008291, 'learning_rate': 0.021916970316616526, 'max_depth': 6.569956265512534, 'n_estimators': 405.20758421248775, 'reg_lambda': 10.927743593608877, 'subsample': 0.8075291420877677}"
20,-0.002979810983625941,"{'colsample_bytree': 0.7849264530550497, 'learning_rate': 0.07881276457863157, 'max_depth': 7.335284722773759, 'n_estimators': 394.4379912634824, 'reg_lambda': 10.953237313650119, 'subsample': 0.7284753183544912}"
21,-0.0029453180390331753,"{'colsample_bytree': 0.7342535558970589, 'learning_rate': 0.07941459403777786, 'max_depth': 8.294993180635155, 'n_estimators': 395.1980985851125, 'reg_lambda': 10.500645993757692, 'subsample': 0.8394882692636312}"
22,-0.003489838991581555,"{'colsample_bytree': 0.6960052216177031, 'learning_rate': 0.04177369031734858, 'max_depth': 4.78711917372032, 'n_estimators': 335.6682463025339, 'reg_lambda': 25.431341301281073, 'subsample': 0.9306872303421452}"
23,-0.004073075197737799,"{'colsample_bytree': 0.7508736565389129, 'learning_rate': 0.014176963805377796, 'max_depth': 3.4953180987624197, 'n_estimators': 309.1902134584417, 'reg_lambda': 17.774592974092148, 'subsample': 0.8872736734967812}"
24,-0.002935085653760524,"{'colsample_bytree': 0.811256742888848, 'learning_rate': 0.05450291405225854, 'max_depth': 7.924348787941144, 'n_estimators': 366.637058787841, 'reg_lambda': 27.153808165307037, 'subsample': 0.686054594128584}"
25,-0.0033092468112200556,"{'colsample_bytree': 0.6899888936123378, 'learning_rate': 0.08113006729618483, 'max_depth': 5.754780932407946, 'n_estimators': 459.64074483279455, 'reg_lambda': 14.149515456037484, 'subsample': 0.7342568984701596}"
26,-0.0028697240643992695,"{'colsample_bytree': 0.9242328775803093, 'learning_rate': 0.028536123524083037, 'max_depth': 4.051233103446034, 'n_estimators': 413.256901380371, 'reg_lambda': 22.08754770179673, 'subsample': 0.21914367347469155}"
27,-0.0028087465354766535,"{'colsample_bytree': 0.9121850499207271, 'learning_rate': 0.03342295193636797, 'max_depth': 4.516177725055604, 'n_estimators': 377.0720553868125, 'reg_lambda': 13.958211555323874, 'subsample': 0.7975916581667364}"
28,-0.002866250470786021,"{'colsample_bytree': 0.9709416914666109, 'learning_rate': 0.030666645029769395, 'max_depth': 6.926740756701839, 'n_estimators': 377.8716347683051, 'reg_lambda': 20.734467050225614, 'subsample': 0.5366166677252662}"
29,-0.0030265142495432443,"{'colsample_bytree': 0.8661452794745389, 'learning_rate': 0.05851276289178167, 'max_depth': 4.288545423235016, 'n_estimators': 392.23542031421005, 'reg_lambda': 19.138281954129205, 'subsample': 0.3041001722292849}"
30,-0.002848153715527401,"{'colsample_bytree': 0.9839414298355602, 'learning_rate': 0.02840970202670151, 'max_depth': 4.595845694715778, 'n_estimators': 468.7538585437573, 'reg_lambda': 23.070145460581365, 'subsample': 0.41823653978756375}"
31,-0.0030427709726870756,"{'colsample_bytree': 0.7909259575247237, 'learning_rate': 0.08963375280435229, 'max_depth': 9.923922258628677, 'n_estimators': 375.1703468162981, 'reg_lambda': 27.8748111963219, 'subsample': 0.2950997533915989}"
32,-0.003091435401590625,"{'colsample_bytree': 0.9881129294854519, 'learning_rate': 0.015309332761414052, 'max_depth': 4.212353395331051, 'n_estimators': 332.3296696236256, 'reg_lambda': 16.761665711242387, 'subsample': 0.8658239419530922}"
33,-0.002803965431770548,"{'colsample_bytree': 0.9609195023105165, 'learning_rate': 0.07694298972523328, 'max_depth': 6.756438815273195, 'n_estimators': 344.07953705628313, 'reg_lambda': 21.55213530578625, 'subsample': 0.8914891370171651}"
34,-0.002863893514419299,"{'colsample_bytree': 0.9372017865235371, 'learning_rate': 0.07620841799437142, 'max_depth': 6.791966483519278, 'n_estimators': 359.76149842562893, 'reg_lambda': 21.901994617730022, 'subsample': 0.4987973231958301}"
35,-0.003286588167959373,"{'colsample_bytree': 0.6385726618413949, 'learning_rate': 0.08559004172598417, 'max_depth': 3.5052811448207466, 'n_estimators': 433.4349985390125, 'reg_lambda': 22.298058151669668, 'subsample': 0.4081378975919891}"
36,-0.003434039493139188,"{'colsample_bytree': 0.6624981786795862, 'learning_rate': 0.052148671225406514, 'max_depth': 5.921011801861299, 'n_estimators': 303.5721335950027, 'reg_lambda': 22.228537410868807, 'subsample': 0.5909663585407727}"
37,-0.003001236361037017,"{'colsample_bytree': 0.712579421498496, 'learning_rate': 0.04891632152929849, 'max_depth': 3.8543705342432846, 'n_estimators': 400.42346445525004, 'reg_lambda': 10.263458579961382, 'subsample': 0.41461041033371154}"
38,-0.0029575317997854434,"{'colsample_bytree': 0.7291646838124863, 'learning_rate': 0.06853110981299705, 'max_depth': 5.1620550454000655, 'n_estimators': 331.0245976447356, 'reg_lambda': 20.982977146721105, 'subsample': 0.7940014992148141}"
39,-0.0030470115930284116,"{'colsample_bytree': 0.7566104928665769, 'learning_rate': 0.039762046262980445, 'max_depth': 6.817176008122072, 'n_estimators': 311.9916001704559, 'reg_lambda': 14.772039847980645, 'subsample': 0.8362050986550085}"
40,-0.003041104185421508,"{'colsample_bytree': 0.8860531663544154, 'learning_rate': 0.07845622894068809, 'max_depth': 7.482170204406975, 'n_estimators': 406.6434424866939, 'reg_lambda': 12.727925847645885, 'subsample': 0.2861189321360386}"
41,-0.004159930259819031,"{'colsample_bytree': 0.628984450886015, 'learning_rate': 0.01857100121360908, 'max_depth': 4.958584697537109, 'n_estimators': 437.96531964528515, 'reg_lambda': 21.354779531769097, 'subsample': 0.3983700357589217}"
42,-0.0028033552970881063,"{'colsample_bytree': 0.9448234722882974, 'learning_rate': 0.09385049633150885, 'max_depth': 6.687899284997061, 'n_estimators': 344.10404373404083, 'reg_lambda': 21.541662842786927, 'subsample': 0.5032424200032957}"
43,-0.00310164057048164,"{'colsample_bytree': 0.8424305611862168, 'learning_rate': 0.0408217586842394, 'max_depth': 9.598162184926984, 'n_estimators': 322.22321316349473, 'reg_lambda': 28.368292162903078, 'subsample': 0.8327451971137034}"
44,-0.0028041809754285655,"{'colsample_bytree': 0.9265948799494101, 'learning_rate': 0.08225896433289391, 'max_depth': 3.721437253265832, 'n_estimators': 401.4264792211727, 'reg_lambda': 20.42126371020683, 'subsample': 0.5996068688364968}"
45,-0.0032074142561664427,"{'colsample_bytree': 0.722734369194848, 'learning_rate': 0.03154526964332437, 'max_depth': 9.123798746853542, 'n_estimators': 368.9220220210587, 'reg_lambda': 28.280999863248745, 'subsample': 0.5166753423954669}"
46,-0.00294143902613827,"{'colsample_bytree': 0.7166589802413417, 'learning_rate': 0.09913529158006648, 'max_depth': 5.071444314755015, 'n_estimators': 487.69428721729435, 'reg_lambda': 20.949284667236803, 'subsample': 0.4699474918726826}"
47,-0.002962045442403807,"{'colsample_bytree': 0.9087400322689452, 'learning_rate': 0.023060248550553317, 'max_depth': 3.4648596676662002, 'n_estimators': 409.0221353099843, 'reg_lambda': 28.863497785811365, 'subsample': 0.6774048078753339}"
48,-0.002878660118291151,"{'colsample_bytree': 0.9895306595728239, 'learning_rate': 0.034957838688672214, 'max_depth': 8.919052072910455, 'n_estimators': 337.7696166532082, 'reg_lambda': 21.022152892975136, 'subsample': 0.6086236212287581}"
49,-0.0028866179045614216,"{'colsample_bytree': 0.9656311219951066, 'learning_rate': 0.03624912834537867, 'max_depth': 8.54637024228567, 'n_estimators': 337.88806765415677, 'reg_lambda': 21.103172020534686, 'subsample': 0.3170433612170501}"
50,-0.003227031515717492,"{'colsample_bytree': 0.6493930541574917, 'learning_rate': 0.08703950563850194, 'max_depth': 4.3463781514663875, 'n_estimators': 410.7213144410695, 'reg_lambda': 19.13713396932784, 'subsample': 0.7699842867104705}"
51,-0.00289318773722935,"{'colsample_bytree': 0.9750133266687518, 'learning_rate': 0.04775632955221539, 'max_depth': 8.014947992247269, 'n_estimators': 377.1211533336647, 'reg_lambda': 13.358243847100802, 'subsample': 0.35993626092941816}"
52,-0.0034098870816344244,"{'colsample_bytree': 0.6294321532777968, 'learning_rate': 0.05719542412629992, 'max_depth': 8.893351964414034, 'n_estimators': 316.13204668724404, 'reg_lambda': 10.101953818707885, 'subsample': 0.6483595273018328}"
53,-0.0030343782074011335,"{'colsample_bytree': 0.7529027028731778, 'learning_rate': 0.05353466443815652, 'max_depth': 3.101608370730858, 'n_estimators': 302.3558653837803, 'reg_lambda': 14.54648049577969, 'subsample': 0.49459651767228563}"
54,-0.003202037111073496,"{'colsample_bytree': 0.7280165849996756, 'learning_rate': 0.026832923392123544, 'max_depth': 8.150831850617937, 'n_estimators': 366.72321951378785, 'reg_lambda': 27.105563112028044, 'subsample': 0.7397727971813994}"
55,-0.002953246699546967,"{'colsample_bytree': 0.878900840590334, 'learning_rate': 0.081359300905068, 'max_depth': 6.969293278848944, 'n_estimators': 324.34963645155364, 'reg_lambda': 22.860745761748923, 'subsample': 0.8892907393447325}"
56,-0.003024680860317066,"{'colsample_bytree': 0.7228945043502482, 'learning_rate': 0.07230790662685148, 'max_depth': 4.016918125006398, 'n_estimators': 344.9629221919549, 'reg_lambda': 21.50587205728693, 'subsample': 0.932755714323996}"
57,-0.006309995930850122,"{'colsample_bytree': 0.6663335004168575, 'learning_rate': 0.013187059991095337, 'max_depth': 5.332214367058604, 'n_estimators': 327.5941109702499, 'reg_lambda': 18.368723771673437, 'subsample': 0.9732366372227339}"
58,-0.003426532374217672,"{'colsample_bytree': 0.6029766518906395, 'learning_rate': 0.040162362821824435, 'max_depth': 9.532684848792009, 'n_estimators': 415.962612327865, 'reg_lambda': 28.37971437414476, 'subsample': 0.6856360642651702}"
59,-0.002904625481124039,"{'colsample_bytree': 0.9266309976619473, 'learning_rate': 0.07032641404608768, 'max_depth': 6.410054036513236, 'n_estimators': 455.8523743824345, 'reg_lambda': 28.071088133352365, 'subsample': 0.9372796753547783}"
60,-0.0030132023943767947,"{'colsample_bytree': 0.7909020872510036, 'learning_rate': 0.07360292694779842, 'max_depth': 6.4283181995620975, 'n_estimators': 349.7946965906819, 'reg_lambda': 10.563907759302491, 'subsample': 0.7907459585394256}"
61,-0.002807162312177688,"{'colsample_bytree': 0.9474006973591358, 'learning_rate': 0.09179678899540519, 'max_depth': 3.3559872710252057, 'n_estimators': 407.01361935002564, 'reg_lambda': 28.34736486918842, 'subsample': 0.48887707008454007}"
62,-0.003090102656586698,"{'colsample_bytree': 0.7642203631598855, 'learning_rate': 0.032424952091462976, 'max_depth': 6.68614057976815, 'n_estimators': 344.2479778710302, 'reg_lambda': 21.765990669746575, 'subsample': 0.7445411018375507}"
63,-0.003012810458512926,"{'colsample_bytree': 0.8541272689570426, 'learning_rate': 0.07474423982490859, 'max_depth': 7.9749509517729855, 'n_estimators': 310.11987316255465, 'reg_lambda': 26.475645331723282, 'subsample': 0.32509378301348535}"
