,target,params
0,-0.14753157831728458,"{'Nodes_per_layer': 732.4742356490974, 'deepth': 4.86703115051985}"
1,-0.1456460878252983,"{'Nodes_per_layer': 491.18385685683415, 'deepth': 3.768720043254265}"
2,-0.14528381824493408,"{'Nodes_per_layer': 325.6656708390028, 'deepth': 3.78696370899299}"
3,-0.14499026164412498,"{'Nodes_per_layer': 200.18318490569249, 'deepth': 3.476799456249857}"
4,-0.1475313901901245,"{'Nodes_per_layer': 915.5337579325607, 'deepth': 3.838668432263021}"
5,-0.1450922880321741,"{'Nodes_per_layer': 100.10675240844435, 'deepth': 3.3758976815945716}"
6,-0.14521201327443123,"{'Nodes_per_layer': 157.14303596437603, 'deepth': 4.916757212384022}"
7,-0.14527764916419983,"{'Nodes_per_layer': 257.06856993820224, 'deepth': 2.0179222204701004}"
8,-0.14522762410342693,"{'Nodes_per_layer': 406.6354145426985, 'deepth': 2.1836124608091025}"
9,-0.14534475840628147,"{'Nodes_per_layer': 584.2782007506154, 'deepth': 2.0203044234669743}"
10,-0.145315645262599,"{'Nodes_per_layer': 369.17251416143915, 'deepth': 4.982228490365743}"
11,-0.14526664465665817,"{'Nodes_per_layer': 198.80808640144352, 'deepth': 4.030780012837816}"
12,-0.14543413557112217,"{'Nodes_per_layer': 208.0279066456942, 'deepth': 2.158275775582413}"
13,-0.14518382027745247,"{'Nodes_per_layer': 109.00287968927255, 'deepth': 2.9905097623556713}"
14,-0.14505495503544807,"{'Nodes_per_layer': 146.696102048367, 'deepth': 3.214023583973329}"
15,-0.1450943946838379,"{'Nodes_per_layer': 136.64579805915423, 'deepth': 4.680623697243709}"
16,-0.14483495615422726,"{'Nodes_per_layer': 124.75357402597355, 'deepth': 3.736494260596936}"
17,-0.14513107389211655,"{'Nodes_per_layer': 117.86459832994942, 'deepth': 2.0}"
18,-0.14545656368136406,"{'Nodes_per_layer': 391.94793182851737, 'deepth': 3.168234349670212}"
19,-0.14552017860114574,"{'Nodes_per_layer': 420.3874807924221, 'deepth': 4.913389814774023}"
20,-0.14530668035149574,"{'Nodes_per_layer': 271.2547394271817, 'deepth': 4.580007683603432}"
21,-0.14553431048989296,"{'Nodes_per_layer': 340.1799884622493, 'deepth': 3.6600088679792777}"
22,-0.14519174583256245,"{'Nodes_per_layer': 311.8118284104178, 'deepth': 2.895220965128504}"
23,-0.14531821385025978,"{'Nodes_per_layer': 299.37636132786173, 'deepth': 3.098706576848775}"
24,-0.1452141609042883,"{'Nodes_per_layer': 170.21979371730498, 'deepth': 2.348578165675852}"
25,-0.14505309611558914,"{'Nodes_per_layer': 243.78445824599305, 'deepth': 4.666396011605272}"
