,target,params
0,-0.11401263065636158,"{'Nodes_per_layer': 354.98261566974946, 'deepth': 4.598268269302377}"
1,-0.11596113909035921,"{'Nodes_per_layer': 288.39464878627496, 'deepth': 4.013806003953547}"
2,-0.12091722432523966,"{'Nodes_per_layer': 902.4210596025645, 'deepth': 4.568933237885361}"
3,-0.11494590155780315,"{'Nodes_per_layer': 862.2188775182606, 'deepth': 5.493252344830417}"
4,-0.12220741156488657,"{'Nodes_per_layer': 101.88226170459303, 'deepth': 2.4588447214912605}"
5,-0.11394880525767803,"{'Nodes_per_layer': 355.6077348319051, 'deepth': 3.456879504395758}"
6,-0.12290240917354822,"{'Nodes_per_layer': 817.9575789790902, 'deepth': 5.489761964409574}"
7,-0.11210999125614762,"{'Nodes_per_layer': 382.6868834529726, 'deepth': 5.927899103899447}"
8,-0.11718213744461536,"{'Nodes_per_layer': 414.8526975390887, 'deepth': 2.417014767653218}"
9,-0.11291693337261677,"{'Nodes_per_layer': 237.31235300810084, 'deepth': 4.517086164105116}"
10,-0.11453742254525423,"{'Nodes_per_layer': 205.94680810498875, 'deepth': 2.3745737044454263}"
11,-0.11928370594978333,"{'Nodes_per_layer': 609.4426081850229, 'deepth': 5.442688305612757}"
12,-0.118695636279881,"{'Nodes_per_layer': 509.95214802633143, 'deepth': 5.525699724729248}"
13,-0.11486315354704857,"{'Nodes_per_layer': 999.9721540657521, 'deepth': 5.390320199616507}"
14,-0.3841474875807762,"{'Nodes_per_layer': 707.2462688677948, 'deepth': 2.30276990064809}"
15,-0.11735137365758419,"{'Nodes_per_layer': 564.9620365934721, 'deepth': 2.0745080895063466}"
16,-0.1139643918722868,"{'Nodes_per_layer': 151.23643216720492, 'deepth': 6.0}"
17,-0.1296973405405879,"{'Nodes_per_layer': 955.1658007263676, 'deepth': 2.0147451526261273}"
18,-0.11366149038076401,"{'Nodes_per_layer': 464.64194406400793, 'deepth': 5.986332482977868}"
19,-0.11562650185078382,"{'Nodes_per_layer': 320.4546047671791, 'deepth': 2.0}"
20,-0.11435735179111362,"{'Nodes_per_layer': 588.1233624999098, 'deepth': 6.0}"
21,-0.11179974395781755,"{'Nodes_per_layer': 177.53271680966216, 'deepth': 5.846432112006198}"
22,-0.1285667745396495,"{'Nodes_per_layer': 839.6335283567081, 'deepth': 2.0}"
23,-0.11453259829431772,"{'Nodes_per_layer': 262.42833870214474, 'deepth': 2.2679117350169644}"
24,-0.12947237119078636,"{'Nodes_per_layer': 485.20279929013964, 'deepth': 2.1388250175876196}"
25,-0.11442932020872831,"{'Nodes_per_layer': 538.7487871860349, 'deepth': 5.8069190971641405}"
26,-0.11290507670491934,"{'Nodes_per_layer': 441.0705938426184, 'deepth': 6.0}"
27,-0.11295865755528212,"{'Nodes_per_layer': 127.13195200626063, 'deepth': 2.0}"
28,-0.12673919089138508,"{'Nodes_per_layer': 880.4764469273988, 'deepth': 2.0}"
29,-0.11388968955725431,"{'Nodes_per_layer': 926.6891315538587, 'deepth': 5.952604783076866}"
30,-0.12058894149959087,"{'Nodes_per_layer': 164.2633874267902, 'deepth': 2.001054330892295}"
31,-0.1125315809622407,"{'Nodes_per_layer': 120.25736528100605, 'deepth': 6.0}"
32,-0.3044181726872921,"{'Nodes_per_layer': 452.14448837150184, 'deepth': 2.009898043182222}"
33,-0.11278265994042158,"{'Nodes_per_layer': 431.4752530631682, 'deepth': 5.821284118323158}"
34,-0.11237786244601011,"{'Nodes_per_layer': 249.72970648362337, 'deepth': 4.195574869444457}"
35,-0.11252956930547953,"{'Nodes_per_layer': 370.0427310509631, 'deepth': 5.921022988685246}"
36,-0.11215629894286394,"{'Nodes_per_layer': 190.81711919820515, 'deepth': 4.6404889597215435}"
37,-0.11146006546914577,"{'Nodes_per_layer': 139.22866464056457, 'deepth': 5.949379153877423}"
38,-0.1167376721277833,"{'Nodes_per_layer': 551.734150591261, 'deepth': 6.0}"
39,-0.11359075829386711,"{'Nodes_per_layer': 222.19564307559813, 'deepth': 3.574293462104708}"
40,-0.11217096541076899,"{'Nodes_per_layer': 275.34522464754923, 'deepth': 5.8264224450968385}"
41,-0.11195829696953297,"{'Nodes_per_layer': 397.197085699692, 'deepth': 3.7134213276578847}"
42,-0.1250919308513403,"{'Nodes_per_layer': 525.1036632863803, 'deepth': 2.6060314821766926}"
43,-0.12050037272274494,"{'Nodes_per_layer': 305.41813372469403, 'deepth': 3.229716311031997}"
44,-0.15279880724847317,"{'Nodes_per_layer': 338.9138774651806, 'deepth': 2.2360901051824316}"
45,-0.1124639194458723,"{'Nodes_per_layer': 473.8914397637833, 'deepth': 5.997924059300765}"
46,-0.123553816229105,"{'Nodes_per_layer': 985.5112989172646, 'deepth': 3.5987465761873363}"
47,-0.12083988543599844,"{'Nodes_per_layer': 625.7708424733063, 'deepth': 3.5482706771019825}"
48,-0.1275583067908883,"{'Nodes_per_layer': 938.8046237897069, 'deepth': 2.0}"
49,-0.12979862373322248,"{'Nodes_per_layer': 643.2050216975585, 'deepth': 2.6489988877063793}"
# cuda
