,target,params
0,-0.13523988332599401,"{'Nodes_per_layer': 179.62019892844694, 'deepth': 5.545781245898899}"
1,-0.1385968141257763,"{'Nodes_per_layer': 915.5378282009243, 'deepth': 4.92816140812255}"
2,-0.13656713999807835,"{'Nodes_per_layer': 160.3598318947784, 'deepth': 3.9529463593239087}"
3,-0.1351570226252079,"{'Nodes_per_layer': 207.4636116657601, 'deepth': 4.894162560534641}"
4,-0.1357703311368823,"{'Nodes_per_layer': 837.7009758273334, 'deepth': 5.062914099012348}"
5,-0.13884796760976315,"{'Nodes_per_layer': 254.04928812755193, 'deepth': 5.950366669120857}"
6,-0.14375410787761211,"{'Nodes_per_layer': 797.2665972069341, 'deepth': 5.573596191163529}"
7,-0.14389916881918907,"{'Nodes_per_layer': 864.5812416525151, 'deepth': 3.0111632005101963}"
8,-0.13651948794722557,"{'Nodes_per_layer': 208.11959032003864, 'deepth': 3.7491802330462836}"
9,-0.1353769674897194,"{'Nodes_per_layer': 203.1749455910787, 'deepth': 5.427935293793862}"
10,-0.13546213693916798,"{'Nodes_per_layer': 172.2656940605814, 'deepth': 5.253101413837941}"
11,-0.1361210811883211,"{'Nodes_per_layer': 188.09387914253284, 'deepth': 4.615419236628668}"
12,-0.1369104478508234,"{'Nodes_per_layer': 828.576532541884, 'deepth': 4.633516720786131}"
13,-0.18001853860914707,"{'Nodes_per_layer': 845.7978615836519, 'deepth': 2.2299780388259194}"
14,-0.1374488528817892,"{'Nodes_per_layer': 150.28137758173705, 'deepth': 2.983712657247613}"
15,-0.13531631417572498,"{'Nodes_per_layer': 139.17947592839187, 'deepth': 4.517995451485429}"
16,-0.13553198985755444,"{'Nodes_per_layer': 130.50707811737368, 'deepth': 2.217121028985854}"
17,-0.13602946139872074,"{'Nodes_per_layer': 120.8938972358431, 'deepth': 4.71591375365699}"
18,-0.13580635655671358,"{'Nodes_per_layer': 110.88968921063436, 'deepth': 2.9632540151643036}"
19,-0.13529901765286922,"{'Nodes_per_layer': 101.70659869746926, 'deepth': 6.0}"
20,-0.13575945794582367,"{'Nodes_per_layer': 221.94566360612887, 'deepth': 5.78669925936309}"
21,-0.13790548779070377,"{'Nodes_per_layer': 231.3348404410991, 'deepth': 5.268119407383861}"
22,-0.13760975375771523,"{'Nodes_per_layer': 817.0347475431051, 'deepth': 3.3558705618604843}"
23,-0.14276771992444992,"{'Nodes_per_layer': 930.9753216111044, 'deepth': 2.7738896460172318}"
24,-0.13573933579027653,"{'Nodes_per_layer': 196.14601496058984, 'deepth': 2.22051358945162}"
25,-0.13737586326897144,"{'Nodes_per_layer': 900.4489767324285, 'deepth': 4.621170699599476}"
26,-0.1403079554438591,"{'Nodes_per_layer': 889.3563064998885, 'deepth': 5.4469121342841404}"
27,-0.13531573303043842,"{'Nodes_per_layer': 272.58207001987, 'deepth': 5.879851872979775}"
28,-0.13630646094679832,"{'Nodes_per_layer': 280.54129801339536, 'deepth': 3.21829454374442}"
29,-0.13753066956996918,"{'Nodes_per_layer': 265.30219126758647, 'deepth': 2.1209354280647013}"
30,-0.13596233166754246,"{'Nodes_per_layer': 290.088569122792, 'deepth': 5.691189816814157}"
31,-0.13976909779012203,"{'Nodes_per_layer': 298.63033904709994, 'deepth': 2.2785263760600603}"
32,-0.13836579397320747,"{'Nodes_per_layer': 557.4764369570653, 'deepth': 3.5779615394170285}"
33,-0.14687781035900116,"{'Nodes_per_layer': 542.58076235043, 'deepth': 2.9311750602668005}"
34,-0.13662470690906048,"{'Nodes_per_layer': 570.5192877084871, 'deepth': 3.836653486326046}"
35,-0.18147078715264797,"{'Nodes_per_layer': 579.7369506742668, 'deepth': 2.9963664190426047}"
36,-0.13575059454888105,"{'Nodes_per_layer': 564.6438096115985, 'deepth': 5.259397183502525}"
37,-0.13654085248708725,"{'Nodes_per_layer': 242.48107320598893, 'deepth': 2.302529158760951}"
38,-0.13715608324855566,"{'Nodes_per_layer': 395.0667843752311, 'deepth': 3.1891731103617573}"
39,-0.15233267843723297,"{'Nodes_per_layer': 405.4818024615491, 'deepth': 2.7091199574124563}"
40,-0.13621963746845722,"{'Nodes_per_layer': 385.4961838906328, 'deepth': 3.138712510462517}"
41,-0.1360138999298215,"{'Nodes_per_layer': 376.1726889605523, 'deepth': 4.179075110381566}"
42,-0.138028921559453,"{'Nodes_per_layer': 366.92508186836454, 'deepth': 2.4053009407249974}"
43,-0.13552074506878853,"{'Nodes_per_layer': 355.41765524899256, 'deepth': 5.635599435573852}"
44,-0.13661242462694645,"{'Nodes_per_layer': 346.97157793446013, 'deepth': 3.754346087283797}"
45,-0.13843161426484585,"{'Nodes_per_layer': 336.8446162473846, 'deepth': 2.7068136020228843}"
46,-0.1349059073254466,"{'Nodes_per_layer': 324.1367735603812, 'deepth': 5.682171798929685}"
47,-0.15973243862390518,"{'Nodes_per_layer': 316.32712655374485, 'deepth': 2.774492453634418}"
48,-0.13597181998193264,"{'Nodes_per_layer': 329.7390872272355, 'deepth': 5.881883327602724}"
49,-0.13943681307137012,"{'Nodes_per_layer': 708.2542464716241, 'deepth': 5.895906257954694}"
# cuda
