,target,params
0,-0.06930458452552557,"{'Nodes_per_layer': 607.7819110906553, 'deepth': 2.2870843417788027}"
1,-0.10215313546359539,"{'Nodes_per_layer': 134.67472845207232, 'deepth': 3.7626047110191125}"
2,-0.06551014073193073,"{'Nodes_per_layer': 539.2888600853471, 'deepth': 5.741545921696376}"
3,-0.06549069890752435,"{'Nodes_per_layer': 214.76581512663915, 'deepth': 3.494653899866921}"
4,-0.07163726072758436,"{'Nodes_per_layer': 928.3476547120353, 'deepth': 2.24411543681168}"
5,-0.0661948537454009,"{'Nodes_per_layer': 216.19309675270796, 'deepth': 2.8421927882870652}"
6,-0.07604750990867615,"{'Nodes_per_layer': 494.48378785321717, 'deepth': 2.007572501302866}"
7,-0.07683049328625202,"{'Nodes_per_layer': 570.5806094855334, 'deepth': 2.1026968359930778}"
8,-0.0722417663782835,"{'Nodes_per_layer': 648.4542821561655, 'deepth': 2.644929456638306}"
9,-0.06665362324565649,"{'Nodes_per_layer': 876.4390070820573, 'deepth': 3.9961050164401715}"
10,-0.06549822445958853,"{'Nodes_per_layer': 840.9171624977977, 'deepth': 5.08212400019899}"
11,-0.0826406916603446,"{'Nodes_per_layer': 803.3998828006277, 'deepth': 2.611295612776484}"
12,-0.06631543720141053,"{'Nodes_per_layer': 189.68895373604346, 'deepth': 2.0367480045632926}"
13,-0.06661199126392603,"{'Nodes_per_layer': 997.2752584074924, 'deepth': 5.9019936106990905}"
14,-0.06551941065117717,"{'Nodes_per_layer': 353.2410055063927, 'deepth': 5.991422263872289}"
15,-0.06671643862500787,"{'Nodes_per_layer': 318.320821174878, 'deepth': 5.98895335931425}"
16,-0.07773269433528185,"{'Nodes_per_layer': 391.0520279855906, 'deepth': 2.097536202761713}"
17,-0.0685472646728158,"{'Nodes_per_layer': 280.4113704280095, 'deepth': 5.998559417292018}"
18,-0.09693448152393103,"{'Nodes_per_layer': 967.5883794020344, 'deepth': 2.0}"
19,-0.0729895243421197,"{'Nodes_per_layer': 858.2726525579808, 'deepth': 2.1403909813950635}"
20,-0.06772882770746946,"{'Nodes_per_layer': 336.3290056144517, 'deepth': 2.0}"
21,-0.06628707144409418,"{'Nodes_per_layer': 898.8002481616184, 'deepth': 5.964238670719714}"
22,-0.06746830977499485,"{'Nodes_per_layer': 708.5572795888759, 'deepth': 5.879337254200999}"
23,-0.07284920662641525,"{'Nodes_per_layer': 737.3081855671269, 'deepth': 2.1016959968663596}"
24,-0.07213342003524303,"{'Nodes_per_layer': 683.2249020019406, 'deepth': 2.0}"
25,-0.0659183319658041,"{'Nodes_per_layer': 251.2032909943021, 'deepth': 5.873429404770476}"
26,-0.0655244686640799,"{'Nodes_per_layer': 444.09134392721074, 'deepth': 5.892673065835707}"
27,-0.06623982731252909,"{'Nodes_per_layer': 424.821725869083, 'deepth': 2.005844799886096}"
28,-0.08018943201750517,"{'Nodes_per_layer': 464.0655015921484, 'deepth': 2.0866783408426324}"
29,-0.09219462238252163,"{'Nodes_per_layer': 521.3854027246693, 'deepth': 2.1325819487145696}"
30,-0.0683669289574027,"{'Nodes_per_layer': 300.640345390618, 'deepth': 2.046756790661895}"
31,-0.06648653605952859,"{'Nodes_per_layer': 551.1400402820916, 'deepth': 5.989366747134166}"
32,-0.0654279999434948,"{'Nodes_per_layer': 235.8854260431573, 'deepth': 6.0}"
33,-0.06562622869387269,"{'Nodes_per_layer': 765.8128747996108, 'deepth': 5.868434364933644}"
34,-0.0659821555018425,"{'Nodes_per_layer': 626.6966381299467, 'deepth': 6.0}"
35,-0.06580756604671478,"{'Nodes_per_layer': 172.80196478845534, 'deepth': 5.883321382774609}"
36,-0.07158965431153774,"{'Nodes_per_layer': 100.03831777982441, 'deepth': 4.245586830696847}"
37,-0.06804397841915488,"{'Nodes_per_layer': 366.88270084202304, 'deepth': 2.2174477882279024}"
38,-0.0672164186835289,"{'Nodes_per_layer': 265.2902655798966, 'deepth': 2.18929850859948}"
39,-0.06687324261292815,"{'Nodes_per_layer': 827.6831060813716, 'deepth': 5.745973533089139}"
40,-0.07422755938023329,"{'Nodes_per_layer': 778.5423866936483, 'deepth': 2.0}"
41,-0.06590870162472129,"{'Nodes_per_layer': 201.47872571149117, 'deepth': 6.0}"
42,-0.1502747368067503,"{'Nodes_per_layer': 754.6641453887455, 'deepth': 2.250053608144806}"
43,-0.06606656033545732,"{'Nodes_per_layer': 243.42689967763235, 'deepth': 2.231995545588674}"
44,-0.06606756243854761,"{'Nodes_per_layer': 434.66028597672334, 'deepth': 4.329396307443664}"
45,-0.065728475805372,"{'Nodes_per_layer': 180.46838954722077, 'deepth': 2.0460247893444836}"
46,-0.06706349132582545,"{'Nodes_per_layer': 887.8436831856787, 'deepth': 4.244415365644245}"
47,-0.07169981859624386,"{'Nodes_per_layer': 909.340252478215, 'deepth': 2.6065102361979506}"
48,-0.06663057114928961,"{'Nodes_per_layer': 162.182609400804, 'deepth': 2.1798832529444057}"
49,-0.06599585758522153,"{'Nodes_per_layer': 414.49588526052355, 'deepth': 5.812492182733298}"
# cuda
