,target,params
0,-0.06439108634367585,"{'Nodes_per_layer': 505.0486405323945, 'deepth': 3.079053006061664}"
1,-0.06648740079253912,"{'Nodes_per_layer': 637.2835983086948, 'deepth': 2.474560382905963}"
2,-0.06306750187650323,"{'Nodes_per_layer': 923.9150290133724, 'deepth': 4.322819798436109}"
3,-0.23585281893610954,"{'Nodes_per_layer': 886.7297675032246, 'deepth': 2.7652113016868003}"
4,-0.06371743371710181,"{'Nodes_per_layer': 691.3299209660778, 'deepth': 5.282371911593085}"
5,-0.06327303079888225,"{'Nodes_per_layer': 922.4217174012747, 'deepth': 3.385537505021455}"
6,-0.06583120580762625,"{'Nodes_per_layer': 539.7684002008838, 'deepth': 2.6082323065872255}"
7,-0.06965062487870455,"{'Nodes_per_layer': 726.7691970722277, 'deepth': 2.1739796736092196}"
8,-0.08321684040129185,"{'Nodes_per_layer': 597.3890091259675, 'deepth': 2.9521154781788765}"
9,-0.06303085619583726,"{'Nodes_per_layer': 469.55958549554975, 'deepth': 5.877843951400238}"
10,-0.06667339522391558,"{'Nodes_per_layer': 434.2768848493561, 'deepth': 2.8740592824308075}"
11,-0.06324726948514581,"{'Nodes_per_layer': 395.9804936629074, 'deepth': 5.455561524415375}"
12,-0.06360934302210808,"{'Nodes_per_layer': 360.6322872082701, 'deepth': 2.147158458467683}"
13,-0.06275630416348577,"{'Nodes_per_layer': 324.2309566077301, 'deepth': 5.687918068505339}"
14,-0.0629057758487761,"{'Nodes_per_layer': 288.716392834569, 'deepth': 2.0501027649322885}"
15,-0.06290164962410927,"{'Nodes_per_layer': 252.53251474910792, 'deepth': 3.71187653216852}"
16,-0.6602295190095901,"{'Nodes_per_layer': 216.1495909214666, 'deepth': 3.1591687156037818}"
17,-0.06414486980065703,"{'Nodes_per_layer': 774.613208229847, 'deepth': 6.0}"
18,-0.08115224167704582,"{'Nodes_per_layer': 976.8410147945649, 'deepth': 2.253428519962824}"
19,-0.06403795769438148,"{'Nodes_per_layer': 813.5459845703281, 'deepth': 2.290300680466816}"
20,-0.06258354987949133,"{'Nodes_per_layer': 100.05645695671433, 'deepth': 4.812488503155667}"
21,-0.06279511051252484,"{'Nodes_per_layer': 136.29149530379428, 'deepth': 2.0}"
22,-0.06292491685599089,"{'Nodes_per_layer': 664.1918638720788, 'deepth': 6.0}"
23,-0.062195003498345613,"{'Nodes_per_layer': 567.8862376443283, 'deepth': 6.0}"
24,-0.06347976252436638,"{'Nodes_per_layer': 999.9832610066092, 'deepth': 5.496594192882841}"
25,-0.06336108781397343,"{'Nodes_per_layer': 842.2729712210433, 'deepth': 6.0}"
26,-0.06318774586543441,"{'Nodes_per_layer': 750.7670707997696, 'deepth': 5.975593479307644}"
27,-0.06278750114142895,"{'Nodes_per_layer': 269.1987616290957, 'deepth': 6.0}"
28,-0.08097755070775747,"{'Nodes_per_layer': 950.8069143030885, 'deepth': 2.0992802723380675}"
29,-0.06250101374462247,"{'Nodes_per_layer': 159.64539370313105, 'deepth': 5.610773592189542}"
30,-0.06322621274739504,"{'Nodes_per_layer': 415.0511739298121, 'deepth': 2.074604016595339}"
31,-0.06505425460636616,"{'Nodes_per_layer': 793.9711914238477, 'deepth': 2.175723477539279}"
32,-0.06303161988034844,"{'Nodes_per_layer': 618.305410116974, 'deepth': 5.974297895235706}"
33,-0.06340304156765342,"{'Nodes_per_layer': 342.85554899244994, 'deepth': 6.0}"
34,-0.06421734252944589,"{'Nodes_per_layer': 486.95605603480755, 'deepth': 2.7518807381885257}"
35,-0.06655298313125968,"{'Nodes_per_layer': 117.09454760506176, 'deepth': 5.6903686339017}"
36,-0.06390256062150002,"{'Nodes_per_layer': 305.9907616810591, 'deepth': 5.9734513382541685}"
37,-0.0633101798593998,"{'Nodes_per_layer': 709.187076059911, 'deepth': 6.0}"
38,-0.06289502326399088,"{'Nodes_per_layer': 377.2680754915927, 'deepth': 5.945854698785841}"
39,-0.06257352652028203,"{'Nodes_per_layer': 522.9778924189428, 'deepth': 6.0}"
40,-0.06355390278622508,"{'Nodes_per_layer': 452.9172818685618, 'deepth': 2.0}"
41,-0.06535917287692428,"{'Nodes_per_layer': 828.6217105315272, 'deepth': 5.918143751517687}"
42,-0.062412208411842585,"{'Nodes_per_layer': 147.2230351390084, 'deepth': 5.985367044251036}"
43,-0.0694435266777873,"{'Nodes_per_layer': 676.6882886775481, 'deepth': 2.0}"
44,-0.06344413384795189,"{'Nodes_per_layer': 554.2980907838439, 'deepth': 5.911931789886498}"
45,-0.06563419289886951,"{'Nodes_per_layer': 262.095812885431, 'deepth': 2.0833958552203735}"
46,-0.09122819919139147,"{'Nodes_per_layer': 762.5282217912587, 'deepth': 2.0}"
47,-0.07210056856274605,"{'Nodes_per_layer': 652.4890357559665, 'deepth': 2.0}"
48,-0.06316841952502728,"{'Nodes_per_layer': 738.8143151099389, 'deepth': 5.90915004298105}"
49,-0.07212451193481684,"{'Nodes_per_layer': 936.1888864442919, 'deepth': 2.164759934742017}"
# cuda
