,target,params
0,-0.39214598573744297,"{'Nodes_per_layer': 726.3255263997394, 'deepth': 2.8098894243657635}"
1,-0.21302257291972637,"{'Nodes_per_layer': 770.1263080590783, 'deepth': 4.975724818936392}"
2,-0.21689440496265888,"{'Nodes_per_layer': 287.48916028678275, 'deepth': 2.3636328108055658}"
3,-0.2131249876692891,"{'Nodes_per_layer': 215.38981362990347, 'deepth': 4.422774611018857}"
4,-0.22169824596494436,"{'Nodes_per_layer': 801.1179099361367, 'deepth': 5.41510272970099}"
5,-0.21124268602579832,"{'Nodes_per_layer': 214.5728799490853, 'deepth': 2.879562999470755}"
6,-0.2124693701043725,"{'Nodes_per_layer': 168.14982850032158, 'deepth': 2.1572912745575863}"
7,-0.2161248503252864,"{'Nodes_per_layer': 340.3907953768909, 'deepth': 2.021876534762621}"
8,-0.21193903591483831,"{'Nodes_per_layer': 115.2727151241817, 'deepth': 2.20570691433299}"
9,-0.2115689367055893,"{'Nodes_per_layer': 393.82803387715705, 'deepth': 5.6343112099647765}"
10,-0.21452866960316896,"{'Nodes_per_layer': 443.0948911673352, 'deepth': 2.6400850710320527}"
11,-0.21155538316816092,"{'Nodes_per_layer': 495.6007590196928, 'deepth': 4.975605988467068}"
12,-0.21270132809877396,"{'Nodes_per_layer': 544.3957754644555, 'deepth': 3.169108398165663}"
13,-0.21210679225623608,"{'Nodes_per_layer': 594.379601890721, 'deepth': 5.634105881809633}"
14,-0.25763745326548815,"{'Nodes_per_layer': 999.9735852888375, 'deepth': 3.784089119088285}"
15,-0.2132112206891179,"{'Nodes_per_layer': 885.6209010971929, 'deepth': 2.2418319063285588}"
16,-0.21434450894594193,"{'Nodes_per_layer': 927.9394246457204, 'deepth': 5.324070124359096}"
17,-0.27429433539509773,"{'Nodes_per_layer': 635.5890050393385, 'deepth': 2.4410451776344617}"
18,-0.2126366039738059,"{'Nodes_per_layer': 847.3805349906214, 'deepth': 5.526342426842238}"
19,-0.21286919247359037,"{'Nodes_per_layer': 252.78757311365766, 'deepth': 2.352960506161932}"
20,-0.21515824552625418,"{'Nodes_per_layer': 140.65602461218705, 'deepth': 5.916606554096349}"
21,-0.23897627368569374,"{'Nodes_per_layer': 571.0747016173514, 'deepth': 2.081202872569732}"
22,-0.2130083627998829,"{'Nodes_per_layer': 367.4354724047935, 'deepth': 6.0}"
23,-0.21418100595474243,"{'Nodes_per_layer': 520.1859842546801, 'deepth': 5.96140104563394}"
24,-0.2240326078608632,"{'Nodes_per_layer': 957.8720580739606, 'deepth': 2.0}"
25,-0.21651097014546394,"{'Nodes_per_layer': 469.7837946785846, 'deepth': 5.7137049854377295}"
26,-0.21303670294582844,"{'Nodes_per_layer': 191.67194705362874, 'deepth': 5.843274691467597}"
27,-0.21307728625833988,"{'Nodes_per_layer': 313.52416543878655, 'deepth': 5.948977716305615}"
28,-0.21588185150176287,"{'Nodes_per_layer': 417.89612376563514, 'deepth': 2.0}"
29,-0.21368339844048023,"{'Nodes_per_layer': 100.21669704431908, 'deepth': 5.886037025757945}"
30,-0.21745166089385748,"{'Nodes_per_layer': 906.1157854876949, 'deepth': 5.6907902388354525}"
31,-0.21500634215772152,"{'Nodes_per_layer': 865.7732380073486, 'deepth': 5.814970228967306}"
32,-0.21875085309147835,"{'Nodes_per_layer': 781.4852892565972, 'deepth': 2.028202776493524}"
33,-0.3991190828382969,"{'Nodes_per_layer': 825.6742108369059, 'deepth': 2.0}"
34,-0.21574346721172333,"{'Nodes_per_layer': 676.2448583386189, 'deepth': 5.58073686498023}"
35,-0.21706830244511366,"{'Nodes_per_layer': 235.52687700506863, 'deepth': 2.2878856817177557}"
36,-0.21427619736641645,"{'Nodes_per_layer': 269.7438589061196, 'deepth': 5.851211829282051}"
37,-0.24260012712329626,"{'Nodes_per_layer': 610.1870563123563, 'deepth': 2.4349904654202907}"
38,-0.2202838072553277,"{'Nodes_per_layer': 975.8775106491723, 'deepth': 5.770392831690639}"
39,-0.22638890240341425,"{'Nodes_per_layer': 659.5756665551129, 'deepth': 2.01395303541743}"
40,-0.21203854028135538,"{'Nodes_per_layer': 692.2583994288761, 'deepth': 2.0}"
41,-0.2211561081930995,"{'Nodes_per_layer': 380.6331828402143, 'deepth': 2.0}"
42,-0.21244324930012226,"{'Nodes_per_layer': 154.98404986686032, 'deepth': 6.0}"
43,-0.21358119882643223,"{'Nodes_per_layer': 942.4017653677103, 'deepth': 5.9994659170634055}"
44,-0.21454720478504896,"{'Nodes_per_layer': 353.5436859090301, 'deepth': 5.968916647070778}"
45,-0.22010925319045782,"{'Nodes_per_layer': 482.1316470741138, 'deepth': 2.0453861258058694}"
46,-0.21621904522180557,"{'Nodes_per_layer': 327.0044314485488, 'deepth': 6.0}"
47,-0.2406039210036397,"{'Nodes_per_layer': 456.5219443846156, 'deepth': 2.108868115400858}"
48,-0.2125678826123476,"{'Nodes_per_layer': 430.9081221101115, 'deepth': 5.79868236656834}"
49,-0.2118877861648798,"{'Nodes_per_layer': 508.5063385647977, 'deepth': 2.269763630799469}"
# cuda
