,target,params
0,-0.09751333761960268,"{'Nodes_per_layer': 580.4068878073706, 'deepth': 5.597538069492241}"
1,-0.09931163163855672,"{'Nodes_per_layer': 770.4034922361001, 'deepth': 4.182807260144038}"
2,-0.09999152086675167,"{'Nodes_per_layer': 158.60781530638175, 'deepth': 3.8806619571419265}"
3,-0.11300150491297245,"{'Nodes_per_layer': 569.1981327749386, 'deepth': 2.3700439935576063}"
4,-0.0983361154794693,"{'Nodes_per_layer': 290.1729781936699, 'deepth': 2.9710116888542037}"
5,-0.09780628886073828,"{'Nodes_per_layer': 817.1556079557002, 'deepth': 5.864988070771204}"
6,-0.0977568537928164,"{'Nodes_per_layer': 371.68506638342865, 'deepth': 3.745771684321031}"
7,-0.09855229128152132,"{'Nodes_per_layer': 827.2006204617055, 'deepth': 4.562399703203043}"
8,-0.09741365257650614,"{'Nodes_per_layer': 579.4552829161977, 'deepth': 4.198825623126931}"
9,-0.09956095879897475,"{'Nodes_per_layer': 587.159603601001, 'deepth': 2.197130631016229}"
10,-0.09819708438590169,"{'Nodes_per_layer': 362.9085917466879, 'deepth': 3.783532246720022}"
11,-0.09932252392172813,"{'Nodes_per_layer': 808.5252828495558, 'deepth': 2.5584598568657997}"
12,-0.09799711545929313,"{'Nodes_per_layer': 380.66390833678463, 'deepth': 4.187428033123387}"
13,-0.09865384316071868,"{'Nodes_per_layer': 390.37930433225233, 'deepth': 2.148155215677958}"
14,-0.09794179070740938,"{'Nodes_per_layer': 300.4418686102442, 'deepth': 2.7367048727141343}"
15,-0.0991830313578248,"{'Nodes_per_layer': 309.58007191612046, 'deepth': 5.287264522779935}"
16,-0.09886486595496535,"{'Nodes_per_layer': 352.71150572252674, 'deepth': 5.633682007299557}"
17,-0.09862986579537392,"{'Nodes_per_layer': 280.04187431730156, 'deepth': 5.454093928274642}"
18,-0.09804773796349764,"{'Nodes_per_layer': 838.4643678462934, 'deepth': 4.865571156501554}"
19,-0.13335556257516146,"{'Nodes_per_layer': 847.2836709519185, 'deepth': 2.154089857804606}"
20,-0.0995810441672802,"{'Nodes_per_layer': 270.8185115797549, 'deepth': 2.0}"
21,-0.09792264038696885,"{'Nodes_per_layer': 400.11053568310285, 'deepth': 5.257826409655988}"
22,-0.09848603326827288,"{'Nodes_per_layer': 408.762076409387, 'deepth': 2.4292662903575057}"
23,-0.09858091454952955,"{'Nodes_per_layer': 418.52161852618246, 'deepth': 4.2973790324448915}"
24,-0.0989324008114636,"{'Nodes_per_layer': 428.286747124055, 'deepth': 2.078683416483606}"
25,-0.09847949258983135,"{'Nodes_per_layer': 342.61958368175516, 'deepth': 3.4528167659673024}"
26,-0.09808300482109189,"{'Nodes_per_layer': 333.31538868112114, 'deepth': 5.965225220202916}"
27,-0.0984421749599278,"{'Nodes_per_layer': 324.0372647971339, 'deepth': 4.429431758193392}"
28,-0.09823879320174456,"{'Nodes_per_layer': 438.3382694610908, 'deepth': 5.57583853934646}"
29,-0.10280554741621017,"{'Nodes_per_layer': 447.23845544252055, 'deepth': 2.601804027571778}"
30,-0.12451574159786105,"{'Nodes_per_layer': 833.5881424978736, 'deepth': 2.172544348312056}"
31,-0.10102901235222816,"{'Nodes_per_layer': 376.0830441853757, 'deepth': 4.030499993189392}"
32,-0.09849769854918122,"{'Nodes_per_layer': 367.30208325594896, 'deepth': 2.6315611686233984}"
33,-0.09861622983589768,"{'Nodes_per_layer': 822.3431435011356, 'deepth': 5.428987831026884}"
34,-0.09772748686373234,"{'Nodes_per_layer': 295.40001303796294, 'deepth': 3.8741960266222892}"
35,-0.09756644535809755,"{'Nodes_per_layer': 385.74430396873163, 'deepth': 5.814649578572342}"
36,-0.10037788888439536,"{'Nodes_per_layer': 394.2710923894968, 'deepth': 5.897690602801045}"
37,-0.10001973016187549,"{'Nodes_per_layer': 328.9361314528565, 'deepth': 2.0145341031196766}"
38,-0.09866601089015603,"{'Nodes_per_layer': 337.42231945769055, 'deepth': 2.017118445972932}"
39,-0.09795581176877022,"{'Nodes_per_layer': 317.3415346788521, 'deepth': 4.682077445260861}"
40,-0.0987111940048635,"{'Nodes_per_layer': 432.75337486778636, 'deepth': 5.917188273616963}"
41,-0.09782537166029215,"{'Nodes_per_layer': 357.33362767964167, 'deepth': 2.3665786232898167}"
42,-0.10013164905831218,"{'Nodes_per_layer': 762.5813897294626, 'deepth': 2.6918809284300083}"
43,-0.0977310654707253,"{'Nodes_per_layer': 284.444483632955, 'deepth': 2.064821649297039}"
44,-0.09970049420371652,"{'Nodes_per_layer': 778.7538362363728, 'deepth': 4.736473432697151}"
45,-0.09961296571418643,"{'Nodes_per_layer': 800.5049429533623, 'deepth': 3.9118140186796895}"
46,-0.09815443772822618,"{'Nodes_per_layer': 413.17705935772244, 'deepth': 5.790722361766308}"
47,-0.09825022704899311,"{'Nodes_per_layer': 791.054785553848, 'deepth': 4.273880315158591}"
48,-0.10413729539141059,"{'Nodes_per_layer': 785.3717560394489, 'deepth': 2.313243956694086}"
49,-0.09793155174702406,"{'Nodes_per_layer': 405.2223925082621, 'deepth': 6.0}"
# cuda
