,target,params
0,-0.06574195413850248,"{'Nodes_per_layer': 228.6737698059718, 'deepth': 4.441248045585195}"
1,-0.06578866811469197,"{'Nodes_per_layer': 651.2854505344809, 'deepth': 4.133056339695061}"
2,-0.06686266791075468,"{'Nodes_per_layer': 774.7865095514836, 'deepth': 5.723163611487934}"
3,-0.06602925737388432,"{'Nodes_per_layer': 733.8828611706223, 'deepth': 5.773460511256739}"
4,-0.06546971248462796,"{'Nodes_per_layer': 678.1685354801652, 'deepth': 4.506977996270347}"
5,-0.06534240557812154,"{'Nodes_per_layer': 169.62141513704972, 'deepth': 4.129783521551259}"
6,-0.0663312217220664,"{'Nodes_per_layer': 165.28681150469447, 'deepth': 3.769899441990579}"
7,-0.06543217087164521,"{'Nodes_per_layer': 190.9446491475597, 'deepth': 5.877354175857062}"
8,-0.06576246814802289,"{'Nodes_per_layer': 191.10600193114766, 'deepth': 5.910137597564109}"
9,-0.06587154511362314,"{'Nodes_per_layer': 509.34744609544964, 'deepth': 4.639810107064843}"
10,-0.06710081524215639,"{'Nodes_per_layer': 916.4280368068104, 'deepth': 4.973019221745543}"
11,-0.06949929776601493,"{'Nodes_per_layer': 934.3415202296472, 'deepth': 4.149557598992626}"
12,-0.06619707238860428,"{'Nodes_per_layer': 189.6393958936104, 'deepth': 5.754812644998403}"
13,-0.06548554124310613,"{'Nodes_per_layer': 190.5882059231075, 'deepth': 5.208790906517292}"
14,-0.06606591423042119,"{'Nodes_per_layer': 169.4562298440444, 'deepth': 5.206150427480439}"
15,-0.06776176020503044,"{'Nodes_per_layer': 169.26656296845738, 'deepth': 3.0669971669784837}"
16,-0.06674169516190886,"{'Nodes_per_layer': 677.9588351894215, 'deepth': 3.6288200994318123}"
17,-0.06622794922441244,"{'Nodes_per_layer': 170.15731737445958, 'deepth': 4.438837678924384}"
18,-0.06714304583147168,"{'Nodes_per_layer': 400.5448678592295, 'deepth': 4.37116780099693}"
19,-0.06641517882235348,"{'Nodes_per_layer': 190.86168664810998, 'deepth': 5.862180754288706}"
20,-0.06657902803272009,"{'Nodes_per_layer': 287.7946901344086, 'deepth': 3.707623201051249}"
21,-0.06580032082274556,"{'Nodes_per_layer': 191.00877509317863, 'deepth': 5.634921572501003}"
22,-0.08004724141210318,"{'Nodes_per_layer': 890.247951722885, 'deepth': 2.8867775048409774}"
23,-0.06785265891812742,"{'Nodes_per_layer': 511.8881797703817, 'deepth': 4.455990997057697}"
24,-0.06712419912219048,"{'Nodes_per_layer': 608.1528113057916, 'deepth': 4.246722860773337}"
25,-0.06606871215626597,"{'Nodes_per_layer': 258.1151886766146, 'deepth': 2.5630136934198218}"
26,-0.06671788496896625,"{'Nodes_per_layer': 169.10469467364848, 'deepth': 4.255843766447228}"
27,-0.0663041858933866,"{'Nodes_per_layer': 189.98622156537354, 'deepth': 5.210913954782207}"
28,-0.06587557517923415,"{'Nodes_per_layer': 169.5556793283411, 'deepth': 4.143329855758094}"
29,-0.06570553267374635,"{'Nodes_per_layer': 636.3683643214786, 'deepth': 4.473800053139257}"
30,-0.07022904697805643,"{'Nodes_per_layer': 767.2207704678696, 'deepth': 3.008267398317317}"
31,-0.07916361186653376,"{'Nodes_per_layer': 170.1915095689863, 'deepth': 3.8535178100682135}"
32,-0.06601601652801037,"{'Nodes_per_layer': 169.65409573647514, 'deepth': 4.153749565355174}"
33,-0.0659997221082449,"{'Nodes_per_layer': 852.6409271010641, 'deepth': 4.950878678939182}"
34,-0.067312320927158,"{'Nodes_per_layer': 677.8306088036738, 'deepth': 4.326247878817293}"
35,-0.0675440700724721,"{'Nodes_per_layer': 358.0764561910478, 'deepth': 3.171070878475428}"
36,-0.0951958280056715,"{'Nodes_per_layer': 169.4063826160252, 'deepth': 3.843932767082972}"
37,-0.06673807604238391,"{'Nodes_per_layer': 678.4622226430133, 'deepth': 4.423537725541046}"
38,-0.06671872129663825,"{'Nodes_per_layer': 228.89973236412177, 'deepth': 4.695605544170332}"
39,-0.0657321740873158,"{'Nodes_per_layer': 678.2960826364978, 'deepth': 4.720289160128059}"
40,-0.06663336255587637,"{'Nodes_per_layer': 295.1228301983574, 'deepth': 4.646167524621842}"
41,-0.07106867246329784,"{'Nodes_per_layer': 459.73619630524746, 'deepth': 3.6769165083945423}"
42,-0.06616395921446383,"{'Nodes_per_layer': 636.6704471058304, 'deepth': 4.406756816706398}"
43,-0.06584059773012996,"{'Nodes_per_layer': 662.4345670794338, 'deepth': 3.6430424610299865}"
44,-0.06666345475241542,"{'Nodes_per_layer': 170.2077419249017, 'deepth': 4.430863620481094}"
45,-0.0659871615935117,"{'Nodes_per_layer': 662.2832620776105, 'deepth': 3.965110268930107}"
46,-0.07096845097839832,"{'Nodes_per_layer': 788.0091851031364, 'deepth': 2.5354975007780727}"
47,-0.06604294548742473,"{'Nodes_per_layer': 636.4242250592782, 'deepth': 4.804660874502886}"
48,-0.06816524174064398,"{'Nodes_per_layer': 834.1066622873955, 'deepth': 3.3854640765036486}"
49,-0.07343503879383206,"{'Nodes_per_layer': 190.25519115927696, 'deepth': 5.044734966011442}"
# cuda
