,target,params
0,-0.08813383132219314,"{'Nodes_per_layer': 735.9918172504487, 'deepth': 2.9598288817716254}"
1,-0.08835887983441353,"{'Nodes_per_layer': 138.7293762015022, 'deepth': 4.4259380269367785}"
2,-0.0884010687470436,"{'Nodes_per_layer': 876.4789603574268, 'deepth': 4.467650972622735}"
3,-0.08799491003155709,"{'Nodes_per_layer': 605.2892424958353, 'deepth': 3.801995812170613}"
4,-0.08793745338916778,"{'Nodes_per_layer': 436.7278974133213, 'deepth': 2.5257537825423526}"
5,-0.0880368933081627,"{'Nodes_per_layer': 339.50846822697974, 'deepth': 4.988022627474891}"
6,-0.08835836201906204,"{'Nodes_per_layer': 510.6111483780547, 'deepth': 4.999845315090262}"
7,-0.08803895562887191,"{'Nodes_per_layer': 437.81813890012796, 'deepth': 2.496385497124372}"
8,-0.08791712820529937,"{'Nodes_per_layer': 434.0941000323139, 'deepth': 2.3076888958355055}"
9,-0.08832098096609116,"{'Nodes_per_layer': 435.0166459572258, 'deepth': 4.84359765670132}"
10,-0.08810719773173332,"{'Nodes_per_layer': 435.48032347469666, 'deepth': 2.0944308399070186}"
11,-0.08792263865470887,"{'Nodes_per_layer': 432.89031019578545, 'deepth': 2.0969733531253745}"
12,-0.08808188885450363,"{'Nodes_per_layer': 433.0633252819444, 'deepth': 3.130536388150696}"
13,-0.08793638423085212,"{'Nodes_per_layer': 431.44995739857484, 'deepth': 2.1698741968976143}"
14,-0.08776041269302368,"{'Nodes_per_layer': 429.7040741821252, 'deepth': 2.2346400091886434}"
15,-0.08833460360765458,"{'Nodes_per_layer': 429.4438282980912, 'deepth': 3.4706220896539626}"
16,-0.08784384578466416,"{'Nodes_per_layer': 429.86284855758385, 'deepth': 2.6246798946716337}"
17,-0.0881002463400364,"{'Nodes_per_layer': 430.2019658862725, 'deepth': 2.006545251191893}"
18,-0.08796419352293014,"{'Nodes_per_layer': 432.8658642951192, 'deepth': 2.066776843593645}"
19,-0.08789250701665878,"{'Nodes_per_layer': 429.2243345792987, 'deepth': 2.1133067699229002}"
20,-0.0879373624920845,"{'Nodes_per_layer': 429.6954531410786, 'deepth': 2.389854650124727}"
21,-0.08793685138225556,"{'Nodes_per_layer': 429.8098401178957, 'deepth': 2.0588661576775626}"
22,-0.08828336596488953,"{'Nodes_per_layer': 164.83155719934692, 'deepth': 3.115250076603953}"
23,-0.08800860121846199,"{'Nodes_per_layer': 166.49136922620937, 'deepth': 2.5164658176139643}"
24,-0.08820022046566009,"{'Nodes_per_layer': 590.0753321300832, 'deepth': 4.546944230063522}"
25,-0.08789822533726692,"{'Nodes_per_layer': 433.8133636762936, 'deepth': 2.39723118910094}"
26,-0.08821439668536186,"{'Nodes_per_layer': 430.1231169876243, 'deepth': 2.773629855927364}"
27,-0.08797499313950538,"{'Nodes_per_layer': 433.9197220906529, 'deepth': 2.599491926905734}"
28,-0.08868304416537284,"{'Nodes_per_layer': 845.1203892896937, 'deepth': 4.775275324553295}"
29,-0.08810702040791511,"{'Nodes_per_layer': 433.15932923874595, 'deepth': 2.2718199464538347}"
30,-0.08778280764818192,"{'Nodes_per_layer': 433.6748531998347, 'deepth': 2.1043693251407083}"
31,-0.08796065226197243,"{'Nodes_per_layer': 429.4331214658272, 'deepth': 2.179993236038521}"
32,-0.08810942620038986,"{'Nodes_per_layer': 469.47350264760445, 'deepth': 4.416989093007349}"
33,-0.08797435611486434,"{'Nodes_per_layer': 431.3015174353657, 'deepth': 2.4508291301995424}"
34,-0.08852296024560928,"{'Nodes_per_layer': 765.4678080830234, 'deepth': 4.131671411706711}"
35,-0.08788657560944557,"{'Nodes_per_layer': 429.74892147555903, 'deepth': 2.878139473039531}"
36,-0.08790051862597466,"{'Nodes_per_layer': 433.9782065870677, 'deepth': 2.0139510013926545}"
37,-0.08830586299300194,"{'Nodes_per_layer': 134.21465114145377, 'deepth': 3.247316747143388}"
38,-0.08794806152582169,"{'Nodes_per_layer': 437.035142368004, 'deepth': 2.2710776972075832}"
39,-0.08812592402100564,"{'Nodes_per_layer': 428.8692703589413, 'deepth': 2.0075426311670377}"
40,-0.08779043778777122,"{'Nodes_per_layer': 429.14849797201936, 'deepth': 2.3749900154022385}"
41,-0.08805781453847886,"{'Nodes_per_layer': 432.64045190697385, 'deepth': 2.393203808720682}"
42,-0.08794899433851242,"{'Nodes_per_layer': 428.8908827113805, 'deepth': 2.515205915047809}"
43,-0.08804460316896438,"{'Nodes_per_layer': 434.5988756401195, 'deepth': 2.022528371913696}"
44,-0.08798388093709945,"{'Nodes_per_layer': 431.02729163142266, 'deepth': 2.1516696151262704}"
45,-0.08797873109579087,"{'Nodes_per_layer': 437.19545051029957, 'deepth': 2.6748785866475484}"
46,-0.08778570964932442,"{'Nodes_per_layer': 429.12984130190006, 'deepth': 2.6532583610044718}"
47,-0.08790722638368606,"{'Nodes_per_layer': 436.658286600455, 'deepth': 2.0287956967799903}"
48,-0.08797973841428756,"{'Nodes_per_layer': 428.88952278771853, 'deepth': 2.95121337900001}"
49,-0.08802687302231789,"{'Nodes_per_layer': 429.5651878903966, 'deepth': 2.784034149340041}"
50,-0.08791148141026497,"{'Nodes_per_layer': 436.28724641447036, 'deepth': 2.2644545517232224}"
51,-0.08830632641911507,"{'Nodes_per_layer': 192.11463496267737, 'deepth': 4.89407313521909}"
52,-0.08801849856972695,"{'Nodes_per_layer': 431.9185467742302, 'deepth': 2.0097356691058508}"
