,target,params
0,-0.06892227055504918,"{'Nodes_per_layer': 952.7368701817693, 'deepth': 4.661221943049911}"
1,-0.06891506165266037,"{'Nodes_per_layer': 823.0761466455677, 'deepth': 4.750698098013917}"
2,-0.06889715138822794,"{'Nodes_per_layer': 117.80480416756947, 'deepth': 2.7925650432169244}"
3,-0.06901146098971367,"{'Nodes_per_layer': 902.697366659588, 'deepth': 4.329142983455832}"
4,-0.0689903749153018,"{'Nodes_per_layer': 543.7533069662704, 'deepth': 4.790855042742063}"
5,-0.06897058477625251,"{'Nodes_per_layer': 119.0321374230745, 'deepth': 2.4688803684082785}"
6,-0.06888444069772959,"{'Nodes_per_layer': 826.3172354174753, 'deepth': 3.9445437857074666}"
7,-0.06880186451599002,"{'Nodes_per_layer': 660.0865824763993, 'deepth': 3.537725359551946}"
8,-0.06901148706674576,"{'Nodes_per_layer': 940.6763203808661, 'deepth': 2.0892173952423923}"
9,-0.06890403153374791,"{'Nodes_per_layer': 707.4830010091354, 'deepth': 3.070711403762926}"
10,-0.06888939160853624,"{'Nodes_per_layer': 913.7436808219356, 'deepth': 3.5016222678738647}"
11,-0.0687280660495162,"{'Nodes_per_layer': 426.466048614763, 'deepth': 2.1133825862203017}"
12,-0.06897109420970082,"{'Nodes_per_layer': 113.32566416428813, 'deepth': 2.0519206258943936}"
13,-0.0689822151325643,"{'Nodes_per_layer': 140.404354314309, 'deepth': 2.751663639032821}"
14,-0.06898616906255484,"{'Nodes_per_layer': 152.11866649146083, 'deepth': 4.189802951493422}"
15,-0.06895262282341719,"{'Nodes_per_layer': 159.4443135819937, 'deepth': 2.8607241348370924}"
16,-0.06907029915601015,"{'Nodes_per_layer': 368.9860850065904, 'deepth': 4.5544585447486945}"
17,-0.0689169792458415,"{'Nodes_per_layer': 212.5570625394395, 'deepth': 2.8188241688262696}"
18,-0.06877987459301949,"{'Nodes_per_layer': 660.063875886942, 'deepth': 3.5765644192821098}"
19,-0.06874548317864537,"{'Nodes_per_layer': 426.6651342671561, 'deepth': 2.0193744493947072}"
20,-0.06898691598325968,"{'Nodes_per_layer': 660.0443337312396, 'deepth': 3.9771048209747075}"
21,-0.06885999348014593,"{'Nodes_per_layer': 426.4325158015912, 'deepth': 2.3200254030552645}"
22,-0.06892566103488207,"{'Nodes_per_layer': 763.8615244997259, 'deepth': 2.2055068390146944}"
23,-0.06889621634036303,"{'Nodes_per_layer': 426.7316365165057, 'deepth': 2.2691460522049467}"
24,-0.06883488921448588,"{'Nodes_per_layer': 383.0792229359386, 'deepth': 2.3443570664374214}"
25,-0.06898841820657253,"{'Nodes_per_layer': 149.30543235050555, 'deepth': 2.1856425958532224}"
26,-0.06895717140287161,"{'Nodes_per_layer': 979.6042991086916, 'deepth': 2.5637878971088206}"
27,-0.06897158548235893,"{'Nodes_per_layer': 659.7724329605466, 'deepth': 3.544504381289914}"
28,-0.06900252494961023,"{'Nodes_per_layer': 173.74254755671924, 'deepth': 4.351248660469997}"
29,-0.06883958959951997,"{'Nodes_per_layer': 618.0830358934683, 'deepth': 4.386106730325839}"
30,-0.0687133064493537,"{'Nodes_per_layer': 382.91753599043903, 'deepth': 2.26049465257761}"
31,-0.06869713356718421,"{'Nodes_per_layer': 382.869523616567, 'deepth': 2.162572689584205}"
32,-0.06873844377696514,"{'Nodes_per_layer': 382.77664500856946, 'deepth': 2.1920426910603408}"
33,-0.06874900823459029,"{'Nodes_per_layer': 382.52304686782304, 'deepth': 2.617281016928028}"
34,-0.06896638125181198,"{'Nodes_per_layer': 119.12482552134097, 'deepth': 4.610886537120601}"
35,-0.06885391008108854,"{'Nodes_per_layer': 382.34067523500875, 'deepth': 2.7683049752801008}"
36,-0.06895789504051208,"{'Nodes_per_layer': 383.18644885683847, 'deepth': 2.1059523406204805}"
37,-0.06905109295621514,"{'Nodes_per_layer': 382.7812588485704, 'deepth': 2.644634927909698}"
38,-0.06880985526368022,"{'Nodes_per_layer': 617.9010919563423, 'deepth': 4.745425494538512}"
39,-0.06894254358485341,"{'Nodes_per_layer': 660.2606773156174, 'deepth': 3.651667653601747}"
40,-0.06875813566148281,"{'Nodes_per_layer': 382.48569005550684, 'deepth': 2.4196071562578534}"
41,-0.0689472327940166,"{'Nodes_per_layer': 768.7869569383885, 'deepth': 4.682543346035249}"
42,-0.06888564955443144,"{'Nodes_per_layer': 617.9171535270557, 'deepth': 4.509743787969077}"
43,-0.06895399512723088,"{'Nodes_per_layer': 617.8017933418715, 'deepth': 4.9694819347484955}"
44,-0.06892733508720994,"{'Nodes_per_layer': 382.05639205626096, 'deepth': 2.462587965963465}"
45,-0.06880473578348756,"{'Nodes_per_layer': 382.32954068811176, 'deepth': 2.1663940694269286}"
46,-0.06871647667139769,"{'Nodes_per_layer': 382.5753020905788, 'deepth': 2.3489638573819613}"
47,-0.06879586121067405,"{'Nodes_per_layer': 382.5076220697948, 'deepth': 2.2244259957943395}"
48,-0.06892613787204027,"{'Nodes_per_layer': 618.5234647663402, 'deepth': 4.206329837169921}"
49,-0.06884474772959948,"{'Nodes_per_layer': 805.5603395336212, 'deepth': 3.8186973088648966}"
50,-0.06901525473222136,"{'Nodes_per_layer': 431.81113070329917, 'deepth': 4.147915428814778}"
51,-0.06895741820335388,"{'Nodes_per_layer': 162.04229142890958, 'deepth': 2.86833216481893}"
52,-0.06885225232690573,"{'Nodes_per_layer': 382.9662356162328, 'deepth': 2.104165268792153}"
53,-0.06893622037023306,"{'Nodes_per_layer': 618.2440746967574, 'deepth': 4.527533995405209}"
54,-0.06873371032997966,"{'Nodes_per_layer': 382.3042420016752, 'deepth': 2.4781533522844144}"
55,-0.06881906650960445,"{'Nodes_per_layer': 382.71628818140425, 'deepth': 2.2920048655563927}"
56,-0.06883965618908405,"{'Nodes_per_layer': 382.2383515998018, 'deepth': 2.4088846413378535}"
57,-0.06884655589237809,"{'Nodes_per_layer': 426.8242622126295, 'deepth': 2.08221677110275}"
58,-0.06886168196797371,"{'Nodes_per_layer': 742.6275774126616, 'deepth': 3.287757623623611}"
59,-0.06874953489750624,"{'Nodes_per_layer': 382.41967754729654, 'deepth': 2.615996083568013}"
60,-0.06906120292842388,"{'Nodes_per_layer': 382.4707233342098, 'deepth': 2.2568732451197286}"
61,-0.06873761769384146,"{'Nodes_per_layer': 382.83169118400997, 'deepth': 2.147029129205856}"
62,-0.06904334016144276,"{'Nodes_per_layer': 309.57435657365033, 'deepth': 3.8201906559352525}"
63,-0.06893236469477415,"{'Nodes_per_layer': 382.47730271469186, 'deepth': 2.640331831894859}"
64,-0.06887696497142315,"{'Nodes_per_layer': 382.9658604055497, 'deepth': 2.1238722016531124}"
65,-0.06886876048520207,"{'Nodes_per_layer': 382.43191810253523, 'deepth': 2.426782755623052}"
66,-0.06880886433646083,"{'Nodes_per_layer': 410.7194357123484, 'deepth': 2.120908854163811}"
67,-0.06902334466576576,"{'Nodes_per_layer': 269.98480508840544, 'deepth': 3.719768657894008}"
68,-0.06890734657645226,"{'Nodes_per_layer': 595.6842312029617, 'deepth': 2.885728527678358}"
69,-0.06891343649476767,"{'Nodes_per_layer': 382.9373752676579, 'deepth': 2.218801827328789}"
70,-0.06892531551420689,"{'Nodes_per_layer': 382.3674334138506, 'deepth': 2.161127265600718}"
71,-0.06883303495123982,"{'Nodes_per_layer': 618.1150045547124, 'deepth': 4.434634174921078}"
72,-0.06903563905507326,"{'Nodes_per_layer': 810.8100333651016, 'deepth': 4.472025272153017}"
73,-0.06895447568967938,"{'Nodes_per_layer': 382.5191054983166, 'deepth': 2.5884655716115756}"
74,-0.06890512350946665,"{'Nodes_per_layer': 742.6565880709989, 'deepth': 3.3326308129581435}"
75,-0.0688216001726687,"{'Nodes_per_layer': 410.6427428902979, 'deepth': 2.2326993421256525}"
76,-0.06906725885346532,"{'Nodes_per_layer': 297.12897717042785, 'deepth': 2.7766819639302187}"
77,-0.06893763924017549,"{'Nodes_per_layer': 741.1153941145277, 'deepth': 4.895753539827519}"
78,-0.06881946511566639,"{'Nodes_per_layer': 382.52885187298983, 'deepth': 2.643356669144598}"
79,-0.0687653268687427,"{'Nodes_per_layer': 382.22952503475346, 'deepth': 2.3526059831346626}"
80,-0.06889018369838595,"{'Nodes_per_layer': 426.43746090413885, 'deepth': 2.330001892003615}"
81,-0.06871936749666929,"{'Nodes_per_layer': 382.52462301561764, 'deepth': 2.338599669822322}"
82,-0.06878775684162974,"{'Nodes_per_layer': 382.84505356820745, 'deepth': 2.1197588595964256}"
83,-0.0688138073310256,"{'Nodes_per_layer': 410.7823937530342, 'deepth': 2.208039448917349}"
84,-0.06881806626915932,"{'Nodes_per_layer': 526.8043364965108, 'deepth': 3.689081196358409}"
85,-0.068914161529392,"{'Nodes_per_layer': 382.24916778536027, 'deepth': 2.3462719056305277}"
86,-0.06893937522545457,"{'Nodes_per_layer': 905.9142447819238, 'deepth': 3.760958461656403}"
87,-0.06878128601238132,"{'Nodes_per_layer': 660.0386781005428, 'deepth': 3.60393505117058}"
88,-0.0689069083891809,"{'Nodes_per_layer': 617.8195096008237, 'deepth': 4.509981990268636}"
89,-0.06884225970134139,"{'Nodes_per_layer': 711.0610735477442, 'deepth': 3.64501589905373}"
90,-0.06894708424806595,"{'Nodes_per_layer': 548.992762527746, 'deepth': 4.973585549898525}"
91,-0.06900691147893667,"{'Nodes_per_layer': 930.8345331870049, 'deepth': 3.7104835526553606}"
92,-0.06885415688157082,"{'Nodes_per_layer': 526.8673744227768, 'deepth': 3.7067531594843484}"
93,-0.0689074695110321,"{'Nodes_per_layer': 617.9765572693426, 'deepth': 4.699088951534899}"
94,-0.06885939138010144,"{'Nodes_per_layer': 660.0969891545366, 'deepth': 3.472293462711254}"
95,-0.06899044523015618,"{'Nodes_per_layer': 956.6004590764712, 'deepth': 4.851326966117128}"
