,target,params
0,-0.1333803702145815,"{'Nodes_per_layer': 704.8129820272891, 'deepth': 4.8944254454225655}"
1,-0.1329776495695114,"{'Nodes_per_layer': 313.0823933979776, 'deepth': 3.9338623954386103}"
2,-0.1328979590907693,"{'Nodes_per_layer': 517.8145405235679, 'deepth': 2.558329925080584}"
3,-0.1337196584790945,"{'Nodes_per_layer': 818.4821554450762, 'deepth': 3.7356126205625815}"
4,-0.13344539608806372,"{'Nodes_per_layer': 574.6849027144951, 'deepth': 4.0777445309808735}"
5,-0.1329627586528659,"{'Nodes_per_layer': 516.7233983001958, 'deepth': 2.5106080893984286}"
6,-0.1335069891065359,"{'Nodes_per_layer': 526.1895520796552, 'deepth': 3.125852291026799}"
7,-0.1329963356256485,"{'Nodes_per_layer': 308.1058904519733, 'deepth': 3.8765365812465333}"
8,-0.1329648718237877,"{'Nodes_per_layer': 319.8211338754382, 'deepth': 2.4518684069725896}"
9,-0.1327689029276371,"{'Nodes_per_layer': 326.5525730898908, 'deepth': 4.570896582986203}"
10,-0.13294496107846498,"{'Nodes_per_layer': 331.6474946042885, 'deepth': 2.683698459821077}"
11,-0.1328124776482582,"{'Nodes_per_layer': 297.8344457982657, 'deepth': 4.7815424236316275}"
12,-0.13288778811693192,"{'Nodes_per_layer': 291.46978092534056, 'deepth': 2.4694308637905857}"
13,-0.13283916469663382,"{'Nodes_per_layer': 282.56525335038054, 'deepth': 4.5379368508688405}"
14,-0.13284979481250048,"{'Nodes_per_layer': 274.9757101161241, 'deepth': 2.575504334285083}"
15,-0.13289456255733967,"{'Nodes_per_layer': 266.4543371556125, 'deepth': 3.7375003784845444}"
16,-0.1328370301052928,"{'Nodes_per_layer': 257.038285420517, 'deepth': 2.470700800043205}"
17,-0.13277792930603027,"{'Nodes_per_layer': 249.07428216936356, 'deepth': 4.976716826304115}"
18,-0.13282326981425285,"{'Nodes_per_layer': 242.1563414182825, 'deepth': 2.125665695388026}"
19,-0.13280711695551872,"{'Nodes_per_layer': 232.77098495646788, 'deepth': 4.0795709131619935}"
20,-0.13294565491378307,"{'Nodes_per_layer': 224.23727402567062, 'deepth': 2.160415697875477}"
