,target,params
0,-0.1305203540250659,"{'Nodes_per_layer': 824.2463104536614, 'deepth': 3.057242466703883}"
1,-0.12346313055604696,"{'Nodes_per_layer': 836.6818568575723, 'deepth': 3.237612474276496}"
2,-0.13225655630230904,"{'Nodes_per_layer': 832.8693193873701, 'deepth': 3.5149209041569844}"
3,-0.12448217812925577,"{'Nodes_per_layer': 811.9868965141868, 'deepth': 3.6703819534535365}"
4,-0.15329059772193432,"{'Nodes_per_layer': 997.9944290551103, 'deepth': 3.9974189985537745}"
5,-0.19420721381902695,"{'Nodes_per_layer': 843.2251409342931, 'deepth': 2.9799596072221215}"
6,-0.13040863536298275,"{'Nodes_per_layer': 815.2661934592915, 'deepth': 4.057669400348145}"
7,-0.1323863584548235,"{'Nodes_per_layer': 807.4262483799139, 'deepth': 4.845883966039365}"
8,-0.18047518841922283,"{'Nodes_per_layer': 801.3098264462722, 'deepth': 2.1902825949038416}"
9,-0.15025522373616695,"{'Nodes_per_layer': 820.2381197452612, 'deepth': 2.422577778946561}"
10,-0.15922436211258173,"{'Nodes_per_layer': 828.0214839143241, 'deepth': 2.0774648447760633}"
11,-0.2955224737524986,"{'Nodes_per_layer': 809.1178682358398, 'deepth': 2.1555427885250436}"
12,-0.12212376110255718,"{'Nodes_per_layer': 321.24823540000955, 'deepth': 4.6102517608235125}"
13,-0.17482409812510014,"{'Nodes_per_layer': 874.5509440373451, 'deepth': 2.7908843685916067}"
14,-0.12331331707537174,"{'Nodes_per_layer': 785.6985093264, 'deepth': 4.072612964729711}"
15,-0.1263455767184496,"{'Nodes_per_layer': 719.3336415906498, 'deepth': 2.190873067635531}"
16,-0.12410840019583702,"{'Nodes_per_layer': 165.28025245441788, 'deepth': 4.408940958684688}"
17,-0.12351081613451242,"{'Nodes_per_layer': 558.8262990846765, 'deepth': 4.796759887519212}"
18,-0.12109891884028912,"{'Nodes_per_layer': 211.6336525805579, 'deepth': 2.7735449679778896}"
19,-0.13318299781531096,"{'Nodes_per_layer': 854.3259270632587, 'deepth': 3.839694533436602}"
20,-0.1266850894317031,"{'Nodes_per_layer': 632.225807154575, 'deepth': 3.7894359081580564}"
21,-0.1213005892932415,"{'Nodes_per_layer': 211.62267990892542, 'deepth': 2.576310596343779}"
22,-0.1274342341348529,"{'Nodes_per_layer': 813.3767899373996, 'deepth': 4.7523206189909075}"
23,-0.13816326297819614,"{'Nodes_per_layer': 813.6518338707157, 'deepth': 2.1383129946737762}"
24,-0.12251428980380297,"{'Nodes_per_layer': 209.41685749540486, 'deepth': 2.897111036925571}"
25,-0.12131887301802635,"{'Nodes_per_layer': 322.0478176879438, 'deepth': 2.3732581595493776}"
26,-0.12173990532755852,"{'Nodes_per_layer': 323.8211563077223, 'deepth': 4.12317607907984}"
27,-0.12243713811039925,"{'Nodes_per_layer': 319.2299677196155, 'deepth': 2.405137732703517}"
28,-0.12121131550520658,"{'Nodes_per_layer': 318.390695592681, 'deepth': 4.7134018281285535}"
29,-0.12157557718455791,"{'Nodes_per_layer': 316.12100198163273, 'deepth': 3.1845087068937277}"
30,-0.1459104735404253,"{'Nodes_per_layer': 326.3334097806887, 'deepth': 2.3182795277892434}"
31,-0.12418361660093069,"{'Nodes_per_layer': 782.9916097221561, 'deepth': 3.184735229673129}"
32,-0.12150449864566326,"{'Nodes_per_layer': 561.1394257864432, 'deepth': 3.0633986434149425}"
33,-0.12370148207992315,"{'Nodes_per_layer': 558.242832066509, 'deepth': 2.3842151912647935}"
34,-0.12163266073912382,"{'Nodes_per_layer': 555.6617616283496, 'deepth': 4.507350087326666}"
35,-0.15034343861043453,"{'Nodes_per_layer': 554.6117380177154, 'deepth': 2.0}"
36,-0.12132244929671288,"{'Nodes_per_layer': 313.6415429312991, 'deepth': 4.825735872758909}"
37,-0.13110338430851698,"{'Nodes_per_layer': 313.23179085027436, 'deepth': 2.3475661386012185}"
38,-0.12115862034261227,"{'Nodes_per_layer': 310.6086962387264, 'deepth': 5.0}"
39,-0.12173905782401562,"{'Nodes_per_layer': 308.073342889621, 'deepth': 3.4413973464542114}"
40,-0.12091858498752117,"{'Nodes_per_layer': 563.3759943550962, 'deepth': 4.923034817732395}"
41,-0.12449755612760782,"{'Nodes_per_layer': 564.1589900046457, 'deepth': 2.036027125772329}"
42,-0.12235867232084274,"{'Nodes_per_layer': 566.418215890581, 'deepth': 4.328463803132735}"
43,-0.1221444932743907,"{'Nodes_per_layer': 305.2800447712874, 'deepth': 4.675483472922917}"
44,-0.12267291639000177,"{'Nodes_per_layer': 302.6864489190342, 'deepth': 2.900516346357767}"
45,-0.12440286297351122,"{'Nodes_per_layer': 305.64494230206566, 'deepth': 2.0222158840129736}"
46,-0.1330040730535984,"{'Nodes_per_layer': 569.0125095501046, 'deepth': 2.329375919270897}"
47,-0.1228111470118165,"{'Nodes_per_layer': 215.08582196215627, 'deepth': 2.783043895013277}"
48,-0.12083127163350582,"{'Nodes_per_layer': 218.22735656202576, 'deepth': 4.09142023860258}"
49,-0.12236341368407011,"{'Nodes_per_layer': 220.43541949288226, 'deepth': 2.2365075101012244}"
50,-0.12120939884334803,"{'Nodes_per_layer': 222.17832325760244, 'deepth': 4.91739353598936}"
51,-0.12200835905969143,"{'Nodes_per_layer': 223.5864437567684, 'deepth': 2.3741747374045667}"
52,-0.12129530310630798,"{'Nodes_per_layer': 225.35435297954456, 'deepth': 4.763458374449765}"
53,-0.12420252803713083,"{'Nodes_per_layer': 226.91955107164426, 'deepth': 2.1176791034119313}"
54,-0.12099593877792358,"{'Nodes_per_layer': 229.09260125688436, 'deepth': 4.904592564347301}"
55,-0.12387684173882008,"{'Nodes_per_layer': 231.01193827642672, 'deepth': 2.2846295686433837}"
56,-0.12113897874951363,"{'Nodes_per_layer': 232.7813208936432, 'deepth': 5.0}"
57,-0.12204748392105103,"{'Nodes_per_layer': 234.93481228815713, 'deepth': 2.863073984623166}"
58,-0.12171724252402782,"{'Nodes_per_layer': 237.94106913746856, 'deepth': 4.918619256461093}"
59,-0.12421651277691126,"{'Nodes_per_layer': 239.9398870865916, 'deepth': 2.5166688124314316}"
