,target,params
0,-0.1366204908117652,"{'Nodes_per_layer': 634.1638399373596, 'deepth': 4.13229424839996}"
1,-0.13310348335653543,"{'Nodes_per_layer': 111.33183631459447, 'deepth': 4.561531559388042}"
2,-0.14133060537278652,"{'Nodes_per_layer': 308.90484212896763, 'deepth': 2.4604830802448254}"
3,-0.1338534327223897,"{'Nodes_per_layer': 193.02224165735421, 'deepth': 3.031470620591119}"
4,-0.3236924037337303,"{'Nodes_per_layer': 917.1597684721772, 'deepth': 2.10315011388274}"
5,-0.1384197138249874,"{'Nodes_per_layer': 110.06013442932151, 'deepth': 3.387207147349565}"
6,-0.1323809176683426,"{'Nodes_per_layer': 151.0194274508214, 'deepth': 5.0}"
7,-0.1343831242993474,"{'Nodes_per_layer': 565.9058188901595, 'deepth': 4.621408472699176}"
8,-0.16413412988185883,"{'Nodes_per_layer': 498.64363582869686, 'deepth': 2.433466736708592}"
9,-0.13230707310140133,"{'Nodes_per_layer': 249.4731403017197, 'deepth': 5.0}"
10,-0.13409682549536228,"{'Nodes_per_layer': 702.2822330555595, 'deepth': 4.925184661788898}"
11,-0.1431419625878334,"{'Nodes_per_layer': 763.5030259439357, 'deepth': 3.272789160684142}"
12,-0.13292523100972176,"{'Nodes_per_layer': 378.49986864668296, 'deepth': 4.9327627112028605}"
13,-0.14301188103854656,"{'Nodes_per_layer': 428.10567624567665, 'deepth': 2.04383422791959}"
14,-0.1348226936534047,"{'Nodes_per_layer': 816.7868501053595, 'deepth': 4.890483329473923}"
15,-0.13460811786353588,"{'Nodes_per_layer': 1000.0, 'deepth': 5.0}"
16,-0.13736462965607643,"{'Nodes_per_layer': 599.8574105493155, 'deepth': 2.6593213953325234}"
17,-0.13585656601935625,"{'Nodes_per_layer': 345.0958756277794, 'deepth': 2.0625891580665625}"
18,-0.16326898522675037,"{'Nodes_per_layer': 669.2046083950027, 'deepth': 2.0}"
19,-0.15333065949380398,"{'Nodes_per_layer': 731.1223881095365, 'deepth': 2.0}"
20,-0.13412238284945488,"{'Nodes_per_layer': 221.76404152762868, 'deepth': 2.207490763417958}"
21,-0.13443184923380613,"{'Nodes_per_layer': 536.6254847148425, 'deepth': 2.1938512366143152}"
22,-0.13496304024010897,"{'Nodes_per_layer': 278.3716507929852, 'deepth': 2.2303768253661365}"
23,-0.15922603011131287,"{'Nodes_per_layer': 792.5855729957722, 'deepth': 2.3208897755458278}"
24,-0.14283212646842003,"{'Nodes_per_layer': 846.7157593753961, 'deepth': 2.4252619492008964}"
25,-0.13341110851615667,"{'Nodes_per_layer': 130.43013597488462, 'deepth': 5.0}"
26,-0.13705674558877945,"{'Nodes_per_layer': 459.44144075752973, 'deepth': 4.8769573025479565}"
27,-0.13780908100306988,"{'Nodes_per_layer': 401.202593685074, 'deepth': 2.0620081453512915}"
28,-0.1344380620867014,"{'Nodes_per_layer': 171.29335088528435, 'deepth': 4.805953198289604}"
29,-0.38951805979013443,"{'Nodes_per_layer': 979.5830990115549, 'deepth': 2.0079976249341414}"
30,-0.14941171742975712,"{'Nodes_per_layer': 362.30394309154775, 'deepth': 2.1710661445561197}"
31,-0.13363194558769464,"{'Nodes_per_layer': 327.26390374206915, 'deepth': 4.985129407491932}"
32,-0.13783698994666338,"{'Nodes_per_layer': 870.335191123938, 'deepth': 4.3587879710705915}"
33,-0.2902546301484108,"{'Nodes_per_layer': 582.1398555711708, 'deepth': 2.0150424639290785}"
34,-0.13313227519392967,"{'Nodes_per_layer': 552.4076997719294, 'deepth': 4.431774482105821}"
35,-0.13587146624922752,"{'Nodes_per_layer': 614.9516201147065, 'deepth': 3.6185660768347363}"
36,-0.13463164120912552,"{'Nodes_per_layer': 263.74861002006685, 'deepth': 2.219332482126968}"
37,-0.13329608272761106,"{'Nodes_per_layer': 207.82185757039542, 'deepth': 4.979891607034542}"
38,-0.16695535741746426,"{'Nodes_per_layer': 476.1517114229139, 'deepth': 2.390005849389444}"
39,-0.14156749844551086,"{'Nodes_per_layer': 444.4727521224021, 'deepth': 2.0}"
40,-0.13392759580165148,"{'Nodes_per_layer': 520.1783251305599, 'deepth': 4.976342530539112}"
41,-0.2386572603136301,"{'Nodes_per_layer': 831.1093719476388, 'deepth': 2.038804430150998}"
42,-0.13410998601466417,"{'Nodes_per_layer': 235.82839302546773, 'deepth': 2.332027515110454}"
43,-0.13377443049103022,"{'Nodes_per_layer': 293.5435044825251, 'deepth': 4.862940443593175}"
44,-0.13465594593435526,"{'Nodes_per_layer': 649.6650198167656, 'deepth': 5.0}"
45,-0.1748471911996603,"{'Nodes_per_layer': 688.0499619224817, 'deepth': 2.17877524845951}"
46,-0.29613619670271873,"{'Nodes_per_layer': 715.3024610818011, 'deepth': 2.622482544444192}"
47,-0.1445203274488449,"{'Nodes_per_layer': 140.3828069033477, 'deepth': 2.0106080240111472}"
48,-0.13356969226151705,"{'Nodes_per_layer': 389.8113709173098, 'deepth': 4.767356012283878}"
49,-0.1842839252203703,"{'Nodes_per_layer': 746.9151901260382, 'deepth': 2.2881049080544615}"
50,-0.13292265869677067,"{'Nodes_per_layer': 858.2933556586362, 'deepth': 4.772334717608648}"
51,-0.13289325591176748,"{'Nodes_per_layer': 414.78709521487997, 'deepth': 4.67455557738031}"
52,-0.1362067861482501,"{'Nodes_per_layer': 885.613967301323, 'deepth': 5.0}"
53,-0.41232138872146606,"{'Nodes_per_layer': 806.4227925488026, 'deepth': 2.009344814263499}"
54,-0.13588319439440966,"{'Nodes_per_layer': 528.6797384973901, 'deepth': 4.741358738328912}"
55,-0.13373681623488665,"{'Nodes_per_layer': 120.83627817494708, 'deepth': 3.1371406051901816}"
56,-0.132804399356246,"{'Nodes_per_layer': 161.05197012795423, 'deepth': 4.662091539036552}"
57,-0.13268099259585142,"{'Nodes_per_layer': 182.71708529131405, 'deepth': 4.9093443330742845}"
58,-0.13802935276180506,"{'Nodes_per_layer': 335.8212861696584, 'deepth': 2.280139479770323}"
59,-0.13807534705847502,"{'Nodes_per_layer': 624.4262539573267, 'deepth': 2.2118694570868622}"
