,target,params
0,-0.08435911498963833,"{'Nodes_per_layer': 346.01968444004876, 'deepth': 3.2662129251690812}"
1,-0.08863581530749798,"{'Nodes_per_layer': 618.8787354173097, 'deepth': 4.927948206822084}"
2,-0.08390881586819887,"{'Nodes_per_layer': 547.7229411877634, 'deepth': 4.9551913726973265}"
3,-0.0855227392166853,"{'Nodes_per_layer': 535.0861619685083, 'deepth': 4.893833387697848}"
4,-0.08674235083162785,"{'Nodes_per_layer': 353.6541649359254, 'deepth': 2.3173097956022524}"
5,-0.0839062100276351,"{'Nodes_per_layer': 868.5178384344563, 'deepth': 4.220296752595814}"
6,-0.08321451675146818,"{'Nodes_per_layer': 336.18408206094045, 'deepth': 4.651990002128027}"
7,-0.08650257997214794,"{'Nodes_per_layer': 392.4766209724875, 'deepth': 2.3682044536565434}"
8,-0.08392773382365704,"{'Nodes_per_layer': 449.79000064660687, 'deepth': 3.2161942252921603}"
9,-0.08512765541672707,"{'Nodes_per_layer': 449.88894879855957, 'deepth': 3.515714566445166}"
10,-0.08328253403306007,"{'Nodes_per_layer': 336.48049305129393, 'deepth': 4.377537205596192}"
11,-0.08403419051319361,"{'Nodes_per_layer': 450.0860012531371, 'deepth': 2.2918060662007336}"
12,-0.08409394416958094,"{'Nodes_per_layer': 448.6840657333211, 'deepth': 2.684166054541638}"
13,-0.08381620515137911,"{'Nodes_per_layer': 335.4292357258223, 'deepth': 3.918437871023461}"
14,-0.08389483019709587,"{'Nodes_per_layer': 337.5420095705962, 'deepth': 4.8789681321361265}"
15,-0.08740535099059343,"{'Nodes_per_layer': 336.7348848683604, 'deepth': 2.925152757191152}"
16,-0.08372262865304947,"{'Nodes_per_layer': 334.2328152989421, 'deepth': 4.495681421270874}"
17,-0.08581366017460823,"{'Nodes_per_layer': 333.9047339833727, 'deepth': 3.3191411706750578}"
18,-0.08349349815398455,"{'Nodes_per_layer': 335.28603424067387, 'deepth': 4.779644427591744}"
19,-0.2569459415972233,"{'Nodes_per_layer': 868.2477037448958, 'deepth': 2.844003885641012}"
20,-0.0868059890344739,"{'Nodes_per_layer': 870.0868531491475, 'deepth': 4.8407347022283265}"
21,-0.0835420060902834,"{'Nodes_per_layer': 550.002455325563, 'deepth': 4.672981912396225}"
22,-0.08858239930123091,"{'Nodes_per_layer': 549.0505247621387, 'deepth': 2.9465290063489706}"
23,-0.09116251114755869,"{'Nodes_per_layer': 867.31954486695, 'deepth': 4.977435580048441}"
24,-0.08457907661795616,"{'Nodes_per_layer': 551.5673432284455, 'deepth': 3.267177873735202}"
25,-0.08357760310173035,"{'Nodes_per_layer': 553.2309556568154, 'deepth': 4.834180408738518}"
26,-0.08946016617119312,"{'Nodes_per_layer': 553.7190073887289, 'deepth': 2.5988083422639203}"
27,-0.08402750361710787,"{'Nodes_per_layer': 555.1754356610486, 'deepth': 4.795082981693227}"
28,-0.08414593525230885,"{'Nodes_per_layer': 546.0684082764975, 'deepth': 3.629165916972827}"
29,-0.0840519331395626,"{'Nodes_per_layer': 339.09852689271156, 'deepth': 3.572751533743827}"
30,-0.08379232697188854,"{'Nodes_per_layer': 340.78720695022076, 'deepth': 4.828846058577477}"
31,-0.08433458022773266,"{'Nodes_per_layer': 340.98989824291016, 'deepth': 2.7617188672073487}"
32,-0.08379520941525698,"{'Nodes_per_layer': 342.92845661990896, 'deepth': 4.390035738596365}"
33,-0.08370663970708847,"{'Nodes_per_layer': 344.13092572771814, 'deepth': 2.7744638325430104}"
34,-0.083881925791502,"{'Nodes_per_layer': 345.1986515079159, 'deepth': 4.732412160249014}"
35,-0.08453991450369358,"{'Nodes_per_layer': 868.7266647360682, 'deepth': 4.972072275588636}"
36,-0.08516624756157398,"{'Nodes_per_layer': 347.0452979417272, 'deepth': 4.648052596905529}"
37,-0.08422957733273506,"{'Nodes_per_layer': 347.9671469576939, 'deepth': 2.6914740667998687}"
38,-0.09689898882061243,"{'Nodes_per_layer': 342.4725706537297, 'deepth': 2.098147261129201}"
39,-0.08372938446700573,"{'Nodes_per_layer': 349.09983477247863, 'deepth': 4.4684677061196565}"
40,-0.08388105034828186,"{'Nodes_per_layer': 349.9488890269448, 'deepth': 2.7561887371798033}"
41,-0.08412983547896147,"{'Nodes_per_layer': 350.85434400184545, 'deepth': 4.380005297426241}"
42,-0.08357635978609324,"{'Nodes_per_layer': 551.6296702441659, 'deepth': 4.9312588086832445}"
43,-0.0841651652008295,"{'Nodes_per_layer': 351.763265720661, 'deepth': 2.965121079209019}"
44,-0.08429937157779932,"{'Nodes_per_layer': 352.5250957119607, 'deepth': 4.871924719351474}"
45,-0.08457573596388102,"{'Nodes_per_layer': 544.5626511146761, 'deepth': 4.826540915119789}"
46,-0.08734264597296715,"{'Nodes_per_layer': 543.8271338023067, 'deepth': 2.9307793735943912}"
47,-0.08385634329169989,"{'Nodes_per_layer': 556.9866142771538, 'deepth': 4.9568814664847745}"
48,-0.09372107964009047,"{'Nodes_per_layer': 556.2790832704699, 'deepth': 3.3461469211215067}"
49,-0.08692576736211777,"{'Nodes_per_layer': 338.96506283356734, 'deepth': 2.0383732844719784}"
50,-0.08410796895623207,"{'Nodes_per_layer': 354.4144092559583, 'deepth': 4.400839790171242}"
51,-0.08458142448216677,"{'Nodes_per_layer': 355.6331319099513, 'deepth': 2.836439359134055}"
52,-0.08460013568401337,"{'Nodes_per_layer': 356.18427335930187, 'deepth': 4.527503840621209}"
53,-0.08363768178969622,"{'Nodes_per_layer': 357.55197982775917, 'deepth': 2.773301819981111}"
54,-0.08383903745561838,"{'Nodes_per_layer': 359.01305394318143, 'deepth': 3.840784209636893}"
55,-0.08437387179583311,"{'Nodes_per_layer': 358.953294262575, 'deepth': 2.006317196837204}"
56,-0.08783127926290035,"{'Nodes_per_layer': 360.412259666146, 'deepth': 2.915450399773432}"
57,-0.08356087282299995,"{'Nodes_per_layer': 558.6259491682147, 'deepth': 4.725173455737082}"
58,-0.08335962984710932,"{'Nodes_per_layer': 357.71851611787037, 'deepth': 4.379037551125814}"
59,-0.0857089888304472,"{'Nodes_per_layer': 559.4555338394093, 'deepth': 3.3316768983131144}"
