,target,params
0,-0.12076471000909805,"{'Nodes_per_layer': 876.3236299365384, 'deepth': 2.7601761008150945}"
1,-0.10575350653380156,"{'Nodes_per_layer': 823.0991102685734, 'deepth': 3.7724073022180713}"
2,-0.0997462272644043,"{'Nodes_per_layer': 520.0686489929735, 'deepth': 4.1475176350493825}"
3,-0.1061519393697381,"{'Nodes_per_layer': 674.3098802428941, 'deepth': 2.206207335641908}"
4,-0.10148255620151758,"{'Nodes_per_layer': 906.5079693547768, 'deepth': 4.11491433077852}"
5,-0.10135283786803484,"{'Nodes_per_layer': 518.821339440495, 'deepth': 3.660834074527277}"
6,-0.1003220584243536,"{'Nodes_per_layer': 529.8524356438104, 'deepth': 4.699859379474824}"
7,-0.1010203156620264,"{'Nodes_per_layer': 921.3170711406624, 'deepth': 4.009204804301561}"
8,-0.10487440321594477,"{'Nodes_per_layer': 936.9492373294667, 'deepth': 3.058515310623547}"
9,-0.10007171798497438,"{'Nodes_per_layer': 548.7134837610688, 'deepth': 2.056575447713727}"
10,-0.10237008798867464,"{'Nodes_per_layer': 561.4914140252811, 'deepth': 2.8959367085659795}"
11,-0.11320715118199587,"{'Nodes_per_layer': 581.6584448721273, 'deepth': 2.2850981898171514}"
12,-0.1011233227327466,"{'Nodes_per_layer': 297.8911975028817, 'deepth': 2.331240299806118}"
13,-0.1012426782399416,"{'Nodes_per_layer': 283.910133091116, 'deepth': 4.849953037199823}"
14,-0.1006578216329217,"{'Nodes_per_layer': 312.8314580580636, 'deepth': 4.345456177037388}"
15,-0.10285825747996569,"{'Nodes_per_layer': 327.2104386685387, 'deepth': 2.630036700804743}"
16,-0.10001100972294807,"{'Nodes_per_layer': 268.3050087960242, 'deepth': 2.605280920712619}"
17,-0.099892214871943,"{'Nodes_per_layer': 255.20701599774594, 'deepth': 4.474535742311888}"
18,-0.09932377375662327,"{'Nodes_per_layer': 240.9797588462099, 'deepth': 2.302983130941606}"
19,-0.09978142473846674,"{'Nodes_per_layer': 227.37868702850892, 'deepth': 4.684481191677125}"
20,-0.10089193470776081,"{'Nodes_per_layer': 212.40509792054377, 'deepth': 2.1589763035490477}"
21,-0.1033980343490839,"{'Nodes_per_layer': 194.59598374048386, 'deepth': 4.553029318506219}"
22,-0.10147192236036062,"{'Nodes_per_layer': 100.03287787258753, 'deepth': 2.489875913180734}"
23,-0.10070518776774406,"{'Nodes_per_layer': 117.67378159446922, 'deepth': 4.932965851140104}"
24,-0.10089744627475739,"{'Nodes_per_layer': 133.18059006796352, 'deepth': 2.3326078594786464}"
25,-0.09994477778673172,"{'Nodes_per_layer': 149.18275690445827, 'deepth': 4.903093385324388}"
26,-0.1037089116871357,"{'Nodes_per_layer': 163.02298055596853, 'deepth': 2.879638831132704}"
27,-0.10115410014986992,"{'Nodes_per_layer': 417.3301792058735, 'deepth': 3.637261358098092}"
28,-0.10113717429339886,"{'Nodes_per_layer': 401.4649534725724, 'deepth': 2.5512765921953933}"
29,-0.10330370161682367,"{'Nodes_per_layer': 385.43764210784207, 'deepth': 3.616215919845604}"
30,-0.10386584978550673,"{'Nodes_per_layer': 433.1299887155185, 'deepth': 2.602468660758106}"
31,-0.10044949036091566,"{'Nodes_per_layer': 748.8072281937801, 'deepth': 4.794537665750596}"
32,-0.11433917842805386,"{'Nodes_per_layer': 736.1901190006018, 'deepth': 2.6093780715481656}"
33,-0.10311580635607243,"{'Nodes_per_layer': 758.3066434856449, 'deepth': 4.5967162355773805}"
34,-0.09952293336391449,"{'Nodes_per_layer': 248.0755113394702, 'deepth': 4.726084252413911}"
35,-0.10870746895670891,"{'Nodes_per_layer': 999.7989267224651, 'deepth': 3.941458978269441}"
36,-0.10035632457584143,"{'Nodes_per_layer': 630.0338422621825, 'deepth': 4.828319440895563}"
37,-0.10633672215044498,"{'Nodes_per_layer': 642.4156311295543, 'deepth': 3.32055761801554}"
38,-0.10212467890232801,"{'Nodes_per_layer': 618.8204455219741, 'deepth': 3.827982690810963}"
39,-0.0999080752953887,"{'Nodes_per_layer': 472.7527168823074, 'deepth': 4.798055101364845}"
40,-0.10153867211192846,"{'Nodes_per_layer': 462.05139892103995, 'deepth': 2.2830774835193606}"
41,-0.10553926229476929,"{'Nodes_per_layer': 484.09210086235834, 'deepth': 2.9274906817344597}"
42,-0.09995069168508053,"{'Nodes_per_layer': 540.5999514169366, 'deepth': 4.318952735841296}"
43,-0.09976073913276196,"{'Nodes_per_layer': 354.8139199232935, 'deepth': 4.57026830730825}"
44,-0.10073159076273441,"{'Nodes_per_layer': 365.5030281796651, 'deepth': 2.5304533564472345}"
45,-0.10030220821499825,"{'Nodes_per_layer': 343.96104877291157, 'deepth': 3.3182424113973816}"
46,-0.11919258255511522,"{'Nodes_per_layer': 789.8330218172549, 'deepth': 2.018456228753456}"
47,-0.10539435409009457,"{'Nodes_per_layer': 965.655219384598, 'deepth': 2.0}"
48,-0.10041522700339556,"{'Nodes_per_layer': 701.2556318475905, 'deepth': 4.924252695250758}"
49,-0.10136914253234863,"{'Nodes_per_layer': 844.9066754594025, 'deepth': 4.932991867445726}"
50,-0.10158450063318014,"{'Nodes_per_layer': 712.0526917952822, 'deepth': 2.0}"
51,-0.09968677628785372,"{'Nodes_per_layer': 179.09726967143888, 'deepth': 2.3225913196751384}"
52,-0.10101498942822218,"{'Nodes_per_layer': 448.8191848113993, 'deepth': 4.436043529217649}"
53,-0.12767004780471325,"{'Nodes_per_layer': 691.0686380294264, 'deepth': 2.1109069258331834}"
54,-0.10007024463266134,"{'Nodes_per_layer': 141.2664686291916, 'deepth': 4.882752978493203}"
55,-0.10029399208724499,"{'Nodes_per_layer': 605.1481006944216, 'deepth': 4.761331775164758}"
56,-0.10025170352309942,"{'Nodes_per_layer': 108.93784406802757, 'deepth': 2.1826790913710385}"
57,-0.12000827770680189,"{'Nodes_per_layer': 854.9595051529938, 'deepth': 2.2993926939092346}"
58,-0.10084325075149536,"{'Nodes_per_layer': 836.1361192328657, 'deepth': 4.900145088970275}"
59,-0.09989999886602163,"{'Nodes_per_layer': 659.3482818700763, 'deepth': 4.46060202285584}"
