,target,params
0,-0.069648670963943,"{'Nodes_per_layer': 307.6721280574184, 'deepth': 4.17445500515169}"
1,-0.07446690835058689,"{'Nodes_per_layer': 664.2519852030325, 'deepth': 2.5314207589319455}"
2,-0.06958113797008991,"{'Nodes_per_layer': 311.82739727420216, 'deepth': 2.241552271077251}"
3,-0.08158717211335897,"{'Nodes_per_layer': 880.4530868226793, 'deepth': 2.4753302397370947}"
4,-0.0699412664398551,"{'Nodes_per_layer': 628.0862857392547, 'deepth': 4.906556958661742}"
5,-0.0694382144138217,"{'Nodes_per_layer': 537.1551653182785, 'deepth': 4.565028194419744}"
6,-0.06905187573283911,"{'Nodes_per_layer': 119.21178162612388, 'deepth': 2.065975446989095}"
7,-0.07092124223709106,"{'Nodes_per_layer': 424.88274424880825, 'deepth': 4.769289955732649}"
8,-0.06951718870550394,"{'Nodes_per_layer': 199.25717372079254, 'deepth': 2.0277743523579734}"
9,-0.07502015214413404,"{'Nodes_per_layer': 582.3156277458633, 'deepth': 2.0034211322548683}"
10,-0.06963184522464871,"{'Nodes_per_layer': 157.44106573012604, 'deepth': 2.685388337349454}"
11,-0.06937268562614918,"{'Nodes_per_layer': 494.74381022522465, 'deepth': 4.517507017539272}"
12,-0.0693463422358036,"{'Nodes_per_layer': 248.09157944571817, 'deepth': 2.54165964533271}"
13,-0.06964153796434402,"{'Nodes_per_layer': 366.09330205499737, 'deepth': 4.944423466437813}"
14,-0.07569130789488554,"{'Nodes_per_layer': 999.9534973625521, 'deepth': 3.2571833719884147}"
15,-0.07141325529664755,"{'Nodes_per_layer': 764.6132919150227, 'deepth': 4.888292518426475}"
16,-0.072108737193048,"{'Nodes_per_layer': 461.9583739767598, 'deepth': 2.0}"
17,-0.07050230680033565,"{'Nodes_per_layer': 100.40170348115086, 'deepth': 4.281823009380624}"
18,-0.16200769320130348,"{'Nodes_per_layer': 804.5000080052096, 'deepth': 2.051940021304798}"
19,-0.06975756771862507,"{'Nodes_per_layer': 729.081491558808, 'deepth': 5.0}"
20,-0.07082599215209484,"{'Nodes_per_layer': 943.3863435302769, 'deepth': 4.966019231168494}"
21,-0.07334093749523163,"{'Nodes_per_layer': 394.97721724574563, 'deepth': 2.0}"
22,-0.07778712268918753,"{'Nodes_per_layer': 914.3713898155238, 'deepth': 2.0}"
23,-0.06981185916811228,"{'Nodes_per_layer': 275.5627111807571, 'deepth': 2.0}"
24,-0.07576238363981247,"{'Nodes_per_layer': 696.8556001919658, 'deepth': 2.0969424911537597}"
25,-0.07878588233143091,"{'Nodes_per_layer': 970.4149747088961, 'deepth': 2.4156487822138804}"
26,-0.07100383844226599,"{'Nodes_per_layer': 339.9856247695193, 'deepth': 4.9843203552581805}"
27,-0.07165289809927344,"{'Nodes_per_layer': 223.47455278522574, 'deepth': 4.961039170349626}"
28,-0.07222220674157143,"{'Nodes_per_layer': 748.2776461153896, 'deepth': 2.0}"
29,-0.07100366987287998,"{'Nodes_per_layer': 516.1839294077156, 'deepth': 2.0861081164090853}"
30,-0.07001413125544786,"{'Nodes_per_layer': 177.88439475355588, 'deepth': 4.846681911239239}"
31,-0.07447887491434813,"{'Nodes_per_layer': 607.2764223664213, 'deepth': 2.102432889463932}"
32,-0.07903052028268576,"{'Nodes_per_layer': 557.379047045883, 'deepth': 2.0603601399318676}"
33,-0.0700738588348031,"{'Nodes_per_layer': 137.89321454892246, 'deepth': 4.567698953087623}"
34,-0.08976167626678944,"{'Nodes_per_layer': 644.567175155067, 'deepth': 2.0}"
35,-0.06926519889384508,"{'Nodes_per_layer': 443.11488124503535, 'deepth': 4.7651597836973165}"
36,-0.06994538754224777,"{'Nodes_per_layer': 679.3587039627372, 'deepth': 5.0}"
37,-0.07193572726100683,"{'Nodes_per_layer': 478.79780755285043, 'deepth': 4.848035484625663}"
38,-0.06966218072921038,"{'Nodes_per_layer': 291.17751738927177, 'deepth': 2.0}"
39,-0.07091754721477628,"{'Nodes_per_layer': 260.4396800380739, 'deepth': 4.9627142045325465}"
40,-0.07066171523183584,"{'Nodes_per_layer': 353.8607958651198, 'deepth': 2.031463872859802}"
41,-0.0703479116782546,"{'Nodes_per_layer': 715.2917620447852, 'deepth': 5.0}"
42,-0.07814939506351948,"{'Nodes_per_layer': 378.92277705745704, 'deepth': 2.039383198086578}"
43,-0.06941027287393808,"{'Nodes_per_layer': 409.4382338398586, 'deepth': 5.0}"
44,-0.06956795509904623,"{'Nodes_per_layer': 324.6067049948986, 'deepth': 5.0}"
45,-0.07898901589214802,"{'Nodes_per_layer': 932.1553322323342, 'deepth': 2.152515877667814}"
46,-0.25617976300418377,"{'Nodes_per_layer': 954.8325776579237, 'deepth': 2.0850979279844823}"
47,-0.07083371002227068,"{'Nodes_per_layer': 128.22659934208352, 'deepth': 2.928519847929129}"
48,-0.24822539277374744,"{'Nodes_per_layer': 109.97577775043945, 'deepth': 3.605414442392321}"
49,-0.0694716852158308,"{'Nodes_per_layer': 123.55321010008585, 'deepth': 4.789420664244844}"
50,-0.06966828275471926,"{'Nodes_per_layer': 722.2369856504173, 'deepth': 4.899183257039759}"
51,-0.07047961000353098,"{'Nodes_per_layer': 283.59342693979994, 'deepth': 2.3527565657959264}"
52,-0.07087350403890014,"{'Nodes_per_layer': 416.75536851332544, 'deepth': 3.4959148721812876}"
53,-0.07002195715904236,"{'Nodes_per_layer': 332.2974784665849, 'deepth': 2.9872505298863725}"
54,-0.07800453342497349,"{'Nodes_per_layer': 487.00754498708176, 'deepth': 2.5462890039319275}"
55,-0.06944047845900059,"{'Nodes_per_layer': 434.54795722617666, 'deepth': 4.090422186064751}"
56,-0.19013173133134842,"{'Nodes_per_layer': 148.24046997396573, 'deepth': 3.5997881014109243}"
57,-0.07034886069595814,"{'Nodes_per_layer': 164.19912200085685, 'deepth': 2.899420180999685}"
58,-0.07125386036932468,"{'Nodes_per_layer': 268.19184195286755, 'deepth': 3.7285563262593313}"
59,-0.06956839375197887,"{'Nodes_per_layer': 299.2994108739439, 'deepth': 3.244485677021785}"
