,target,params
0,-0.05130034079775214,"{'Nodes_per_layer': 465.9828534584407, 'deepth': 2.7056158156833083}"
1,-0.04992963746190071,"{'Nodes_per_layer': 112.91527598094797, 'deepth': 2.412695557837338}"
2,-0.051811233162879944,"{'Nodes_per_layer': 403.07445561323095, 'deepth': 2.45580462221527}"
3,-0.05080912867560983,"{'Nodes_per_layer': 233.59086855080986, 'deepth': 4.5247969949284546}"
4,-0.05154466209933162,"{'Nodes_per_layer': 690.1873511092815, 'deepth': 3.353085719295912}"
5,-0.04970639431849122,"{'Nodes_per_layer': 113.53724954753818, 'deepth': 2.984811347346435}"
6,-0.07403090409934521,"{'Nodes_per_layer': 117.51626645721373, 'deepth': 2.8020439606715533}"
7,-0.049988009966909885,"{'Nodes_per_layer': 111.15966790553054, 'deepth': 4.745074072034264}"
8,-0.05135051812976599,"{'Nodes_per_layer': 108.2143187264517, 'deepth': 2.059836095530601}"
9,-0.05245746253058314,"{'Nodes_per_layer': 229.46704862306262, 'deepth': 4.547063145232034}"
10,-0.050519296899437904,"{'Nodes_per_layer': 237.05314624438537, 'deepth': 2.475258664555645}"
11,-0.05022706417366862,"{'Nodes_per_layer': 240.00081937615172, 'deepth': 4.898053591298153}"
12,-0.0501091037876904,"{'Nodes_per_layer': 242.75183057349363, 'deepth': 2.2517343111106816}"
13,-0.05302524659782648,"{'Nodes_per_layer': 245.42424215478098, 'deepth': 4.812476736304246}"
14,-0.0515514318831265,"{'Nodes_per_layer': 470.51463509723203, 'deepth': 3.2465050058630567}"
15,-0.05133868707343936,"{'Nodes_per_layer': 104.53908199437684, 'deepth': 4.9898350201379795}"
16,-0.05100059509277344,"{'Nodes_per_layer': 100.75458735189626, 'deepth': 2.459777628077117}"
17,-0.0496416287496686,"{'Nodes_per_layer': 461.8721201163204, 'deepth': 4.36604904905668}"
18,-0.05469590285792947,"{'Nodes_per_layer': 458.690421156622, 'deepth': 3.9851397501332055}"
19,-0.05059503437951207,"{'Nodes_per_layer': 240.3278011773872, 'deepth': 2.0210662030494984}"
20,-0.050243828911334276,"{'Nodes_per_layer': 685.1544277957883, 'deepth': 3.9318552394281165}"
21,-0.05149923823773861,"{'Nodes_per_layer': 681.967709238305, 'deepth': 2.3184984246216906}"
22,-0.049889948684722185,"{'Nodes_per_layer': 475.6693074609275, 'deepth': 2.61440538306704}"
23,-0.05076906457543373,"{'Nodes_per_layer': 478.92194608501933, 'deepth': 4.227967716963397}"
24,-0.05026998370885849,"{'Nodes_per_layer': 482.3927868977793, 'deepth': 2.026750995047644}"
25,-0.05165295489132404,"{'Nodes_per_layer': 484.3834553903793, 'deepth': 4.806415600602838}"
26,-0.049993330147117376,"{'Nodes_per_layer': 488.5446486557112, 'deepth': 2.0499775629574017}"
27,-0.05019819084554911,"{'Nodes_per_layer': 491.46817288987944, 'deepth': 4.127825161590089}"
28,-0.05049631744623184,"{'Nodes_per_layer': 495.3111563177382, 'deepth': 3.0268214357088086}"
29,-0.05019780108705163,"{'Nodes_per_layer': 498.9823963530087, 'deepth': 4.934179792365506}"
30,-0.052236963994801044,"{'Nodes_per_layer': 500.92597443812343, 'deepth': 2.022540533973381}"
31,-0.049818968400359154,"{'Nodes_per_layer': 488.4260158664116, 'deepth': 4.903438188494422}"
32,-0.049971235916018486,"{'Nodes_per_layer': 697.536220952946, 'deepth': 4.992033027731984}"
33,-0.049896908923983574,"{'Nodes_per_layer': 701.0622458186381, 'deepth': 4.568265146775023}"
34,-0.05082699051126838,"{'Nodes_per_layer': 698.8558915668133, 'deepth': 2.124064839917279}"
35,-0.051648869179189205,"{'Nodes_per_layer': 704.203305783546, 'deepth': 2.3954405769887757}"
36,-0.05386649910360575,"{'Nodes_per_layer': 694.8304238370775, 'deepth': 2.049492990219071}"
37,-0.04984440095722675,"{'Nodes_per_layer': 826.6008075884218, 'deepth': 4.20879718994046}"
38,-0.05198679259046912,"{'Nodes_per_layer': 830.0474666498081, 'deepth': 4.526371521421756}"
39,-0.05014364281669259,"{'Nodes_per_layer': 823.4378168993715, 'deepth': 3.03448172373718}"
40,-0.05045413505285978,"{'Nodes_per_layer': 820.0762264474654, 'deepth': 4.412586708338219}"
41,-0.10022398270666599,"{'Nodes_per_layer': 816.6206577337551, 'deepth': 2.021427226112531}"
42,-0.050248326268047094,"{'Nodes_per_layer': 410.7468333111425, 'deepth': 3.053683735035888}"
43,-0.05042225494980812,"{'Nodes_per_layer': 416.2994750655519, 'deepth': 4.829882072513881}"
44,-0.053558561485260725,"{'Nodes_per_layer': 421.65488933829823, 'deepth': 2.5812681251132554}"
45,-0.05104696657508612,"{'Nodes_per_layer': 395.89405644655017, 'deepth': 4.538701836814371}"
46,-0.052366170566529036,"{'Nodes_per_layer': 389.8583116347936, 'deepth': 3.0113730492645607}"
47,-0.052158431615680456,"{'Nodes_per_layer': 674.9810825634255, 'deepth': 4.692027106660511}"
48,-0.049822685308754444,"{'Nodes_per_layer': 711.475417171226, 'deepth': 4.722681200626909}"
49,-0.04989251075312495,"{'Nodes_per_layer': 716.0104016099696, 'deepth': 2.69225386130642}"
50,-0.05201178649440408,"{'Nodes_per_layer': 720.7294436024985, 'deepth': 4.991270141898774}"
51,-0.06045748805627227,"{'Nodes_per_layer': 667.0877712614537, 'deepth': 2.1544203889077576}"
52,-0.0583078945055604,"{'Nodes_per_layer': 728.1773164991287, 'deepth': 2.200860609771769}"
