,target,params
0,-0.0696354478597641,"{'Nodes_per_layer': 628.0713768134692, 'deepth': 3.377294638683131}"
1,-0.05589872449636459,"{'Nodes_per_layer': 527.2986227990125, 'deepth': 3.258836762488998}"
2,-0.058872361481189725,"{'Nodes_per_layer': 471.32041120289915, 'deepth': 4.881916724799282}"
3,-0.055484027788043025,"{'Nodes_per_layer': 146.2925987388605, 'deepth': 2.360162284131898}"
4,-0.06085191741585731,"{'Nodes_per_layer': 716.8442034099859, 'deepth': 3.469916260462473}"
5,-0.05515473335981369,"{'Nodes_per_layer': 189.0361354752398, 'deepth': 4.292120481352854}"
6,-0.05606461465358734,"{'Nodes_per_layer': 266.61181096074745, 'deepth': 2.922549016662702}"
7,-0.055535275116562845,"{'Nodes_per_layer': 348.2680296685187, 'deepth': 4.764090293295064}"
8,-0.06923131346702575,"{'Nodes_per_layer': 999.8747324182946, 'deepth': 2.1138638536179073}"
9,-0.05540670454502106,"{'Nodes_per_layer': 187.51387296214034, 'deepth': 4.563362689774884}"
10,-0.05575519874691963,"{'Nodes_per_layer': 100.0, 'deepth': 5.0}"
11,-0.05672462433576584,"{'Nodes_per_layer': 832.5233462392644, 'deepth': 4.819601796988616}"
12,-0.05504821091890335,"{'Nodes_per_layer': 400.7741865034907, 'deepth': 2.031862764807266}"
13,-0.11552623808383941,"{'Nodes_per_layer': 891.9809916788895, 'deepth': 2.5989023530136515}"
14,-0.05559374429285526,"{'Nodes_per_layer': 784.0549478817421, 'deepth': 5.0}"
15,-0.05482921004295349,"{'Nodes_per_layer': 570.5247095293234, 'deepth': 5.0}"
16,-0.055286484956741336,"{'Nodes_per_layer': 308.10334759841027, 'deepth': 2.067760061080057}"
17,-0.055253829807043076,"{'Nodes_per_layer': 229.5865435653019, 'deepth': 4.939274718205255}"
18,-0.05651620402932167,"{'Nodes_per_layer': 432.98460752403696, 'deepth': 4.952332802433984}"
19,-0.12403599321842193,"{'Nodes_per_layer': 809.2724325084406, 'deepth': 2.1962124905113622}"
20,-0.0549640242010355,"{'Nodes_per_layer': 328.32905484957155, 'deepth': 3.506176986847821}"
21,-0.05470640994608402,"{'Nodes_per_layer': 766.3861506899171, 'deepth': 4.564703707374553}"
22,-0.059997186064720154,"{'Nodes_per_layer': 549.4969657824928, 'deepth': 3.991540858303167}"
23,-0.05573757737874985,"{'Nodes_per_layer': 123.24873415522015, 'deepth': 3.717620777230831}"
24,-0.05631163232028484,"{'Nodes_per_layer': 849.8985070079726, 'deepth': 4.347218900836494}"
25,-0.057828352227807044,"{'Nodes_per_layer': 376.32034811269415, 'deepth': 3.6142497605302286}"
26,-0.05549564138054848,"{'Nodes_per_layer': 287.39733632431467, 'deepth': 5.0}"
27,-0.05574330650269985,"{'Nodes_per_layer': 502.10945932776804, 'deepth': 4.756427744257683}"
28,-0.056366870924830434,"{'Nodes_per_layer': 591.972500698159, 'deepth': 2.2912535845871855}"
29,-0.055226553976535794,"{'Nodes_per_layer': 680.8248731379038, 'deepth': 4.953376458660226}"
30,-0.05564941018819809,"{'Nodes_per_layer': 952.3891193716717, 'deepth': 4.886651562822285}"
31,-0.056669718399643895,"{'Nodes_per_layer': 211.07273000166754, 'deepth': 2.1523031913379027}"
32,-0.2152947887778282,"{'Nodes_per_layer': 743.3541306340077, 'deepth': 2.182897369870438}"
33,-0.05942753106355667,"{'Nodes_per_layer': 699.2041419415867, 'deepth': 2.1044712459058577}"
34,-0.06358569003641605,"{'Nodes_per_layer': 659.0703016921586, 'deepth': 2.0223026195316427}"
35,-0.05451707765460014,"{'Nodes_per_layer': 972.7911630173553, 'deepth': 5.0}"
36,-0.05469577275216579,"{'Nodes_per_layer': 248.31057193909197, 'deepth': 2.242318802463763}"
37,-0.056597983464598656,"{'Nodes_per_layer': 931.0608268161258, 'deepth': 2.8186857943723225}"
38,-0.05483382828533649,"{'Nodes_per_layer': 165.07014806903626, 'deepth': 4.930489765386795}"
39,-0.05486471392214298,"{'Nodes_per_layer': 451.7801201667467, 'deepth': 2.0}"
40,-0.06010160446166992,"{'Nodes_per_layer': 416.6800261470738, 'deepth': 2.176659195369712}"
41,-0.055435940623283386,"{'Nodes_per_layer': 608.0416380508485, 'deepth': 4.925305626614689}"
42,-0.05634076111018658,"{'Nodes_per_layer': 487.1251735923917, 'deepth': 2.0}"
43,-0.056076643615961076,"{'Nodes_per_layer': 362.5220447447127, 'deepth': 2.028021998260139}"
44,-0.07507610693573952,"{'Nodes_per_layer': 865.8390997664038, 'deepth': 2.2752243535780683}"
45,-0.08523863106966019,"{'Nodes_per_layer': 775.4642859168423, 'deepth': 2.0207303592267722}"
46,-0.057532643899321556,"{'Nodes_per_layer': 514.6337991822979, 'deepth': 2.067972646269089}"
47,-0.05589008182287216,"{'Nodes_per_layer': 916.6221084074871, 'deepth': 4.841077598525633}"
48,-0.05550074651837349,"{'Nodes_per_layer': 389.032913032401, 'deepth': 4.44420476098275}"
49,-0.054655521363019946,"{'Nodes_per_layer': 110.84172168861635, 'deepth': 2.0293514979587597}"
50,-0.05835581012070179,"{'Nodes_per_layer': 984.8923437944583, 'deepth': 2.286131716128484}"
51,-0.05546015128493309,"{'Nodes_per_layer': 644.4746158437055, 'deepth': 4.810748258292172}"
52,-0.0578091312199831,"{'Nodes_per_layer': 134.8455488407582, 'deepth': 4.713990910535322}"
53,-0.05961538478732109,"{'Nodes_per_layer': 580.6944084470648, 'deepth': 2.282117261013445}"
54,-0.06340632438659669,"{'Nodes_per_layer': 962.6052529117591, 'deepth': 2.0}"
55,-0.05578878074884415,"{'Nodes_per_layer': 297.42634304826896, 'deepth': 2.0}"
56,-0.060341651737689975,"{'Nodes_per_layer': 942.1106197541075, 'deepth': 2.0987756546677465}"
57,-0.055219464004039764,"{'Nodes_per_layer': 175.10171854452585, 'deepth': 2.0}"
58,-0.054561302065849304,"{'Nodes_per_layer': 537.9208516879015, 'deepth': 4.99127321174323}"
59,-0.05506356135010719,"{'Nodes_per_layer': 276.81737823659876, 'deepth': 2.1978702020178784}"
