,target,params
0,-0.04310494055971503,"{'Nodes_per_layer': 254.91736669680972, 'deepth': 2.268574181809636}"
1,-0.04336228175088763,"{'Nodes_per_layer': 655.5428381910617, 'deepth': 4.580142024458253}"
2,-0.04400944709777832,"{'Nodes_per_layer': 619.2087645272907, 'deepth': 2.826340702499852}"
3,-0.04514257609844208,"{'Nodes_per_layer': 994.7522676195877, 'deepth': 3.8435689124966395}"
4,-0.04792668065056205,"{'Nodes_per_layer': 734.5537555790835, 'deepth': 2.669525281446265}"
5,-0.04373613512143493,"{'Nodes_per_layer': 213.99081455257516, 'deepth': 4.498635161009297}"
6,-0.8154667168855667,"{'Nodes_per_layer': 255.4697909997935, 'deepth': 3.5329911935864198}"
7,-0.046735051553696394,"{'Nodes_per_layer': 879.4557682802235, 'deepth': 2.326751026382273}"
8,-0.043472373858094215,"{'Nodes_per_layer': 626.0757472918806, 'deepth': 4.055468110893779}"
9,-0.043609564658254385,"{'Nodes_per_layer': 655.3697088841865, 'deepth': 4.554872450666158}"
10,-0.045091485138982534,"{'Nodes_per_layer': 655.8324196285386, 'deepth': 3.227259300374881}"
11,-0.04598217457532883,"{'Nodes_per_layer': 253.56897362839206, 'deepth': 2.034713506730359}"
12,-0.04499045107513666,"{'Nodes_per_layer': 654.4299180313326, 'deepth': 3.02884805670278}"
13,-0.04335005348548293,"{'Nodes_per_layer': 653.5282540942025, 'deepth': 4.304557280808446}"
14,-0.046357905492186546,"{'Nodes_per_layer': 652.799769676447, 'deepth': 2.888988209335566}"
15,-0.04327338095754385,"{'Nodes_per_layer': 651.9370721600455, 'deepth': 4.23841200429865}"
16,-0.06685116048902273,"{'Nodes_per_layer': 651.1321040611255, 'deepth': 2.7497242830930206}"
17,-0.04374554194509983,"{'Nodes_per_layer': 657.282890510224, 'deepth': 3.9707509642713803}"
18,-0.04346170602366328,"{'Nodes_per_layer': 657.1799149926577, 'deepth': 2.2104543347753154}"
19,-0.04355575004592538,"{'Nodes_per_layer': 658.7801677861164, 'deepth': 3.3466708669200322}"
20,-0.043913474306464195,"{'Nodes_per_layer': 658.6016082760618, 'deepth': 4.789194398409361}"
21,-0.0448758308775723,"{'Nodes_per_layer': 660.1137478256272, 'deepth': 4.392836155965064}"
22,-0.05139451194554567,"{'Nodes_per_layer': 659.9819016216898, 'deepth': 2.2709147313406435}"
23,-0.08385739754885435,"{'Nodes_per_layer': 661.3471816697573, 'deepth': 3.080097738764808}"
24,-0.043706897646188736,"{'Nodes_per_layer': 627.5846399470021, 'deepth': 4.215934500499654}"
25,-0.0439787651412189,"{'Nodes_per_layer': 627.3240096455937, 'deepth': 2.5031240871886418}"
26,-0.04475585464388132,"{'Nodes_per_layer': 628.6420170345137, 'deepth': 3.2381404075613056}"
27,-0.0547877405770123,"{'Nodes_per_layer': 625.8276003403076, 'deepth': 2.2262648465777644}"
