,target,params
0,-0.10102344583719969,"{'Nodes_per_layer': 503.6087781866854, 'deepth': 3.652262530532841}"
1,-0.09900147002190351,"{'Nodes_per_layer': 447.0438688634952, 'deepth': 4.37943905849612}"
2,-0.12035893369466066,"{'Nodes_per_layer': 787.5950052530382, 'deepth': 2.580591549474849}"
3,-0.09950409829616547,"{'Nodes_per_layer': 278.9644550195808, 'deepth': 3.1282478324994267}"
4,-0.09930875990539789,"{'Nodes_per_layer': 254.63768635805806, 'deepth': 3.9477500898416316}"
5,-0.09926779847592115,"{'Nodes_per_layer': 100.0, 'deepth': 2.0}"
6,-0.10068420227617025,"{'Nodes_per_layer': 165.48868693622586, 'deepth': 2.061222450785313}"
7,-0.10584510024636984,"{'Nodes_per_layer': 999.9682862619112, 'deepth': 4.566537696224213}"
8,-0.0997026925906539,"{'Nodes_per_layer': 378.42362152835636, 'deepth': 4.989936770090493}"
9,-0.10412016976624727,"{'Nodes_per_layer': 420.485923627779, 'deepth': 2.0173703112517005}"
10,-0.18683265335857868,"{'Nodes_per_layer': 452.2048774943408, 'deepth': 2.3924312119799263}"
11,-0.10564235877245665,"{'Nodes_per_layer': 420.4641039153925, 'deepth': 2.0696813563187986}"
12,-0.100683375261724,"{'Nodes_per_layer': 422.5954527833448, 'deepth': 2.1564533054297135}"
13,-0.10048527549952269,"{'Nodes_per_layer': 444.9553452808339, 'deepth': 4.993815209338339}"
14,-0.10131292045116425,"{'Nodes_per_layer': 445.5189319966344, 'deepth': 2.602650011405407}"
15,-0.09901430830359459,"{'Nodes_per_layer': 100.26168356777299, 'deepth': 4.3801127731195475}"
16,-0.0997003735974431,"{'Nodes_per_layer': 102.57728491237619, 'deepth': 3.1732363902281677}"
17,-0.10078254900872707,"{'Nodes_per_layer': 252.10468718685948, 'deepth': 3.123688208708316}"
18,-0.099952956661582,"{'Nodes_per_layer': 281.5985373368994, 'deepth': 2.7377546459726725}"
19,-0.10068681463599205,"{'Nodes_per_layer': 280.56520309604707, 'deepth': 4.9408612284580276}"
20,-0.10032671224325895,"{'Nodes_per_layer': 375.63300209941053, 'deepth': 4.307172943526393}"
21,-0.10280096344649792,"{'Nodes_per_layer': 377.2719188246468, 'deepth': 2.2484501779305712}"
22,-0.09905903972685337,"{'Nodes_per_layer': 283.9000189433861, 'deepth': 4.436828001775255}"
23,-0.10077403299510479,"{'Nodes_per_layer': 285.2001699593847, 'deepth': 2.2198609590630536}"
24,-0.09936385601758957,"{'Nodes_per_layer': 286.7793226606654, 'deepth': 4.638399318911279}"
25,-0.1048678457736969,"{'Nodes_per_layer': 288.0198731534382, 'deepth': 2.246314611545356}"
26,-0.10006271861493587,"{'Nodes_per_layer': 277.331452790179, 'deepth': 4.962244694473813}"
27,-0.10086376406252384,"{'Nodes_per_layer': 276.3774806002343, 'deepth': 2.247184401271002}"
28,-0.09993954375386238,"{'Nodes_per_layer': 254.09898032768777, 'deepth': 2.1001565838226837}"
29,-0.09882602281868458,"{'Nodes_per_layer': 258.1425207622946, 'deepth': 2.5425917898274237}"
30,-0.09930255822837353,"{'Nodes_per_layer': 261.0058881543608, 'deepth': 4.64175666939789}"
31,-0.09925121441483498,"{'Nodes_per_layer': 256.33962524075093, 'deepth': 3.0440707546687644}"
32,-0.10015730652958155,"{'Nodes_per_layer': 263.9704977487945, 'deepth': 2.144708467337366}"
