,target,params
0,-0.081269814632833,"{'Nodes_per_layer': 148.18626530834163, 'deepth': 2.6332652335999347}"
1,-0.08470920566469431,"{'Nodes_per_layer': 468.08394051969975, 'deepth': 2.2045770846703334}"
2,-0.08241843897849321,"{'Nodes_per_layer': 648.3826556366826, 'deepth': 3.4670279253068537}"
3,-0.08644889760762453,"{'Nodes_per_layer': 721.1869089861133, 'deepth': 3.8300188654266765}"
4,-0.08172752521932125,"{'Nodes_per_layer': 256.26937445528245, 'deepth': 4.822115723160984}"
5,-0.08141580317169428,"{'Nodes_per_layer': 147.9448597544487, 'deepth': 3.8529681283793202}"
6,-0.0818115696310997,"{'Nodes_per_layer': 176.4837293695333, 'deepth': 2.000222993820603}"
7,-0.08149137813597918,"{'Nodes_per_layer': 220.6034484934711, 'deepth': 2.0048562989089813}"
8,-0.08148255757987499,"{'Nodes_per_layer': 103.53944906934132, 'deepth': 2.0283987788402236}"
9,-0.08151816949248314,"{'Nodes_per_layer': 309.6997394772928, 'deepth': 2.0428441290176584}"
10,-0.0816278662532568,"{'Nodes_per_layer': 353.45732331242937, 'deepth': 4.943600940966491}"
11,-0.08277082908898592,"{'Nodes_per_layer': 999.8215526680897, 'deepth': 4.00814746823329}"
12,-0.15419805236160755,"{'Nodes_per_layer': 875.2611770625203, 'deepth': 2.888821860447932}"
13,-0.0818770993500948,"{'Nodes_per_layer': 558.4093438970738, 'deepth': 4.753477871911933}"
14,-0.08817158173769712,"{'Nodes_per_layer': 409.6572055955688, 'deepth': 2.0}"
15,-0.08171870093792677,"{'Nodes_per_layer': 516.8204965143589, 'deepth': 4.980820297622864}"
16,-0.12152325175702572,"{'Nodes_per_layer': 684.6728395188293, 'deepth': 2.0}"
17,-0.08180251438170671,"{'Nodes_per_layer': 608.7180481019893, 'deepth': 5.0}"
18,-0.08226686343550682,"{'Nodes_per_layer': 766.1437993278914, 'deepth': 5.0}"
19,-0.08326234016567469,"{'Nodes_per_layer': 958.7200593471968, 'deepth': 5.0}"
20,-0.13466742262244225,"{'Nodes_per_layer': 802.6138027901435, 'deepth': 2.327502204424173}"
21,-0.0924979243427515,"{'Nodes_per_layer': 744.8271730810388, 'deepth': 2.1088059264178893}"
22,-0.08159476052969694,"{'Nodes_per_layer': 283.1710256213661, 'deepth': 4.880261592983217}"
23,-0.0863569425418973,"{'Nodes_per_layer': 379.85879743120506, 'deepth': 2.0}"
24,-0.0826228754594922,"{'Nodes_per_layer': 440.1210326727082, 'deepth': 5.0}"
25,-0.08760558720678091,"{'Nodes_per_layer': 582.4475171791927, 'deepth': 2.003347455763664}"
26,-0.09406658727675676,"{'Nodes_per_layer': 629.150996157447, 'deepth': 2.2388658073851087}"
27,-0.2969612441956997,"{'Nodes_per_layer': 931.5191731812574, 'deepth': 2.0}"
28,-0.0824725441634655,"{'Nodes_per_layer': 977.1534990706292, 'deepth': 4.9120886185559725}"
29,-0.08526131603866816,"{'Nodes_per_layer': 493.1166735041203, 'deepth': 2.0}"
30,-0.08140931371599436,"{'Nodes_per_layer': 125.82175777682588, 'deepth': 2.417238368730966}"
31,-0.081562883220613,"{'Nodes_per_layer': 199.26263741178076, 'deepth': 4.8467822712751225}"
32,-0.08127366658300161,"{'Nodes_per_layer': 331.47483682683696, 'deepth': 5.0}"
33,-0.08597537782043219,"{'Nodes_per_layer': 537.0832300954447, 'deepth': 2.230728564760463}"
34,-0.08239985816180706,"{'Nodes_per_layer': 838.2456482326431, 'deepth': 4.653865486639809}"
35,-0.08243905194103718,"{'Nodes_per_layer': 238.79683075731015, 'deepth': 4.825656983945226}"
36,-0.08279170002788305,"{'Nodes_per_layer': 425.68037114953006, 'deepth': 2.0}"
37,-0.08197269774973392,"{'Nodes_per_layer': 163.06640183412696, 'deepth': 4.762660939276175}"
38,-0.08482859935611486,"{'Nodes_per_layer': 270.09724130049705, 'deepth': 2.0}"
39,-0.08221783116459846,"{'Nodes_per_layer': 662.372579143568, 'deepth': 4.793827791354657}"
40,-0.09124783705919981,"{'Nodes_per_layer': 967.1317432672687, 'deepth': 2.2962887910896375}"
41,-0.08760329708456993,"{'Nodes_per_layer': 453.530205355125, 'deepth': 2.058450677122342}"
42,-0.08130081184208393,"{'Nodes_per_layer': 394.06776750352805, 'deepth': 5.0}"
43,-0.08261309750378132,"{'Nodes_per_layer': 295.9572293663282, 'deepth': 2.1669352431351276}"
44,-0.10388022754341364,"{'Nodes_per_layer': 825.5571461625776, 'deepth': 2.144230378584017}"
45,-0.08775824308395386,"{'Nodes_per_layer': 596.831176294999, 'deepth': 2.0}"
46,-0.40154504403471947,"{'Nodes_per_layer': 850.8630239204914, 'deepth': 2.1262234624596963}"
47,-0.08404986560344696,"{'Nodes_per_layer': 366.0211764335392, 'deepth': 4.609403889481848}"
48,-0.08331921696662903,"{'Nodes_per_layer': 114.6113894284566, 'deepth': 5.0}"
49,-0.09236584696918726,"{'Nodes_per_layer': 779.9551356649978, 'deepth': 2.2235703546436545}"
50,-0.08150600362569094,"{'Nodes_per_layer': 480.41079975864955, 'deepth': 4.672139192556355}"
51,-0.08171365316957235,"{'Nodes_per_layer': 705.7489909579882, 'deepth': 4.932750225348492}"
52,-0.0820688484236598,"{'Nodes_per_layer': 900.6726310078412, 'deepth': 5.0}"
53,-0.10713762138038874,"{'Nodes_per_layer': 988.3951485984613, 'deepth': 2.0}"
54,-0.08352171257138252,"{'Nodes_per_layer': 187.71204126603402, 'deepth': 5.0}"
55,-0.08963367249816656,"{'Nodes_per_layer': 505.4798393065544, 'deepth': 2.0}"
56,-0.08183978963643312,"{'Nodes_per_layer': 570.3592764897254, 'deepth': 4.68577140763528}"
57,-0.08309657871723175,"{'Nodes_per_layer': 341.85279834347193, 'deepth': 2.14910814236394}"
58,-0.08101236820220947,"{'Nodes_per_layer': 136.7372492019897, 'deepth': 2.1580864480761734}"
59,-0.08305307757109404,"{'Nodes_per_layer': 320.8514501239356, 'deepth': 2.0}"
