,target,params
0,-0.16421059146523476,"{'Nodes_per_layer': 692.0788258330764, 'deepth': 2.666722819855316}"
1,-0.12957744300365448,"{'Nodes_per_layer': 797.5092958798277, 'deepth': 3.7239237569971344}"
2,-0.0639827698469162,"{'Nodes_per_layer': 339.30599360105805, 'deepth': 2.6601187163634927}"
3,-0.06425165198743343,"{'Nodes_per_layer': 375.5622359519342, 'deepth': 2.049442202819018}"
4,-0.06391512043774128,"{'Nodes_per_layer': 296.0385584731316, 'deepth': 3.5624837735522474}"
5,-0.06600967422127724,"{'Nodes_per_layer': 294.52086715778046, 'deepth': 3.3727460467869417}"
6,-0.0644787522032857,"{'Nodes_per_layer': 455.30083880900304, 'deepth': 4.9203507903284125}"
7,-0.06526588834822178,"{'Nodes_per_layer': 532.5851439322986, 'deepth': 2.0}"
8,-0.0663282317109406,"{'Nodes_per_layer': 999.9756552366781, 'deepth': 4.2955597904934875}"
9,-0.06696160975843668,"{'Nodes_per_layer': 100.0, 'deepth': 5.0}"
10,-0.07785353530198336,"{'Nodes_per_layer': 928.3330421283985, 'deepth': 2.8142344194754707}"
11,-0.06354401214048266,"{'Nodes_per_layer': 168.45379578613503, 'deepth': 5.0}"
12,-0.06401856802403927,"{'Nodes_per_layer': 586.6446243463168, 'deepth': 5.0}"
13,-0.0635539242066443,"{'Nodes_per_layer': 214.5534755244733, 'deepth': 5.0}"
14,-0.06791898095980287,"{'Nodes_per_layer': 415.6698229821563, 'deepth': 4.892189587970216}"
15,-0.06365492008626461,"{'Nodes_per_layer': 493.831630822901, 'deepth': 5.0}"
16,-0.06544620729982853,"{'Nodes_per_layer': 875.5590277702171, 'deepth': 5.0}"
17,-0.06530393427237868,"{'Nodes_per_layer': 133.93592753745784, 'deepth': 2.0}"
18,-0.0699065187945962,"{'Nodes_per_layer': 968.3881763340954, 'deepth': 4.939301948777918}"
19,-0.06542673846706748,"{'Nodes_per_layer': 561.5217270366288, 'deepth': 4.972252052917984}"
20,-0.06405930686742067,"{'Nodes_per_layer': 317.17370300248666, 'deepth': 5.0}"
21,-0.0651959148235619,"{'Nodes_per_layer': 620.4924376820545, 'deepth': 2.3572949834662733}"
22,-0.0636495859362185,"{'Nodes_per_layer': 192.48637343825686, 'deepth': 2.0}"
23,-0.08272713702172041,"{'Nodes_per_layer': 851.0727905958737, 'deepth': 2.215420629643101}"
24,-0.07121298229321837,"{'Nodes_per_layer': 898.2711354210528, 'deepth': 2.0}"
25,-0.06348878378048539,"{'Nodes_per_layer': 240.88533847485883, 'deepth': 2.0}"
26,-0.06520159542560577,"{'Nodes_per_layer': 474.5259295830569, 'deepth': 2.203895973269445}"
27,-0.06373644340783358,"{'Nodes_per_layer': 357.6670027563028, 'deepth': 4.960869563315598}"
28,-0.06393487378954887,"{'Nodes_per_layer': 604.8262641678716, 'deepth': 2.0865422188655858}"
29,-0.08597930334508419,"{'Nodes_per_layer': 511.87961465114023, 'deepth': 2.145635456166884}"
30,-0.06357954116538167,"{'Nodes_per_layer': 435.3491244550189, 'deepth': 2.040141359299571}"
31,-0.06361900409683585,"{'Nodes_per_layer': 151.6226632165937, 'deepth': 2.1000960952344796}"
32,-0.06379441544413567,"{'Nodes_per_layer': 394.9003150769864, 'deepth': 4.985896917397579}"
33,-0.06991346972063184,"{'Nodes_per_layer': 546.3521040062861, 'deepth': 2.0}"
34,-0.06417421624064445,"{'Nodes_per_layer': 258.3932319471397, 'deepth': 4.925796784835692}"
