,target,params
0,-0.0638559814542532,"{'Nodes_per_layer': 486.8185268008701, 'deepth': 2.7197322081040767}"
1,-0.061834216583520174,"{'Nodes_per_layer': 781.5207347713625, 'deepth': 3.11755064939514}"
2,-0.0515238824300468,"{'Nodes_per_layer': 507.51464297857893, 'deepth': 4.5746380012112375}"
3,-0.05203723767772317,"{'Nodes_per_layer': 924.5097486040648, 'deepth': 4.777607927621919}"
4,-0.06139057641848922,"{'Nodes_per_layer': 228.40286310660215, 'deepth': 3.610806238015975}"
5,-0.051624545361846685,"{'Nodes_per_layer': 507.2084099443475, 'deepth': 3.4483297411120923}"
6,-0.054127869196236134,"{'Nodes_per_layer': 521.8628803045224, 'deepth': 2.0}"
7,-0.06761975027620792,"{'Nodes_per_layer': 906.6802705399814, 'deepth': 3.535561337043191}"
8,-0.053124286234378815,"{'Nodes_per_layer': 936.1499376973263, 'deepth': 4.570684744551491}"
9,-0.05947151966392994,"{'Nodes_per_layer': 956.8092404567665, 'deepth': 2.453313454056323}"
10,-0.05185580253601074,"{'Nodes_per_layer': 542.0844986409681, 'deepth': 4.447132131583058}"
11,-0.05345806060358882,"{'Nodes_per_layer': 556.4145603354152, 'deepth': 3.6661126052599986}"
12,-0.05347184417769313,"{'Nodes_per_layer': 576.841876447367, 'deepth': 4.788997595993968}"
13,-0.053007050417363644,"{'Nodes_per_layer': 595.3865078770523, 'deepth': 2.6891028888981436}"
14,-0.05172459641471505,"{'Nodes_per_layer': 613.4333352411905, 'deepth': 4.978995386676048}"
15,-0.053803650196641684,"{'Nodes_per_layer': 629.606113066004, 'deepth': 2.0958199616196223}"
16,-0.05273168161511421,"{'Nodes_per_layer': 653.985252752172, 'deepth': 4.634320880041764}"
17,-0.0541754299774766,"{'Nodes_per_layer': 672.1378578173199, 'deepth': 2.652921572099038}"
18,-0.05235416814684868,"{'Nodes_per_layer': 697.7636888181198, 'deepth': 4.09703693641977}"
19,-0.052698350977152586,"{'Nodes_per_layer': 714.8117700023513, 'deepth': 3.515174483473266}"
20,-0.05428323708474636,"{'Nodes_per_layer': 734.4517420569235, 'deepth': 4.598565649721355}"
21,-0.051703400909900665,"{'Nodes_per_layer': 100.00324456493323, 'deepth': 4.047026180911485}"
22,-0.05253547057509422,"{'Nodes_per_layer': 115.62420088649777, 'deepth': 3.0427216600958884}"
23,-0.05185008328408003,"{'Nodes_per_layer': 136.0099949171175, 'deepth': 5.0}"
24,-0.052346866112202406,"{'Nodes_per_layer': 152.87976730795407, 'deepth': 2.362015091499397}"
25,-0.052640400826931,"{'Nodes_per_layer': 172.40283269045688, 'deepth': 4.5646756183805275}"
26,-0.05730553390458226,"{'Nodes_per_layer': 190.68514614505654, 'deepth': 2.0}"
27,-0.05190446553751826,"{'Nodes_per_layer': 356.7404606407044, 'deepth': 4.32235173960893}"
28,-0.05306569207459688,"{'Nodes_per_layer': 339.918746481182, 'deepth': 4.307610894015617}"
29,-0.054287200793623924,"{'Nodes_per_layer': 374.21962780418914, 'deepth': 2.369218907436242}"
30,-0.058271994814276695,"{'Nodes_per_layer': 316.8772104409228, 'deepth': 2.2739549532917662}"
31,-0.05839034728705883,"{'Nodes_per_layer': 417.0975900533638, 'deepth': 4.95423372819121}"
32,-0.05173518089577556,"{'Nodes_per_layer': 841.8940675493918, 'deepth': 4.654815096168969}"
33,-0.060003841295838356,"{'Nodes_per_layer': 857.4153686578577, 'deepth': 2.2763990029944345}"
34,-0.05226138513535261,"{'Nodes_per_layer': 829.507289232839, 'deepth': 4.902196661375365}"
35,-0.05653808452188969,"{'Nodes_per_layer': 999.881033287463, 'deepth': 4.909774748306436}"
