,target,params
0,-0.08703366294503212,"{'Nodes_per_layer': 700.0826580416916, 'deepth': 4.774929887530938}"
1,-0.08553700614720583,"{'Nodes_per_layer': 202.49246602340924, 'deepth': 4.67614702101954}"
2,-0.08777288999408484,"{'Nodes_per_layer': 704.098329880565, 'deepth': 2.0602523569117164}"
3,-0.08725463785231113,"{'Nodes_per_layer': 936.7449445315008, 'deepth': 2.4321344071758206}"
4,-0.08998967334628105,"{'Nodes_per_layer': 897.7373678745291, 'deepth': 3.056403813355418}"
5,-0.08559907972812653,"{'Nodes_per_layer': 202.5937519182644, 'deepth': 4.496522082096017}"
6,-0.08494582306593657,"{'Nodes_per_layer': 194.22267726840536, 'deepth': 5.0}"
7,-0.0849866596981883,"{'Nodes_per_layer': 180.23500800163652, 'deepth': 4.954987695494522}"
8,-0.08540032245218754,"{'Nodes_per_layer': 164.36236083260877, 'deepth': 4.40221920212511}"
9,-0.0858943946659565,"{'Nodes_per_layer': 143.53190115646177, 'deepth': 4.34964941199512}"
10,-0.08525625057518482,"{'Nodes_per_layer': 119.00429698756494, 'deepth': 2.271628387350624}"
11,-0.0851967167109251,"{'Nodes_per_layer': 101.73971854052708, 'deepth': 4.310641599713753}"
12,-0.08605259004980326,"{'Nodes_per_layer': 668.6460243829492, 'deepth': 4.835336925205565}"
13,-0.08605524804443121,"{'Nodes_per_layer': 639.1123375957026, 'deepth': 4.414833856361652}"
14,-0.09667513612657785,"{'Nodes_per_layer': 610.8679553853106, 'deepth': 2.091616653948252}"
15,-0.08592514786869287,"{'Nodes_per_layer': 397.1412813471114, 'deepth': 4.768193443810706}"
16,-0.08760466240346432,"{'Nodes_per_layer': 356.7352664844404, 'deepth': 3.331057898598488}"
17,-0.10003955755382776,"{'Nodes_per_layer': 434.6711512919968, 'deepth': 3.5049147233608755}"
18,-0.10070214048027992,"{'Nodes_per_layer': 994.885363670896, 'deepth': 2.2595737272950287}"
19,-0.09217450581490993,"{'Nodes_per_layer': 802.0005031480993, 'deepth': 4.676656577592983}"
20,-0.08556766528636217,"{'Nodes_per_layer': 279.5051898696321, 'deepth': 4.991710733930627}"
21,-0.08573651127517223,"{'Nodes_per_layer': 313.11428591179686, 'deepth': 2.0}"
22,-0.08624040242284536,"{'Nodes_per_layer': 523.9658353040763, 'deepth': 4.901903279480358}"
23,-0.08739070687443018,"{'Nodes_per_layer': 245.75361576594702, 'deepth': 5.0}"
24,-0.08761853538453579,"{'Nodes_per_layer': 752.0595351902126, 'deepth': 4.963838621938092}"
25,-0.10273993667215109,"{'Nodes_per_layer': 553.4929040884767, 'deepth': 2.07136033864201}"
26,-0.08652362879365683,"{'Nodes_per_layer': 496.91679460220337, 'deepth': 4.770346556465376}"
27,-0.11050903704017401,"{'Nodes_per_layer': 852.1113811473508, 'deepth': 2.3331559152810466}"
28,-0.08816630858927965,"{'Nodes_per_layer': 380.2509262634434, 'deepth': 2.1854317454167314}"
29,-0.08553045522421598,"{'Nodes_per_layer': 333.3338906103337, 'deepth': 5.0}"
30,-0.10107356868684292,"{'Nodes_per_layer': 775.1398993379951, 'deepth': 2.072281003705267}"
31,-0.08644462563097477,"{'Nodes_per_layer': 731.2621067490799, 'deepth': 4.875602540878766}"
32,-0.08649074379354715,"{'Nodes_per_layer': 918.762687283889, 'deepth': 4.5225697201349675}"
33,-0.08548784255981445,"{'Nodes_per_layer': 295.9419218050389, 'deepth': 5.0}"
34,-0.0859044948592782,"{'Nodes_per_layer': 511.87706685241056, 'deepth': 2.0077875631508695}"
35,-0.08499556314200163,"{'Nodes_per_layer': 224.74694369182168, 'deepth': 4.786803720943764}"
36,-0.10232960432767868,"{'Nodes_per_layer': 653.1468098055292, 'deepth': 2.0}"
37,-0.12401335500180721,"{'Nodes_per_layer': 682.2349183119326, 'deepth': 2.683885720409748}"
38,-0.08630593493580818,"{'Nodes_per_layer': 130.8484756756748, 'deepth': 3.3950639076073745}"
39,-0.08512904960662127,"{'Nodes_per_layer': 322.9643390736661, 'deepth': 4.763106068818733}"
40,-0.09509499371051788,"{'Nodes_per_layer': 154.40361280463853, 'deepth': 2.263665408183609}"
41,-0.08546052500605583,"{'Nodes_per_layer': 214.6319514098092, 'deepth': 4.944075184327778}"
42,-0.08555096946656704,"{'Nodes_per_layer': 266.64852698642255, 'deepth': 4.259174825856224}"
43,-0.08567245677113533,"{'Nodes_per_layer': 344.3258833871772, 'deepth': 2.6267672066146606}"
44,-0.09345989488065243,"{'Nodes_per_layer': 483.12230282411974, 'deepth': 2.0}"
45,-0.15785188600420952,"{'Nodes_per_layer': 408.9128755263969, 'deepth': 2.0}"
46,-0.0854260353371501,"{'Nodes_per_layer': 389.6011931757367, 'deepth': 5.0}"
47,-0.0857686698436737,"{'Nodes_per_layer': 234.6935502573625, 'deepth': 2.102436370580292}"
48,-0.08573201112449169,"{'Nodes_per_layer': 718.8084447312647, 'deepth': 4.7986794607145615}"
49,-0.08638046309351921,"{'Nodes_per_layer': 950.9318931732307, 'deepth': 3.496804724829601}"
50,-0.13633755035698414,"{'Nodes_per_layer': 964.1406577131315, 'deepth': 2.1940887593268235}"
51,-0.08557204250246286,"{'Nodes_per_layer': 628.1789917753661, 'deepth': 4.856338682585191}"
52,-0.08649289049208164,"{'Nodes_per_layer': 881.1244244881949, 'deepth': 4.726471837876077}"
53,-0.0864752670750022,"{'Nodes_per_layer': 256.7466455788114, 'deepth': 2.040008947969876}"
54,-0.08600876852869987,"{'Nodes_per_layer': 583.6002122342993, 'deepth': 4.992728747654872}"
55,-0.0942649319767952,"{'Nodes_per_layer': 822.0648244773569, 'deepth': 2.2831800770944355}"
56,-0.08854509051889181,"{'Nodes_per_layer': 572.4891884575034, 'deepth': 2.061391170697044}"
57,-0.08539036009460688,"{'Nodes_per_layer': 461.18092137008887, 'deepth': 4.962807048962947}"
58,-0.10281290952116251,"{'Nodes_per_layer': 741.2938620274106, 'deepth': 2.0244165561247964}"
59,-0.08544903621077538,"{'Nodes_per_layer': 368.45731939961615, 'deepth': 5.0}"
