,target,params
0,-0.05627659196034074,"{'Nodes_per_layer': 366.7596572400566, 'deepth': 4.372370542789813}"
1,-0.05818825168535113,"{'Nodes_per_layer': 275.9088079925615, 'deepth': 2.7126757945170588}"
2,-0.057956821750849485,"{'Nodes_per_layer': 626.4435061549693, 'deepth': 4.79621356085803}"
3,-0.05894768284633756,"{'Nodes_per_layer': 605.6222055122039, 'deepth': 3.267666617334348}"
4,-0.05610143858939409,"{'Nodes_per_layer': 545.241934994227, 'deepth': 4.130919545833377}"
5,-0.05768241500481963,"{'Nodes_per_layer': 544.1236094675396, 'deepth': 2.5797497846685467}"
6,-0.05646918807178736,"{'Nodes_per_layer': 545.2395950377081, 'deepth': 4.130402751579473}"
7,-0.057956432458013296,"{'Nodes_per_layer': 749.248038718098, 'deepth': 4.449426130869849}"
8,-0.06669324496760964,"{'Nodes_per_layer': 400.5087189636591, 'deepth': 2.547270041133087}"
9,-0.056037561036646366,"{'Nodes_per_layer': 544.1509614505015, 'deepth': 2.455912475086331}"
10,-0.056438553147017956,"{'Nodes_per_layer': 366.85882290455874, 'deepth': 4.5357323634847955}"
11,-0.0555691490881145,"{'Nodes_per_layer': 211.79791146641344, 'deepth': 2.3299388046232377}"
12,-0.056519631296396255,"{'Nodes_per_layer': 307.4989396885454, 'deepth': 4.699992031833434}"
13,-0.055867649149149656,"{'Nodes_per_layer': 366.6760749350248, 'deepth': 4.23002110759544}"
14,-0.05559564335271716,"{'Nodes_per_layer': 211.78159677145874, 'deepth': 2.2218810022230584}"
15,-0.07305366173386574,"{'Nodes_per_layer': 211.8428334860051, 'deepth': 2.301941993769341}"
16,-0.05664654774591327,"{'Nodes_per_layer': 544.2072762315238, 'deepth': 2.4226592296597005}"
17,-0.05639321310445666,"{'Nodes_per_layer': 366.7865039539818, 'deepth': 4.60433578679514}"
18,-0.05592079181224108,"{'Nodes_per_layer': 324.0812578845906, 'deepth': 3.7645816041957496}"
19,-0.05604033824056387,"{'Nodes_per_layer': 307.3803329761057, 'deepth': 4.727098321027713}"
20,-0.05592750199139118,"{'Nodes_per_layer': 381.2363974815599, 'deepth': 3.684919494443614}"
21,-0.05698054190725088,"{'Nodes_per_layer': 324.07406978205876, 'deepth': 3.7225599502852673}"
22,-0.057095504365861416,"{'Nodes_per_layer': 993.3112353343695, 'deepth': 2.3302408778272024}"
23,-0.05566913029178977,"{'Nodes_per_layer': 307.54243618627714, 'deepth': 4.595001614721455}"
24,-0.056448026560246944,"{'Nodes_per_layer': 367.0008106606957, 'deepth': 4.573252403098591}"
25,-0.05604201881214976,"{'Nodes_per_layer': 866.8808170601876, 'deepth': 4.446195854151638}"
26,-0.05969818774610758,"{'Nodes_per_layer': 153.31434495860134, 'deepth': 4.473293500293648}"
27,-0.056094482075423,"{'Nodes_per_layer': 172.42160645975645, 'deepth': 4.8687289721539795}"
28,-0.05869646277278662,"{'Nodes_per_layer': 211.713931625718, 'deepth': 2.274479165734817}"
29,-0.05570217128843069,"{'Nodes_per_layer': 367.03848777842256, 'deepth': 4.633719096393632}"
30,-0.05876808753237128,"{'Nodes_per_layer': 344.1218512467146, 'deepth': 2.0353481240881024}"
31,-0.0785400914028287,"{'Nodes_per_layer': 172.45215931596465, 'deepth': 4.860278542131967}"
32,-0.056877406779676676,"{'Nodes_per_layer': 366.6708024253787, 'deepth': 4.4181062861077915}"
33,-0.05901823053136468,"{'Nodes_per_layer': 557.1720339005311, 'deepth': 4.626500658629162}"
34,-0.05888389842584729,"{'Nodes_per_layer': 307.53390316610717, 'deepth': 4.474341013851539}"
35,-0.0562542867846787,"{'Nodes_per_layer': 341.2388722944253, 'deepth': 4.5460454765506695}"
36,-0.05722464108839631,"{'Nodes_per_layer': 243.09545086660336, 'deepth': 2.366636437086043}"
37,-0.05609074141830206,"{'Nodes_per_layer': 307.4815556003148, 'deepth': 4.664944554109471}"
38,-0.05738850450143218,"{'Nodes_per_layer': 498.711181189771, 'deepth': 4.354928978239451}"
39,-0.056085269432514906,"{'Nodes_per_layer': 324.0827738266693, 'deepth': 3.6579102354313533}"
40,-0.05607305467128754,"{'Nodes_per_layer': 307.36819732624093, 'deepth': 4.620452765074439}"
41,-0.05581373116001487,"{'Nodes_per_layer': 476.8073697834221, 'deepth': 4.38661254064166}"
42,-0.059117892757058144,"{'Nodes_per_layer': 367.1015374656303, 'deepth': 4.60199268690244}"
43,-0.06439537974074483,"{'Nodes_per_layer': 993.3447532473842, 'deepth': 2.3229615627407174}"
44,-0.05596573697403073,"{'Nodes_per_layer': 307.44373694831324, 'deepth': 4.70225070723712}"
45,-0.06803255062550306,"{'Nodes_per_layer': 298.85055554500923, 'deepth': 4.013655419645606}"
46,-0.05573039222508669,"{'Nodes_per_layer': 366.8367277795049, 'deepth': 4.497860016555874}"
47,-0.05575431976467371,"{'Nodes_per_layer': 387.0532379749521, 'deepth': 4.406625585780817}"
48,-0.05577251873910427,"{'Nodes_per_layer': 341.18985025344875, 'deepth': 4.603848171514969}"
49,-0.056176398415118456,"{'Nodes_per_layer': 866.9260791860279, 'deepth': 4.416587873325623}"
