,target,params
0,-0.12510480172932148,"{'Nodes_per_layer': 307.3361785196051, 'deepth': 4.9405195613349004}"
1,-0.1215011989697814,"{'Nodes_per_layer': 855.819519878615, 'deepth': 3.1444015273936516}"
2,-0.11950801033526659,"{'Nodes_per_layer': 439.15826904619587, 'deepth': 4.614509689234323}"
3,-0.11810710746794939,"{'Nodes_per_layer': 473.40086612045025, 'deepth': 3.7119033298994593}"
4,-0.11686703097075224,"{'Nodes_per_layer': 162.75387377770133, 'deepth': 3.469658181601996}"
5,-0.1175055056810379,"{'Nodes_per_layer': 163.92488820253624, 'deepth': 3.311995068219355}"
6,-0.12141653802245855,"{'Nodes_per_layer': 154.11840817401622, 'deepth': 4.3856213142464}"
7,-0.1185692623257637,"{'Nodes_per_layer': 466.9899831737914, 'deepth': 4.916757835645654}"
8,-0.11647510714828968,"{'Nodes_per_layer': 480.65345247089346, 'deepth': 4.316178583732377}"
9,-0.14811394177377224,"{'Nodes_per_layer': 486.2910655072887, 'deepth': 2.011725119102214}"
10,-0.11907008290290833,"{'Nodes_per_layer': 477.2270470221218, 'deepth': 2.5979085934394686}"
11,-0.12254880182445049,"{'Nodes_per_layer': 461.5027295375079, 'deepth': 2.189688718194491}"
12,-0.11916409246623516,"{'Nodes_per_layer': 433.31011148175725, 'deepth': 2.0124402183974315}"
13,-0.11868619546294212,"{'Nodes_per_layer': 427.75470542962523, 'deepth': 4.443253912263556}"
14,-0.12103924807161093,"{'Nodes_per_layer': 422.20765276798727, 'deepth': 2.484714951768072}"
15,-0.13092409260571003,"{'Nodes_per_layer': 445.2421579009667, 'deepth': 2.614012457595908}"
16,-0.11903411615639925,"{'Nodes_per_layer': 170.5272138173633, 'deepth': 4.883295132247804}"
17,-0.11907722800970078,"{'Nodes_per_layer': 175.51518335431894, 'deepth': 2.2551033472012008}"
18,-0.11840846762061119,"{'Nodes_per_layer': 181.21579031860324, 'deepth': 4.168816958110563}"
19,-0.12699348852038383,"{'Nodes_per_layer': 186.622403174408, 'deepth': 3.9467352940708413}"
20,-0.12264387216418982,"{'Nodes_per_layer': 158.31502252415638, 'deepth': 2.1030492350531897}"
21,-0.11921401601284742,"{'Nodes_per_layer': 469.4904157200012, 'deepth': 2.3111643304151683}"
22,-0.11755976919084787,"{'Nodes_per_layer': 145.22932703935433, 'deepth': 4.315243205815165}"
23,-0.11734921857714653,"{'Nodes_per_layer': 140.20634265667144, 'deepth': 3.87158466768057}"
24,-0.1169323232024908,"{'Nodes_per_layer': 134.91503338619202, 'deepth': 4.968781602440705}"
25,-0.12801177892833948,"{'Nodes_per_layer': 130.61689675545506, 'deepth': 2.0}"
26,-0.11717482749372721,"{'Nodes_per_layer': 148.86136346928402, 'deepth': 2.0103105684448606}"
27,-0.1184401148930192,"{'Nodes_per_layer': 597.7915461659873, 'deepth': 4.928566800254609}"
28,-0.11743010766804218,"{'Nodes_per_layer': 592.4852178861113, 'deepth': 3.0607729411733193}"
29,-0.11756644304841757,"{'Nodes_per_layer': 587.223033234442, 'deepth': 3.863445702138554}"
30,-0.11968294344842434,"{'Nodes_per_layer': 581.6120199872082, 'deepth': 2.9199742583416883}"
31,-0.11857887171208858,"{'Nodes_per_layer': 603.5025103976017, 'deepth': 2.55226200036117}"
32,-0.11740466300398111,"{'Nodes_per_layer': 609.1477916863969, 'deepth': 4.731312093757105}"
33,-0.13148138485848904,"{'Nodes_per_layer': 613.6525885641846, 'deepth': 2.5740106701081893}"
34,-0.11713721230626106,"{'Nodes_per_layer': 136.9096519388226, 'deepth': 2.227701056826205}"
35,-0.11769068706780672,"{'Nodes_per_layer': 573.8786731439286, 'deepth': 4.678362870097224}"
36,-0.1177672604098916,"{'Nodes_per_layer': 568.773122168723, 'deepth': 4.402951555622492}"
37,-0.13811562024056911,"{'Nodes_per_layer': 563.7601479053058, 'deepth': 2.037255456627796}"
38,-0.1397649422287941,"{'Nodes_per_layer': 688.6650953262023, 'deepth': 2.983567026207628}"
39,-0.11790626123547554,"{'Nodes_per_layer': 843.7694651317548, 'deepth': 4.61025261400494}"
40,-0.12058372609317303,"{'Nodes_per_layer': 837.8860872671567, 'deepth': 4.043078727165673}"
41,-0.16128301434218884,"{'Nodes_per_layer': 848.5628101807521, 'deepth': 2.0457279445766323}"
42,-0.12167639657855034,"{'Nodes_per_layer': 861.6328172331473, 'deepth': 4.584270538477646}"
43,-0.11778966803103685,"{'Nodes_per_layer': 415.1484151526257, 'deepth': 4.907498990633782}"
44,-0.18324175849556923,"{'Nodes_per_layer': 410.6355808290503, 'deepth': 2.8118919238735933}"
45,-0.11715390626341105,"{'Nodes_per_layer': 418.12009169221534, 'deepth': 4.718731575038464}"
46,-0.1219257302582264,"{'Nodes_per_layer': 576.6349379500746, 'deepth': 2.140455310236989}"
47,-0.18751602992415428,"{'Nodes_per_layer': 831.7790302400966, 'deepth': 2.215836725823578}"
48,-0.12791448924690485,"{'Nodes_per_layer': 869.6968823333956, 'deepth': 2.394060710620182}"
49,-0.13006498664617538,"{'Nodes_per_layer': 981.9901179768958, 'deepth': 2.287650580149271}"
50,-0.1208758158609271,"{'Nodes_per_layer': 753.0229374802618, 'deepth': 3.465633445400795}"
51,-0.11784477159380913,"{'Nodes_per_layer': 759.7543375328806, 'deepth': 4.946580117313328}"
52,-0.12147410120815039,"{'Nodes_per_layer': 765.3187180895233, 'deepth': 3.14538476002242}"
53,-0.12008960358798504,"{'Nodes_per_layer': 745.9895748674955, 'deepth': 4.358747917671649}"
54,-0.2025440651923418,"{'Nodes_per_layer': 739.8789773937465, 'deepth': 2.2953300735652604}"
55,-0.12320076487958431,"{'Nodes_per_layer': 773.9847725499769, 'deepth': 4.506695122810253}"
56,-0.14664455130696297,"{'Nodes_per_layer': 782.7586079126455, 'deepth': 2.0375218235527806}"
57,-0.11716838274151087,"{'Nodes_per_layer': 296.72428324434543, 'deepth': 4.450838964511501}"
58,-0.11716606840491295,"{'Nodes_per_layer': 290.52772860800917, 'deepth': 3.648850162759231}"
59,-0.11712139751762152,"{'Nodes_per_layer': 283.97189829911713, 'deepth': 3.4721852527002475}"
