,target,params
0,-0.13468854874372482,"{'Nodes_per_layer': 300.0423464114547, 'deepth': 4.935824228381181}"
1,-0.14479583501815796,"{'Nodes_per_layer': 919.4706764488513, 'deepth': 3.7088465465067575}"
2,-0.1415125224739313,"{'Nodes_per_layer': 813.3763923678209, 'deepth': 3.3662261264143045}"
3,-0.13890815153717995,"{'Nodes_per_layer': 446.35463025471165, 'deepth': 2.668649615939868}"
4,-0.14232446812093258,"{'Nodes_per_layer': 790.1653091747967, 'deepth': 3.629269868411485}"
5,-0.13489132840186357,"{'Nodes_per_layer': 299.67835457170975, 'deepth': 4.077508637953032}"
6,-0.13487137015908957,"{'Nodes_per_layer': 330.89425043353316, 'deepth': 4.967922068993695}"
7,-0.13505383022129536,"{'Nodes_per_layer': 222.28669967985272, 'deepth': 4.987487644037595}"
8,-0.13522951863706112,"{'Nodes_per_layer': 171.948289517366, 'deepth': 4.709559875890424}"
9,-0.1363716423511505,"{'Nodes_per_layer': 109.37798193418624, 'deepth': 2.303337752854318}"
10,-0.13503463566303253,"{'Nodes_per_layer': 604.1327720771917, 'deepth': 4.8684520239055225}"
11,-0.14348817244172096,"{'Nodes_per_layer': 657.1865009335179, 'deepth': 2.2369143608337145}"
12,-0.13675503619015217,"{'Nodes_per_layer': 562.8797429873258, 'deepth': 4.701340850311812}"
13,-0.13519869931042194,"{'Nodes_per_layer': 378.5217728887525, 'deepth': 5.0}"
14,-0.13467552978545427,"{'Nodes_per_layer': 258.33086201318537, 'deepth': 5.0}"
15,-0.23320433869957924,"{'Nodes_per_layer': 1000.0, 'deepth': 2.0}"
16,-0.13599203899502754,"{'Nodes_per_layer': 874.5714692906587, 'deepth': 5.0}"
17,-0.13713256176561117,"{'Nodes_per_layer': 503.89156429529964, 'deepth': 5.0}"
18,-0.13719927705824375,"{'Nodes_per_layer': 724.2707506959504, 'deepth': 5.0}"
19,-0.1358703998848796,"{'Nodes_per_layer': 138.87882383892088, 'deepth': 4.950358315198945}"
20,-0.1347815003246069,"{'Nodes_per_layer': 409.4658067272368, 'deepth': 4.996452160696331}"
21,-0.13788219634443521,"{'Nodes_per_layer': 531.6580953105131, 'deepth': 2.0}"
22,-0.13702352065593004,"{'Nodes_per_layer': 197.5382651853567, 'deepth': 2.0115079023807056}"
23,-0.30363552272319794,"{'Nodes_per_layer': 893.753104002742, 'deepth': 2.0889418876553254}"
24,-0.1365521401166916,"{'Nodes_per_layer': 860.1275906320183, 'deepth': 5.0}"
25,-0.13982663117349148,"{'Nodes_per_layer': 240.66052655744167, 'deepth': 2.0925602174772413}"
26,-0.1345978695899248,"{'Nodes_per_layer': 278.50054083708386, 'deepth': 5.0}"
27,-0.13536612689495087,"{'Nodes_per_layer': 584.2419317327593, 'deepth': 4.412328531483402}"
28,-0.134832383133471,"{'Nodes_per_layer': 353.5713525497764, 'deepth': 4.594200035049792}"
29,-0.1407733578234911,"{'Nodes_per_layer': 426.7165898349133, 'deepth': 2.048578854109844}"
30,-0.14545188285410404,"{'Nodes_per_layer': 624.7795424961923, 'deepth': 2.631729921638768}"
31,-0.13520373962819576,"{'Nodes_per_layer': 481.9808898151665, 'deepth': 4.263413972349585}"
