,target,params
0,-0.06950212363153696,"{'Nodes_per_layer': 309.52338759184505, 'deepth': 3.362984976556105}"
1,-0.06800510361790657,"{'Nodes_per_layer': 565.7064991533383, 'deepth': 3.974181159930873}"
2,-0.06925435177981853,"{'Nodes_per_layer': 445.6780666568202, 'deepth': 2.1692768497071167}"
3,-0.06865360494703054,"{'Nodes_per_layer': 870.7885859492578, 'deepth': 2.5364106117987055}"
4,-0.06519137788563967,"{'Nodes_per_layer': 351.5370284622965, 'deepth': 3.6751134501396745}"
5,-0.06527574127539992,"{'Nodes_per_layer': 352.4883739909742, 'deepth': 3.6844981070558016}"
6,-0.06634717667475343,"{'Nodes_per_layer': 336.1193975910122, 'deepth': 4.847937255957581}"
7,-0.0650569936260581,"{'Nodes_per_layer': 100.01340461224329, 'deepth': 4.606228945758818}"
8,-0.06530073704198003,"{'Nodes_per_layer': 122.06896661063382, 'deepth': 3.293578952975553}"
9,-0.06601880537346005,"{'Nodes_per_layer': 153.34714446387903, 'deepth': 4.951616124698356}"
10,-0.06500743515789509,"{'Nodes_per_layer': 192.2901387865969, 'deepth': 2.1076977934466368}"
11,-0.0657427660189569,"{'Nodes_per_layer': 218.44505896929314, 'deepth': 4.873215136085401}"
12,-0.0655541131272912,"{'Nodes_per_layer': 716.0755747953906, 'deepth': 4.852739441431565}"
13,-0.06991960573941469,"{'Nodes_per_layer': 748.3910912107305, 'deepth': 2.140008423816856}"
14,-0.06600422831252217,"{'Nodes_per_layer': 689.9728355844636, 'deepth': 4.801932020300735}"
15,-0.07064020028337836,"{'Nodes_per_layer': 646.3481154447078, 'deepth': 2.4854624723398966}"
16,-0.11228131037205458,"{'Nodes_per_layer': 999.9489237948114, 'deepth': 2.0995209644840402}"
17,-0.06623388919979334,"{'Nodes_per_layer': 506.60712800901786, 'deepth': 2.2616532187349647}"
18,-0.0654608397744596,"{'Nodes_per_layer': 821.9630577596924, 'deepth': 5.0}"
19,-0.06582151353359222,"{'Nodes_per_layer': 256.46376223727634, 'deepth': 2.0}"
20,-0.07274025306105614,"{'Nodes_per_layer': 843.3206419940046, 'deepth': 2.0}"
21,-0.06563458638265729,"{'Nodes_per_layer': 791.7540597164942, 'deepth': 5.0}"
22,-0.06586373131722212,"{'Nodes_per_layer': 909.4688577387274, 'deepth': 5.0}"
23,-0.0652519310824573,"{'Nodes_per_layer': 602.9599634902562, 'deepth': 4.735895599110667}"
24,-0.06756276777014136,"{'Nodes_per_layer': 405.0928745572442, 'deepth': 2.1220515394278956}"
25,-0.065066191367805,"{'Nodes_per_layer': 480.1862410549947, 'deepth': 5.0}"
26,-0.06727333460003138,"{'Nodes_per_layer': 892.4138124393079, 'deepth': 4.9609198839961035}"
27,-0.0650589345023036,"{'Nodes_per_layer': 534.4794999741829, 'deepth': 5.0}"
28,-0.10032058507204056,"{'Nodes_per_layer': 807.1452103937934, 'deepth': 2.0}"
29,-0.12509984709322453,"{'Nodes_per_layer': 204.82499165813186, 'deepth': 3.7245146433765948}"
30,-0.06602572137489915,"{'Nodes_per_layer': 184.19851811859337, 'deepth': 2.516209937395474}"
31,-0.06650530826300383,"{'Nodes_per_layer': 110.44998369398418, 'deepth': 3.9964942243244623}"
32,-0.07036027265712619,"{'Nodes_per_layer': 227.4211394638698, 'deepth': 4.470056016023434}"
33,-0.07262708526104689,"{'Nodes_per_layer': 490.03829274681885, 'deepth': 3.8956321327086827}"
34,-0.06525829946622252,"{'Nodes_per_layer': 524.9775299393207, 'deepth': 4.490553992185302}"
35,-0.0667728828266263,"{'Nodes_per_layer': 515.6150761075723, 'deepth': 4.879657621482248}"
36,-0.06539114378392696,"{'Nodes_per_layer': 704.4050419569891, 'deepth': 4.488231796121323}"
37,-0.06495516607537866,"{'Nodes_per_layer': 469.99373977740487, 'deepth': 5.0}"
38,-0.06673125550150871,"{'Nodes_per_layer': 781.5564589703667, 'deepth': 4.862107970935796}"
39,-0.06542804790660739,"{'Nodes_per_layer': 592.0316281927733, 'deepth': 4.295988845510426}"
40,-0.06650678906589746,"{'Nodes_per_layer': 133.96108171631818, 'deepth': 3.642982956215196}"
41,-0.06717587448656559,"{'Nodes_per_layer': 580.2896411899967, 'deepth': 4.0786644049423355}"
42,-0.06781767541542649,"{'Nodes_per_layer': 546.2925030528095, 'deepth': 4.3877129683149665}"
43,-0.06758861849084496,"{'Nodes_per_layer': 614.2786623300528, 'deepth': 2.626515917385467}"
44,-0.06522076996043324,"{'Nodes_per_layer': 268.17836284533314, 'deepth': 2.034152191878241}"
45,-0.06521205138415098,"{'Nodes_per_layer': 279.34495309081154, 'deepth': 5.0}"
46,-0.07047816459089518,"{'Nodes_per_layer': 290.49599293657536, 'deepth': 2.0}"
47,-0.07109254505485296,"{'Nodes_per_layer': 165.87846972356357, 'deepth': 4.671787132770888}"
48,-0.06665538251399994,"{'Nodes_per_layer': 921.3205787927443, 'deepth': 4.176865236686577}"
49,-0.06935114040970802,"{'Nodes_per_layer': 727.6443959140149, 'deepth': 2.3969017544364}"
50,-0.06640304066240788,"{'Nodes_per_layer': 459.6032953406083, 'deepth': 2.0}"
51,-0.06654099095612764,"{'Nodes_per_layer': 677.8676794957179, 'deepth': 2.528555886339041}"
52,-0.06703018117696047,"{'Nodes_per_layer': 324.3216507941691, 'deepth': 2.0595459278267967}"
53,-0.07423077430576086,"{'Nodes_per_layer': 934.7979252497545, 'deepth': 3.7703830794964706}"
54,-0.06524909054860473,"{'Nodes_per_layer': 245.1779313740882, 'deepth': 4.839663795732855}"
55,-0.06526410533115268,"{'Nodes_per_layer': 665.3739642324798, 'deepth': 4.961028972379205}"
56,-0.06619485793635249,"{'Nodes_per_layer': 367.14888420792204, 'deepth': 2.291119953611445}"
57,-0.07126420922577381,"{'Nodes_per_layer': 379.7258137597445, 'deepth': 2.0600496474190373}"
58,-0.06552496226504445,"{'Nodes_per_layer': 419.1768961104732, 'deepth': 4.105670063455146}"
59,-0.06684791948646307,"{'Nodes_per_layer': 430.4398921140188, 'deepth': 4.655348958139046}"
