,target,params
0,-0.06943813432008028,"{'Nodes_per_layer': 756.8642588652245, 'deepth': 2.9770673740922806}"
1,-0.0660973354242742,"{'Nodes_per_layer': 349.9247346938267, 'deepth': 3.9217398160642762}"
2,-0.06651099538430572,"{'Nodes_per_layer': 301.06266028749064, 'deepth': 2.287430305406608}"
3,-0.06783586740493774,"{'Nodes_per_layer': 743.2334236549026, 'deepth': 3.1152579252970005}"
4,-0.06737751606851816,"{'Nodes_per_layer': 371.1361407902787, 'deepth': 2.6358137315087524}"
5,-0.07137624640017748,"{'Nodes_per_layer': 338.51476053564636, 'deepth': 3.4383404954966643}"
6,-0.06829302059486508,"{'Nodes_per_layer': 716.1255452854575, 'deepth': 3.0130799465136606}"
7,-0.29459476098418236,"{'Nodes_per_layer': 205.90132807832765, 'deepth': 3.0186377339276653}"
8,-0.06680999603122473,"{'Nodes_per_layer': 933.1576591288798, 'deepth': 4.892015663674421}"
9,-0.06667598569765687,"{'Nodes_per_layer': 352.12074816023693, 'deepth': 3.0812308931772208}"
10,-0.06589126400649548,"{'Nodes_per_layer': 552.9123983254553, 'deepth': 4.97875010428203}"
11,-0.06633115326985717,"{'Nodes_per_layer': 470.5276064238567, 'deepth': 4.939143006634712}"
12,-0.07848373334854841,"{'Nodes_per_layer': 1000.0, 'deepth': 2.0}"
13,-0.06881863810122013,"{'Nodes_per_layer': 853.077462215735, 'deepth': 2.0}"
14,-0.06988747790455818,"{'Nodes_per_layer': 628.5911782350681, 'deepth': 2.076618740737188}"
15,-0.065946108661592,"{'Nodes_per_layer': 100.0, 'deepth': 2.0}"
16,-0.06678303051739931,"{'Nodes_per_layer': 424.7904577423993, 'deepth': 4.876464273977147}"
17,-0.06678980635479093,"{'Nodes_per_layer': 810.1313281998698, 'deepth': 5.0}"
18,-0.0758014302700758,"{'Nodes_per_layer': 513.1141134976546, 'deepth': 2.4298289798827475}"
19,-0.0662537757307291,"{'Nodes_per_layer': 894.8585465343486, 'deepth': 5.0}"
20,-0.06724542332813144,"{'Nodes_per_layer': 669.1626649109978, 'deepth': 4.8912574693768445}"
21,-0.06648913957178593,"{'Nodes_per_layer': 588.8689143955112, 'deepth': 4.911195840732544}"
22,-0.1059008538722992,"{'Nodes_per_layer': 966.2089918447554, 'deepth': 2.1055249658702806}"
23,-0.068533337675035,"{'Nodes_per_layer': 446.75675791033376, 'deepth': 2.0600160689219047}"
24,-0.07583883590996265,"{'Nodes_per_layer': 914.8193577789089, 'deepth': 2.0}"
25,-0.06593144126236439,"{'Nodes_per_layer': 398.7346257727914, 'deepth': 5.0}"
26,-0.07222153339534998,"{'Nodes_per_layer': 786.5140771334843, 'deepth': 2.2881231120933574}"
27,-0.06738845724612474,"{'Nodes_per_layer': 873.0691775567582, 'deepth': 4.863664757418633}"
28,-0.09358435403555632,"{'Nodes_per_layer': 690.5371090221948, 'deepth': 2.179496930083596}"
29,-0.06626828666776419,"{'Nodes_per_layer': 124.60416393634839, 'deepth': 5.0}"
30,-0.067317855078727,"{'Nodes_per_layer': 649.3140053818659, 'deepth': 4.784981763567166}"
31,-0.0660532545298338,"{'Nodes_per_layer': 278.5681466200282, 'deepth': 4.85128366109001}"
32,-0.06634159199893475,"{'Nodes_per_layer': 831.3084435653607, 'deepth': 5.0}"
33,-0.07741616200655699,"{'Nodes_per_layer': 572.3076803272353, 'deepth': 2.030948127042651}"
34,-0.06635057367384434,"{'Nodes_per_layer': 608.0878694411479, 'deepth': 4.924432829558791}"
35,-0.07035140600055456,"{'Nodes_per_layer': 534.6860635369551, 'deepth': 2.064670289539095}"
36,-0.06684512691572309,"{'Nodes_per_layer': 489.25009178705096, 'deepth': 2.119004847451082}"
37,-0.06637037685140967,"{'Nodes_per_layer': 113.12783315962585, 'deepth': 4.993543984945585}"
38,-0.06645878963172436,"{'Nodes_per_layer': 290.0221346714121, 'deepth': 4.996477458862954}"
39,-0.06861346773803234,"{'Nodes_per_layer': 726.7020101404495, 'deepth': 4.950669218119767}"
40,-0.070882648229599,"{'Nodes_per_layer': 411.62424961748064, 'deepth': 2.0}"
41,-0.06651419121772051,"{'Nodes_per_layer': 315.0157843649323, 'deepth': 4.846670171285943}"
42,-0.07902649883180857,"{'Nodes_per_layer': 659.9524312017288, 'deepth': 2.0}"
43,-0.06680053845047951,"{'Nodes_per_layer': 141.55439985436996, 'deepth': 2.1755354218856024}"
44,-0.06796433869749308,"{'Nodes_per_layer': 386.1678396113515, 'deepth': 2.021820151254471}"
45,-0.07175166811794043,"{'Nodes_per_layer': 884.6182807455276, 'deepth': 2.0}"
46,-0.07004071772098541,"{'Nodes_per_layer': 820.2597513268329, 'deepth': 2.0098465343005114}"
47,-0.0703567904420197,"{'Nodes_per_layer': 598.0866592786724, 'deepth': 2.0}"
48,-0.06628890056163073,"{'Nodes_per_layer': 637.1060417523843, 'deepth': 5.0}"
49,-0.06591376243159175,"{'Nodes_per_layer': 130.63114974556407, 'deepth': 2.066963131081942}"
50,-0.06622301740571856,"{'Nodes_per_layer': 457.59409490907785, 'deepth': 5.0}"
51,-0.06804888416081667,"{'Nodes_per_layer': 773.1842517444918, 'deepth': 4.9889711362038485}"
52,-0.06637879880145192,"{'Nodes_per_layer': 284.0653361881621, 'deepth': 2.024174736367978}"
53,-0.06998566724359989,"{'Nodes_per_layer': 844.8971252786395, 'deepth': 4.968026260524936}"
