,target,params
0,-0.13796520233154297,"{'Nodes_per_layer': 203.5501969731747, 'deepth': 2.0617051386439282}"
1,-0.13652804121375084,"{'Nodes_per_layer': 185.0857850808017, 'deepth': 4.447130486729787}"
2,-0.13655046932399273,"{'Nodes_per_layer': 820.5641362717203, 'deepth': 4.293230991513449}"
3,-0.1375530231744051,"{'Nodes_per_layer': 626.8196235351171, 'deepth': 3.3544669914876377}"
4,-0.13720118440687656,"{'Nodes_per_layer': 216.7418166792919, 'deepth': 3.696967848139496}"
5,-0.13705413322895765,"{'Nodes_per_layer': 181.26436792855822, 'deepth': 3.556323029113745}"
6,-0.13613921403884888,"{'Nodes_per_layer': 188.7104988084206, 'deepth': 3.9170949192076807}"
7,-0.13991574756801128,"{'Nodes_per_layer': 829.5319387068762, 'deepth': 4.857694325768986}"
8,-0.14495337009429932,"{'Nodes_per_layer': 814.1713868514489, 'deepth': 3.660093824918579}"
9,-0.13612543791532516,"{'Nodes_per_layer': 192.78993548791172, 'deepth': 4.8626562471319845}"
10,-0.13628650456666946,"{'Nodes_per_layer': 196.56560317582972, 'deepth': 2.2467697845129067}"
11,-0.13768711406737566,"{'Nodes_per_layer': 224.64172429180474, 'deepth': 2.006862377169745}"
12,-0.1360058058053255,"{'Nodes_per_layer': 173.23824831195228, 'deepth': 4.52972298593089}"
13,-0.13582238089293242,"{'Nodes_per_layer': 168.3470747778721, 'deepth': 2.297404834888354}"
14,-0.1362410355359316,"{'Nodes_per_layer': 163.32919929455448, 'deepth': 4.785280935637018}"
15,-0.13903536926954985,"{'Nodes_per_layer': 156.38027771289302, 'deepth': 2.6024000085278938}"
16,-0.15314669720828533,"{'Nodes_per_layer': 610.4296202691398, 'deepth': 2.4225889102840137}"
17,-0.1501528713852167,"{'Nodes_per_layer': 641.453773222395, 'deepth': 2.788935388632937}"
18,-0.13633098267018795,"{'Nodes_per_layer': 247.57816098206408, 'deepth': 4.601196902225982}"
19,-0.13681640662252903,"{'Nodes_per_layer': 262.8636301616978, 'deepth': 2.0655965628252195}"
20,-0.1362060010433197,"{'Nodes_per_layer': 280.4761820414824, 'deepth': 4.257501520988182}"
21,-0.15379805862903595,"{'Nodes_per_layer': 295.63762017873705, 'deepth': 2.208419492142199}"
22,-0.25733986124396324,"{'Nodes_per_layer': 999.4633602025344, 'deepth': 2.510971041710579}"
23,-0.1361584160476923,"{'Nodes_per_layer': 452.1587685155812, 'deepth': 4.927519874967442}"
24,-0.1360719185322523,"{'Nodes_per_layer': 396.6053238120525, 'deepth': 5.0}"
25,-0.16129430197179317,"{'Nodes_per_layer': 508.6522921808749, 'deepth': 2.1484367124804242}"
26,-0.13625387661159039,"{'Nodes_per_layer': 100.0, 'deepth': 5.0}"
27,-0.14002440590411425,"{'Nodes_per_layer': 722.7249899055893, 'deepth': 4.828433246882056}"
28,-0.15319282189011574,"{'Nodes_per_layer': 904.8587971807323, 'deepth': 2.048174923797873}"
29,-0.1363315423950553,"{'Nodes_per_layer': 358.3813128709433, 'deepth': 4.934561109886585}"
30,-0.14875339344143867,"{'Nodes_per_layer': 425.3252413005904, 'deepth': 2.4720602706304815}"
31,-0.16080571711063385,"{'Nodes_per_layer': 754.8717574371939, 'deepth': 2.0}"
32,-0.1375085934996605,"{'Nodes_per_layer': 691.7643487074716, 'deepth': 5.0}"
33,-0.14008086640387774,"{'Nodes_per_layer': 555.66294558424, 'deepth': 5.0}"
34,-0.13635308854281902,"{'Nodes_per_layer': 123.65279071070019, 'deepth': 4.512986912037608}"
35,-0.14224456995725632,"{'Nodes_per_layer': 474.0283789934023, 'deepth': 2.322224608801804}"
36,-0.1402349602431059,"{'Nodes_per_layer': 377.3538894058117, 'deepth': 2.0}"
37,-0.13573549315333366,"{'Nodes_per_layer': 334.903217179507, 'deepth': 5.0}"
38,-0.17892597988247871,"{'Nodes_per_layer': 872.0023976784983, 'deepth': 2.0}"
39,-0.13682310469448566,"{'Nodes_per_layer': 934.5514825059672, 'deepth': 5.0}"
40,-0.14051524549722672,"{'Nodes_per_layer': 575.2133047332446, 'deepth': 4.979358354917598}"
41,-0.21097733452916145,"{'Nodes_per_layer': 706.5610306223413, 'deepth': 2.184951557922755}"
42,-0.14040827378630638,"{'Nodes_per_layer': 675.42308915405, 'deepth': 4.966214467667413}"
43,-0.16917751729488373,"{'Nodes_per_layer': 954.2887025320746, 'deepth': 2.0}"
44,-0.1369743924587965,"{'Nodes_per_layer': 734.2509429331042, 'deepth': 4.9705263985854256}"
45,-0.157740768045187,"{'Nodes_per_layer': 535.5822981456517, 'deepth': 2.303501708180656}"
46,-0.14027674868702888,"{'Nodes_per_layer': 784.5299512988682, 'deepth': 5.0}"
47,-0.14461138285696507,"{'Nodes_per_layer': 318.8540505739545, 'deepth': 2.0}"
48,-0.13534551858901978,"{'Nodes_per_layer': 138.8899310314593, 'deepth': 4.929343080432696}"
49,-0.15889146737754345,"{'Nodes_per_layer': 921.9589116348751, 'deepth': 2.083997525282824}"
50,-0.1371682956814766,"{'Nodes_per_layer': 347.0977416595923, 'deepth': 2.114478628386832}"
51,-0.14703232795000076,"{'Nodes_per_layer': 590.6776682086952, 'deepth': 2.0926862508749444}"
52,-0.154497304931283,"{'Nodes_per_layer': 409.07387909011334, 'deepth': 2.0}"
53,-0.13580304943025112,"{'Nodes_per_layer': 111.30213104700871, 'deepth': 2.0}"
