,target,params
0,-0.1181959267705679,"{'Nodes_per_layer': 901.9176365566937, 'deepth': 4.464397171254041}"
1,-0.11472193151712418,"{'Nodes_per_layer': 869.044624176975, 'deepth': 4.120215929072781}"
2,-0.11590672004967928,"{'Nodes_per_layer': 122.45199979167884, 'deepth': 2.041515543818801}"
3,-0.11485238559544086,"{'Nodes_per_layer': 122.12870872867603, 'deepth': 2.7406525052748543}"
4,-0.11492025386542082,"{'Nodes_per_layer': 242.90882488038906, 'deepth': 3.5521766831332586}"
5,-0.13058114796876907,"{'Nodes_per_layer': 869.4526265656833, 'deepth': 2.932490937207049}"
6,-0.11649416107684374,"{'Nodes_per_layer': 868.5365254409206, 'deepth': 4.614236754859552}"
7,-0.11699613649398088,"{'Nodes_per_layer': 869.6330516570214, 'deepth': 4.92470142488417}"
8,-0.11630701925605536,"{'Nodes_per_layer': 121.38327197675132, 'deepth': 2.503120359828128}"
9,-0.13021038752049208,"{'Nodes_per_layer': 869.256659250103, 'deepth': 4.247695502145055}"
10,-0.1155568016692996,"{'Nodes_per_layer': 867.2437888165738, 'deepth': 4.718932977521606}"
11,-0.14106768742203712,"{'Nodes_per_layer': 841.759745065424, 'deepth': 2.700464180842139}"
12,-0.12257170677185059,"{'Nodes_per_layer': 609.4706922452017, 'deepth': 2.3142315877903115}"
13,-0.11478822957724333,"{'Nodes_per_layer': 250.97652759250684, 'deepth': 2.2310360447603195}"
14,-0.11633284017443657,"{'Nodes_per_layer': 333.1664513249407, 'deepth': 4.761083860083099}"
15,-0.11560828611254692,"{'Nodes_per_layer': 667.0234539380212, 'deepth': 4.212541488511343}"
16,-0.1182404151186347,"{'Nodes_per_layer': 389.184016726502, 'deepth': 4.143155660154111}"
17,-0.121559944935143,"{'Nodes_per_layer': 428.2690546673297, 'deepth': 2.9445591410307617}"
18,-0.11775609385222197,"{'Nodes_per_layer': 888.2013737057151, 'deepth': 4.79683568460085}"
19,-0.11710833758115768,"{'Nodes_per_layer': 506.4762926195438, 'deepth': 3.7063396665847073}"
20,-0.11631044000387192,"{'Nodes_per_layer': 535.8862949853062, 'deepth': 3.2777322376947158}"
21,-0.23833245784044266,"{'Nodes_per_layer': 534.3215482093776, 'deepth': 2.5923748823082366}"
22,-0.11485174018889666,"{'Nodes_per_layer': 438.55539037273394, 'deepth': 4.403222057004885}"
23,-0.11968427430838346,"{'Nodes_per_layer': 868.2786627351559, 'deepth': 3.809973158493639}"
24,-0.11896113865077496,"{'Nodes_per_layer': 427.1199138610466, 'deepth': 3.094369161264153}"
25,-0.11835334636271,"{'Nodes_per_layer': 536.9487439490911, 'deepth': 3.3302278630203404}"
26,-0.1149088479578495,"{'Nodes_per_layer': 536.0788503015362, 'deepth': 4.291786831824133}"
27,-0.11552340351045132,"{'Nodes_per_layer': 537.1629922024102, 'deepth': 4.627239371926747}"
28,-0.11810964532196522,"{'Nodes_per_layer': 458.6419350501439, 'deepth': 4.465448662351162}"
29,-0.23091222904622555,"{'Nodes_per_layer': 529.5570648022057, 'deepth': 2.114259819736135}"
30,-0.11517873499542475,"{'Nodes_per_layer': 251.9352134588146, 'deepth': 3.312376885021309}"
31,-0.11463773250579834,"{'Nodes_per_layer': 250.42877441653278, 'deepth': 3.6003469364642733}"
32,-0.11652480624616146,"{'Nodes_per_layer': 249.44638767813723, 'deepth': 2.6164324649278}"
33,-0.11514803394675255,"{'Nodes_per_layer': 251.29206340704545, 'deepth': 4.699826411189298}"
34,-0.1151080783456564,"{'Nodes_per_layer': 249.8124828026333, 'deepth': 4.994852309051586}"
35,-0.11610949411988258,"{'Nodes_per_layer': 248.1915879233432, 'deepth': 4.050837100667386}"
36,-0.11519697029143572,"{'Nodes_per_layer': 252.88152790723288, 'deepth': 4.971782280095624}"
37,-0.11951807793229818,"{'Nodes_per_layer': 252.6582129389127, 'deepth': 2.0782848925210455}"
38,-0.114318722859025,"{'Nodes_per_layer': 253.45956079237178, 'deepth': 3.5147318958778464}"
39,-0.11615757457911968,"{'Nodes_per_layer': 254.3215475705604, 'deepth': 4.677225227291285}"
40,-0.11629869602620602,"{'Nodes_per_layer': 254.97814339006973, 'deepth': 2.845401700600907}"
41,-0.11587497778236866,"{'Nodes_per_layer': 871.1099557962508, 'deepth': 5.0}"
42,-0.14973429962992668,"{'Nodes_per_layer': 749.1075206576078, 'deepth': 2.4293608337987296}"
43,-0.11569683533161879,"{'Nodes_per_layer': 247.69761920352443, 'deepth': 2.531379561331102}"
44,-0.11513329390436411,"{'Nodes_per_layer': 246.6081361343924, 'deepth': 3.6714017642648002}"
45,-0.11660876218229532,"{'Nodes_per_layer': 597.9265788171616, 'deepth': 4.475990748723117}"
46,-0.12170013878494501,"{'Nodes_per_layer': 283.346728469503, 'deepth': 2.6583059759589274}"
47,-0.11622146889567375,"{'Nodes_per_layer': 554.8081878576238, 'deepth': 3.834909113189243}"
48,-0.11871547717601061,"{'Nodes_per_layer': 991.7942107231819, 'deepth': 4.254172512934976}"
49,-0.11547802668064833,"{'Nodes_per_layer': 287.1346603696424, 'deepth': 3.000423199000109}"
50,-0.1155760707333684,"{'Nodes_per_layer': 244.44108134297548, 'deepth': 3.8055726346808845}"
51,-0.11692278739064932,"{'Nodes_per_layer': 243.90453396659325, 'deepth': 2.3510340230522977}"
52,-0.19303681515157223,"{'Nodes_per_layer': 284.12900220065455, 'deepth': 3.4707647191078213}"
53,-0.12144999206066132,"{'Nodes_per_layer': 869.9390257049818, 'deepth': 2.4177378676069905}"
54,-0.1154093025252223,"{'Nodes_per_layer': 419.11024362143604, 'deepth': 4.745893977495282}"
55,-0.179420318454504,"{'Nodes_per_layer': 952.4426393922623, 'deepth': 2.4867923966172887}"
56,-0.11633148044347763,"{'Nodes_per_layer': 279.2658172746644, 'deepth': 2.4295320272412533}"
57,-0.11719119735062122,"{'Nodes_per_layer': 282.3471864742297, 'deepth': 2.092250008590932}"
58,-0.11440293677151203,"{'Nodes_per_layer': 245.86376025593995, 'deepth': 2.5594795853161285}"
59,-0.1170507650822401,"{'Nodes_per_layer': 242.19272569497977, 'deepth': 2.3527099357468058}"
