,target,params
0,-0.10319935716688633,"{'Nodes_per_layer': 554.1162980081438, 'deepth': 3.51994070688918}"
1,-0.09941156022250652,"{'Nodes_per_layer': 211.7553348879367, 'deepth': 4.832248657536458}"
2,-0.10852801520377398,"{'Nodes_per_layer': 936.6365473573151, 'deepth': 4.953295798414933}"
3,-0.10124126635491848,"{'Nodes_per_layer': 533.2014993179079, 'deepth': 3.9708729512614402}"
4,-0.10051230154931545,"{'Nodes_per_layer': 655.0759013384397, 'deepth': 3.249265972628219}"
5,-0.10013083182275295,"{'Nodes_per_layer': 167.17218889674126, 'deepth': 2.20974838231856}"
6,-0.10011736210435629,"{'Nodes_per_layer': 210.7747430059028, 'deepth': 3.818581434699615}"
7,-0.0995462154969573,"{'Nodes_per_layer': 221.78039847677363, 'deepth': 4.634842959941189}"
8,-0.09954454377293587,"{'Nodes_per_layer': 151.07978484005793, 'deepth': 2.6802251511091715}"
9,-0.09960973635315895,"{'Nodes_per_layer': 135.96672982853812, 'deepth': 4.875360003025408}"
10,-0.10148392803966999,"{'Nodes_per_layer': 119.51222713699684, 'deepth': 2.056875567290937}"
11,-0.10283576231449842,"{'Nodes_per_layer': 674.8753042847031, 'deepth': 2.1841502576922753}"
12,-0.09989969152957201,"{'Nodes_per_layer': 637.6076388417174, 'deepth': 4.358474913090708}"
13,-0.10081684123724699,"{'Nodes_per_layer': 622.0046961988347, 'deepth': 2.765431408577947}"
14,-0.09960976243019104,"{'Nodes_per_layer': 239.96559050756122, 'deepth': 4.4143466550757}"
15,-0.0999230882152915,"{'Nodes_per_layer': 253.60880456876163, 'deepth': 2.897710115727178}"
16,-0.10096643958240747,"{'Nodes_per_layer': 270.5832243800804, 'deepth': 4.757631166115629}"
17,-0.10102585051208735,"{'Nodes_per_layer': 182.6983769484895, 'deepth': 4.654741353350945}"
18,-0.10019857343286276,"{'Nodes_per_layer': 400.3352237187263, 'deepth': 3.197715071028484}"
19,-0.10077085345983505,"{'Nodes_per_layer': 416.19117680070894, 'deepth': 2.0424473915754637}"
20,-0.1036941185593605,"{'Nodes_per_layer': 384.5673044361556, 'deepth': 3.457855906942645}"
