,target,params
0,-0.10316566657274961,"{'Nodes_per_layer': 763.2892692947894, 'deepth': 3.041697284504987}"
1,-0.10410377569496632,"{'Nodes_per_layer': 381.4270453052838, 'deepth': 2.6764389435134186}"
2,-0.10174394492059946,"{'Nodes_per_layer': 252.30496748327107, 'deepth': 2.8257990216597486}"
3,-0.1020774831995368,"{'Nodes_per_layer': 590.3785165744789, 'deepth': 4.740452293528711}"
4,-0.10231516417115927,"{'Nodes_per_layer': 370.6941019769567, 'deepth': 3.707646789910856}"
5,-0.1058098329231143,"{'Nodes_per_layer': 375.5010325048762, 'deepth': 2.5889012961123976}"
6,-0.10553785692900419,"{'Nodes_per_layer': 864.7241881416347, 'deepth': 3.865128986714743}"
7,-0.10218866541981697,"{'Nodes_per_layer': 252.34950101174957, 'deepth': 2.8491082292260224}"
8,-0.10177017748355865,"{'Nodes_per_layer': 252.34273949014175, 'deepth': 2.5500435233877865}"
9,-0.10132407490164042,"{'Nodes_per_layer': 251.6412257540226, 'deepth': 2.802619217152778}"
10,-0.1017737714573741,"{'Nodes_per_layer': 251.97447433168554, 'deepth': 2.8721418214594725}"
11,-0.10291299782693386,"{'Nodes_per_layer': 251.67147948369828, 'deepth': 2.40787897850739}"
12,-0.10172122344374657,"{'Nodes_per_layer': 251.65750820022163, 'deepth': 3.1714889797148107}"
13,-0.1067575253546238,"{'Nodes_per_layer': 251.03883315623426, 'deepth': 2.874192833207137}"
14,-0.10147469397634268,"{'Nodes_per_layer': 251.97893040748218, 'deepth': 3.717455982913126}"
15,-0.10347006749361753,"{'Nodes_per_layer': 251.67315439434606, 'deepth': 4.016981208666689}"
16,-0.10821905918419361,"{'Nodes_per_layer': 948.7060367365306, 'deepth': 4.934069257405122}"
17,-0.10121060349047184,"{'Nodes_per_layer': 252.29054281230628, 'deepth': 4.158837768782388}"
18,-0.13057243078947067,"{'Nodes_per_layer': 912.2135882720409, 'deepth': 2.891613049615305}"
19,-0.10195354465395212,"{'Nodes_per_layer': 591.7275244300224, 'deepth': 3.7408994840006984}"
20,-0.11837133020162582,"{'Nodes_per_layer': 589.7234263152561, 'deepth': 2.9104905838059207}"
21,-0.1020375806838274,"{'Nodes_per_layer': 592.7885231675012, 'deepth': 4.500126365783056}"
22,-0.10514052957296371,"{'Nodes_per_layer': 593.1102319036272, 'deepth': 2.853831848070567}"
23,-0.10163476224988699,"{'Nodes_per_layer': 591.7707652718493, 'deepth': 4.989699710620561}"
24,-0.1022547297179699,"{'Nodes_per_layer': 369.89412214177486, 'deepth': 2.13488490837932}"
25,-0.1044976245611906,"{'Nodes_per_layer': 371.5965011229029, 'deepth': 2.2497927686532524}"
26,-0.10274011176079512,"{'Nodes_per_layer': 368.9117874903877, 'deepth': 3.794495615327991}"
27,-0.1032268488779664,"{'Nodes_per_layer': 368.1356823078658, 'deepth': 2.091167994737101}"
28,-0.10080527607351542,"{'Nodes_per_layer': 253.63974826419764, 'deepth': 4.885205407136434}"
29,-0.10215329192578793,"{'Nodes_per_layer': 254.88114585463344, 'deepth': 4.987695176384356}"
30,-0.10429227724671364,"{'Nodes_per_layer': 255.91683332028504, 'deepth': 3.527197288359606}"
31,-0.10134745202958584,"{'Nodes_per_layer': 372.16588700902497, 'deepth': 4.540368717183893}"
32,-0.1007209699600935,"{'Nodes_per_layer': 373.59713955752187, 'deepth': 4.821270059453277}"
33,-0.10113207064568996,"{'Nodes_per_layer': 373.51687856150096, 'deepth': 3.336294827303393}"
34,-0.10078508500009775,"{'Nodes_per_layer': 374.99147448876914, 'deepth': 4.87242759024605}"
35,-0.10101746767759323,"{'Nodes_per_layer': 376.7026857592333, 'deepth': 4.619523458236024}"
36,-0.10210043285042048,"{'Nodes_per_layer': 378.2174814394713, 'deepth': 4.456418604456873}"
37,-0.10235201008617878,"{'Nodes_per_layer': 377.3853336008406, 'deepth': 3.2768619146317546}"
38,-0.10249050334095955,"{'Nodes_per_layer': 378.96715586798643, 'deepth': 2.97602909777165}"
39,-0.10097052063792944,"{'Nodes_per_layer': 379.93210798190046, 'deepth': 4.8843429689120565}"
40,-0.10166378878057003,"{'Nodes_per_layer': 381.5274060775667, 'deepth': 4.904738254570594}"
41,-0.10150778107345104,"{'Nodes_per_layer': 383.1454478324851, 'deepth': 5.0}"
42,-0.10258873365819454,"{'Nodes_per_layer': 384.64815523110326, 'deepth': 4.659587772957408}"
43,-0.10127640888094902,"{'Nodes_per_layer': 383.7349750351638, 'deepth': 3.3971519872400635}"
44,-0.10829512868076563,"{'Nodes_per_layer': 384.9969480501765, 'deepth': 2.6495787830513677}"
45,-0.10340071376413107,"{'Nodes_per_layer': 382.73516898607954, 'deepth': 3.771503677953827}"
46,-0.10135550610721111,"{'Nodes_per_layer': 380.46076728385725, 'deepth': 3.81483427430957}"
47,-0.1010340079665184,"{'Nodes_per_layer': 366.89669938236, 'deepth': 4.166597543430899}"
48,-0.1009522108361125,"{'Nodes_per_layer': 365.53193809648724, 'deepth': 4.55361449799892}"
49,-0.10232505388557911,"{'Nodes_per_layer': 366.0600050187926, 'deepth': 3.174817987480319}"
50,-0.10195504035800695,"{'Nodes_per_layer': 364.31771096826344, 'deepth': 3.834385255006937}"
51,-0.10179547872394323,"{'Nodes_per_layer': 363.13415466882594, 'deepth': 4.94248897410018}"
52,-0.10093622840940952,"{'Nodes_per_layer': 367.87793217588654, 'deepth': 5.0}"
53,-0.10381077881902456,"{'Nodes_per_layer': 362.7925689801064, 'deepth': 3.3245802347308078}"
54,-0.10244396142661572,"{'Nodes_per_layer': 374.4586620664604, 'deepth': 3.9367419055870307}"
55,-0.10113380197435617,"{'Nodes_per_layer': 361.48363423392567, 'deepth': 4.850439483913297}"
56,-0.10229471884667873,"{'Nodes_per_layer': 360.434778570887, 'deepth': 4.038192862174911}"
57,-0.10098586976528168,"{'Nodes_per_layer': 358.92104623593997, 'deepth': 4.737560846984307}"
58,-0.10174496006220579,"{'Nodes_per_layer': 358.40438515835933, 'deepth': 3.5047724536043834}"
59,-0.10174573957920074,"{'Nodes_per_layer': 357.4922391333082, 'deepth': 4.764276591318826}"
