,target,params
0,-0.07129041571170092,"{'Nodes_per_layer': 566.0674848939068, 'deepth': 3.818833619842557}"
1,-0.07299716398119926,"{'Nodes_per_layer': 439.35443337623275, 'deepth': 3.1883769712638528}"
2,-0.07164527755230665,"{'Nodes_per_layer': 601.357902093124, 'deepth': 4.380331578457356}"
3,-0.07187877595424652,"{'Nodes_per_layer': 325.387459959754, 'deepth': 3.7215411001529}"
4,-0.07206261809915304,"{'Nodes_per_layer': 378.5293485652906, 'deepth': 2.30766043179852}"
5,-0.07820569537580013,"{'Nodes_per_layer': 214.22651857553285, 'deepth': 2.182583174259741}"
6,-0.0782387051731348,"{'Nodes_per_layer': 804.8639628507805, 'deepth': 2.4765382261410824}"
7,-0.07140958867967129,"{'Nodes_per_layer': 564.8675249894542, 'deepth': 4.638327608003436}"
8,-0.1352859791368246,"{'Nodes_per_layer': 999.9775796535272, 'deepth': 2.301304696774574}"
9,-0.07151378691196442,"{'Nodes_per_layer': 100.03571157911865, 'deepth': 3.523677637163985}"
10,-0.07566773518919945,"{'Nodes_per_layer': 714.4990066400158, 'deepth': 2.0}"
11,-0.07258413918316364,"{'Nodes_per_layer': 505.0388177234825, 'deepth': 2.0}"
12,-0.07151932083070278,"{'Nodes_per_layer': 130.08977424059597, 'deepth': 5.0}"
13,-0.07672891207039356,"{'Nodes_per_layer': 646.6135132380099, 'deepth': 2.0}"
14,-0.07241793163120747,"{'Nodes_per_layer': 760.1553905082754, 'deepth': 5.0}"
15,-0.0729649281129241,"{'Nodes_per_layer': 350.38896511814795, 'deepth': 5.0}"
16,-0.0718667646870017,"{'Nodes_per_layer': 282.97709832308647, 'deepth': 4.997115723378978}"
17,-0.0714723588898778,"{'Nodes_per_layer': 300.3274188040909, 'deepth': 2.0}"
18,-0.07456220127642155,"{'Nodes_per_layer': 404.8452460142619, 'deepth': 4.960325306826659}"
19,-0.07204894348978996,"{'Nodes_per_layer': 472.27494039913586, 'deepth': 2.0}"
20,-0.07182312570512295,"{'Nodes_per_layer': 116.66279822110754, 'deepth': 2.0}"
21,-0.07138658687472343,"{'Nodes_per_layer': 154.30992032731746, 'deepth': 2.0}"
22,-0.07403057161718607,"{'Nodes_per_layer': 543.6301908341013, 'deepth': 2.122109112269735}"
23,-0.07163814827799797,"{'Nodes_per_layer': 582.7790653572636, 'deepth': 4.989151270186646}"
24,-0.07137972395867109,"{'Nodes_per_layer': 171.1051813761618, 'deepth': 5.0}"
