,target,params
0,-0.05054390709847212,"{'Nodes_per_layer': 787.0524990991929, 'deepth': 4.975741269626619}"
1,-0.0522051015868783,"{'Nodes_per_layer': 601.152037438867, 'deepth': 3.8801332654724874}"
2,-0.05165684595704079,"{'Nodes_per_layer': 584.7215160791552, 'deepth': 4.074887670830527}"
3,-0.05097789037972689,"{'Nodes_per_layer': 356.6741036503329, 'deepth': 3.350671455609552}"
4,-0.056945931166410446,"{'Nodes_per_layer': 989.8640101053257, 'deepth': 3.522147585410959}"
5,-0.050700380466878414,"{'Nodes_per_layer': 785.7672915563619, 'deepth': 4.311248579861818}"
6,-0.05183258838951588,"{'Nodes_per_layer': 832.3029344468803, 'deepth': 4.806624587040114}"
7,-0.051776325795799494,"{'Nodes_per_layer': 405.77045943383115, 'deepth': 2.7175151152360604}"
8,-0.05082803498953581,"{'Nodes_per_layer': 309.23005918047704, 'deepth': 4.653894557997699}"
9,-0.05314217088744044,"{'Nodes_per_layer': 261.27069692863915, 'deepth': 2.5612594972222427}"
10,-0.050583102740347385,"{'Nodes_per_layer': 530.1779261428767, 'deepth': 4.677079548350172}"
11,-0.06307430984452367,"{'Nodes_per_layer': 490.15699356223774, 'deepth': 2.669583262920242}"
12,-0.05538292182609439,"{'Nodes_per_layer': 553.3719611238403, 'deepth': 2.0840498698326133}"
13,-0.05376712838187814,"{'Nodes_per_layer': 332.66208590328006, 'deepth': 2.1485537621930937}"
14,-0.07894214522093534,"{'Nodes_per_layer': 808.3785526168606, 'deepth': 2.0}"
15,-0.0506756454706192,"{'Nodes_per_layer': 294.8077526496331, 'deepth': 2.4720887374468785}"
16,-0.05090449098497629,"{'Nodes_per_layer': 372.3301264087422, 'deepth': 2.653277931811539}"
17,-0.05135685205459595,"{'Nodes_per_layer': 388.6493500181158, 'deepth': 4.625368270875606}"
18,-0.052018707152456045,"{'Nodes_per_layer': 849.2307159238429, 'deepth': 4.151432738606791}"
19,-0.050787743646651506,"{'Nodes_per_layer': 279.49453646812134, 'deepth': 5.0}"
20,-0.05072997324168682,"{'Nodes_per_layer': 426.4802471584102, 'deepth': 4.714743210389576}"
21,-0.05065889563411474,"{'Nodes_per_layer': 443.9598892852646, 'deepth': 2.074540555201985}"
22,-0.051024893298745155,"{'Nodes_per_layer': 873.1181080707813, 'deepth': 4.925244630564691}"
23,-0.05402066046372056,"{'Nodes_per_layer': 891.637335649982, 'deepth': 2.0490826865550877}"
24,-0.051199234556406736,"{'Nodes_per_layer': 625.0019740501923, 'deepth': 4.720495353739959}"
25,-0.05626986036077142,"{'Nodes_per_layer': 643.8424433547145, 'deepth': 3.606420484845489}"
26,-0.051260077860206366,"{'Nodes_per_layer': 458.9777201010545, 'deepth': 4.811376142813953}"
27,-0.051407561637461185,"{'Nodes_per_layer': 760.2604240603144, 'deepth': 4.749927289756812}"
28,-0.053159189876168966,"{'Nodes_per_layer': 741.1548884729625, 'deepth': 4.915647215425107}"
29,-0.051950025372207165,"{'Nodes_per_layer': 106.69569474793288, 'deepth': 3.7991217603291467}"
30,-0.07630730606615543,"{'Nodes_per_layer': 127.39410860314388, 'deepth': 3.6351713947146673}"
31,-0.05145415337756276,"{'Nodes_per_layer': 713.4219053629508, 'deepth': 2.6476222993238485}"
32,-0.050696251448243856,"{'Nodes_per_layer': 694.6804683839404, 'deepth': 4.3557138668764726}"
