,target,params
0,-0.0010631548939272761,"{'colsample_bytree': 0.9318512740091194, 'learning_rate': 0.058537830732304307, 'max_depth': 4.846336146659485, 'n_estimators': 346.5569680684446, 'reg_lambda': 27.491948383964925, 'subsample': 0.6786567511259985}"
1,-0.0011861236998811364,"{'colsample_bytree': 0.7789540064536321, 'learning_rate': 0.08799847359306193, 'max_depth': 8.884687949033253, 'n_estimators': 366.3676929881178, 'reg_lambda': 18.43671790228783, 'subsample': 0.6342027865199854}"
2,-0.001777671161107719,"{'colsample_bytree': 0.6199628840237201, 'learning_rate': 0.029392721300915983, 'max_depth': 7.854581662857272, 'n_estimators': 316.0162912606628, 'reg_lambda': 12.792186840684252, 'subsample': 0.31656422173411003}"
3,-0.0017828065901994705,"{'colsample_bytree': 0.6067236134945296, 'learning_rate': 0.02463027179566025, 'max_depth': 5.772787520497966, 'n_estimators': 452.76642869924285, 'reg_lambda': 28.239086460600372, 'subsample': 0.46110332295984835}"
4,-0.0010777916759252548,"{'colsample_bytree': 0.9472714450405025, 'learning_rate': 0.08474297810996427, 'max_depth': 8.421510928802933, 'n_estimators': 411.9022424519486, 'reg_lambda': 24.809019063005998, 'subsample': 0.8871690977366204}"
5,-0.00112600636202842,"{'colsample_bytree': 0.9811175587317895, 'learning_rate': 0.03128018545208618, 'max_depth': 4.309863903883528, 'n_estimators': 347.16400421828126, 'reg_lambda': 28.73358223876594, 'subsample': 0.883015528902767}"
6,-0.002614322816953063,"{'colsample_bytree': 0.7778722114586408, 'learning_rate': 0.01306244921786888, 'max_depth': 8.583499274085225, 'n_estimators': 348.698992207326, 'reg_lambda': 15.56417228919033, 'subsample': 0.24379136890271225}"
7,-0.0012385096633806825,"{'colsample_bytree': 0.7167471651259383, 'learning_rate': 0.06472856538872822, 'max_depth': 3.94667934191985, 'n_estimators': 339.3281668301404, 'reg_lambda': 29.57504472413129, 'subsample': 0.8323775792723749}"
8,-0.001510328147560358,"{'colsample_bytree': 0.6883512278907685, 'learning_rate': 0.07111102423995416, 'max_depth': 6.894977312969978, 'n_estimators': 404.11211794854455, 'reg_lambda': 23.19095603964433, 'subsample': 0.22253053956980162}"
9,-0.0014217933639883995,"{'colsample_bytree': 0.6984428440460849, 'learning_rate': 0.05383384756714556, 'max_depth': 7.6615270066007675, 'n_estimators': 419.29760063598997, 'reg_lambda': 26.98548886331163, 'subsample': 0.5623066265099853}"
10,-0.0013608509907498956,"{'colsample_bytree': 0.6094023709791605, 'learning_rate': 0.08232411530313365, 'max_depth': 9.97324946305921, 'n_estimators': 413.52886833543863, 'reg_lambda': 17.320341468683438, 'subsample': 0.5842274028056057}"
11,-0.002058326732367277,"{'colsample_bytree': 0.7722939625716139, 'learning_rate': 0.01247822917186911, 'max_depth': 3.008112056467617, 'n_estimators': 412.0171971282664, 'reg_lambda': 29.464774139938484, 'subsample': 0.9005049843355797}"
12,-0.0011217583669349551,"{'colsample_bytree': 0.9761551715488268, 'learning_rate': 0.060186137527769454, 'max_depth': 8.462648795718884, 'n_estimators': 342.3352436306379, 'reg_lambda': 29.345176182586126, 'subsample': 0.9354892447713004}"
13,-0.001138438587076962,"{'colsample_bytree': 0.8921298276771488, 'learning_rate': 0.06089708328904503, 'max_depth': 9.95022440778067, 'n_estimators': 350.0034980254026, 'reg_lambda': 29.093874180342944, 'subsample': 0.5440331623488561}"
14,-0.001397029496729374,"{'colsample_bytree': 0.6467322477321354, 'learning_rate': 0.07214474691920891, 'max_depth': 9.627004257717715, 'n_estimators': 365.0439737366998, 'reg_lambda': 26.787041648352602, 'subsample': 0.7543291373862453}"
15,-0.0015696985647082329,"{'colsample_bytree': 0.6648409413139567, 'learning_rate': 0.04669020960268251, 'max_depth': 9.921026224996444, 'n_estimators': 374.0248301381551, 'reg_lambda': 16.61148319335006, 'subsample': 0.25175538627145927}"
