,target,params
0,-0.0013160784728825092,"{'colsample_bytree': 0.8568457009125681, 'learning_rate': 0.026648114277108323, 'max_depth': 9.731957191023216, 'n_estimators': 319.2105114980889, 'reg_lambda': 28.183594119771524, 'subsample': 0.99324969674743}"
1,-0.0013210269389674067,"{'colsample_bytree': 0.8203236839596753, 'learning_rate': 0.02374486023861979, 'max_depth': 5.004371768033587, 'n_estimators': 352.0269883503322, 'reg_lambda': 28.31813661745562, 'subsample': 0.976557113732992}"
2,-0.0016957320040091872,"{'colsample_bytree': 0.789893584712984, 'learning_rate': 0.01833032757666382, 'max_depth': 7.874952175255451, 'n_estimators': 429.4094619196005, 'reg_lambda': 29.245731543566254, 'subsample': 0.47281343257521463}"
3,-0.001383008318953216,"{'colsample_bytree': 0.6273497873802844, 'learning_rate': 0.08775236685059636, 'max_depth': 5.793345816925877, 'n_estimators': 374.1945161896515, 'reg_lambda': 22.59107732132289, 'subsample': 0.7140124179977456}"
4,-0.0011039848905056715,"{'colsample_bytree': 0.988555345196449, 'learning_rate': 0.07513739872300013, 'max_depth': 7.857095460930621, 'n_estimators': 369.60989098371977, 'reg_lambda': 13.120438371527799, 'subsample': 0.9618359991055456}"
5,-0.001184251974336803,"{'colsample_bytree': 0.8079114327394669, 'learning_rate': 0.06842143742542363, 'max_depth': 6.037355337001201, 'n_estimators': 422.3174881077043, 'reg_lambda': 18.233947549407247, 'subsample': 0.3212313523734833}"
6,-0.0010711158392950892,"{'colsample_bytree': 0.9451892588124711, 'learning_rate': 0.05397060997153703, 'max_depth': 6.084193966799894, 'n_estimators': 337.6501485265958, 'reg_lambda': 12.54575492202565, 'subsample': 0.5054568518284912}"
7,-0.0012407680042088032,"{'colsample_bytree': 0.8556588827006362, 'learning_rate': 0.04993060350368809, 'max_depth': 4.267560704766749, 'n_estimators': 325.7324759229935, 'reg_lambda': 29.012773819365997, 'subsample': 0.593966618494449}"
8,-0.0011751975398510695,"{'colsample_bytree': 0.9008782679489267, 'learning_rate': 0.03148681803543499, 'max_depth': 3.62728740044986, 'n_estimators': 329.4687426400329, 'reg_lambda': 25.525224737590218, 'subsample': 0.8592025890974995}"
9,-0.0023230898659676313,"{'colsample_bytree': 0.6173031574168882, 'learning_rate': 0.021535201627330042, 'max_depth': 4.640327845637749, 'n_estimators': 334.21187997906225, 'reg_lambda': 17.499280638257975, 'subsample': 0.22384473169233818}"
10,-0.0012422400759533048,"{'colsample_bytree': 0.9869981265419663, 'learning_rate': 0.014010272331333616, 'max_depth': 6.266566791787186, 'n_estimators': 338.7782241476768, 'reg_lambda': 12.80692924326745, 'subsample': 0.8871847153536481}"
11,-0.0011348406551405787,"{'colsample_bytree': 0.889581680816427, 'learning_rate': 0.08259464172598312, 'max_depth': 6.618773200779678, 'n_estimators': 335.5305077799118, 'reg_lambda': 10.523672605323098, 'subsample': 0.4963025445542556}"
12,-0.0011778958141803741,"{'colsample_bytree': 0.8274887150670152, 'learning_rate': 0.06161342044326118, 'max_depth': 4.03515654622656, 'n_estimators': 337.9509570024659, 'reg_lambda': 10.435494275644148, 'subsample': 0.3068611848127703}"
13,-0.001129815704189241,"{'colsample_bytree': 0.9557600421815782, 'learning_rate': 0.01937594860753554, 'max_depth': 4.80220077656292, 'n_estimators': 367.28046458003087, 'reg_lambda': 12.739665734476054, 'subsample': 0.9295210688574589}"
14,-0.0013110911240801215,"{'colsample_bytree': 0.8860364762054703, 'learning_rate': 0.03887569336768091, 'max_depth': 7.594201263643294, 'n_estimators': 366.96852032918116, 'reg_lambda': 16.159350087129315, 'subsample': 0.2667423238188417}"
15,-0.0011300957994535565,"{'colsample_bytree': 0.9376187169846657, 'learning_rate': 0.097243082456889, 'max_depth': 5.302699786995343, 'n_estimators': 370.9845189191087, 'reg_lambda': 10.733945069079716, 'subsample': 0.9908089876557298}"
16,-0.0012221606448292732,"{'colsample_bytree': 0.700320572880019, 'learning_rate': 0.098500225708164, 'max_depth': 8.72498404245689, 'n_estimators': 368.0193354904647, 'reg_lambda': 10.156851541349827, 'subsample': 0.49704382849353634}"
17,-0.0012407443718984723,"{'colsample_bytree': 0.7967128305404336, 'learning_rate': 0.05477327914287373, 'max_depth': 4.2103538387968475, 'n_estimators': 371.42033097368835, 'reg_lambda': 15.047686638339098, 'subsample': 0.6143007196138554}"
18,-0.0012180457124486566,"{'colsample_bytree': 0.7652111131516623, 'learning_rate': 0.09803633731834924, 'max_depth': 8.941779612859005, 'n_estimators': 373.62239872441125, 'reg_lambda': 10.949379670917851, 'subsample': 0.4824654857688271}"
19,-0.0014460012316703796,"{'colsample_bytree': 0.6325254489868991, 'learning_rate': 0.04286157373164973, 'max_depth': 3.7011041735701746, 'n_estimators': 363.26530598211104, 'reg_lambda': 10.159381304815675, 'subsample': 0.8722776613354075}"
