,target,params
0,-0.0009375335648655891,"{'colsample_bytree': 0.8703011794333846, 'learning_rate': 0.09042078766296138, 'max_depth': 7.9391000918025885, 'n_estimators': 398.36171101273527, 'reg_lambda': 14.740136695175838, 'subsample': 0.977315748517591}"
1,-0.0009509226074442267,"{'colsample_bytree': 0.8274825326809621, 'learning_rate': 0.02041694461416897, 'max_depth': 4.556471757863684, 'n_estimators': 462.014547405823, 'reg_lambda': 21.84236986180577, 'subsample': 0.6149481008632336}"
2,-0.0008713736897334456,"{'colsample_bytree': 0.9407652074538608, 'learning_rate': 0.024758545363516217, 'max_depth': 3.08969384699598, 'n_estimators': 419.56589573652604, 'reg_lambda': 12.462802657437946, 'subsample': 0.42820344423178097}"
3,-0.001031559775583446,"{'colsample_bytree': 0.7197124559924933, 'learning_rate': 0.09465711571567711, 'max_depth': 9.482371031102993, 'n_estimators': 341.3530787197312, 'reg_lambda': 19.969607821898432, 'subsample': 0.9554264486699535}"
4,-0.0008538953261449933,"{'colsample_bytree': 0.9778420198177358, 'learning_rate': 0.07909546927438463, 'max_depth': 9.929658746978644, 'n_estimators': 399.66509274823045, 'reg_lambda': 20.717658238199874, 'subsample': 0.8246469373089012}"
5,-0.0009502171305939555,"{'colsample_bytree': 0.8248878275546715, 'learning_rate': 0.09589701604889557, 'max_depth': 7.667791474522467, 'n_estimators': 332.20507601058074, 'reg_lambda': 12.472211033535984, 'subsample': 0.9469456426422089}"
6,-0.0008760300697758794,"{'colsample_bytree': 0.9405692357949339, 'learning_rate': 0.0371506033892768, 'max_depth': 9.752069234100777, 'n_estimators': 399.12828972845983, 'reg_lambda': 21.115014961152617, 'subsample': 0.4977026655383949}"
7,-0.0010151107562705874,"{'colsample_bytree': 0.7163632822434319, 'learning_rate': 0.047209461631960915, 'max_depth': 9.975115169295648, 'n_estimators': 402.5032550305315, 'reg_lambda': 20.990124649003803, 'subsample': 0.530902321141137}"
8,-0.0009055048576556146,"{'colsample_bytree': 0.8844434858481459, 'learning_rate': 0.07060124869695665, 'max_depth': 9.006672935805373, 'n_estimators': 398.67595014887513, 'reg_lambda': 19.297188341605803, 'subsample': 0.47158419288985176}"
9,-0.0010584299452602863,"{'colsample_bytree': 0.6999416873783573, 'learning_rate': 0.02265397477815811, 'max_depth': 3.1319108024311477, 'n_estimators': 418.56075224227175, 'reg_lambda': 11.141745388769655, 'subsample': 0.6293827773826539}"
10,-0.0010311020305380225,"{'colsample_bytree': 0.7239797668640466, 'learning_rate': 0.09211163666920157, 'max_depth': 8.639439339671963, 'n_estimators': 399.5667630394252, 'reg_lambda': 20.233026018043418, 'subsample': 0.29078215462641516}"
11,-0.0008860359666869044,"{'colsample_bytree': 0.9293054450237197, 'learning_rate': 0.03791408714196438, 'max_depth': 9.963310160166941, 'n_estimators': 399.58739875482263, 'reg_lambda': 20.806399745513467, 'subsample': 0.3924963375221263}"
