,target,params
0,-0.0016707307659089565,"{'colsample_bytree': 0.9136487573853098, 'learning_rate': 0.01454390446408885, 'max_depth': 3.761432546493009, 'n_estimators': 434.85195633978157, 'reg_lambda': 11.197568710933815, 'subsample': 0.6228352632925231}"
1,-0.0020202503073960543,"{'colsample_bytree': 0.7613941719625594, 'learning_rate': 0.03315054869456426, 'max_depth': 6.206644962785265, 'n_estimators': 393.82108044067854, 'reg_lambda': 22.110920748142703, 'subsample': 0.5303332139307773}"
2,-0.0022033448331058025,"{'colsample_bytree': 0.684095883152744, 'learning_rate': 0.04160388925964471, 'max_depth': 4.978278048019115, 'n_estimators': 322.76050110810223, 'reg_lambda': 22.134985389483763, 'subsample': 0.7356676164436908}"
3,-0.0018147208029404283,"{'colsample_bytree': 0.8771594246682758, 'learning_rate': 0.028828612740666892, 'max_depth': 6.739351913286203, 'n_estimators': 453.3650540696516, 'reg_lambda': 28.89802042703656, 'subsample': 0.8805268815315108}"
4,-0.0016600136877968907,"{'colsample_bytree': 0.9246922579251169, 'learning_rate': 0.017733271806509063, 'max_depth': 5.93804192537846, 'n_estimators': 444.77998002139134, 'reg_lambda': 15.844918217005777, 'subsample': 0.9177098768475902}"
5,-0.002192120300605893,"{'colsample_bytree': 0.6811285540167747, 'learning_rate': 0.08091464239035975, 'max_depth': 3.361816947183387, 'n_estimators': 498.8132999750124, 'reg_lambda': 10.248821804293911, 'subsample': 0.2863241195982167}"
6,-0.0017634626710787416,"{'colsample_bytree': 0.8833220106279702, 'learning_rate': 0.019455088789788435, 'max_depth': 6.335377016520229, 'n_estimators': 445.1154429615981, 'reg_lambda': 16.93948670363799, 'subsample': 0.7847889949866724}"
7,-0.001587564474903047,"{'colsample_bytree': 0.9466518136084893, 'learning_rate': 0.07504959140581152, 'max_depth': 4.716586119826193, 'n_estimators': 440.9218054103188, 'reg_lambda': 13.232340624348367, 'subsample': 0.8074054677859797}"
8,-0.0020206698682159185,"{'colsample_bytree': 0.6869318122460377, 'learning_rate': 0.05609017417869617, 'max_depth': 3.2941841684479316, 'n_estimators': 446.8694050284151, 'reg_lambda': 10.775638954011278, 'subsample': 0.7728565503697291}"
9,-0.00205456861294806,"{'colsample_bytree': 0.633415137439472, 'learning_rate': 0.07755304562249953, 'max_depth': 8.482273258762397, 'n_estimators': 439.83147839391995, 'reg_lambda': 13.949668344936118, 'subsample': 0.9895518966553425}"
10,-0.0026015916373580694,"{'colsample_bytree': 0.6281278435107955, 'learning_rate': 0.02932952721892413, 'max_depth': 3.6479332059838696, 'n_estimators': 442.5143072819875, 'reg_lambda': 14.21815075080012, 'subsample': 0.21441730268773407}"
11,-0.0023215024266391993,"{'colsample_bytree': 0.6592875996291799, 'learning_rate': 0.041391689044954584, 'max_depth': 4.877673018590896, 'n_estimators': 441.6993157228683, 'reg_lambda': 12.82477048037096, 'subsample': 0.28571606497019336}"
12,-0.0016855403082445264,"{'colsample_bytree': 0.9699494468406105, 'learning_rate': 0.04590583150629989, 'max_depth': 7.0488195223313586, 'n_estimators': 362.703049422986, 'reg_lambda': 20.624642255608805, 'subsample': 0.9277264527076592}"
13,-0.0021773618645966053,"{'colsample_bytree': 0.6096910196792579, 'learning_rate': 0.03268962754690954, 'max_depth': 5.727351211879586, 'n_estimators': 388.3644216608465, 'reg_lambda': 13.933891493623632, 'subsample': 0.6120720788200191}"
14,-0.0018155681900680065,"{'colsample_bytree': 0.8667990776387622, 'learning_rate': 0.024632494198405616, 'max_depth': 8.332911306629935, 'n_estimators': 455.7542514487611, 'reg_lambda': 10.011546030232484, 'subsample': 0.3591466726046125}"
# cpu
