,target,params
0,-0.002897941740229726,"{'colsample_bytree': 0.9713227533198885, 'learning_rate': 0.04426695950217735, 'max_depth': 3.3770516405430997, 'n_estimators': 468.2468531906078, 'reg_lambda': 10.591294584820425, 'subsample': 0.9113431084483272}"
1,-0.0029947087168693542,"{'colsample_bytree': 0.912961805413971, 'learning_rate': 0.03400299378658588, 'max_depth': 4.924558944826469, 'n_estimators': 312.93933507376585, 'reg_lambda': 13.721623663463411, 'subsample': 0.5413264610551674}"
2,-0.0029412482399493456,"{'colsample_bytree': 0.9723728659723738, 'learning_rate': 0.09918360471110199, 'max_depth': 9.526438708480448, 'n_estimators': 442.59209701080454, 'reg_lambda': 11.484618795827068, 'subsample': 0.47452747093107456}"
3,-0.003940626047551632,"{'colsample_bytree': 0.6917538182386489, 'learning_rate': 0.045657968740467736, 'max_depth': 8.591311473670316, 'n_estimators': 444.5312564683361, 'reg_lambda': 26.125760121465436, 'subsample': 0.8254698673874976}"
4,-0.0034188544377684593,"{'colsample_bytree': 0.7696830673550188, 'learning_rate': 0.06404739333611674, 'max_depth': 4.969428382886192, 'n_estimators': 327.16766827998873, 'reg_lambda': 19.151461989344583, 'subsample': 0.6530283894121529}"
5,-0.0035883428063243628,"{'colsample_bytree': 0.7442725605626511, 'learning_rate': 0.056288451966719645, 'max_depth': 8.076708786213551, 'n_estimators': 456.80142968523063, 'reg_lambda': 20.942985354438072, 'subsample': 0.9449521679097241}"
6,-0.0028396688867360353,"{'colsample_bytree': 0.9655090128754634, 'learning_rate': 0.024033238747141864, 'max_depth': 3.3604333826635844, 'n_estimators': 469.62296095191743, 'reg_lambda': 11.326064442289127, 'subsample': 0.8704003906758324}"
7,-0.003517812117934227,"{'colsample_bytree': 0.7859764566758535, 'learning_rate': 0.08643608131551726, 'max_depth': 7.971055227182693, 'n_estimators': 479.39138980325265, 'reg_lambda': 10.999558563630167, 'subsample': 0.2210162697576662}"
8,-0.003076186403632164,"{'colsample_bytree': 0.8062385172290346, 'learning_rate': 0.07167405997445307, 'max_depth': 3.4216177816710784, 'n_estimators': 469.5571466398475, 'reg_lambda': 18.211374567626173, 'subsample': 0.40416548858268464}"
9,-0.004121062345802784,"{'colsample_bytree': 0.7472184583165074, 'learning_rate': 0.0976748882803383, 'max_depth': 7.715065679789157, 'n_estimators': 434.15647471632974, 'reg_lambda': 10.641068419945059, 'subsample': 0.9924460419556604}"
10,-0.0033172890543937683,"{'colsample_bytree': 0.8421759395564007, 'learning_rate': 0.06378861190759541, 'max_depth': 8.887783248011058, 'n_estimators': 469.51319366091235, 'reg_lambda': 13.077378727810977, 'subsample': 0.28501615603586283}"
11,-0.004860876593738794,"{'colsample_bytree': 0.6205510394074814, 'learning_rate': 0.08458813460745158, 'max_depth': 8.096542925786695, 'n_estimators': 447.6865460204304, 'reg_lambda': 10.890225580620827, 'subsample': 0.955822565178593}"
12,-0.004413011949509382,"{'colsample_bytree': 0.6563472165048547, 'learning_rate': 0.029157110327390587, 'max_depth': 4.863011591953554, 'n_estimators': 467.3108089482107, 'reg_lambda': 13.542558026307603, 'subsample': 0.45314922002999247}"
13,-0.0033968917559832335,"{'colsample_bytree': 0.775903474646211, 'learning_rate': 0.09692644464284446, 'max_depth': 4.0609972568899835, 'n_estimators': 470.70162597112704, 'reg_lambda': 10.686898103827813, 'subsample': 0.5493930869846229}"
14,-0.00297695049084723,"{'colsample_bytree': 0.9532405831149373, 'learning_rate': 0.039605483339169176, 'max_depth': 9.316599481790306, 'n_estimators': 441.5709003732558, 'reg_lambda': 12.78721507742686, 'subsample': 0.9373831710446674}"
15,-0.004474833142012358,"{'colsample_bytree': 0.6669865181179111, 'learning_rate': 0.05496247253214664, 'max_depth': 9.92626320064571, 'n_estimators': 443.46488232279813, 'reg_lambda': 13.877965550481093, 'subsample': 0.9005719281329465}"
16,-0.0035153713542968035,"{'colsample_bytree': 0.7824927543754872, 'learning_rate': 0.04747864527051775, 'max_depth': 8.59049364592634, 'n_estimators': 441.3627515237431, 'reg_lambda': 11.437454412579214, 'subsample': 0.7633138439983276}"
17,-0.0053129359148442745,"{'colsample_bytree': 0.7115928961816912, 'learning_rate': 0.010341732049020058, 'max_depth': 4.466430700429544, 'n_estimators': 469.1559007842857, 'reg_lambda': 10.667874198269054, 'subsample': 0.6787826924302081}"
18,-0.0047187781892716885,"{'colsample_bytree': 0.9350122337533625, 'learning_rate': 0.014587116496404368, 'max_depth': 5.387125278798926, 'n_estimators': 335.1735977194775, 'reg_lambda': 26.193065702576277, 'subsample': 0.4291086901789747}"
19,-0.00316075817681849,"{'colsample_bytree': 0.8761725811105547, 'learning_rate': 0.09115556365359494, 'max_depth': 4.152658785582741, 'n_estimators': 315.1170719525792, 'reg_lambda': 12.82635478608412, 'subsample': 0.4551950887681659}"
20,-0.003203668864443898,"{'colsample_bytree': 0.7732914096112222, 'learning_rate': 0.0792610126542601, 'max_depth': 9.15175818973766, 'n_estimators': 476.285867113677, 'reg_lambda': 27.979162462661268, 'subsample': 0.5784204191577496}"
21,-0.0029356314335018396,"{'colsample_bytree': 0.9252410461180662, 'learning_rate': 0.05335223680836249, 'max_depth': 6.411736681811298, 'n_estimators': 468.1139831622982, 'reg_lambda': 21.459051366154156, 'subsample': 0.39615338226318697}"
22,-0.0038857266772538424,"{'colsample_bytree': 0.9144881299808603, 'learning_rate': 0.011987850894027575, 'max_depth': 4.0682002591674955, 'n_estimators': 332.87846615908336, 'reg_lambda': 16.186227101603215, 'subsample': 0.9261497477106373}"
23,-0.0038980108220130205,"{'colsample_bytree': 0.6985755959018854, 'learning_rate': 0.0747251952779155, 'max_depth': 4.497253882438613, 'n_estimators': 486.4952149869732, 'reg_lambda': 21.19906426487183, 'subsample': 0.7687171778016055}"
