,target,params
0,-0.003614012850448489,"{'colsample_bytree': 0.6181082154185525, 'learning_rate': 0.06071716998195626, 'max_depth': 6.156065646246036, 'n_estimators': 421.21945193618643, 'reg_lambda': 21.13496430117509, 'subsample': 0.37447003922397865}"
1,-0.003047687467187643,"{'colsample_bytree': 0.8957456217546952, 'learning_rate': 0.03536486834480999, 'max_depth': 4.948547436560549, 'n_estimators': 315.53501937611435, 'reg_lambda': 29.418241231774932, 'subsample': 0.6198292055534328}"
2,-0.0036808298900723457,"{'colsample_bytree': 0.6345232550607183, 'learning_rate': 0.08934883679442081, 'max_depth': 8.597250255834307, 'n_estimators': 329.874521704625, 'reg_lambda': 29.560913277379377, 'subsample': 0.5600796848775503}"
3,-0.0029937129002064466,"{'colsample_bytree': 0.9026777305671873, 'learning_rate': 0.08531756063074401, 'max_depth': 7.355664195824597, 'n_estimators': 391.00212107864417, 'reg_lambda': 20.58984250503628, 'subsample': 0.7912254440278945}"
4,-0.0028560359496623278,"{'colsample_bytree': 0.9768200490640553, 'learning_rate': 0.048694633486612376, 'max_depth': 3.4856778457480875, 'n_estimators': 358.9795420046525, 'reg_lambda': 26.003334482243453, 'subsample': 0.9059261567668679}"
5,-0.0033569163642823696,"{'colsample_bytree': 0.7703621563901802, 'learning_rate': 0.03406368009643961, 'max_depth': 3.7583328652244026, 'n_estimators': 359.0961403665805, 'reg_lambda': 25.810876609724538, 'subsample': 0.5105320317360169}"
6,-0.0032490710727870464,"{'colsample_bytree': 0.7474714240728981, 'learning_rate': 0.05196237184411348, 'max_depth': 7.972698531736946, 'n_estimators': 348.50220963160103, 'reg_lambda': 24.26595538312694, 'subsample': 0.7512337236347124}"
7,-0.0030815787613391876,"{'colsample_bytree': 0.8167680898038274, 'learning_rate': 0.0648610036540871, 'max_depth': 8.30241884535873, 'n_estimators': 318.5826845597918, 'reg_lambda': 26.23761531397232, 'subsample': 0.35930964824044076}"
8,-0.0029444913379848003,"{'colsample_bytree': 0.9845420336567217, 'learning_rate': 0.0480556912217217, 'max_depth': 8.135390996676813, 'n_estimators': 472.2439267355879, 'reg_lambda': 18.540634004028387, 'subsample': 0.9267711427708873}"
9,-0.0030222157947719097,"{'colsample_bytree': 0.8524105618650581, 'learning_rate': 0.062371093803823184, 'max_depth': 8.09933960824345, 'n_estimators': 407.3538991040742, 'reg_lambda': 21.817308924692384, 'subsample': 0.8659225395665009}"
10,-0.002866541501134634,"{'colsample_bytree': 0.949424813091076, 'learning_rate': 0.036655566932373054, 'max_depth': 7.063427543764676, 'n_estimators': 312.8940684042115, 'reg_lambda': 15.195731646056824, 'subsample': 0.461123341811648}"
11,-0.0028439201414585114,"{'colsample_bytree': 0.9646728655466488, 'learning_rate': 0.06853293521410354, 'max_depth': 9.022065806644218, 'n_estimators': 429.1131532789358, 'reg_lambda': 26.07348990925803, 'subsample': 0.8777380958801859}"
12,-0.0031673074699938297,"{'colsample_bytree': 0.7207857738663517, 'learning_rate': 0.06981812607709861, 'max_depth': 8.771077819735812, 'n_estimators': 332.77100947635694, 'reg_lambda': 16.242683976421297, 'subsample': 0.4400357511117111}"
13,-0.0029696968849748373,"{'colsample_bytree': 0.8064776340122396, 'learning_rate': 0.07105766107051559, 'max_depth': 4.7381577399915695, 'n_estimators': 387.6385826510103, 'reg_lambda': 26.02003710035701, 'subsample': 0.6745547495314326}"
14,-0.0036233351565897465,"{'colsample_bytree': 0.7355545780765091, 'learning_rate': 0.04045642773063655, 'max_depth': 6.192341486352307, 'n_estimators': 333.9195616963675, 'reg_lambda': 29.696881854839894, 'subsample': 0.2589399747390023}"
15,-0.004086406901478767,"{'colsample_bytree': 0.8759756195663602, 'learning_rate': 0.010537704098066501, 'max_depth': 9.516054672713118, 'n_estimators': 418.13835152390277, 'reg_lambda': 18.56788069253177, 'subsample': 0.36843184675281376}"
16,-0.002936549950391054,"{'colsample_bytree': 0.8803504408864857, 'learning_rate': 0.02690979775790711, 'max_depth': 5.6058619745628, 'n_estimators': 402.1723838692241, 'reg_lambda': 17.41587249455334, 'subsample': 0.5545753992104867}"
17,-0.003514740616083145,"{'colsample_bytree': 0.7725597079921184, 'learning_rate': 0.06656257725222813, 'max_depth': 9.308145602061806, 'n_estimators': 370.7235636803092, 'reg_lambda': 16.928413013213834, 'subsample': 0.9708496266829643}"
18,-0.004387847147881985,"{'colsample_bytree': 0.6290500588046392, 'learning_rate': 0.025720056505241118, 'max_depth': 9.38325009652237, 'n_estimators': 365.016456862023, 'reg_lambda': 21.080318578996167, 'subsample': 0.585563808996961}"
19,-0.0028789062052965164,"{'colsample_bytree': 0.9687567239386834, 'learning_rate': 0.02407889560867084, 'max_depth': 5.866611495394424, 'n_estimators': 383.2174887801325, 'reg_lambda': 14.837314828604502, 'subsample': 0.5858722293228666}"
