,target,params
0,-0.0035528037697076797,"{'colsample_bytree': 0.7733560022235311, 'learning_rate': 0.01959725459212061, 'max_depth': 3.866289641347759, 'n_estimators': 427.6329721855415, 'reg_lambda': 28.953061584159755, 'subsample': 0.5519622139570071}"
1,-0.003185095963999629,"{'colsample_bytree': 0.6809995040968084, 'learning_rate': 0.08865045118515476, 'max_depth': 7.63229873149551, 'n_estimators': 384.96570134475905, 'reg_lambda': 19.69960365532624, 'subsample': 0.27222592088554776}"
2,-0.0027612049598246813,"{'colsample_bytree': 0.9017275650392202, 'learning_rate': 0.08031082728336923, 'max_depth': 8.955458162143568, 'n_estimators': 494.55969778527464, 'reg_lambda': 24.34777780730859, 'subsample': 0.36158282396314806}"
3,-0.0034600659273564816,"{'colsample_bytree': 0.6231092249445107, 'learning_rate': 0.06211675612888133, 'max_depth': 7.124527554698055, 'n_estimators': 341.19413068844324, 'reg_lambda': 13.550439780295356, 'subsample': 0.24105457201039898}"
4,-0.00275252154096961,"{'colsample_bytree': 0.9777706982230423, 'learning_rate': 0.0602497871702315, 'max_depth': 3.9291973121529753, 'n_estimators': 432.41795649859506, 'reg_lambda': 11.059905138000802, 'subsample': 0.21546437510795508}"
5,-0.0030289958231151104,"{'colsample_bytree': 0.9099996166658615, 'learning_rate': 0.012348340896999344, 'max_depth': 3.9075293936787308, 'n_estimators': 431.6411510124525, 'reg_lambda': 10.733221027219958, 'subsample': 0.5222383617694597}"
6,-0.002973756520077586,"{'colsample_bytree': 0.8237868519049498, 'learning_rate': 0.08281387932282647, 'max_depth': 4.715265994303283, 'n_estimators': 433.46968312251806, 'reg_lambda': 11.295668235251428, 'subsample': 0.21645363481210955}"
7,-0.0027824626304209232,"{'colsample_bytree': 0.9357465174923667, 'learning_rate': 0.030753960591061114, 'max_depth': 3.1447531350853364, 'n_estimators': 432.6795021421217, 'reg_lambda': 12.469517992397918, 'subsample': 0.3195366926943255}"
8,-0.0030309397261589766,"{'colsample_bytree': 0.7671448449887551, 'learning_rate': 0.05119499395349079, 'max_depth': 7.481388745035545, 'n_estimators': 494.08194955688106, 'reg_lambda': 24.983378072562488, 'subsample': 0.5850601670062938}"
9,-0.003221160499379039,"{'colsample_bytree': 0.6941959298384228, 'learning_rate': 0.04263899986317672, 'max_depth': 9.598367261232315, 'n_estimators': 495.85868808587844, 'reg_lambda': 24.06407502817615, 'subsample': 0.7407952857675901}"
10,-0.0028746165335178375,"{'colsample_bytree': 0.8575780666078051, 'learning_rate': 0.05144654248299653, 'max_depth': 3.063988829399234, 'n_estimators': 433.54262073360724, 'reg_lambda': 10.832015726110045, 'subsample': 0.21976512568017484}"
11,-0.002924168948084116,"{'colsample_bytree': 0.7922871020288131, 'learning_rate': 0.09355312979050844, 'max_depth': 4.224479207279494, 'n_estimators': 432.3601031357911, 'reg_lambda': 12.580953761099456, 'subsample': 0.4972952262667494}"
12,-0.00272767199203372,"{'colsample_bytree': 0.9484057327547883, 'learning_rate': 0.09932319990346027, 'max_depth': 8.865823464090226, 'n_estimators': 494.0385981755068, 'reg_lambda': 25.723065458914597, 'subsample': 0.6232616207607663}"
13,-0.003119277535006404,"{'colsample_bytree': 0.7445667059337623, 'learning_rate': 0.09442255672271666, 'max_depth': 9.88799609725926, 'n_estimators': 493.9163583294768, 'reg_lambda': 25.630102277745777, 'subsample': 0.700586457459788}"
14,-0.0033515722025185823,"{'colsample_bytree': 0.6147342290839591, 'learning_rate': 0.04253413878622713, 'max_depth': 8.994528521418351, 'n_estimators': 492.8616574451605, 'reg_lambda': 25.35122347964663, 'subsample': 0.6601162387328159}"
15,-0.0028306127060204744,"{'colsample_bytree': 0.9295862375346671, 'learning_rate': 0.026157360852149154, 'max_depth': 8.63169743397024, 'n_estimators': 495.07037011837326, 'reg_lambda': 25.483430961052353, 'subsample': 0.553124895921755}"
16,-0.0041501643136143684,"{'colsample_bytree': 0.6531928021452653, 'learning_rate': 0.0991634967585461, 'max_depth': 3.7537504723553643, 'n_estimators': 432.7133532274121, 'reg_lambda': 11.44732489968495, 'subsample': 0.9663008448727963}"
17,-0.002822762355208397,"{'colsample_bytree': 0.944247421592842, 'learning_rate': 0.07606184118268407, 'max_depth': 5.0073702786077146, 'n_estimators': 499.89103050146593, 'reg_lambda': 13.397300820028523, 'subsample': 0.961316775513942}"
18,-0.0027985547203570604,"{'colsample_bytree': 0.9646613754912043, 'learning_rate': 0.09265778159354479, 'max_depth': 5.919853713592087, 'n_estimators': 477.89763017991095, 'reg_lambda': 19.17161105140682, 'subsample': 0.9888997310226904}"
19,-0.0027339053340256214,"{'colsample_bytree': 0.940723742538464, 'learning_rate': 0.04695907520762901, 'max_depth': 4.816776963244123, 'n_estimators': 412.9808889757469, 'reg_lambda': 12.812825648112263, 'subsample': 0.6518519421379426}"
20,-0.0031697030644863844,"{'colsample_bytree': 0.7653275793742584, 'learning_rate': 0.03724525274477322, 'max_depth': 8.53569015586249, 'n_estimators': 456.02538217947045, 'reg_lambda': 26.077938123439015, 'subsample': 0.8968917045109424}"
21,-0.0030850269831717014,"{'colsample_bytree': 0.73386250001255, 'learning_rate': 0.07387226084098934, 'max_depth': 8.964027109352795, 'n_estimators': 453.7017401219009, 'reg_lambda': 13.364054129926672, 'subsample': 0.41345185795206574}"
22,-0.003939752466976643,"{'colsample_bytree': 0.7247427088838091, 'learning_rate': 0.016547436231258622, 'max_depth': 4.29429013140815, 'n_estimators': 317.86238094361954, 'reg_lambda': 13.158701978957643, 'subsample': 0.836884344301124}"
23,-0.0029208005871623755,"{'colsample_bytree': 0.8820982488427065, 'learning_rate': 0.07762143652402882, 'max_depth': 4.421841967233585, 'n_estimators': 409.58095557559454, 'reg_lambda': 28.03514238282088, 'subsample': 0.3497211617179404}"
24,-0.003498456906527281,"{'colsample_bytree': 0.6234827466359794, 'learning_rate': 0.08971808471451878, 'max_depth': 8.756450931557993, 'n_estimators': 359.21513324012363, 'reg_lambda': 15.66934257013042, 'subsample': 0.6606168340294396}"
25,-0.003923750948160887,"{'colsample_bytree': 0.8271256199037208, 'learning_rate': 0.013366840657359293, 'max_depth': 7.325370976563328, 'n_estimators': 351.0250544666013, 'reg_lambda': 20.96104289428233, 'subsample': 0.8344264952003655}"
26,-0.0026736613363027573,"{'colsample_bytree': 0.9784951075390411, 'learning_rate': 0.0719327350649933, 'max_depth': 8.448871449541823, 'n_estimators': 321.18683039327647, 'reg_lambda': 21.172121425665757, 'subsample': 0.731074249738527}"
27,-0.002781930612400174,"{'colsample_bytree': 0.9434008613125751, 'learning_rate': 0.03527927748000217, 'max_depth': 6.639242536097648, 'n_estimators': 312.21398623480786, 'reg_lambda': 14.628243651715964, 'subsample': 0.4753102100756447}"
28,-0.002700838493183255,"{'colsample_bytree': 0.9787479853895711, 'learning_rate': 0.07892977885281816, 'max_depth': 5.5524656617663055, 'n_estimators': 373.77347696666965, 'reg_lambda': 18.473033084240914, 'subsample': 0.8626938111389622}"
