,target,params
0,-0.0015793509082868695,"{'colsample_bytree': 0.9000621021953714, 'learning_rate': 0.04829757261824322, 'max_depth': 5.669952343513703, 'n_estimators': 333.66465562696794, 'reg_lambda': 16.7699727328493, 'subsample': 0.4469447801892441}"
1,-0.0014711413532495499,"{'colsample_bytree': 0.9673318645266553, 'learning_rate': 0.0974025317630258, 'max_depth': 6.448015858048153, 'n_estimators': 322.66030732927555, 'reg_lambda': 20.01407097542562, 'subsample': 0.6737577713241099}"
2,-0.0016837576404213905,"{'colsample_bytree': 0.7858229515445195, 'learning_rate': 0.0819283548192867, 'max_depth': 6.466206135943867, 'n_estimators': 325.6883892820122, 'reg_lambda': 27.360933925994324, 'subsample': 0.7573549788279603}"
3,-0.001682859379798174,"{'colsample_bytree': 0.81758970115817, 'learning_rate': 0.041516789318657356, 'max_depth': 5.860610237186914, 'n_estimators': 467.0832507979498, 'reg_lambda': 18.130899602427153, 'subsample': 0.7757296707681023}"
4,-0.0016601784154772758,"{'colsample_bytree': 0.9051017405720388, 'learning_rate': 0.024617326260905847, 'max_depth': 8.5057435432499, 'n_estimators': 318.4839002579225, 'reg_lambda': 19.127322966680005, 'subsample': 0.8937675380512913}"
5,-0.0021244704257696867,"{'colsample_bytree': 0.7228247498615236, 'learning_rate': 0.04942085305527503, 'max_depth': 9.592936475349402, 'n_estimators': 345.01243629968144, 'reg_lambda': 15.096949521441205, 'subsample': 0.9874478963184974}"
6,-0.001489653717726469,"{'colsample_bytree': 0.98114053074876, 'learning_rate': 0.06053362707056452, 'max_depth': 4.624092976083762, 'n_estimators': 326.6952903649253, 'reg_lambda': 17.303651173670254, 'subsample': 0.4936009773065824}"
7,-0.0016682579880580306,"{'colsample_bytree': 0.8804072289378685, 'learning_rate': 0.0993477327224114, 'max_depth': 8.596338398407406, 'n_estimators': 325.77996700753664, 'reg_lambda': 10.117456061594511, 'subsample': 0.8580068600915121}"
8,-0.0022575713228434324,"{'colsample_bytree': 0.7885221271838013, 'learning_rate': 0.019298784437219912, 'max_depth': 9.52093596764666, 'n_estimators': 328.9599626297842, 'reg_lambda': 19.942500338717537, 'subsample': 0.3834521466148852}"
9,-0.001633292529731989,"{'colsample_bytree': 0.8590123895162176, 'learning_rate': 0.042556757123693036, 'max_depth': 4.70114138001531, 'n_estimators': 325.11716270849, 'reg_lambda': 18.830838533206425, 'subsample': 0.6377100120779569}"
10,-0.0017422125674784184,"{'colsample_bytree': 0.8523495980467606, 'learning_rate': 0.027023318979048118, 'max_depth': 6.308585375547695, 'n_estimators': 320.8788682105456, 'reg_lambda': 21.78688497719743, 'subsample': 0.7668224088309652}"
11,-0.001525360275991261,"{'colsample_bytree': 0.9513368271847145, 'learning_rate': 0.07883050083082536, 'max_depth': 6.3216436652550385, 'n_estimators': 322.36254953498707, 'reg_lambda': 18.30149731428805, 'subsample': 0.7784013081168932}"
12,-0.004207898396998644,"{'colsample_bytree': 0.6207290447588435, 'learning_rate': 0.012814589719043468, 'max_depth': 3.6798800835030807, 'n_estimators': 329.0983585902965, 'reg_lambda': 16.460071382341113, 'subsample': 0.7070004858523895}"
13,-0.0016544089885428548,"{'colsample_bytree': 0.804451501746446, 'learning_rate': 0.07221895030149705, 'max_depth': 5.043529393085143, 'n_estimators': 322.05382751885577, 'reg_lambda': 19.249222852624847, 'subsample': 0.4851807256042743}"
14,-0.0019734413363039494,"{'colsample_bytree': 0.7157338538661653, 'learning_rate': 0.07054588883605172, 'max_depth': 5.507739588473245, 'n_estimators': 325.4319230040691, 'reg_lambda': 16.762504654477674, 'subsample': 0.830844772724872}"
15,-0.0018053874373435974,"{'colsample_bytree': 0.7274191207502784, 'learning_rate': 0.08529055495940976, 'max_depth': 8.066670235691213, 'n_estimators': 321.8661444876715, 'reg_lambda': 19.102007461487823, 'subsample': 0.3507650415833701}"
16,-0.0016703387955203652,"{'colsample_bytree': 0.9854635561459252, 'learning_rate': 0.04529652079654923, 'max_depth': 5.392196691336778, 'n_estimators': 324.1050870154777, 'reg_lambda': 20.622020821357545, 'subsample': 0.27875140057282544}"
17,-0.0019484286895021796,"{'colsample_bytree': 0.9637596229482867, 'learning_rate': 0.014614923790806403, 'max_depth': 7.769304553460263, 'n_estimators': 324.6941770131987, 'reg_lambda': 19.45570371832655, 'subsample': 0.5312420374625413}"
18,-0.0015346830477938056,"{'colsample_bytree': 0.9214513749851367, 'learning_rate': 0.056609961158080126, 'max_depth': 6.066850458812922, 'n_estimators': 319.6206104528093, 'reg_lambda': 18.971586012790212, 'subsample': 0.7800492031336197}"
19,-0.002340945415198803,"{'colsample_bytree': 0.6049654710476842, 'learning_rate': 0.0634063184545745, 'max_depth': 6.662325775137457, 'n_estimators': 320.2593074232353, 'reg_lambda': 16.58314366724781, 'subsample': 0.757094717054446}"
20,-0.0018367463489994407,"{'colsample_bytree': 0.8266817574304219, 'learning_rate': 0.041978617872356155, 'max_depth': 3.337668135258296, 'n_estimators': 326.3017375207705, 'reg_lambda': 18.665220271389295, 'subsample': 0.26697459742131974}"
21,-0.0017238318687304854,"{'colsample_bytree': 0.9600183503676893, 'learning_rate': 0.07642534960788508, 'max_depth': 6.742804936936199, 'n_estimators': 318.57204065013855, 'reg_lambda': 20.682911173120846, 'subsample': 0.20640182067896654}"
22,-0.002573323668912053,"{'colsample_bytree': 0.6675106123276446, 'learning_rate': 0.025520158101114666, 'max_depth': 4.28103785540275, 'n_estimators': 318.6727644532302, 'reg_lambda': 20.460811348021082, 'subsample': 0.3529886775290666}"
23,-0.0024997785221785307,"{'colsample_bytree': 0.6173180497897875, 'learning_rate': 0.0316461565078511, 'max_depth': 6.980986420231352, 'n_estimators': 319.8802696100892, 'reg_lambda': 20.08505510555872, 'subsample': 0.6530910829877785}"
24,-0.0020270843524485826,"{'colsample_bytree': 0.67520403271788, 'learning_rate': 0.059490552109750516, 'max_depth': 7.791011813116792, 'n_estimators': 407.9504139804379, 'reg_lambda': 10.630235749370572, 'subsample': 0.35685457567510864}"
25,-0.0015984837664291263,"{'colsample_bytree': 0.8973688090436818, 'learning_rate': 0.05244074853094429, 'max_depth': 3.4204278950614926, 'n_estimators': 300.55172738132006, 'reg_lambda': 16.826444560519366, 'subsample': 0.4482423110523011}"
26,-0.0022770597133785486,"{'colsample_bytree': 0.6143520250577336, 'learning_rate': 0.038647006523212436, 'max_depth': 3.8278021357298693, 'n_estimators': 396.7400548430136, 'reg_lambda': 24.50094309190998, 'subsample': 0.3380412296755858}"
