,target,params
0,-0.0023063821718096733,"{'colsample_bytree': 0.7761799677017345, 'learning_rate': 0.08083370693828489, 'max_depth': 9.114428568849796, 'n_estimators': 340.85474629599105, 'reg_lambda': 27.09199513867198, 'subsample': 0.5398440565136271}"
1,-0.002226322190836072,"{'colsample_bytree': 0.9005658085058686, 'learning_rate': 0.06457743992990285, 'max_depth': 8.847807804000336, 'n_estimators': 367.21201739436094, 'reg_lambda': 18.308847126760774, 'subsample': 0.8550878399159465}"
2,-0.0021470552310347557,"{'colsample_bytree': 0.9673214675804128, 'learning_rate': 0.04028768069147697, 'max_depth': 6.090340515277421, 'n_estimators': 415.50459970317615, 'reg_lambda': 23.74347436643609, 'subsample': 0.8876443092382793}"
3,-0.0026176515966653824,"{'colsample_bytree': 0.6003711700525937, 'learning_rate': 0.09323477828548817, 'max_depth': 9.230551430671309, 'n_estimators': 457.6329840580899, 'reg_lambda': 23.36530431820497, 'subsample': 0.46329868431058724}"
4,-0.002467191079631448,"{'colsample_bytree': 0.6903444557530539, 'learning_rate': 0.08505798816370098, 'max_depth': 9.330429315515056, 'n_estimators': 463.373061959482, 'reg_lambda': 13.717069186916248, 'subsample': 0.4728099302522029}"
5,-0.0033421979751437902,"{'colsample_bytree': 0.7264993705513261, 'learning_rate': 0.014126247622304414, 'max_depth': 7.1471072872131, 'n_estimators': 414.7843675370688, 'reg_lambda': 23.634390760107305, 'subsample': 0.5667363352409085}"
6,-0.002847926924005151,"{'colsample_bytree': 0.7175007878026173, 'learning_rate': 0.02243572540572123, 'max_depth': 5.598678993749935, 'n_estimators': 415.5292373194603, 'reg_lambda': 23.99164286687185, 'subsample': 0.4750667654536942}"
7,-0.00221641780808568,"{'colsample_bytree': 0.911254057228556, 'learning_rate': 0.06885650599068391, 'max_depth': 5.134714394459419, 'n_estimators': 386.1879769088803, 'reg_lambda': 10.67559041223111, 'subsample': 0.8511306362302768}"
8,-0.002751390216872096,"{'colsample_bytree': 0.685222187515226, 'learning_rate': 0.030492624140618423, 'max_depth': 6.950571089856055, 'n_estimators': 326.52002413964544, 'reg_lambda': 23.396273866936408, 'subsample': 0.9066965575297923}"
9,-0.002272458281368017,"{'colsample_bytree': 0.8494477423980067, 'learning_rate': 0.07809139396271807, 'max_depth': 5.802451319690697, 'n_estimators': 370.55210383258805, 'reg_lambda': 23.007978092250234, 'subsample': 0.4140022950690466}"
10,-0.0022893662098795176,"{'colsample_bytree': 0.9289032225132874, 'learning_rate': 0.01993299692800416, 'max_depth': 4.856698333246905, 'n_estimators': 470.4997656279193, 'reg_lambda': 16.443764448607425, 'subsample': 0.45271341186225134}"
11,-0.0022581717930734158,"{'colsample_bytree': 0.9297635267173577, 'learning_rate': 0.06465995300656945, 'max_depth': 4.357720573874124, 'n_estimators': 464.86154719547216, 'reg_lambda': 16.88753909106708, 'subsample': 0.9291544414518047}"
12,-0.0023019767832010984,"{'colsample_bytree': 0.83692028975784, 'learning_rate': 0.09806367834178471, 'max_depth': 7.055076387122718, 'n_estimators': 337.57852768577277, 'reg_lambda': 28.34160218468583, 'subsample': 0.3254449240034236}"
13,-0.0028480326291173697,"{'colsample_bytree': 0.6082948933076305, 'learning_rate': 0.08860298089728948, 'max_depth': 5.994417226945867, 'n_estimators': 412.7108839411683, 'reg_lambda': 29.24663095866051, 'subsample': 0.9529325543588318}"
14,-0.0030008163303136826,"{'colsample_bytree': 0.6303772925204103, 'learning_rate': 0.05483311111491377, 'max_depth': 5.123440143621878, 'n_estimators': 381.3439683319754, 'reg_lambda': 10.609636351881202, 'subsample': 0.7645018196158313}"
15,-0.0026927897706627846,"{'colsample_bytree': 0.7402417048076785, 'learning_rate': 0.0322905464115506, 'max_depth': 5.560375020420323, 'n_estimators': 313.97947126537315, 'reg_lambda': 26.301349467554466, 'subsample': 0.47227381848106414}"
16,-0.002269435441121459,"{'colsample_bytree': 0.9526023345542978, 'learning_rate': 0.09386109793814207, 'max_depth': 6.569725213083213, 'n_estimators': 306.8793715286869, 'reg_lambda': 18.11749034091457, 'subsample': 0.9810476529141905}"
17,-0.0024732269812375307,"{'colsample_bytree': 0.7209297580589543, 'learning_rate': 0.07527108602098734, 'max_depth': 7.3299705273518745, 'n_estimators': 425.60408185397387, 'reg_lambda': 18.975970306291625, 'subsample': 0.5101899291242467}"
18,-0.0021873496007174253,"{'colsample_bytree': 0.9629478364027395, 'learning_rate': 0.08359869598960269, 'max_depth': 9.432756670309594, 'n_estimators': 483.80138278786785, 'reg_lambda': 17.015797426104257, 'subsample': 0.9545636959348782}"
19,-0.002454201690852642,"{'colsample_bytree': 0.942718209445779, 'learning_rate': 0.021113091367707795, 'max_depth': 6.777855438243574, 'n_estimators': 356.58047029902554, 'reg_lambda': 26.319186358064716, 'subsample': 0.6026800562527412}"
20,-0.0023140653502196074,"{'colsample_bytree': 0.7784936369537874, 'learning_rate': 0.041552823699070096, 'max_depth': 8.520778819657206, 'n_estimators': 431.442160845266, 'reg_lambda': 18.708205288680794, 'subsample': 0.3751049372461299}"
21,-0.002171077998355031,"{'colsample_bytree': 0.8621066092294434, 'learning_rate': 0.04596998515208586, 'max_depth': 7.807170229225294, 'n_estimators': 484.3672993927774, 'reg_lambda': 11.62078888728786, 'subsample': 0.5081020409521502}"
22,-0.0023844658862799406,"{'colsample_bytree': 0.7921586506808894, 'learning_rate': 0.05383893468473583, 'max_depth': 6.392821794200785, 'n_estimators': 302.4087163060583, 'reg_lambda': 23.317712955271233, 'subsample': 0.4478567028930516}"
23,-0.002622278407216072,"{'colsample_bytree': 0.7191356053631948, 'learning_rate': 0.07098384048303076, 'max_depth': 6.611669495297941, 'n_estimators': 415.0282063400785, 'reg_lambda': 24.872206892506846, 'subsample': 0.23744486002328014}"
24,-0.002175195375457406,"{'colsample_bytree': 0.8726552125085806, 'learning_rate': 0.06914226966139783, 'max_depth': 6.574466745950948, 'n_estimators': 404.2644071235275, 'reg_lambda': 17.63744871710524, 'subsample': 0.5892978934002466}"
25,-0.00216589099727571,"{'colsample_bytree': 0.9365207786286769, 'learning_rate': 0.030304166129012433, 'max_depth': 9.57131686344357, 'n_estimators': 403.83863975395803, 'reg_lambda': 13.421614385627088, 'subsample': 0.7542537483937044}"
26,-0.0033618686720728874,"{'colsample_bytree': 0.6643441828586095, 'learning_rate': 0.01543080875534087, 'max_depth': 4.545659622770395, 'n_estimators': 426.04419989258906, 'reg_lambda': 14.599005911129229, 'subsample': 0.3758893587874288}"
27,-0.002911008894443512,"{'colsample_bytree': 0.6322540231420664, 'learning_rate': 0.09626595234660183, 'max_depth': 5.319584365032031, 'n_estimators': 408.4377871630597, 'reg_lambda': 21.828679047126386, 'subsample': 0.9706028237534501}"
28,-0.0025264162104576826,"{'colsample_bytree': 0.7298116791397539, 'learning_rate': 0.026609435739426528, 'max_depth': 3.7641779750697753, 'n_estimators': 409.85710597479533, 'reg_lambda': 22.07172785241392, 'subsample': 0.7846009824144144}"
29,-0.0023325623478740454,"{'colsample_bytree': 0.851461825573217, 'learning_rate': 0.09501501681089176, 'max_depth': 4.619336090595737, 'n_estimators': 363.1547436827817, 'reg_lambda': 11.080766995929398, 'subsample': 0.5172335503872718}"
30,-0.002383449813351035,"{'colsample_bytree': 0.7613975059115028, 'learning_rate': 0.09919819599826384, 'max_depth': 5.3959923741055755, 'n_estimators': 344.1095433435306, 'reg_lambda': 19.504005482544628, 'subsample': 0.6955663829940636}"
31,-0.002717984840273857,"{'colsample_bytree': 0.6241780301763308, 'learning_rate': 0.0779704600621057, 'max_depth': 8.715856604719676, 'n_estimators': 419.0592873790681, 'reg_lambda': 23.401629326192413, 'subsample': 0.6599456845066256}"
32,-0.002391204936429858,"{'colsample_bytree': 0.7585365096770577, 'learning_rate': 0.05731200368215006, 'max_depth': 3.8432872628661943, 'n_estimators': 464.83498441523824, 'reg_lambda': 11.918177950404786, 'subsample': 0.7017297993533338}"
33,-0.002261804649606347,"{'colsample_bytree': 0.9077861725613858, 'learning_rate': 0.08089332139807208, 'max_depth': 5.778075954268051, 'n_estimators': 382.7378456325203, 'reg_lambda': 20.31224972836818, 'subsample': 0.9186169147153733}"
34,-0.002201087772846222,"{'colsample_bytree': 0.9103708016118184, 'learning_rate': 0.052141416852595636, 'max_depth': 7.091496144577295, 'n_estimators': 340.1534401539952, 'reg_lambda': 23.77989830773943, 'subsample': 0.8252104369386999}"
35,-0.002790491795167327,"{'colsample_bytree': 0.6231206430112703, 'learning_rate': 0.08137917897918281, 'max_depth': 5.883198298147164, 'n_estimators': 366.59494185333705, 'reg_lambda': 16.20362327568123, 'subsample': 0.6444291251990977}"
36,-0.0023757426533848047,"{'colsample_bytree': 0.7849487773545694, 'learning_rate': 0.045846253685235365, 'max_depth': 5.17496754644924, 'n_estimators': 397.1193070197592, 'reg_lambda': 26.42981134136213, 'subsample': 0.8990734558866962}"
37,-0.0030556702986359596,"{'colsample_bytree': 0.6219649650413529, 'learning_rate': 0.026124002252160987, 'max_depth': 4.593461538027883, 'n_estimators': 426.6436096296368, 'reg_lambda': 27.72349243878544, 'subsample': 0.8796430983326704}"
38,-0.0035206114407628775,"{'colsample_bytree': 0.6314800134141358, 'learning_rate': 0.017661822104353873, 'max_depth': 4.25101339619861, 'n_estimators': 412.4231928116821, 'reg_lambda': 14.01461465131861, 'subsample': 0.9226914182709642}"
39,-0.0027061831206083298,"{'colsample_bytree': 0.6172682259295459, 'learning_rate': 0.07584845425692079, 'max_depth': 8.307741185422408, 'n_estimators': 316.96691354583794, 'reg_lambda': 29.8680472194765, 'subsample': 0.5870566039817595}"
40,-0.002807822311297059,"{'colsample_bytree': 0.6872452230630264, 'learning_rate': 0.0182934646731413, 'max_depth': 9.269580060333752, 'n_estimators': 448.4290144069973, 'reg_lambda': 16.520433770948987, 'subsample': 0.8006602511593228}"
