,target,params
0,-0.005019028205424547,"{'colsample_bytree': 0.6574618496312284, 'learning_rate': 0.026004875314048284, 'max_depth': 5.352994135595357, 'n_estimators': 483.9711566957462, 'reg_lambda': 11.090130393975198, 'subsample': 0.864637235270562}"
1,-0.0035548023879528046,"{'colsample_bytree': 0.9302066270092089, 'learning_rate': 0.0857829979188758, 'max_depth': 4.421284750785215, 'n_estimators': 341.71262183993235, 'reg_lambda': 12.311225739750709, 'subsample': 0.3102711632151402}"
2,-0.005391220096498728,"{'colsample_bytree': 0.961497701621621, 'learning_rate': 0.013044653152166161, 'max_depth': 4.6505751402362225, 'n_estimators': 388.1455878664894, 'reg_lambda': 21.040298289095283, 'subsample': 0.4215613159903729}"
3,-0.00414765952154994,"{'colsample_bytree': 0.9023856091093669, 'learning_rate': 0.030703907850240755, 'max_depth': 5.229887879663373, 'n_estimators': 352.852782371093, 'reg_lambda': 16.948511796998865, 'subsample': 0.29635429001109775}"
4,-0.0040239812806248665,"{'colsample_bytree': 0.7720930547488978, 'learning_rate': 0.09494024371833275, 'max_depth': 3.1425791865647033, 'n_estimators': 349.16419100108413, 'reg_lambda': 15.668247272689335, 'subsample': 0.574669043277114}"
5,-0.004463844001293182,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 10.0, 'n_estimators': 319.02014458467085, 'reg_lambda': 10.0, 'subsample': 1.0}"
6,-0.006717996671795845,"{'colsample_bytree': 0.6645537145751457, 'learning_rate': 0.04951588324824158, 'max_depth': 9.89280665333461, 'n_estimators': 336.54963403139084, 'reg_lambda': 24.689040402657096, 'subsample': 0.22214562592746107}"
7,-0.003431672230362892,"{'colsample_bytree': 0.8332237165664707, 'learning_rate': 0.06277363022998433, 'max_depth': 9.919537104690573, 'n_estimators': 346.81224291418823, 'reg_lambda': 10.271681865881586, 'subsample': 0.9458665262741557}"
8,-0.00489430408924818,"{'colsample_bytree': 0.6457387724029493, 'learning_rate': 0.06409150143764895, 'max_depth': 8.189752459061744, 'n_estimators': 364.18268922422436, 'reg_lambda': 10.003440337328007, 'subsample': 0.8538792703468474}"
9,-0.005752211436629295,"{'colsample_bytree': 0.6649828746569636, 'learning_rate': 0.02796861039878934, 'max_depth': 5.271691915197323, 'n_estimators': 300.00767227222747, 'reg_lambda': 10.03002017544536, 'subsample': 0.8979873169421981}"
10,-0.004004418384283781,"{'colsample_bytree': 0.99, 'learning_rate': 0.05568273188181612, 'max_depth': 3.0, 'n_estimators': 347.29618446486006, 'reg_lambda': 10.0, 'subsample': 0.2}"
11,-0.004465517587959766,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 3.0, 'n_estimators': 332.25085072182304, 'reg_lambda': 10.0, 'subsample': 1.0}"
12,-0.003924581687897444,"{'colsample_bytree': 0.7434176769217565, 'learning_rate': 0.05227946328933192, 'max_depth': 3.7368155803944054, 'n_estimators': 439.189947353548, 'reg_lambda': 29.803976256175442, 'subsample': 0.4672762152406067}"
