,target,params
0,-0.003094613319262862,"{'colsample_bytree': 0.7394727863119885, 'learning_rate': 0.09159151456416847, 'max_depth': 8.898604204438469, 'n_estimators': 417.562896258727, 'reg_lambda': 26.09210351160755, 'subsample': 0.21066881554652037}"
1,-0.0033894244115799665,"{'colsample_bytree': 0.7165387652855099, 'learning_rate': 0.03002255163664281, 'max_depth': 8.735385067610057, 'n_estimators': 300.25129224005565, 'reg_lambda': 12.042657500872021, 'subsample': 0.3757674721653815}"
2,-0.0031682427506893873,"{'colsample_bytree': 0.6602416537956133, 'learning_rate': 0.05164102971130153, 'max_depth': 9.47301723580539, 'n_estimators': 463.0387553790041, 'reg_lambda': 28.794980696693383, 'subsample': 0.6928375011665833}"
3,-0.0028106325771659613,"{'colsample_bytree': 0.7811975548801875, 'learning_rate': 0.04437457299043029, 'max_depth': 8.323225277235007, 'n_estimators': 338.9307693526921, 'reg_lambda': 15.101284730518154, 'subsample': 0.4280438839648859}"
4,-0.002753236796706915,"{'colsample_bytree': 0.9199312035310059, 'learning_rate': 0.0796260537545342, 'max_depth': 7.486211585051954, 'n_estimators': 462.38010712445515, 'reg_lambda': 28.45282415720814, 'subsample': 0.28553134889931764}"
5,-0.0027798423543572426,"{'colsample_bytree': 0.8068243372793438, 'learning_rate': 0.09590802966517722, 'max_depth': 7.409804185266962, 'n_estimators': 462.3092743201436, 'reg_lambda': 28.30614054282195, 'subsample': 0.351974448502421}"
6,-0.0027967789210379124,"{'colsample_bytree': 0.7989668833873323, 'learning_rate': 0.09428985539733784, 'max_depth': 6.185308845137023, 'n_estimators': 463.14469047054206, 'reg_lambda': 28.522732223301986, 'subsample': 0.74988772634986}"
7,-0.0027939523570239544,"{'colsample_bytree': 0.9405827882979834, 'learning_rate': 0.06481381591106761, 'max_depth': 5.257504964615379, 'n_estimators': 461.0534689593085, 'reg_lambda': 29.25106233645163, 'subsample': 0.24985557094366256}"
8,-0.002998047275468707,"{'colsample_bytree': 0.6957205599513848, 'learning_rate': 0.09972006318411877, 'max_depth': 7.480121197137148, 'n_estimators': 459.76820035600497, 'reg_lambda': 29.053145296101693, 'subsample': 0.43370632953283184}"
9,-0.0028662546537816525,"{'colsample_bytree': 0.8445404911321155, 'learning_rate': 0.034811588289353844, 'max_depth': 3.714282611430863, 'n_estimators': 462.9367988719058, 'reg_lambda': 29.06423114245181, 'subsample': 0.3494844843293853}"
10,-0.0030125807970762253,"{'colsample_bytree': 0.786355872670548, 'learning_rate': 0.02200147293750916, 'max_depth': 7.754453897285463, 'n_estimators': 337.3837432692966, 'reg_lambda': 13.150154008617791, 'subsample': 0.6307619713543706}"
11,-0.0029693376272916794,"{'colsample_bytree': 0.7539510823628075, 'learning_rate': 0.06157088979071562, 'max_depth': 4.821032937503471, 'n_estimators': 461.68186776330026, 'reg_lambda': 27.246658307510575, 'subsample': 0.34458545442117516}"
12,-0.005032074637711048,"{'colsample_bytree': 0.74125166612408, 'learning_rate': 0.011084926647277199, 'max_depth': 8.00551032605675, 'n_estimators': 339.8834894055285, 'reg_lambda': 17.15258107423968, 'subsample': 0.4122514772694406}"
13,-0.0032152191270142794,"{'colsample_bytree': 0.6879141285376252, 'learning_rate': 0.08261516536745353, 'max_depth': 8.62311461329078, 'n_estimators': 340.2466900628224, 'reg_lambda': 13.132907802440013, 'subsample': 0.7642012265242348}"
14,-0.005448098294436932,"{'colsample_bytree': 0.6143605223469414, 'learning_rate': 0.012606524879617137, 'max_depth': 9.848553712331046, 'n_estimators': 337.3786512675862, 'reg_lambda': 14.547898439431886, 'subsample': 0.4154626892528837}"
15,-0.0030148618388921022,"{'colsample_bytree': 0.6927604988252405, 'learning_rate': 0.045150628574877276, 'max_depth': 3.5468967594593965, 'n_estimators': 460.95031738314697, 'reg_lambda': 28.956014248344086, 'subsample': 0.6920031777478999}"
16,-0.0025731062050908804,"{'colsample_bytree': 0.8927275340212345, 'learning_rate': 0.07988145442196096, 'max_depth': 7.0101356515169, 'n_estimators': 461.2452345834515, 'reg_lambda': 29.34886631330092, 'subsample': 0.5191336721301636}"
17,-0.0030472802463918924,"{'colsample_bytree': 0.9487006330174149, 'learning_rate': 0.02460484235715497, 'max_depth': 7.113449716580114, 'n_estimators': 339.01643081115276, 'reg_lambda': 13.625207532649213, 'subsample': 0.22809150180824211}"
18,-0.0030348673462867737,"{'colsample_bytree': 0.6694946078020538, 'learning_rate': 0.0414921271361381, 'max_depth': 4.655858775057865, 'n_estimators': 464.7003453329676, 'reg_lambda': 27.678971311337417, 'subsample': 0.7290718686608553}"
19,-0.002911780960857868,"{'colsample_bytree': 0.7665704056406697, 'learning_rate': 0.08875608395629281, 'max_depth': 5.950020980181891, 'n_estimators': 461.9187891159323, 'reg_lambda': 29.84476075547021, 'subsample': 0.8142757082551342}"
20,-0.0030816085636615753,"{'colsample_bytree': 0.7001734591027207, 'learning_rate': 0.07744359416314246, 'max_depth': 6.134123903930657, 'n_estimators': 460.1353673526621, 'reg_lambda': 27.642451563311443, 'subsample': 0.7895743423059718}"
