,target,params
0,-0.003704945556819439,"{'colsample_bytree': 0.8578873325584955, 'learning_rate': 0.07892907968078788, 'max_depth': 8.831917784239886, 'n_estimators': 309.1637367010805, 'reg_lambda': 17.09776733914716, 'subsample': 0.4650967174024258}"
1,-0.004917831625789404,"{'colsample_bytree': 0.6038703473788003, 'learning_rate': 0.07062426532210801, 'max_depth': 3.8978727303252114, 'n_estimators': 328.304863872277, 'reg_lambda': 24.144521544301554, 'subsample': 0.2586265980544781}"
2,-0.003748009679839015,"{'colsample_bytree': 0.867056630437429, 'learning_rate': 0.09723394714365614, 'max_depth': 3.521249883605979, 'n_estimators': 402.2916463112455, 'reg_lambda': 17.984447340001452, 'subsample': 0.6870253993874387}"
3,-0.0047117434442043304,"{'colsample_bytree': 0.6342847592788522, 'learning_rate': 0.07341842513716586, 'max_depth': 3.050867253400051, 'n_estimators': 446.5230249388496, 'reg_lambda': 28.404482551502035, 'subsample': 0.8582872026601556}"
4,-0.003928915597498417,"{'colsample_bytree': 0.8977480854172878, 'learning_rate': 0.023014061744672583, 'max_depth': 8.848388975745772, 'n_estimators': 469.155944106987, 'reg_lambda': 16.893174072641973, 'subsample': 0.6274851121780853}"
5,-0.004420930054038763,"{'colsample_bytree': 0.72660488946331, 'learning_rate': 0.09525344566622242, 'max_depth': 7.680576274274309, 'n_estimators': 309.16730580056526, 'reg_lambda': 16.59931646358326, 'subsample': 0.9566314926609765}"
6,-0.004301819484680891,"{'colsample_bytree': 0.8165847592677309, 'learning_rate': 0.020648848232860534, 'max_depth': 9.651777332347892, 'n_estimators': 413.59831436616963, 'reg_lambda': 29.073663245946676, 'subsample': 0.6571059147237335}"
7,-0.003621850162744522,"{'colsample_bytree': 0.958766739525126, 'learning_rate': 0.028541262332068912, 'max_depth': 7.927485441657466, 'n_estimators': 483.1430573505578, 'reg_lambda': 25.26586560610027, 'subsample': 0.7976116433130074}"
8,-0.004293798469007015,"{'colsample_bytree': 0.7688370078705342, 'learning_rate': 0.08520766254518178, 'max_depth': 6.842288849560564, 'n_estimators': 499.82714047410127, 'reg_lambda': 12.424351064434774, 'subsample': 0.7670648848813639}"
9,-0.0045090410858392715,"{'colsample_bytree': 0.8971338908399575, 'learning_rate': 0.015268785512475996, 'max_depth': 8.212626268383715, 'n_estimators': 423.61065597405286, 'reg_lambda': 21.23007903079557, 'subsample': 0.9284982478934414}"
10,-0.003510287730023265,"{'colsample_bytree': 0.9231450394476863, 'learning_rate': 0.09577527481179302, 'max_depth': 7.587219631394303, 'n_estimators': 398.2657606116472, 'reg_lambda': 22.079428480199873, 'subsample': 0.6208049866447723}"
11,-0.0048896935768425465,"{'colsample_bytree': 0.6936590406294266, 'learning_rate': 0.04659283473657614, 'max_depth': 4.491758526350294, 'n_estimators': 373.62219459344016, 'reg_lambda': 20.610945571259407, 'subsample': 0.31958970121658486}"
12,-0.003772292286157608,"{'colsample_bytree': 0.9054787095553574, 'learning_rate': 0.013425033179851782, 'max_depth': 9.29561403770181, 'n_estimators': 496.4931459271799, 'reg_lambda': 13.889404749933592, 'subsample': 0.7967036158174812}"
13,-0.004494418855756521,"{'colsample_bytree': 0.7431982384271196, 'learning_rate': 0.049627488357403514, 'max_depth': 5.789378219368162, 'n_estimators': 308.9749419053804, 'reg_lambda': 18.81071940286254, 'subsample': 0.908807625694692}"
14,-0.0041502066887915134,"{'colsample_bytree': 0.792135648388544, 'learning_rate': 0.06171261819207571, 'max_depth': 9.368863078347768, 'n_estimators': 398.28893620562826, 'reg_lambda': 26.404427019606516, 'subsample': 0.3254814263766366}"
15,-0.005686866585165262,"{'colsample_bytree': 0.8038233402996424, 'learning_rate': 0.012679425160917997, 'max_depth': 4.580791788503581, 'n_estimators': 402.4776364051725, 'reg_lambda': 24.839686871118413, 'subsample': 0.31913738999717717}"
16,-0.004199944902211428,"{'colsample_bytree': 0.9809187675313603, 'learning_rate': 0.01076323330829152, 'max_depth': 5.98446203781091, 'n_estimators': 394.5863397482782, 'reg_lambda': 11.769523138146118, 'subsample': 0.8638444432538723}"
17,-0.00446177227422595,"{'colsample_bytree': 0.6517541900143221, 'learning_rate': 0.07939045255981202, 'max_depth': 3.533982851915553, 'n_estimators': 496.8514344124351, 'reg_lambda': 16.704159752908062, 'subsample': 0.5952233891172587}"
18,-0.005322420969605446,"{'colsample_bytree': 0.6488049976937279, 'learning_rate': 0.036508469361611735, 'max_depth': 3.8142849257021796, 'n_estimators': 331.3320866841327, 'reg_lambda': 28.60556364219964, 'subsample': 0.8912676887019015}"
19,-0.003474988741800189,"{'colsample_bytree': 0.9427383620572235, 'learning_rate': 0.05849314092907253, 'max_depth': 3.0788996293996425, 'n_estimators': 493.04842924638825, 'reg_lambda': 10.17749190363668, 'subsample': 0.7051259095061984}"
20,-0.004237029235810041,"{'colsample_bytree': 0.7564827863567196, 'learning_rate': 0.084444358293262, 'max_depth': 3.2731576473052377, 'n_estimators': 375.0863705332474, 'reg_lambda': 20.244023555295062, 'subsample': 0.7600820401382322}"
21,-0.0036089622881263494,"{'colsample_bytree': 0.9560785965728611, 'learning_rate': 0.0927887702293795, 'max_depth': 9.45358841088132, 'n_estimators': 305.5219701852141, 'reg_lambda': 17.023553050245, 'subsample': 0.7929092755863492}"
22,-0.00436963327229023,"{'colsample_bytree': 0.7898830846310562, 'learning_rate': 0.07413624480376542, 'max_depth': 4.140854802657728, 'n_estimators': 318.71248353068876, 'reg_lambda': 28.354125973258178, 'subsample': 0.9574847031226199}"
23,-0.004758389201015234,"{'colsample_bytree': 0.6577775725395238, 'learning_rate': 0.07904457969743514, 'max_depth': 6.785843363475728, 'n_estimators': 491.3835643891964, 'reg_lambda': 22.75837414144236, 'subsample': 0.8790454593779946}"
24,-0.004188360180705786,"{'colsample_bytree': 0.7660638277245321, 'learning_rate': 0.09984814642531352, 'max_depth': 4.6649647328406, 'n_estimators': 387.28929197669703, 'reg_lambda': 26.054784368367237, 'subsample': 0.8728047483708687}"
25,-0.004960248712450266,"{'colsample_bytree': 0.6733565736217194, 'learning_rate': 0.04552631347974129, 'max_depth': 3.845590556378104, 'n_estimators': 454.25024573684766, 'reg_lambda': 25.525161029616456, 'subsample': 0.25451846602266515}"
26,-0.0034895939752459526,"{'colsample_bytree': 0.97502659394529, 'learning_rate': 0.06643545483339891, 'max_depth': 4.155856934318419, 'n_estimators': 310.3845315136046, 'reg_lambda': 19.26818502656309, 'subsample': 0.38857482315904907}"
27,-0.0040698605589568615,"{'colsample_bytree': 0.7281055232386021, 'learning_rate': 0.08601974144124078, 'max_depth': 8.678321401063261, 'n_estimators': 309.20192097269916, 'reg_lambda': 16.484798678879883, 'subsample': 0.601385518716014}"
28,-0.0047508967109024525,"{'colsample_bytree': 0.6171206928285775, 'learning_rate': 0.05849722398833233, 'max_depth': 3.5427711638302943, 'n_estimators': 311.63121221640336, 'reg_lambda': 19.422588706568504, 'subsample': 0.6078656721308413}"
29,-0.0037378075066953897,"{'colsample_bytree': 0.8876089842210051, 'learning_rate': 0.07241868759851879, 'max_depth': 3.876371715050836, 'n_estimators': 310.6022686025078, 'reg_lambda': 18.782966321287077, 'subsample': 0.7626392716238395}"
30,-0.0038350692484527826,"{'colsample_bytree': 0.99, 'learning_rate': 0.09928824294534355, 'max_depth': 3.8576763550760766, 'n_estimators': 309.7023931621919, 'reg_lambda': 18.8536197623387, 'subsample': 0.2}"
31,-0.0033908074256032705,"{'colsample_bytree': 0.900687952613709, 'learning_rate': 0.06334428069326371, 'max_depth': 3.3605775450470974, 'n_estimators': 494.0176004443098, 'reg_lambda': 10.21149264732883, 'subsample': 0.6418594969219564}"
32,-0.004566961899399757,"{'colsample_bytree': 0.6118390425280438, 'learning_rate': 0.09789332599933272, 'max_depth': 7.6048986529203395, 'n_estimators': 398.0366867189622, 'reg_lambda': 23.14444310542702, 'subsample': 0.21321123613944837}"
33,-0.004917123354971409,"{'colsample_bytree': 0.8785958583106621, 'learning_rate': 0.013739712236936723, 'max_depth': 3.7685932352854388, 'n_estimators': 493.2260464823124, 'reg_lambda': 11.247314254376167, 'subsample': 0.20207075535292773}"
34,-0.005000410135835409,"{'colsample_bytree': 0.6052244429166087, 'learning_rate': 0.034906830153792846, 'max_depth': 7.293447164801982, 'n_estimators': 399.05824555024356, 'reg_lambda': 21.72995094442614, 'subsample': 0.6654962064530544}"
35,-0.00500631146132946,"{'colsample_bytree': 0.7426093081023553, 'learning_rate': 0.014218197456312608, 'max_depth': 3.031355516164167, 'n_estimators': 493.7199025627224, 'reg_lambda': 10.380417891925294, 'subsample': 0.8659219627551855}"
36,-0.005148181691765785,"{'colsample_bytree': 0.7698635611624669, 'learning_rate': 0.01944421537245532, 'max_depth': 3.5055796293093002, 'n_estimators': 337.46423323138737, 'reg_lambda': 14.391016651014956, 'subsample': 0.5325531752030932}"
37,-0.003895234316587448,"{'colsample_bytree': 0.8608120571379, 'learning_rate': 0.04775009265941425, 'max_depth': 7.499845405768597, 'n_estimators': 304.7807341322934, 'reg_lambda': 16.99324542723126, 'subsample': 0.9077351064919961}"
38,-0.004708109889179468,"{'colsample_bytree': 0.6104229294942003, 'learning_rate': 0.06727162377259581, 'max_depth': 8.000605543360994, 'n_estimators': 384.2466905593472, 'reg_lambda': 11.071257966824579, 'subsample': 0.3197189598053732}"
39,-0.005192223470658064,"{'colsample_bytree': 0.8870286141205639, 'learning_rate': 0.015446104235693224, 'max_depth': 7.865014341490274, 'n_estimators': 311.7309909237517, 'reg_lambda': 28.25228873530185, 'subsample': 0.7588160404749331}"
40,-0.0035096202045679092,"{'colsample_bytree': 0.9099618822162135, 'learning_rate': 0.08139933795142963, 'max_depth': 7.5538604477311875, 'n_estimators': 400.4261434408458, 'reg_lambda': 25.52524573152322, 'subsample': 0.5340697432971623}"
41,-0.004593968391418457,"{'colsample_bytree': 0.7991697365120225, 'learning_rate': 0.02168588441526051, 'max_depth': 7.840409781526229, 'n_estimators': 474.2663395512939, 'reg_lambda': 17.50506223135509, 'subsample': 0.43336869258308514}"
42,-0.004767612088471651,"{'colsample_bytree': 0.6245842480605177, 'learning_rate': 0.04431658431756952, 'max_depth': 9.13304603705079, 'n_estimators': 410.6824645055907, 'reg_lambda': 28.249930457939605, 'subsample': 0.5384640517939026}"
43,-0.004166777711361647,"{'colsample_bytree': 0.908972881361918, 'learning_rate': 0.019967819960580432, 'max_depth': 4.647393176559373, 'n_estimators': 450.06011273945376, 'reg_lambda': 17.60913278061038, 'subsample': 0.26478012699646514}"
44,-0.0037800304125994444,"{'colsample_bytree': 0.8545612996724914, 'learning_rate': 0.07421229325105864, 'max_depth': 8.643162388155694, 'n_estimators': 305.9366022773951, 'reg_lambda': 17.292470370460965, 'subsample': 0.4590451741087699}"
45,-0.00467153824865818,"{'colsample_bytree': 0.6311488977996058, 'learning_rate': 0.06132709790686118, 'max_depth': 6.168169955077714, 'n_estimators': 479.70854457279006, 'reg_lambda': 13.889452983671614, 'subsample': 0.6024981130653858}"
46,-0.004591314122080803,"{'colsample_bytree': 0.6153480205890337, 'learning_rate': 0.06013647387406917, 'max_depth': 7.525472217239538, 'n_estimators': 428.20302257219186, 'reg_lambda': 17.340534843413984, 'subsample': 0.6365492598941502}"
47,-0.004261844791471958,"{'colsample_bytree': 0.7595380481089198, 'learning_rate': 0.06416062424588392, 'max_depth': 7.03528200902722, 'n_estimators': 327.7426061854836, 'reg_lambda': 22.630635440650224, 'subsample': 0.3837150416641308}"
48,-0.004762053955346346,"{'colsample_bytree': 0.7796567187925586, 'learning_rate': 0.017054366928965742, 'max_depth': 5.043352481485922, 'n_estimators': 460.798954436676, 'reg_lambda': 12.928609817822563, 'subsample': 0.6840520966491628}"
49,-0.00545889837667346,"{'colsample_bytree': 0.6810037830460638, 'learning_rate': 0.024647837842162033, 'max_depth': 5.6363893958563605, 'n_estimators': 407.80284234901325, 'reg_lambda': 13.384191561954024, 'subsample': 0.3094249968643312}"
50,-0.0035153410863131285,"{'colsample_bytree': 0.9650880578309163, 'learning_rate': 0.04410122667124204, 'max_depth': 8.01499774249879, 'n_estimators': 419.32638977570235, 'reg_lambda': 14.128870362179528, 'subsample': 0.7814248813294746}"
51,-0.005146623123437166,"{'colsample_bytree': 0.6124434037349341, 'learning_rate': 0.08672977088866436, 'max_depth': 7.0271138587859125, 'n_estimators': 419.60715788675947, 'reg_lambda': 11.098260279365936, 'subsample': 0.7625267679305561}"
52,-0.004568778444081545,"{'colsample_bytree': 0.6788521622314405, 'learning_rate': 0.07911241376932791, 'max_depth': 8.798818389669725, 'n_estimators': 359.65498694535904, 'reg_lambda': 21.637701251834635, 'subsample': 0.3959012233502406}"
53,-0.004066793248057365,"{'colsample_bytree': 0.7779811469480584, 'learning_rate': 0.09776666799589855, 'max_depth': 8.682859746141009, 'n_estimators': 316.61421303527857, 'reg_lambda': 24.829156524123736, 'subsample': 0.35336420323883816}"
