,target,params
0,-0.005211236421018839,"{'colsample_bytree': 0.7050799075290115, 'learning_rate': 0.02098978298162188, 'max_depth': 5.829705414248252, 'n_estimators': 300.39598231692815, 'reg_lambda': 28.73988002934108, 'subsample': 0.3459940798311638}"
1,-0.0038590244948863983,"{'colsample_bytree': 0.6448340175555078, 'learning_rate': 0.04778108196398594, 'max_depth': 9.360977285036164, 'n_estimators': 417.27121392332344, 'reg_lambda': 10.456508873359258, 'subsample': 0.8945081181866237}"
2,-0.00343232206068933,"{'colsample_bytree': 0.8035636129925736, 'learning_rate': 0.019533084056272867, 'max_depth': 5.198167236621978, 'n_estimators': 349.4129604476311, 'reg_lambda': 12.57885976610498, 'subsample': 0.8410493076466825}"
3,-0.0033853340428322554,"{'colsample_bytree': 0.6641916313828463, 'learning_rate': 0.06924396130458606, 'max_depth': 5.610485632834784, 'n_estimators': 434.6907006288992, 'reg_lambda': 15.815999219145764, 'subsample': 0.49799800597472177}"
4,-0.0033877703826874495,"{'colsample_bytree': 0.6898994559121027, 'learning_rate': 0.06840965122323053, 'max_depth': 4.189427803785864, 'n_estimators': 477.02062237875697, 'reg_lambda': 21.8936864879957, 'subsample': 0.3306425486161363}"
5,-0.0031082513742148876,"{'colsample_bytree': 0.9737946067564611, 'learning_rate': 0.01422558599895908, 'max_depth': 4.365833869360062, 'n_estimators': 434.7779236793603, 'reg_lambda': 14.734195729931487, 'subsample': 0.5433241497126355}"
6,-0.0029185540042817593,"{'colsample_bytree': 0.9818537771087902, 'learning_rate': 0.03657241957566103, 'max_depth': 3.929415542531172, 'n_estimators': 440.08927551929776, 'reg_lambda': 10.1384751562286, 'subsample': 0.9235912776607424}"
7,-0.0029407849069684744,"{'colsample_bytree': 0.9601525668122597, 'learning_rate': 0.09135445788497143, 'max_depth': 3.5485612228817724, 'n_estimators': 450.3654819228867, 'reg_lambda': 14.341852462008633, 'subsample': 0.25618469166610647}"
8,-0.003209862858057022,"{'colsample_bytree': 0.9894870744573925, 'learning_rate': 0.010305538754962453, 'max_depth': 4.5921820877912705, 'n_estimators': 461.36584017137477, 'reg_lambda': 10.466445690771335, 'subsample': 0.6631297363603689}"
9,-0.003670041449368,"{'colsample_bytree': 0.604698658197023, 'learning_rate': 0.08136830458876232, 'max_depth': 3.5786993355202497, 'n_estimators': 456.44305994261964, 'reg_lambda': 25.413950980649545, 'subsample': 0.5727687485299002}"
10,-0.003187775146216154,"{'colsample_bytree': 0.8748987529770457, 'learning_rate': 0.018301993602284575, 'max_depth': 9.38891453045466, 'n_estimators': 448.7663931929357, 'reg_lambda': 10.051130180418895, 'subsample': 0.9835468043251794}"
