,target,params
0,-0.0030680245254188776,"{'colsample_bytree': 0.8641621220039453, 'learning_rate': 0.0830450781297556, 'max_depth': 5.309720586473169, 'n_estimators': 336.86288345675536, 'reg_lambda': 24.913065908810047, 'subsample': 0.8335937284934107}"
1,-0.0034358170814812183,"{'colsample_bytree': 0.6818412730679567, 'learning_rate': 0.07061592509731313, 'max_depth': 9.696182434980404, 'n_estimators': 412.9643869498066, 'reg_lambda': 13.374051176724663, 'subsample': 0.41788259951153617}"
2,-0.0035452477168291807,"{'colsample_bytree': 0.701843353162765, 'learning_rate': 0.07923338775122057, 'max_depth': 5.702910180181819, 'n_estimators': 304.62803027298503, 'reg_lambda': 22.46961881655696, 'subsample': 0.27815669429513357}"
3,-0.00486400444060564,"{'colsample_bytree': 0.6409486010823793, 'learning_rate': 0.01711033526430914, 'max_depth': 4.909076103642795, 'n_estimators': 404.78904165023454, 'reg_lambda': 27.258190374718946, 'subsample': 0.44882815915155155}"
4,-0.0034707835875451565,"{'colsample_bytree': 0.7003506939093976, 'learning_rate': 0.0323915026739515, 'max_depth': 7.32180001120791, 'n_estimators': 478.88997863334055, 'reg_lambda': 17.13301874903624, 'subsample': 0.6129912903470347}"
5,-0.003263669554144144,"{'colsample_bytree': 0.7313433821256103, 'learning_rate': 0.07703570261194588, 'max_depth': 5.537274399624604, 'n_estimators': 337.6277310276514, 'reg_lambda': 24.720736044954176, 'subsample': 0.5526789659759015}"
6,-0.0028675030916929245,"{'colsample_bytree': 0.9886815532270903, 'learning_rate': 0.09848729404131104, 'max_depth': 3.562374433908545, 'n_estimators': 333.37433083056953, 'reg_lambda': 26.46437592511942, 'subsample': 0.7240327828615358}"
7,-0.0028110453858971596,"{'colsample_bytree': 0.956383791693027, 'learning_rate': 0.07866910077659672, 'max_depth': 7.629594889446655, 'n_estimators': 330.9647712450543, 'reg_lambda': 21.8369819038865, 'subsample': 0.5243706426635182}"
8,-0.003309085965156555,"{'colsample_bytree': 0.7759133512793341, 'learning_rate': 0.07954658460350678, 'max_depth': 9.908800989145984, 'n_estimators': 331.65160933627567, 'reg_lambda': 28.67439217841191, 'subsample': 0.9196277894985132}"
9,-0.004122086334973574,"{'colsample_bytree': 0.7041317238375994, 'learning_rate': 0.03243445835906875, 'max_depth': 3.038723647934, 'n_estimators': 332.67144296909873, 'reg_lambda': 19.48302429049141, 'subsample': 0.23331026470607502}"
10,-0.003073134459555149,"{'colsample_bytree': 0.97837321747125, 'learning_rate': 0.05813898799620878, 'max_depth': 8.049626939194964, 'n_estimators': 332.9164161244612, 'reg_lambda': 24.357867181459206, 'subsample': 0.9648323070880636}"
11,-0.003016688162460923,"{'colsample_bytree': 0.853886131591999, 'learning_rate': 0.07711933788803386, 'max_depth': 8.838683665814653, 'n_estimators': 327.15061607832183, 'reg_lambda': 22.662897203900876, 'subsample': 0.7486877219841908}"
12,-0.002943247091025114,"{'colsample_bytree': 0.9748566003537384, 'learning_rate': 0.07403677017473904, 'max_depth': 3.984169637772504, 'n_estimators': 336.6613861561209, 'reg_lambda': 29.916921163521476, 'subsample': 0.8855997337373203}"
