,target,params
0,-0.002025255234912038,"{'colsample_bytree': 0.8873914103810584, 'learning_rate': 0.06350997590033274, 'max_depth': 9.059848628442737, 'n_estimators': 374.7805570635772, 'reg_lambda': 26.831373423986655, 'subsample': 0.5972311377251308}"
1,-0.0023080192040652037,"{'colsample_bytree': 0.7203476346314912, 'learning_rate': 0.037164499535573936, 'max_depth': 5.920611680865066, 'n_estimators': 414.2502854603573, 'reg_lambda': 19.754634700785743, 'subsample': 0.8158039661604111}"
2,-0.0023072203621268272,"{'colsample_bytree': 0.6850546903070277, 'learning_rate': 0.0889975636983927, 'max_depth': 9.416330471327898, 'n_estimators': 427.34952737635064, 'reg_lambda': 14.629344939475233, 'subsample': 0.2301586715472017}"
3,-0.0019842011388391256,"{'colsample_bytree': 0.9651245669117854, 'learning_rate': 0.06425759007387222, 'max_depth': 7.95328882672324, 'n_estimators': 386.04684668664873, 'reg_lambda': 22.685103871914748, 'subsample': 0.5830816774107098}"
4,-0.002039339393377304,"{'colsample_bytree': 0.9472160821136568, 'learning_rate': 0.07320853913464558, 'max_depth': 5.54706475227696, 'n_estimators': 345.30191158532614, 'reg_lambda': 21.23437797680149, 'subsample': 0.9177723518337277}"
5,-0.002096927724778652,"{'colsample_bytree': 0.96109817269377, 'learning_rate': 0.015453689647367916, 'max_depth': 3.136045318346161, 'n_estimators': 375.8250091371579, 'reg_lambda': 10.325239629068397, 'subsample': 0.817058389494546}"
6,-0.002702183322981,"{'colsample_bytree': 0.6172916609642383, 'learning_rate': 0.053147514124143785, 'max_depth': 7.4170428190562125, 'n_estimators': 317.56586358109973, 'reg_lambda': 29.830004011609923, 'subsample': 0.33299121127288356}"
7,-0.002032776130363345,"{'colsample_bytree': 0.9317359292690235, 'learning_rate': 0.03013283731376115, 'max_depth': 8.801504726380443, 'n_estimators': 386.7392519728329, 'reg_lambda': 22.937436297885057, 'subsample': 0.8294347008856355}"
8,-0.002516630105674267,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 3.0, 'n_estimators': 382.7549765558903, 'reg_lambda': 30.0, 'subsample': 0.2}"
9,-0.0022594602778553963,"{'colsample_bytree': 0.7196477895916443, 'learning_rate': 0.05964225641844354, 'max_depth': 9.66832404411559, 'n_estimators': 380.473719077401, 'reg_lambda': 22.116414841950768, 'subsample': 0.4720402938564494}"
10,-0.0020604568999260664,"{'colsample_bytree': 0.8679410541897741, 'learning_rate': 0.09343062514910339, 'max_depth': 5.154547033839253, 'n_estimators': 387.51637894633495, 'reg_lambda': 20.025498579749893, 'subsample': 0.5533159778485489}"
11,-0.002735384739935398,"{'colsample_bytree': 0.6345525278926708, 'learning_rate': 0.042565272041672285, 'max_depth': 8.234811860617679, 'n_estimators': 369.5577319253589, 'reg_lambda': 26.965907149638713, 'subsample': 0.3021535167239666}"
12,-0.0028681650292128325,"{'colsample_bytree': 0.8629354932675606, 'learning_rate': 0.014884855902861397, 'max_depth': 5.668869269015792, 'n_estimators': 388.1625222460226, 'reg_lambda': 24.265913195585703, 'subsample': 0.3725891118905351}"
13,-0.0022518595214933157,"{'colsample_bytree': 0.9344198281864877, 'learning_rate': 0.0335897518254298, 'max_depth': 8.826450856003682, 'n_estimators': 386.6276318560751, 'reg_lambda': 21.12067708099343, 'subsample': 0.2854230268009865}"
