,target,params
0,-0.00775692006573081,"{'colsample_bytree': 0.6800743216484755, 'learning_rate': 0.02082214777282768, 'max_depth': 8.252030780236748, 'n_estimators': 382.6928658686851, 'reg_lambda': 23.70474553641632, 'subsample': 0.4699701222289665}"
1,-0.005248077213764191,"{'colsample_bytree': 0.8954578515536207, 'learning_rate': 0.09707644761102163, 'max_depth': 9.287463530198158, 'n_estimators': 339.07589763823785, 'reg_lambda': 17.797134412441622, 'subsample': 0.6582994640525075}"
2,-0.006061781197786331,"{'colsample_bytree': 0.7990746230640249, 'learning_rate': 0.030198686875379084, 'max_depth': 9.818221148519072, 'n_estimators': 393.43778907030924, 'reg_lambda': 27.93153597031582, 'subsample': 0.9774200367631392}"
3,-0.006199063267558813,"{'colsample_bytree': 0.8376845579473227, 'learning_rate': 0.03315447794481571, 'max_depth': 8.223587264280571, 'n_estimators': 445.24680820481217, 'reg_lambda': 24.799504642409573, 'subsample': 0.2813793823679176}"
4,-0.006058914121240377,"{'colsample_bytree': 0.8820597585646793, 'learning_rate': 0.03541284369081985, 'max_depth': 3.637156759926618, 'n_estimators': 359.7908120053645, 'reg_lambda': 17.913648776306744, 'subsample': 0.2811973788262987}"
5,-0.006899945437908173,"{'colsample_bytree': 0.9446423136275433, 'learning_rate': 0.012538570721191676, 'max_depth': 9.074086661162514, 'n_estimators': 339.3464712465439, 'reg_lambda': 18.29534404756467, 'subsample': 0.6095603679267596}"
6,-0.006297269370406866,"{'colsample_bytree': 0.755843153377355, 'learning_rate': 0.016292016351941396, 'max_depth': 5.641655681269571, 'n_estimators': 456.72526851804554, 'reg_lambda': 12.118032883796982, 'subsample': 0.5723784327885487}"
7,-0.00867338478565216,"{'colsample_bytree': 0.9347815144786817, 'learning_rate': 0.010739990552991746, 'max_depth': 3.2128280913588507, 'n_estimators': 436.62302473375473, 'reg_lambda': 18.566228033853907, 'subsample': 0.2050155966488858}"
8,-0.006552135571837425,"{'colsample_bytree': 0.762594760086461, 'learning_rate': 0.0241999738587634, 'max_depth': 6.447219510448869, 'n_estimators': 305.17237540620994, 'reg_lambda': 20.966983695110258, 'subsample': 0.8272381525105814}"
9,-0.005563794169574976,"{'colsample_bytree': 0.7952460771210462, 'learning_rate': 0.03663347784913224, 'max_depth': 5.36322120748811, 'n_estimators': 483.2642450589447, 'reg_lambda': 16.139237111694218, 'subsample': 0.7500904033479983}"
10,-0.006543443072587252,"{'colsample_bytree': 0.7959288226885093, 'learning_rate': 0.039743113330972246, 'max_depth': 5.463999850494403, 'n_estimators': 348.33204071353936, 'reg_lambda': 18.987068008295296, 'subsample': 0.2658192942238037}"
11,-0.005270767491310835,"{'colsample_bytree': 0.9369611709760732, 'learning_rate': 0.019808337941820915, 'max_depth': 4.48383979798855, 'n_estimators': 428.7900084175959, 'reg_lambda': 13.329963980729048, 'subsample': 0.8429160220072842}"
12,-0.005904889199882746,"{'colsample_bytree': 0.651867427828196, 'learning_rate': 0.08169079458645487, 'max_depth': 9.09656113412758, 'n_estimators': 428.6476359921455, 'reg_lambda': 24.43516086660022, 'subsample': 0.41595714998364647}"
13,-0.005640303250402212,"{'colsample_bytree': 0.7790064461760979, 'learning_rate': 0.0682266789358212, 'max_depth': 9.42086904702282, 'n_estimators': 319.3079395027738, 'reg_lambda': 28.48064013090496, 'subsample': 0.908347612900166}"
14,-0.0059265573509037495,"{'colsample_bytree': 0.6468215519218233, 'learning_rate': 0.09507863894301725, 'max_depth': 6.336247004243942, 'n_estimators': 460.84624661081205, 'reg_lambda': 28.656546113447728, 'subsample': 0.35781985638721103}"
15,-0.005775412078946829,"{'colsample_bytree': 0.7487071261211609, 'learning_rate': 0.09027033677232446, 'max_depth': 9.360621234069178, 'n_estimators': 453.0661976655553, 'reg_lambda': 10.234117115142737, 'subsample': 0.2263397758301313}"
16,-0.008578264154493809,"{'colsample_bytree': 0.7386843374136604, 'learning_rate': 0.011101861032376837, 'max_depth': 4.272291899542049, 'n_estimators': 365.04802828717527, 'reg_lambda': 21.136396480698497, 'subsample': 0.8537157025881552}"
17,-0.010371257551014423,"{'colsample_bytree': 0.6802866535225152, 'learning_rate': 0.013018564830101349, 'max_depth': 6.473252688183289, 'n_estimators': 480.9093377849769, 'reg_lambda': 21.749226029474634, 'subsample': 0.20497167701362012}"
18,-0.006220134440809488,"{'colsample_bytree': 0.789644679515932, 'learning_rate': 0.046655826746325166, 'max_depth': 3.6721721755186567, 'n_estimators': 471.47254236308277, 'reg_lambda': 16.74091719444987, 'subsample': 0.21195567095136028}"
19,-0.006945061031728983,"{'colsample_bytree': 0.7498069156932781, 'learning_rate': 0.022296957207035735, 'max_depth': 3.3094318195611825, 'n_estimators': 334.3664313688059, 'reg_lambda': 19.737075852900432, 'subsample': 0.48574336822183173}"
20,-0.00577362859621644,"{'colsample_bytree': 0.9421947144210203, 'learning_rate': 0.037187399611058096, 'max_depth': 8.280355239452891, 'n_estimators': 320.1716612757752, 'reg_lambda': 19.05594852788723, 'subsample': 0.3699358474920092}"
21,-0.005235397722572088,"{'colsample_bytree': 0.9401218740803197, 'learning_rate': 0.0859928205411113, 'max_depth': 9.926234867776952, 'n_estimators': 455.3740248480581, 'reg_lambda': 17.296144187426925, 'subsample': 0.2743006543856269}"
22,-0.007289160043001175,"{'colsample_bytree': 0.663271095365411, 'learning_rate': 0.03284364800924723, 'max_depth': 8.635715803766585, 'n_estimators': 306.85043438596705, 'reg_lambda': 10.728904689033305, 'subsample': 0.2490408657133731}"
23,-0.005337951704859734,"{'colsample_bytree': 0.9202613222736826, 'learning_rate': 0.06384942693652927, 'max_depth': 3.0761435420996235, 'n_estimators': 374.4798582060723, 'reg_lambda': 15.56560831023312, 'subsample': 0.9837177543938129}"
24,-0.005752392578870058,"{'colsample_bytree': 0.7418221391526223, 'learning_rate': 0.08468636910929979, 'max_depth': 9.010341372145959, 'n_estimators': 380.2575371521098, 'reg_lambda': 23.144345234623103, 'subsample': 0.30323784189046343}"
25,-0.005941144656389952,"{'colsample_bytree': 0.6550510402704476, 'learning_rate': 0.04799835462143263, 'max_depth': 9.26682545919566, 'n_estimators': 447.74499291490935, 'reg_lambda': 19.059703278173412, 'subsample': 0.8269645378731052}"
26,-0.00582595681771636,"{'colsample_bytree': 0.8276307431929746, 'learning_rate': 0.02140194348475547, 'max_depth': 8.904360148604184, 'n_estimators': 462.53249952318254, 'reg_lambda': 12.997718257572883, 'subsample': 0.39663417701663506}"
27,-0.005855528172105551,"{'colsample_bytree': 0.6867149141765878, 'learning_rate': 0.07525406484135554, 'max_depth': 8.332371788528803, 'n_estimators': 498.4693026960442, 'reg_lambda': 12.772466629364699, 'subsample': 0.4611156565271901}"
28,-0.005230854731053114,"{'colsample_bytree': 0.8742665216555605, 'learning_rate': 0.06958699457686378, 'max_depth': 3.259051110361897, 'n_estimators': 457.0578240934046, 'reg_lambda': 24.342310133307677, 'subsample': 0.771321369651506}"
29,-0.0051251547411084175,"{'colsample_bytree': 0.9394642262570843, 'learning_rate': 0.0821360136342131, 'max_depth': 8.86123304517737, 'n_estimators': 391.2246766645046, 'reg_lambda': 21.46655754928222, 'subsample': 0.5552438592264984}"
