,target,params
0,-0.0037921853363513947,"{'colsample_bytree': 0.7082710799745633, 'learning_rate': 0.05728819830500366, 'max_depth': 7.222973940326457, 'n_estimators': 327.8359659175035, 'reg_lambda': 11.728948818337718, 'subsample': 0.8684586699681351}"
1,-0.0034720220137387514,"{'colsample_bytree': 0.811065649087018, 'learning_rate': 0.04152303599759116, 'max_depth': 9.25868876563885, 'n_estimators': 426.82854235122693, 'reg_lambda': 23.540842563942306, 'subsample': 0.28527871795932624}"
2,-0.0032053871545940638,"{'colsample_bytree': 0.8141300840939214, 'learning_rate': 0.09451389025712789, 'max_depth': 5.243579065150966, 'n_estimators': 390.28729803518223, 'reg_lambda': 29.970239000987227, 'subsample': 0.8815353552438199}"
3,-0.003625142388045788,"{'colsample_bytree': 0.8105077584130231, 'learning_rate': 0.026464735574136845, 'max_depth': 3.8203395356739422, 'n_estimators': 349.7037024400842, 'reg_lambda': 13.476173870050017, 'subsample': 0.3268256191486403}"
4,-0.003601060016080737,"{'colsample_bytree': 0.7294794383014307, 'learning_rate': 0.0816935797838561, 'max_depth': 5.373097817849204, 'n_estimators': 384.1956222678625, 'reg_lambda': 21.116300234043546, 'subsample': 0.9227403572289048}"
5,-0.0037848043721169233,"{'colsample_bytree': 0.6301465265878496, 'learning_rate': 0.05836403289892721, 'max_depth': 4.094128316094422, 'n_estimators': 348.9894179271962, 'reg_lambda': 22.29028553798124, 'subsample': 0.4964540081496738}"
6,-0.0029932011384516954,"{'colsample_bytree': 0.953219433279588, 'learning_rate': 0.06328744996058946, 'max_depth': 6.231729845022317, 'n_estimators': 388.97398416637316, 'reg_lambda': 29.715249623049257, 'subsample': 0.6823528827439158}"
7,-0.0034495554864406586,"{'colsample_bytree': 0.7709617817059585, 'learning_rate': 0.05392894595115762, 'max_depth': 6.498081529128782, 'n_estimators': 386.95784464922747, 'reg_lambda': 28.243251933476845, 'subsample': 0.8311501778065973}"
8,-0.003935170825570822,"{'colsample_bytree': 0.6539411494962171, 'learning_rate': 0.04041552206156894, 'max_depth': 7.0492714548421205, 'n_estimators': 390.26954969981387, 'reg_lambda': 29.428461305293325, 'subsample': 0.8481212171170307}"
9,-0.0034195885527879,"{'colsample_bytree': 0.7026383873367624, 'learning_rate': 0.05559008378495935, 'max_depth': 5.068325443049829, 'n_estimators': 349.00167495590233, 'reg_lambda': 14.979226463641153, 'subsample': 0.3844828893795719}"
