,target,params
0,-0.002896209480240941,"{'colsample_bytree': 0.6856734066581031, 'learning_rate': 0.03335387438117107, 'max_depth': 4.269947542455082, 'n_estimators': 376.2125473442351, 'reg_lambda': 16.89880046574929, 'subsample': 0.8618835596057832}"
1,-0.002176207723096013,"{'colsample_bytree': 0.9606224886291871, 'learning_rate': 0.07247650610728279, 'max_depth': 7.1839613107717355, 'n_estimators': 468.5903397105649, 'reg_lambda': 21.477850675139578, 'subsample': 0.8810101624883819}"
2,-0.0020975451916456223,"{'colsample_bytree': 0.9377453025758191, 'learning_rate': 0.0273048554664021, 'max_depth': 4.325878712261456, 'n_estimators': 417.98357901018437, 'reg_lambda': 16.41033988229688, 'subsample': 0.73109719651913}"
3,-0.0020851478911936283,"{'colsample_bytree': 0.9603199449484965, 'learning_rate': 0.09631932127785127, 'max_depth': 5.643961286544235, 'n_estimators': 469.8237491817379, 'reg_lambda': 20.22244414622557, 'subsample': 0.5500326484657176}"
4,-0.002137361327186227,"{'colsample_bytree': 0.8941278765235732, 'learning_rate': 0.09001689099728861, 'max_depth': 7.0954760168857876, 'n_estimators': 467.8856672307759, 'reg_lambda': 15.447325628980408, 'subsample': 0.3004029030978706}"
5,-0.0024099310394376516,"{'colsample_bytree': 0.7582721036074885, 'learning_rate': 0.07508497263298203, 'max_depth': 3.0590518722847984, 'n_estimators': 485.231061069907, 'reg_lambda': 13.261066959024, 'subsample': 0.2576203129920509}"
6,-0.00286271795630455,"{'colsample_bytree': 0.6817428654708706, 'learning_rate': 0.024395856462039053, 'max_depth': 3.244675830661152, 'n_estimators': 432.59937096214946, 'reg_lambda': 10.498804879905727, 'subsample': 0.31109425121759}"
7,-0.0028504321817308664,"{'colsample_bytree': 0.7841201209701271, 'learning_rate': 0.02136804779347836, 'max_depth': 4.077272314378449, 'n_estimators': 409.3373345337534, 'reg_lambda': 24.17561919866861, 'subsample': 0.936987281649063}"
8,-0.002350203227251768,"{'colsample_bytree': 0.8633914050056442, 'learning_rate': 0.03662232541849239, 'max_depth': 8.907526463112518, 'n_estimators': 477.0897750462897, 'reg_lambda': 19.28735891930526, 'subsample': 0.9624509404189341}"
9,-0.0027172332629561424,"{'colsample_bytree': 0.672212450962378, 'learning_rate': 0.09752505791091193, 'max_depth': 7.514023601461433, 'n_estimators': 414.12524529123255, 'reg_lambda': 10.232463526360632, 'subsample': 0.5710450297236035}"
10,-0.002115400740876794,"{'colsample_bytree': 0.8947000158876013, 'learning_rate': 0.04450942236464427, 'max_depth': 3.907114943739673, 'n_estimators': 422.8397822400947, 'reg_lambda': 20.963347954171898, 'subsample': 0.6077544657050551}"
11,-0.0021179099567234516,"{'colsample_bytree': 0.8866058491951259, 'learning_rate': 0.06948847013467237, 'max_depth': 3.1807306488608673, 'n_estimators': 462.1926917004131, 'reg_lambda': 18.677674206024168, 'subsample': 0.6201100318081967}"
12,-0.0029224767349660397,"{'colsample_bytree': 0.7002091815994985, 'learning_rate': 0.020177825828509972, 'max_depth': 3.2254596643713604, 'n_estimators': 460.4362169367257, 'reg_lambda': 10.260770745646656, 'subsample': 0.41585622729349725}"
