,target,params
0,-0.0029723490588366985,"{'colsample_bytree': 0.8207060854930959, 'learning_rate': 0.07930620703349621, 'max_depth': 3.952789660740003, 'n_estimators': 445.8647244096343, 'reg_lambda': 13.699766834715291, 'subsample': 0.23080207789862417}"
1,-0.0033172322437167168,"{'colsample_bytree': 0.6662786178347242, 'learning_rate': 0.08689290761855835, 'max_depth': 7.934353723977879, 'n_estimators': 362.07969777469526, 'reg_lambda': 17.94409761044495, 'subsample': 0.2383468535722506}"
2,-0.0035431189462542534,"{'colsample_bytree': 0.7012848580488044, 'learning_rate': 0.05263382026213658, 'max_depth': 6.586234096479739, 'n_estimators': 406.5112857890518, 'reg_lambda': 20.798295540922332, 'subsample': 0.9268719957057556}"
3,-0.0033597969450056553,"{'colsample_bytree': 0.6620428641568837, 'learning_rate': 0.057591730469146396, 'max_depth': 9.463554892536283, 'n_estimators': 359.2081065234333, 'reg_lambda': 18.927659913688927, 'subsample': 0.5180836693198032}"
4,-0.0029554935172200203,"{'colsample_bytree': 0.8038937228603755, 'learning_rate': 0.03445149940147002, 'max_depth': 8.911343622023121, 'n_estimators': 489.1913196683894, 'reg_lambda': 18.275174163606096, 'subsample': 0.9604104839072138}"
5,-0.002570121781900525,"{'colsample_bytree': 0.9823531520041023, 'learning_rate': 0.043422623924209196, 'max_depth': 3.0815084342902956, 'n_estimators': 468.1688856583629, 'reg_lambda': 13.806650298065065, 'subsample': 0.46970070624534643}"
6,-0.0027968143112957478,"{'colsample_bytree': 0.8541766765275983, 'learning_rate': 0.061528825735590015, 'max_depth': 6.708059048825928, 'n_estimators': 466.83997874841, 'reg_lambda': 29.980952941113593, 'subsample': 0.8071643262011374}"
7,-0.0033706538379192352,"{'colsample_bytree': 0.7546191837659046, 'learning_rate': 0.03358635543339868, 'max_depth': 3.2155047450482157, 'n_estimators': 300.4713255724787, 'reg_lambda': 10.942665132124779, 'subsample': 0.722957501010129}"
8,-0.003750290721654892,"{'colsample_bytree': 0.6538489199703281, 'learning_rate': 0.06445918456141078, 'max_depth': 9.537801573156841, 'n_estimators': 467.62715779419244, 'reg_lambda': 11.014360602534602, 'subsample': 0.7606540846131247}"
9,-0.002657373435795307,"{'colsample_bytree': 0.9076640344908693, 'learning_rate': 0.06590777786221814, 'max_depth': 3.684907580933522, 'n_estimators': 469.1780571001749, 'reg_lambda': 15.472454811691685, 'subsample': 0.45414165381455246}"
10,-0.0034571331925690174,"{'colsample_bytree': 0.7366897596793476, 'learning_rate': 0.01781112597094132, 'max_depth': 3.277234386862229, 'n_estimators': 464.5635780511607, 'reg_lambda': 14.855432838959779, 'subsample': 0.823554848046627}"
11,-0.0029142238199710846,"{'colsample_bytree': 0.8504561880658789, 'learning_rate': 0.04571923800448859, 'max_depth': 3.4200399969434727, 'n_estimators': 470.39518956337326, 'reg_lambda': 13.436063401513609, 'subsample': 0.861947611763229}"
12,-0.002830136800184846,"{'colsample_bytree': 0.8985211642174975, 'learning_rate': 0.09325457289406178, 'max_depth': 5.566247773028783, 'n_estimators': 468.2575673337981, 'reg_lambda': 15.149262115889538, 'subsample': 0.3467265411810432}"
13,-0.003058928530663252,"{'colsample_bytree': 0.7649211751909195, 'learning_rate': 0.07067185297291197, 'max_depth': 5.876651094587345, 'n_estimators': 469.3781991041958, 'reg_lambda': 28.163147859999377, 'subsample': 0.5742655576341265}"
14,-0.002682114252820611,"{'colsample_bytree': 0.9191255931975034, 'learning_rate': 0.0485664735258669, 'max_depth': 9.180051925087067, 'n_estimators': 464.648462758573, 'reg_lambda': 28.999833809452287, 'subsample': 0.7117666626668855}"
15,-0.003319138428196311,"{'colsample_bytree': 0.6558110989964818, 'learning_rate': 0.0958450349898676, 'max_depth': 6.557191034231746, 'n_estimators': 463.93021944067686, 'reg_lambda': 28.144345277371368, 'subsample': 0.24015112769044863}"
16,-0.00260290689766407,"{'colsample_bytree': 0.9663813492980184, 'learning_rate': 0.02657716393234235, 'max_depth': 9.77049313518711, 'n_estimators': 465.2347502618476, 'reg_lambda': 26.966459869266867, 'subsample': 0.9038846952516792}"
17,-0.0028241139370948076,"{'colsample_bytree': 0.9009092508460154, 'learning_rate': 0.017419877057797822, 'max_depth': 9.83714650298498, 'n_estimators': 467.3318357471785, 'reg_lambda': 28.899881841484483, 'subsample': 0.7365106179613456}"
18,-0.0025527116376906633,"{'colsample_bytree': 0.9849320662349935, 'learning_rate': 0.051739998300568676, 'max_depth': 9.518883081530467, 'n_estimators': 467.4583181371951, 'reg_lambda': 25.345669847257515, 'subsample': 0.8142566097520001}"
19,-0.003953245468437672,"{'colsample_bytree': 0.6015085511529775, 'learning_rate': 0.07646663959377673, 'max_depth': 9.852835336078938, 'n_estimators': 464.778619980068, 'reg_lambda': 23.55828745968261, 'subsample': 0.8678458788691812}"
