,target,params
0,-0.0025476147420704365,"{'colsample_bytree': 0.8450381449767324, 'learning_rate': 0.09500035610606841, 'max_depth': 9.150139996949505, 'n_estimators': 412.01962829616656, 'reg_lambda': 10.648250607452859, 'subsample': 0.3323833077826269}"
1,-0.0027267285622656345,"{'colsample_bytree': 0.9369659815031561, 'learning_rate': 0.016218957521971993, 'max_depth': 7.788464532661047, 'n_estimators': 352.8015775868393, 'reg_lambda': 10.927969144815833, 'subsample': 0.5311875530001353}"
2,-0.002506607910618186,"{'colsample_bytree': 0.9286205354100554, 'learning_rate': 0.0992451871339645, 'max_depth': 7.174423883433546, 'n_estimators': 446.8968662429986, 'reg_lambda': 28.22641536735394, 'subsample': 0.8763354948677784}"
3,-0.003040614305064082,"{'colsample_bytree': 0.6885835957560579, 'learning_rate': 0.03361714182371408, 'max_depth': 4.015523373167117, 'n_estimators': 363.1731193607267, 'reg_lambda': 15.066915696305385, 'subsample': 0.31572303461433987}"
4,-0.0025298376567661762,"{'colsample_bytree': 0.8374575175535288, 'learning_rate': 0.08072752746256531, 'max_depth': 6.4455749788160155, 'n_estimators': 393.1040728154206, 'reg_lambda': 17.372011242559914, 'subsample': 0.4019003475347052}"
5,-0.0026622896548360586,"{'colsample_bytree': 0.7920801221904226, 'learning_rate': 0.078637366491613, 'max_depth': 7.4005720891455375, 'n_estimators': 404.0987282571597, 'reg_lambda': 19.97861402470868, 'subsample': 0.6353551723819494}"
6,-0.002867118688300252,"{'colsample_bytree': 0.6349793229216908, 'learning_rate': 0.08573105415621964, 'max_depth': 6.889170719311744, 'n_estimators': 438.25215528534454, 'reg_lambda': 22.595559946999508, 'subsample': 0.374113229569518}"
7,-0.002971487119793892,"{'colsample_bytree': 0.8268191439033952, 'learning_rate': 0.01843581416329325, 'max_depth': 9.883051646264182, 'n_estimators': 383.43941246741514, 'reg_lambda': 22.163564883799886, 'subsample': 0.8610229151195266}"
8,-0.003139243694022298,"{'colsample_bytree': 0.7663727639720773, 'learning_rate': 0.026607594569521373, 'max_depth': 3.2045422186136086, 'n_estimators': 330.22317133544396, 'reg_lambda': 17.230708134725592, 'subsample': 0.30360544431543657}"
9,-0.0027486111503094435,"{'colsample_bytree': 0.8277383921258532, 'learning_rate': 0.028863736637113377, 'max_depth': 3.8547226103132126, 'n_estimators': 467.4200672420207, 'reg_lambda': 21.66991600807168, 'subsample': 0.36950186876589747}"
10,-0.0029928465373814106,"{'colsample_bytree': 0.6200818844967179, 'learning_rate': 0.09713010321686918, 'max_depth': 4.8932874161608755, 'n_estimators': 304.3694955288392, 'reg_lambda': 23.782584240385578, 'subsample': 0.5042663620744618}"
11,-0.003122695256024599,"{'colsample_bytree': 0.6933498728745097, 'learning_rate': 0.026083663825682446, 'max_depth': 8.336676623765905, 'n_estimators': 352.5872592816636, 'reg_lambda': 10.695268138271112, 'subsample': 0.559029464330089}"
12,-0.002424057573080063,"{'colsample_bytree': 0.9589528137580808, 'learning_rate': 0.0641639689786269, 'max_depth': 8.114571866239567, 'n_estimators': 385.765704870545, 'reg_lambda': 29.3420483806516, 'subsample': 0.7945667152682485}"
13,-0.0031289062462747097,"{'colsample_bytree': 0.6519876966244926, 'learning_rate': 0.04366078838311372, 'max_depth': 7.358638485506483, 'n_estimators': 387.4788934835932, 'reg_lambda': 23.133651048961134, 'subsample': 0.3052260419973945}"
14,-0.0027655716985464096,"{'colsample_bytree': 0.7473127411678193, 'learning_rate': 0.07563701217264472, 'max_depth': 7.5070798838696975, 'n_estimators': 437.3378097716065, 'reg_lambda': 27.734841169661678, 'subsample': 0.9389423125966696}"
15,-0.0028124006930738688,"{'colsample_bytree': 0.7077972078215853, 'learning_rate': 0.08874263567403358, 'max_depth': 3.310456570624138, 'n_estimators': 396.07218775774606, 'reg_lambda': 15.096897858529362, 'subsample': 0.2630981621251959}"
16,-0.002437679097056389,"{'colsample_bytree': 0.9482954076097811, 'learning_rate': 0.04961549618126835, 'max_depth': 4.114794465749577, 'n_estimators': 446.61338956305866, 'reg_lambda': 21.833354344102233, 'subsample': 0.4578427454891045}"
17,-0.002562063280493021,"{'colsample_bytree': 0.858988102217175, 'learning_rate': 0.04022538967263612, 'max_depth': 6.898068362643126, 'n_estimators': 495.365339808352, 'reg_lambda': 14.114619573312241, 'subsample': 0.34056307462789787}"
18,-0.0027305183466523886,"{'colsample_bytree': 0.7878145793615582, 'learning_rate': 0.0937177175963726, 'max_depth': 3.4004228341143037, 'n_estimators': 320.1527124578409, 'reg_lambda': 18.335318493535098, 'subsample': 0.7380194819760466}"
19,-0.002583031775429845,"{'colsample_bytree': 0.8858324763289274, 'learning_rate': 0.0644389230163713, 'max_depth': 5.556468944121132, 'n_estimators': 418.18980531761383, 'reg_lambda': 23.589831340509505, 'subsample': 0.8795490543913851}"
20,-0.0025274590589106083,"{'colsample_bytree': 0.8462890001852011, 'learning_rate': 0.058134072414661904, 'max_depth': 9.534168083891801, 'n_estimators': 412.17354682586887, 'reg_lambda': 10.597626565560038, 'subsample': 0.3995390741928029}"
21,-0.0025923310313373804,"{'colsample_bytree': 0.8177786919731814, 'learning_rate': 0.08241335386687111, 'max_depth': 8.259539521009355, 'n_estimators': 385.208586154974, 'reg_lambda': 29.31733702598367, 'subsample': 0.41417533829624287}"
22,-0.002540596993640065,"{'colsample_bytree': 0.9132163133746939, 'learning_rate': 0.05295748660532288, 'max_depth': 3.560796061295791, 'n_estimators': 446.9280698682209, 'reg_lambda': 22.36307182792557, 'subsample': 0.8364236791317208}"
23,-0.0025124994572252035,"{'colsample_bytree': 0.9103077825395947, 'learning_rate': 0.06471410947662895, 'max_depth': 4.00703183162736, 'n_estimators': 446.1011294890159, 'reg_lambda': 22.377658781565927, 'subsample': 0.5511492163620519}"
24,-0.0026696540880948305,"{'colsample_bytree': 0.8739793151168216, 'learning_rate': 0.033531061836286284, 'max_depth': 4.980303835556007, 'n_estimators': 446.4375645018856, 'reg_lambda': 22.685275996917873, 'subsample': 0.3415331410630229}"
25,-0.003308945568278432,"{'colsample_bytree': 0.8813104214440977, 'learning_rate': 0.012524599193877094, 'max_depth': 8.209998865594759, 'n_estimators': 386.46790127631135, 'reg_lambda': 28.861375738519865, 'subsample': 0.8422782063263017}"
26,-0.00257208663970232,"{'colsample_bytree': 0.8779874854830603, 'learning_rate': 0.062122793471101355, 'max_depth': 3.933710282417043, 'n_estimators': 498.68144328399916, 'reg_lambda': 14.403992545218179, 'subsample': 0.6749523246523008}"
27,-0.0026714263949543238,"{'colsample_bytree': 0.8769007565387821, 'learning_rate': 0.02782571280981657, 'max_depth': 7.368069987963233, 'n_estimators': 446.48302918760544, 'reg_lambda': 27.803335819270373, 'subsample': 0.9639983412782427}"
28,-0.0026347902603447437,"{'colsample_bytree': 0.8066039601004031, 'learning_rate': 0.08823242735068318, 'max_depth': 6.69275815807074, 'n_estimators': 393.0681677122625, 'reg_lambda': 17.73244625675364, 'subsample': 0.32685772887515596}"
29,-0.0026124916039407253,"{'colsample_bytree': 0.7994391313666177, 'learning_rate': 0.09829869005593349, 'max_depth': 7.463148681891584, 'n_estimators': 447.2933501054189, 'reg_lambda': 28.300629048204506, 'subsample': 0.557896920921734}"
30,-0.003626123070716858,"{'colsample_bytree': 0.6011326094217933, 'learning_rate': 0.023247613323334776, 'max_depth': 3.667569044281775, 'n_estimators': 446.8021944373685, 'reg_lambda': 21.873906844261597, 'subsample': 0.8609793157138581}"
31,-0.0030930940993130207,"{'colsample_bytree': 0.7047812156052499, 'learning_rate': 0.04394135323289035, 'max_depth': 7.321301329773732, 'n_estimators': 420.3602430687167, 'reg_lambda': 17.921909298129385, 'subsample': 0.9872084679708302}"
