,target,params
0,-0.003100165631622076,"{'colsample_bytree': 0.8015602979060142, 'learning_rate': 0.08049932057355509, 'max_depth': 7.968463521597917, 'n_estimators': 422.86314993601235, 'reg_lambda': 17.55509034975876, 'subsample': 0.5027869720786986}"
1,-0.0031850815284997225,"{'colsample_bytree': 0.9314142212080578, 'learning_rate': 0.07005293403885073, 'max_depth': 6.440261221155416, 'n_estimators': 343.18795783343194, 'reg_lambda': 22.726117065661036, 'subsample': 0.30352165626107797}"
2,-0.003407784504815936,"{'colsample_bytree': 0.7224428035659474, 'learning_rate': 0.02253935228857675, 'max_depth': 4.398862564429052, 'n_estimators': 483.5806220268728, 'reg_lambda': 27.80930801319794, 'subsample': 0.8873285499449775}"
3,-0.0032016909681260586,"{'colsample_bytree': 0.7803362925127763, 'learning_rate': 0.08786927808859292, 'max_depth': 7.46069093348721, 'n_estimators': 343.0208742818063, 'reg_lambda': 26.935159457136344, 'subsample': 0.4812845283029404}"
4,-0.0029754501301795244,"{'colsample_bytree': 0.8491420743003678, 'learning_rate': 0.09210446989322824, 'max_depth': 8.810279138102171, 'n_estimators': 346.5770649788331, 'reg_lambda': 19.67333217893535, 'subsample': 0.6258567744156469}"
5,-0.003589282976463437,"{'colsample_bytree': 0.7187688740218803, 'learning_rate': 0.09786910968638417, 'max_depth': 9.486522263846808, 'n_estimators': 346.8870800230843, 'reg_lambda': 19.42990603396581, 'subsample': 0.8060052672978941}"
6,-0.008544004522264004,"{'colsample_bytree': 0.6559079303146154, 'learning_rate': 0.011273053470053132, 'max_depth': 8.141283014475128, 'n_estimators': 324.02125356942776, 'reg_lambda': 23.92323423716884, 'subsample': 0.24504299006976116}"
7,-0.0033073306549340487,"{'colsample_bytree': 0.99, 'learning_rate': 0.08153949931392014, 'max_depth': 3.335673690905254, 'n_estimators': 348.32941530788514, 'reg_lambda': 19.84974278204501, 'subsample': 0.2}"
8,-0.0029811894055455923,"{'colsample_bytree': 0.8829842106535625, 'learning_rate': 0.06890356185717625, 'max_depth': 5.165674279628442, 'n_estimators': 342.7435562197888, 'reg_lambda': 16.124719504453665, 'subsample': 0.8036443743253698}"
9,-0.003271341323852539,"{'colsample_bytree': 0.9458705682200799, 'learning_rate': 0.08388917912867493, 'max_depth': 5.499464068342675, 'n_estimators': 350.2906549369697, 'reg_lambda': 27.323947094608307, 'subsample': 0.23548663672429565}"
10,-0.004011799581348896,"{'colsample_bytree': 0.6583422568681433, 'learning_rate': 0.026521402664785136, 'max_depth': 3.6012654590311834, 'n_estimators': 427.65635721814726, 'reg_lambda': 21.301766328998937, 'subsample': 0.5404926044159242}"
11,-0.003115848172456026,"{'colsample_bytree': 0.8106841149838389, 'learning_rate': 0.03843022067975007, 'max_depth': 9.333467788738194, 'n_estimators': 417.53822044173813, 'reg_lambda': 13.089226526831917, 'subsample': 0.8126351170553321}"
12,-0.002738588722422719,"{'colsample_bytree': 0.9520574235236665, 'learning_rate': 0.08762126135336135, 'max_depth': 9.01232694787512, 'n_estimators': 424.09800013649357, 'reg_lambda': 10.993748959986906, 'subsample': 0.8120415139312189}"
13,-0.003074744949117303,"{'colsample_bytree': 0.8519247228843909, 'learning_rate': 0.07198005840975849, 'max_depth': 3.8157309772795003, 'n_estimators': 420.8277070172149, 'reg_lambda': 10.894507088648812, 'subsample': 0.9506856977627567}"
14,-0.0030539471190422773,"{'colsample_bytree': 0.8655260282903052, 'learning_rate': 0.0807645143809025, 'max_depth': 5.147776676488704, 'n_estimators': 429.33962174860756, 'reg_lambda': 11.074132637996847, 'subsample': 0.5653535500882938}"
15,-0.0033149837981909513,"{'colsample_bytree': 0.7463596885121149, 'learning_rate': 0.05600980117162829, 'max_depth': 9.833704479450583, 'n_estimators': 428.22556634538023, 'reg_lambda': 15.156395354669955, 'subsample': 0.7704962052268083}"
16,-0.002995134796947241,"{'colsample_bytree': 0.9395312232278991, 'learning_rate': 0.0697062983995393, 'max_depth': 3.1996416273496795, 'n_estimators': 417.4428068437222, 'reg_lambda': 17.252790898905815, 'subsample': 0.3427944492405792}"
17,-0.0031771399080753326,"{'colsample_bytree': 0.8756631904262858, 'learning_rate': 0.09183738462856272, 'max_depth': 8.657686944002723, 'n_estimators': 415.41637659831986, 'reg_lambda': 20.53240141823693, 'subsample': 0.3222702704904927}"
18,-0.003966627176851034,"{'colsample_bytree': 0.6370558731638952, 'learning_rate': 0.03152299517975399, 'max_depth': 3.161601023449339, 'n_estimators': 412.97215583264665, 'reg_lambda': 12.319131722112262, 'subsample': 0.6793734148787146}"
19,-0.003901661839336157,"{'colsample_bytree': 0.6119101987956459, 'learning_rate': 0.07565196083198672, 'max_depth': 3.676085109408615, 'n_estimators': 418.2760653324067, 'reg_lambda': 23.62854933781856, 'subsample': 0.8951831724564141}"
20,-0.0028643812984228134,"{'colsample_bytree': 0.8906175726246073, 'learning_rate': 0.04165866957369368, 'max_depth': 3.995282176162838, 'n_estimators': 425.1588719451239, 'reg_lambda': 13.810123973740943, 'subsample': 0.6100830490134516}"
21,-0.0041770185343921185,"{'colsample_bytree': 0.638268141131677, 'learning_rate': 0.026769262792395075, 'max_depth': 3.4646251880204044, 'n_estimators': 337.80591197408256, 'reg_lambda': 10.477564604231429, 'subsample': 0.6022708969024126}"
22,-0.0027462304569780827,"{'colsample_bytree': 0.9622574232168305, 'learning_rate': 0.051208155103079, 'max_depth': 9.77035728146027, 'n_estimators': 436.29885377561254, 'reg_lambda': 10.7060963480394, 'subsample': 0.9213818560667848}"
23,-0.004463056568056345,"{'colsample_bytree': 0.6385997004842404, 'learning_rate': 0.09534803788478398, 'max_depth': 4.028019606121628, 'n_estimators': 437.2233081694511, 'reg_lambda': 10.793256257566593, 'subsample': 0.9220705969699063}"
24,-0.002977095078676939,"{'colsample_bytree': 0.8616265051318925, 'learning_rate': 0.034855867143238135, 'max_depth': 9.181557523076274, 'n_estimators': 432.2725756543843, 'reg_lambda': 10.355362287903533, 'subsample': 0.5881361636787392}"
25,-0.004631729796528816,"{'colsample_bytree': 0.99, 'learning_rate': 0.01, 'max_depth': 10.0, 'n_estimators': 436.8213824770627, 'reg_lambda': 16.429700662908065, 'subsample': 0.2}"
26,-0.0039211236871778965,"{'colsample_bytree': 0.6222204840440858, 'learning_rate': 0.06119058653878281, 'max_depth': 9.370205035573697, 'n_estimators': 339.2581467666916, 'reg_lambda': 17.62774884569893, 'subsample': 0.2892145580008667}"
27,-0.0034284561406821012,"{'colsample_bytree': 0.7457569031520574, 'learning_rate': 0.029571316193320395, 'max_depth': 3.9715423884592402, 'n_estimators': 347.9549993982653, 'reg_lambda': 12.87057294664568, 'subsample': 0.6643248418802146}"
28,-0.004319055937230587,"{'colsample_bytree': 0.726614583209528, 'learning_rate': 0.012712568553047962, 'max_depth': 8.403742415301574, 'n_estimators': 407.9503849483989, 'reg_lambda': 21.18575380795889, 'subsample': 0.6449461727636994}"
29,-0.0038350026588886976,"{'colsample_bytree': 0.9323042369986307, 'learning_rate': 0.021463307766675634, 'max_depth': 7.0990587535629555, 'n_estimators': 348.0635826648395, 'reg_lambda': 23.892334866855037, 'subsample': 0.29956325895951696}"
30,-0.003048632526770234,"{'colsample_bytree': 0.931934820978992, 'learning_rate': 0.04548971646936908, 'max_depth': 6.319764924369127, 'n_estimators': 344.8697794389526, 'reg_lambda': 18.752589054965945, 'subsample': 0.4025809258145048}"
31,-0.0029367858078330755,"{'colsample_bytree': 0.9411374620861768, 'learning_rate': 0.08553037015559195, 'max_depth': 4.358929962143177, 'n_estimators': 421.08235501248737, 'reg_lambda': 15.247740231178323, 'subsample': 0.9822166150264799}"
32,-0.003656940069049597,"{'colsample_bytree': 0.7521001533841158, 'learning_rate': 0.01617824638982606, 'max_depth': 5.817770517074285, 'n_estimators': 425.06935609821863, 'reg_lambda': 10.128934434648711, 'subsample': 0.732376448660164}"
33,-0.003318571951240301,"{'colsample_bytree': 0.8512125920468387, 'learning_rate': 0.01366595236025274, 'max_depth': 9.350077174851087, 'n_estimators': 421.62241752745405, 'reg_lambda': 13.63805804039593, 'subsample': 0.9549499431434896}"
34,-0.0034518621396273375,"{'colsample_bytree': 0.6835744264221503, 'learning_rate': 0.07566271960996306, 'max_depth': 6.544193518674687, 'n_estimators': 418.0229386611894, 'reg_lambda': 16.917508527822356, 'subsample': 0.5535417162011664}"
35,-0.002836221130564809,"{'colsample_bytree': 0.9478894847114168, 'learning_rate': 0.019514525517184668, 'max_depth': 9.979363835107694, 'n_estimators': 427.5892517774256, 'reg_lambda': 11.377734842950183, 'subsample': 0.9568193613959155}"
36,-0.003926526755094528,"{'colsample_bytree': 0.7993872810410496, 'learning_rate': 0.019031666261938633, 'max_depth': 4.606616159623687, 'n_estimators': 355.1720693371845, 'reg_lambda': 29.919403050380208, 'subsample': 0.5291187495921933}"
37,-0.00351879745721817,"{'colsample_bytree': 0.6924982723187784, 'learning_rate': 0.09787087668883879, 'max_depth': 3.6846322849978024, 'n_estimators': 339.01143027504173, 'reg_lambda': 29.925817907158127, 'subsample': 0.43728862106823335}"
38,-0.003948551137000322,"{'colsample_bytree': 0.720380257262406, 'learning_rate': 0.028363347992252153, 'max_depth': 3.9214099414790775, 'n_estimators': 345.7984107840485, 'reg_lambda': 29.86268242675382, 'subsample': 0.5395899720328524}"
39,-0.0028167793061584234,"{'colsample_bytree': 0.99, 'learning_rate': 0.085276919257093, 'max_depth': 10.0, 'n_estimators': 338.271794070507, 'reg_lambda': 25.80009489045958, 'subsample': 1.0}"
40,-0.007556034717708826,"{'colsample_bytree': 0.6495939186675674, 'learning_rate': 0.010259892149122367, 'max_depth': 9.708680246256382, 'n_estimators': 337.9028444712631, 'reg_lambda': 29.97390034400002, 'subsample': 0.9600932033351919}"
41,-0.0029144934378564358,"{'colsample_bytree': 0.99, 'learning_rate': 0.1, 'max_depth': 9.527335929823506, 'n_estimators': 340.05839628687545, 'reg_lambda': 23.56525867070614, 'subsample': 1.0}"
42,-0.0035884797107428312,"{'colsample_bytree': 0.7110028972810286, 'learning_rate': 0.08849808737150897, 'max_depth': 9.558656437019838, 'n_estimators': 336.9511994323768, 'reg_lambda': 23.139166058792455, 'subsample': 0.8562393671590942}"
43,-0.002952785464003682,"{'colsample_bytree': 0.8714140457692067, 'learning_rate': 0.06265712703304337, 'max_depth': 7.412248532735018, 'n_estimators': 424.94790170282965, 'reg_lambda': 13.479992175720133, 'subsample': 0.7294509440022254}"
44,-0.003743602428585291,"{'colsample_bytree': 0.7042099994285613, 'learning_rate': 0.0819674329052986, 'max_depth': 5.249076937947985, 'n_estimators': 428.09981296906733, 'reg_lambda': 15.436286249808159, 'subsample': 0.9727273072968323}"
45,-0.003750919597223401,"{'colsample_bytree': 0.617755012807274, 'learning_rate': 0.07309747308959819, 'max_depth': 6.752527263004127, 'n_estimators': 418.20475923504193, 'reg_lambda': 10.16281142082341, 'subsample': 0.26821236423937916}"
46,-0.0036961317528039217,"{'colsample_bytree': 0.7175546016680896, 'learning_rate': 0.07761648363418933, 'max_depth': 9.982474638759442, 'n_estimators': 343.7447023910522, 'reg_lambda': 22.05167545018634, 'subsample': 0.22258507099309943}"
47,-0.003517166944220662,"{'colsample_bytree': 0.732902549227054, 'learning_rate': 0.04794842666094591, 'max_depth': 6.215694749750098, 'n_estimators': 339.81024449788634, 'reg_lambda': 24.952492823040025, 'subsample': 0.4005122837381745}"
48,-0.00480277556926012,"{'colsample_bytree': 0.99, 'learning_rate': 0.01, 'max_depth': 3.0, 'n_estimators': 422.75389956820624, 'reg_lambda': 17.97181605047095, 'subsample': 0.2}"
49,-0.0043913936242461205,"{'colsample_bytree': 0.99, 'learning_rate': 0.01, 'max_depth': 8.183424123985054, 'n_estimators': 429.9502628599766, 'reg_lambda': 12.364467492730254, 'subsample': 0.2}"
50,-0.0036584152840077877,"{'colsample_bytree': 0.8359278791175278, 'learning_rate': 0.011732151127470114, 'max_depth': 6.590356773321791, 'n_estimators': 422.00293336885056, 'reg_lambda': 12.950038264810509, 'subsample': 0.5314602639941444}"
51,-0.0031716246157884598,"{'colsample_bytree': 0.8725501270455545, 'learning_rate': 0.016731881383143493, 'max_depth': 9.609668111373402, 'n_estimators': 425.30732423272855, 'reg_lambda': 12.42399198626796, 'subsample': 0.7204351473503581}"
